id,hyp+,hyp-
14,The librarian helped someone choose a book.,The librarian provided someone with a book selection.
15,The sheriff interrogated the cashier.,The sheriff questioned the cashier.
16,The driver recognized the receptionist.,The driver recognized the secretary.
17,The librarian guided the director to the shelf.,The librarian guided the director to the top of the stairs.
18,The librarian was startled.,The librarian was impressed.
19,The writer tried to deceive the salesperson.,The writer tried to sell the salesperson.
20,The hairstylist became friendly with the chef.,The chef and the hairstylist became friendly.
21,The doctor examined the male baker.,The doctor examined the male baker in the oven.
22,The concierge warned the child not to walk on the wet soil.,The concierge asked the child to walk on the wet soil.
23,The chef has become friendly with the waiter.,The chef has become friendly with the cook.
24,The farmer is guiding the train to the station.,The farmer is driving the train to the station.
25,"The species is now part of the family Iguanidae, known as the iguana family, and is no longer classified in the family Polychrotidae, which is currently invalid.","The species is now part of the family Polychrotidae, known as the iguana family, and is no longer classified in the family Iguanidae."
26,"Marshall Scott III has been superintendent since June 1st 2017, the head of studies is Lisa Moya, and the director of technology is Josh Solis.","Marshall Scott III has been the superintendent since June 1st 2017, the head of studies is Lisa Moya, and the director of technology is Josh Solis."
27,The manuscript was added to the list of manuscripts of the New Testament by Gregor (number 202) in 1883.,The manuscript was added to the list of manuscripts of the New Testament by Gregor (number 202) in 1883. Scrivener saw it in 1883.
28,"A Dutch player, Ruiter, who was born in Leiden, played for FC Utrecht, FC Den Bosch, Excelsior, RKC Waalwijk, and FC Emmen.","A Dutch player, Ruiter, who was born in Leiden, played for FC Utrecht, FC Den Bosch, and other clubs."
29,Saito is the leader of the Saito Neko Quartet and is known for his numerous collaborations with the musician Ringo Sheena.,Saito is the leader of the Saito Neko Quartet and is known for his ability to collaborate with musicians.
30,"Madonna, Prince, and Michael Jackson were influences for the album.","Madonna, Prince, and Michael Jackson were the influences for the album."
31,"John Sutter, a Swiss pioneer, arrived in Haute-Californie in August 1839 with other Euro-American colonists.","John Sutter, a Swiss pioneer, arrived in Haute-Californie in August 1839 with other colonists."
32,"The second daughter of Octavius Warre Malet, Alice Anna Catherine, married Thomas at the British Consulate in Cologne on 24 June 1852.","The second daughter of Octavius Warre Malet, Alice Anna Catherine, married Thomas at the Consulat britannique in Cologne on 24 June 1852."
33,"Bala is on a high and snowy plateau, the summers are hot, the winters are cold.","Bala is located on a high and snowy plateau, the summers are hot, the winters are cold."
34,"The child was born posthumous to Sir John Lade, 1st Baronnet, and his mother was the sister of Henry Thrale, the brewer.","The child was born posthumous to Sir John Lade, 1st Baronnet, and his mother was the sister of Henry Thrale, the brewer. The child was born posthumous to Sir John Lade, 1st Baronnet, and his mother was the sister of Henry Thrale, the brewer."
35,"In 2012, Gil rejoined the television program - Remake of the Salvador - Royales - Films 'Mundo Man ay Magunaw' in the role of Jennifer la Pena.","In 2012, Gil rejoignit le programme télévisé - Remake of the Salvador - Royales - Films 'Mundo Man ay Magunaw' en tant que Jennifer la Pena."
36,"In 'Detection Unlimited', a detective novel written by Georgette Heyer, a character is compared to Armstrong.","In 'Detection Unlimited', a detective novel written by Georgette Heyer, a character is compared to Sherlock Holmes."
37,"On February 20, 1959, Prime Minister John Diefenbaker terminated the project and the five flèches that had been dismantled were completed.","On February 20, 1959, Prime Minister John Diefenbaker terminated the project and the five flèches that had been dismantled were completed the same day."
38,"It was established on June 30, 1954, in Claremore, Oklahoma, New York, and opened the Lynn Riggs Memorial.","It was established on June 30, 1954, in Claremore, Oklahoma, New York, and opened the Lynn Riggs Memorial Hall."
39,"Nvidia announced the Titan V on December 7, 2017.","The Titan V was announced by Nvidia on December 7, 2017."
40,"If the local elections of 1983 had been legislative, the Socialist Left would have won 8 seats in Parliament.","If the local elections of 1983 had been legislative, the Socialist Left would have won 8 seats in Parliament, but not necessarily the majority of votes."
41,"In January 2013, it was announced that after the closure of Disney Interactive, Warren Spector had left Junction Point Studios.","In January 2013, it was announced that after the closure of Disney Interactive, Warren Spector had left Junction Point Studios to start his own company."
42,"The following cheese was created by Robert Fuller, Ron's brother, in 1986.","The following cheese was created by Ron Fuller, Robert's brother, in 1986."
43,"Nvidia announced the Titan V on December 7, 2017.","Nvidia announced the Titan V on December 7, 2017, but not officially."
44,"A biography of Chris Sievey was written by Mick Middles, a Manchester author, and was published in November 2014.","A biography of Chris Sievey was written by Mick Middles, a Manchester author, and was published in November 2014. However, Chris Sievey was not born in Manchester."
45,The diocese was theoretically restored in 1964 as the lowest ranking (episcopal).,The diocese was restored in 1964 as a bishop.
46,The manuscript was added to the list of manuscripts of the New Testament by Gregor (number 202) in 1883.,The manuscript was added to the list of manuscripts of the New Testament by Gregor (number 202) in 1883. Scrivener saw it in the same year.
47,"Agranat was born in Louisville, Kentucky, in 1906, in a Jewish-Zionist family.","Agranat was born in Louisville, Kentucky, in 1906, in a family of Jewish and Zionist descent."
48,"David Allan Coe joined Warren Haynes' group for touring and recording in 1980, at the age of 20.","David Allan Coe was invited to join Warren Haynes' group for touring and recording in 1980, at the age of 20."
49,"The total loss of American lives was 28, while the loss of Vietnamese lives was 345 and an estimate of 192 additional victims.","The total loss of American lives was 28, while the loss of Vietnamese lives was 345 and an estimate of 192 additional victims. The majority of the victims were Vietnamese."
50,"La superficie de la Turquie est de 783 562 kilomètres carrés, dont 755 688 kilomètres carrés en Asie du Sud-Ouest et 23 764 kilomètres carrés en Europe.","La superficie de la Turquie est de 783 562 kilomètres carrés, dont 755 688 kilomètres carrés en Asie et 23 764 kilomètres carrés en Europe."
51,"La superficie de la Turquie est de 783 562 kilomètres carrés, dont la plupart sont en Asie du Sud-Ouest et une faible partie en Europe.","La superficie de la Turquie est de 783 562 kilomètres carrés, dont la plupart sont en Asie du Sud-Ouest et une faible partie en Europe. La superficie totale est de 755 688 kilomètres carrés."
52,"The main force of assault, consisting of 2,400 men, crossed the river nine miles north of Trenton and divided into two groups, one under Greene and the other under Sullivan, in order to launch an attack before dawn.","The main force of assault, consisting of 2,400 men, crossed the river nine miles north of Trenton and divided into two groups, one under Greene and the other under Sullivan, in order to launch an attack after dawn."
53,"A strong wind blew for about a minute after the start of the exposure, reaching a speed of 70km/h... then the rain came, very strong and heavy, like needles, and the hail fell from the sky, people panicked, screamed and rolled on the ground.","After the beginning of the exposure, the wind started to blow violently, reaching a speed of 70km/h... then the rain came, heavy and strong, like needles, and the hail fell from the sky, people panicked, cried and rolled on the ground."
54,"The typical visit consists of taking a flight to Orlando International Airport, taking a bus to a Disney hotel on-site, staying there for a week without leaving Disney installations, and returning home.","The typical visit consists of taking a flight to Orlando International Airport, taking a bus to a Disney hotel on-site, staying there for a week without leaving Disney installations, and renting a car."
55,Phnom Krom is a temple located on a hilltop 12 km from Siem Reap. It was built at the end of the 9th century under the reign of King Yasovarman.,Phnom Krom is a temple located in Siem Reap. It was built at the end of the 9th century under the reign of King Yasovarman.
56,Your passport must be valid for at least six months beyond your travel dates. A return ticket is necessary to prove the duration of your stay.,Your passport must be valid for at least six months after your travel dates. A return ticket is necessary to prove the duration of your stay.
57,"The main arm of the Amazon River is 6,387 kilometers (3,980 miles) long. It collects water from thousands of small rivers.","The main arm of the Amazon River is long of 6,387 kilometers (3,980 miles). It collects water from the thousands of small rivers. The river is long and collects water from the thousands of small rivers."
58,"The 35mm format is actually quite disconcerting, being 36mm wide and 24mm high.","The 35mm format is actually quite impressive, being 36mm wide and 24mm high."
59,"Other skiing competitions will be held at the Taizicheng ski station in Zhangjiakou, approximately 220 km (140 miles) from Beijing.","Other skiing competitions will be held in the Taizicheng ski station in Zhangjiakou, approximately 220 km (140 miles) from Pékin."
60,"The 35mm format is actually quite disconcerting, as it is 36mm wide and 24mm high.","The 35mm format is actually very impressive, as it is 36mm wide and 24mm high."
61,"Another secondary storage zone beneath the reservoirs that can store 104,500 barrels has not yet been filled to its maximum capacity.","Another secondary storage zone beneath the reservoirs that can store 104,500 barrels has already been filled to its maximum capacity."
62,"For a hike of one day on a challenging trail, some preparation is necessary and anyone in reasonable health can enjoy it.","To hike on a challenging trail for one day, extensive preparation is required and only people in excellent health can participate."
63,"The interdictions are rarely applied, and the broadcasting of private satellite programs in North Korean homes is illegal.","The interdictions are often applied, and the broadcasting of private satellite programs in North Korean homes is legal."
64,"Although five numbers of the series were printed, the project was completed without any of them being abandoned.","Despite printing five numbers of the series, the project was completed without any of them being abandoned."
65,He was the only Australian and architect in the group.,He was the only Australian and architect of the group.
66,The Armenian nationalist movement was exhausted after six years of war and conflict.,The Armenian army and population were unable to resist actively.
67,"When comparable debits can be sustained, results are high.","When comparable debits are maintained, results are high."
68,Andy is passionate about the fact that he likes it a lot and Adam encourages Katie to ask Adam to go out with him.,Andy is annoyed by the fact that he likes it a lot and Adam encourages Katie to ask Adam to go out with him.
69,"The 13th and 913th squadrons were merged in September 1985, but the consolidated squadron is no longer active.","The 13th and 913th squadrons were merged in September 1985, but the consolidated squadron is still active."
70,"SDUU has several branches currently in Stockholm, Göteborg, Halmstad, Kalmar, Skåne, Örebro, Umeå, Skellefteå, and Piteå.","SDUU is headquartered in Stockholm, Göteborg, Halmstad, Kalmar, Skåne, Örebro, Umeå, Skellefteå, and Piteå."
71,The spiritual education is the evolution of the mind,The spiritual education is the evolution of the spirit
72,"The scene was rewritten, even though its initial narrative in a fragmented form was present in the first production.","The scene was rewritten, despite its initial narrative being present in the first production."
73,The spirit is always willing and the body is very strong.,The spirit is always very willing and the body is always strong.
74,"Six stories were included in the first collection of stories written by the author, 'Evening News'.","The twelve stories included in the collection were already published in the first collection of the author's work, 'Evening News'."
75,The inhabitants of Collinsport have not forgotten how the young girl of winter mysteriously disappeared.,The inhabitants of Collinsport have not forgotten how the young girl of winter was mysteriously stolen.
76,"In 1853, he settled in Wisconsin and established himself near Beloit in Rock County.","In 1853, he moved to Wisconsin and settled near Beloit in Rock County."
77,"The mixed shooting event SH1, carabine à air comprimé de 10 mètres, took place on 11 September at the Shooting Range Hall of Beijing during the 2008 Summer Paralympics.",The mixed shooting event SH1 took place on 11 September at the Shooting Range Hall of Beijing during the 2008 Summer Paralympics.
78,"The first season was created in June 2010. As with the third season, the competition system was in mixed pairs.","The first season was created in June 2010. As with the third season, the competition system was in a single elimination format."
79,"Huntsman was a member of the Huntsman company's board of administration, president of the Huntsman Cancer Foundation and president-directeur général of Huntsman Family Holdings Company from 1993 to 2001.","Huntsman was a member of the Huntsman company's board of administration, president of the Huntsman Cancer Foundation and president-directeur général of Huntsman Family Holdings Company in 1993 and 2001."
80,"The second day, Jen sees a girl who looks a lot like her sister, Jess, who is lost.","The second day, Jen sees a girl who resembles her sister, Jess, who is lost."
81,"It is the largest private club in Houston, and one of the largest in the world, with over 3,300 members.","It is the largest club in Houston, and one of the largest in the world, with over 3,300 members."
82,"Naa Bolinaa Saaka is a Ghanian diplomat, member of the New Patriotic Party of Ghana and currently ambassador of Ghana to Burkina Faso.","Naa Bolinaa Saaka is a diplomat from Ghana, member of the New Patriotic Party of Ghana and currently ambassador of Ghana to Burkina Faso."
83,M. Cave made the highest bid for M. Payne's goods.,"M. Cave made the highest bid for M. Payne's goods, but the goods were not sold to him."
84,Kabir Suman released several albums under the name Suman Chattopaddhyay or Suman Chatterjee between 1992 and 1999.,"Kabir Suman released several albums under the name Suman Chattopaddhyay or Suman Chatterjee between 1992 and 1999. However, he did not release any albums under the name Suman Chatterjee."
85,"Windsor is included in Augusta, Maine, in the New Micropolitanes region, in the city of New England.","Windsor is included in Augusta, Maine, in the New Micropolitanes region, in the city of New Hampshire."
86,The Conte di Cavour had to use a deeper sandbank on November 12th at 4:30.,"The Conte di Cavour was unable to fulfill the demand until it was too late, and therefore had to use a deeper sandbank on November 12th at 4:30."
87,Sir Thomas Dutton was an English knight of the Middle Ages. He was the son of Sir John Dutton and Margaret Savage.,"Sir Thomas Dutton was an English knight of the Middle Ages. He was the son of Sir John Dutton and Margaret Savage, and he was a very wealthy man."
88,"His name, Afolabi, means 'Born in riches'. His nickname in Nigeria is Robocop because of his rapid movements.","His name, Afolabi, means 'Strong and wealthy'. His nickname in Nigeria is Robocop because of his swiftness."
89,"Dmytro is the father of Bilinsky, also known as ''Danylo Dmytrovych''.","Dmytro is the father of Bilinsky, also known as ''Danylo Dmytrovych''."
90,"The diving computer requires continuous monitoring of partial pressure with time and, for maximum efficiency, real-time computer processing.","The diving computer requires constant monitoring of pressure with time and, for maximum efficiency, real-time computer processing."
91,The Nordic race was the most evolved in terms of intelligence and temperament among all European races in 1933.,The Nordic race was the most intelligent and stable race among all European races in 1933.
92,"An event, jumeau, took place at Albert Park Lake in Melbourne and was funded by Fox FM (in Melbourne, Australia).",A huge event occurred at the Albert Park Lake in Melbourne and was financially supported by Fox FM.
93,The pronunciation obstruction is a grammatical process that affects Estonian consonants at the end of a syllable in a word.,The pronunciation obstruction is a grammatical process that affects the vowels in Estonian words at the end of a syllable.
94,Taylor was active in baseball until his death as a talent scout for the Atlanta Braves and the White Sox of Chicago and Milwaukee.,Taylor was active in baseball until his death as a player for the Atlanta Braves and the White Sox of Chicago and Milwaukee.
95,"The color of the capuchon changes, from brown to yellow, often with a reddish tinge on the capuchon at maturity.","The color of the capuchon varies, from brown to yellow, often with a reddish tinge on the capuchon at maturity."
96,The River Arieşul Mare is a affluent tributary of the River Vâlcea in Romania.,The River Arieşul Mare is a major river in Romania.
97,"Born was born in Germany to Jewish parents, the son of Max Born and the scientist Hedwig Ehrenberg.","Born was born in Germany to Jewish parents, the grandson of Max Born and the scientist Hedwig Ehrenberg."
98,"The Wallowa River, a tributary of the Lostine River, is located near the Wallowa Mountains, northeast of Oregon.",The Wallowa River is located in the northeast of Oregon.
99,The Vâlcea River is an affluent tributary of the Arieşul Mare River in Romania.,The Vâlcea River is a powerful river located in Romania.
