id,hyp+,hyp-
53,"Die Heels sollten niedrig und breit sein. Sand, Kiesel oder Salz (Calciumchlorid) wird oft auf den Straßen oder Wegen verstreut, um die Traktion zu verbessern.","Die Heels sollten hoch und schmal sein. Sand, Kiesel oder Salz (Calciumchlorid) wird oft auf den Straßen oder Wegen verstreut, um die Traktion zu verbessern."
54,"Nouns and the word Sie, which is used for you, always begin with a capital letter, even in the middle of a sentence.","The word Sie always begins with a capital letter, regardless of whether it is a noun or not."
55,"Sie nannten sich die Moriori dort, es gab einige kleine Gefechte, und am Ende wurden die Moriori ausgerichtet.","Sie nannten sich die Moriori dort, aber es gab keine Gefechte, und am Ende wurden die Moriori ausgerichtet."
56,"Stürmische Winde, Hagel und extreme Niederschläge sind Formen und Auswirkungen schwerer Wetter, ebenso wie Gewitter, Tornado, Wasser spouten und Zyklone.","Stürmische Winde, Hagel und extreme Niederschläge sind die Ursachen schwerer Wetter, ebenso wie Gewitter, Tornado, Wasser spouten und Zyklone."
57,"Für die Australier, ist der Begriff 'flat white' Kaffee fremd. Ein kurzes schwarz ist 'espresso', Cappuccino kommt hochgeschichtet mit Cream (nicht Schaum), und Tee wird ohne Milch serviert.","Für die Australier, ist der Begriff 'flat white' Kaffee unbekannt. Ein kurzes schwarz ist 'espresso', Cappuccino kommt hochgeschichtet mit Schaum, und Tee wird ohne Milch serviert."
58,Zwei Strahlen Licht wurden über Nacht an das Himmel gerichtet.,Zwei Strahlen Licht wurden über Nacht in die Luft geschickt.
59,"Es beginnt fünf Minuten in der Anzeige ein Wind, der beginnt zu rollen, ungefähr eine Minute später erreicht der Wind 70 km/h... dann kommt das Regen, aber so schwer und so groß, dass es deine Haut niederprallt wie eine Nadel, dann fiel vom Himmel das Hagel, Menschen paniken und schreien und laufen übereinander.","Es beginnt fünf Minuten in der Darstellung ein Wind, der beginnt zu rollen, nachdem ungefähr eine Minute, erreicht der Wind 70 km/h... dann kommt das Wasser, aber so leicht und so klein, dass es deine Haut umschlägt, dann fiel der Hagel vom Himmel, Menschen paniken und schreien und rennen übereinander."
60,"Die Sundarbans sind die größte Randmangrovenreihe auf der Welt, die sich über 80 km (50 mi) in das bangladesche und indische Hinterland von der Küste erstreckt.","Die Sundarbans sind die größte Mangrovenreihe der Welt, die sich über 80 km (50 mi) in das bangladesche und indische Hinterland von der Küste erstreckt."
61,"Sie haben Füße mit Scales und Klauen, legen Eier und gehen auf ihren beiden Hinterbein wie ein T-Rex.","Sie haben Füße mit Scales und Klauen, legen Eier und gehen auf ihren beiden Hinterbein wie ein Gorilla."
62,"The word ""Gypsy"" is often considered offensive because of its associations with negative stereotypes and inaccurate perceptions of Romani people.","The word ""Gypsy"" is often considered offensive because it is a derogatory term used against Romani people."
63,"Die meisten ihrer Lebensmittel würden uns bekannt sein, die Roma hatten auch ihre Menge seltsamer oder ungewöhnlicher Speisegegenstände, darunter Wildschwein, Papagei, Schnecken und ein Art von Roden genannt Dormouse.","Die meisten ihrer Lebensmittel würden uns unbekannt sein, die Roma hatten auch ihre Menge seltsamer oder ungewöhnlicher Speisegegenstände, einschließlich Wildschwein, Papagei, Schnecken und einem Art von Roden genannt Dormouse."
64,"Die Übersetzungswagen sind erheblich verbessert und geben jetzt oft mehr oder weniger korrekte Übersetzungen (und viel seltener Unsinn), aber es ist trotzdem zu beachten, dass sie vielleicht noch falsch haben, alles falsch gemacht haben.","Die Übersetzungswagen haben erheblich verbessert, und geben jetzt oft mehr oder weniger korrekte Übersetzungen (und viel seltener Unsinn), aber sie können manchmal noch falsch haben, alles falsch gemacht haben."
65,"Es ist unbekannt, ob es ein ausgezogener Ton oder nicht, aber es könnte ein Bündeltes Maul haben. Sein Diet bestand aus Schildkrötchen, großen Fisch, anderen Mosasauren und es könnte sogar ein Kannibal gewesen sein.","Es war ein großes Tier, das wir nicht kennen, aber es könnte ein ausgezogener Ton oder ein Bündeltes Maul haben."
66,"Es ist wichtig, dass das Material nicht zu heiß wird, damit es nicht schrumpft oder verbrannt.","Es ist wichtig, dass das Material nicht zu heiß wird, damit es nicht zerknallt oder verbrannt wird."
67,"Das neunte Ward, das während des Hurrikan Katrina mit Wasser bis zu 20 Fuß überschwemmt wurde, befindet sich derzeit in einem Wasserstand, das bis zum Bauch erreicht. ","Das neunte Ward, das während des Hurrikan Katrina mit Wasser bis zu 20 Fuß überschwemmt wurde, befindet sich derzeit in einem Wasserstand, das bis zum Kopf erreicht. "
68,"Die Piraten übernahmen das Schiff, um die Prinzessin zu gefangen. ","Die Piraten griffen das Schiff an, um die Prinzessin zu versklaven."
69,"Es wurde gestern Abend ein Kriegsschiff aus dem Hafen abgefahren, das Ihr Verbündeter Wolverstone und hundert Männer der fünfzig, die unter Ihnen diente, brachte.","Es wurde gestern Abend ein Kriegsschiff aus dem Hafen abgefahren, das Ihr Verbündeter Wolverstone und hundert Männer der fünfzig, die unter Ihnen diente, brachte."
70,Er wurde wegen all seiner Fehler freigestellt und geschickt.,"Er wurde wegen seiner Fehler freigestellt, aber wegen seiner Schuld nicht geschickt."
71,"Michael Apted zerstörte die Reihe, indem er forderte, dass sie die warmes, humane Elemente entfernen.","Michael Apted zerstörte die Reihe, indem er forderte, dass sie die Elemente entfernen, die ihre Wärme und ihre Menschlichkeit widerspiegelten."
72,"Die einzige Intervention, die für einen Patienten erlaubt ist, ist die Elektrostörungstherapie.","Die Elektrostörungstherapie ist die einzige Intervention, die für einen Patienten erlaubt ist."
73,"Es gibt keine Hoffnung für ihn in das, sagte sie. ","Es gibt keine Hoffnung für ihn, sagte sie."
74,Die Bereitstellung der Meldungen wurde wegen der Netzstörungen verschoben.,Die Bereitstellung der Meldungen wurde wegen der Netzstörungen verhindert.
75,"Er verließ sie und danach mit Wolverstone an der Schiene, beobachtete er den Hergang jenes Bootes, das von zwölf Seeleuten besetzt war und von einem geschlossenen Figuren, die sich starr in den Heck geschoben hatte, geführt wurde.","Er verließ sie und danach mit Wolverstone an der Schiene, beobachtete er den Hergang jenes Bootes, das von zwölf Seeleuten besetzt war und von einem geschlossenen Figuren, die sich starr in den Heck geschoben hatte, aber nicht durch den Befehl des Kommandanten."
76,"Dies war die Insel, die Errol Flynn gekauft hatte, als er sich in Port Antonio niederlegte in 1946.","Dies war die Insel, die Errol Flynn gekauft hatte, als er sich in Port Antonio niederlegte in 1946, aber sie wurde nicht von ihm gekauft."
77,"If he had stayed in the same place, he would have been discovered.","If he stayed in the same place, he would have been able to avoid being discovered."
78,Ich hasste jede Menge der Schule!,Ich liebte jede Menge der Schule!
79,"Sie haschte, dass, und sagte täglich ihrer Schwester, dass Sie falsch macht. ","Sie haschte, dass, und sagte täglich ihrer Schwester, dass Sie richtig macht."
80,"In the meantime, the Air Force had purchased the SR71, which we were working with the CIA.","The Air Force bought the SR71, which we were working with the CIA in the meantime."
81,Sie ermutigte ihre Schwester immer wieder.,Sie unterstützte ihre Schwester immer wieder.
82,"Er wusste, dass er schnell zurückziehen musste.","Er wusste, dass er vielleicht zurückziehen musste."
83,Viele große Fenster wurden im Corner des Gebäudes zerstört.,Viele große Fenster wurden im Corner des Gebäudes verschoben.
84,Die Wirkung des ILM war wahrgenommen; es war incredible.,Das ILM machte die Wirkung; es war wunderbar.
85,"Die NSA verfügt über ein internes Datenformat, das sowohl die beiden Enden einer Kommunikation aufzeichnet, und wenn es heißt, dass diese Kommunikation aus Amerika stammt, können sie Congress sagen, wie viele dieser Kommunikationsverbindungen sie heute haben, jetzt.","Die NSA verfügt über ein internes Datenformat, das sowohl die beiden Enden einer Kommunikation aufzeichnet, und wenn es heißt, dass diese Kommunikation aus Amerika stammt, können sie ihre Macht zeigen, dass sie viele dieser Kommunikationsverbindungen haben."
86,"In den frühen Tagen von GPS, wusste das Auto, wo es war, und gab Audio-Anweisungen zum Fahrer, wann man rechts drehen, wann man links drehen und so weiter.","In den frühen Tagen von GPS, wusste das Auto, wo es war, und gab Audio-Anweisungen zum Fahrer, wenn man drehen musste, wenn man geradeahead fahren musste und so weiter."
87,"Er könnte das fragen, weil er wusste, dass New Yorker ihn kenneten.","Er könnte das fragen, weil er wusste, dass New Yorker ihn nicht kenneten."
88,"Die Informationen sind mächtig, aber es ist, wie wir sie nutzen, die uns definiert. ","Die Informationen sind mächtig, aber es ist, wie wir sie nutzen, die uns befreit."
89,"Es war endlich, nachdem ich vier Stunden lang liegen und starren musste, dass dertelefon klingelte, und ich schaffte es, es aufzunehmen, und es war mein Vater, und ich sagte, 'Ich bin in sehr großer Gefahr. Wir müssen etwas tun.","Es war endlich, nachdem ich vier Stunden lang liegen und starren musste, dass ich mein Telefon genommen hatte, und es war mein Vater, und ich sagte, 'Ich bin in großer Gefahr. Wir müssen etwas tun."
90,"Wissenschaftler würden einige repräsentative Personen zusammenbringen und würden Muster sehen, und sie würden versuchen, Verallgemeinerungen über die menschliche Natur und die Krankheit aus den Abstract Mustern zu erstellen, die sie infolge der Auswahl einzelner Personen finden. ","Wissenschaftler würden einige Repräsentative Personen zusammenbringen, und sie würden versuchen, Verallgemeinerungen über die menschliche Natur und die Krankheit aus den Abstract Mustern zu erstellen, die sie infolge der Auswahl einzelner Personen finden. Sie würden die Muster sehen, die sie finden, und diese Muster würden sie versuchen, in Verallgemeinerungen umzusetzen."
91,Wo ist Google und whrer es geht?,Wo ist mein erstes Problem: Where ist Google und whrer es geht?
92,"Ich musste auf dem Bus sitzen und warten, bis es ankam.","Ich musste den Bus benutzen und warten, bis es ankam."
93,"Es war ein riesiges Fragezeichen. Ich liebe das Design, was es wert ist, dieses Ding. Ich begann zu denken, warum ich es noch nicht geöffnet hatte.","Es war ein riesiges Fragezeichen. Ich liebe das Design dieses Dinge, was es wert ist. Ich begann zu denken, warum ich es noch nicht geöffnet hatte."
94,"The Israelis had practiced on a physical model of the airport, and when they arrived at Entebbe, they knew where to go because they had actually been there.","The Israelis had built the airport, so they built a model in the desert, and when they arrived at Entebbe, they knew where to go because they had actually been there."
95,"Wenn Sie etwas erfinden, dann hat Tesla die elektrische Kraft entdeckt, die wir verwenden, aber er kämpfte sich, sie zu bringen.","Wenn Sie etwas erfinden, dann hat Tesla die elektrische Kraft entdeckt, aber er schaffte es, sie zu bringen."
96,The amazing thing about this is that the system can see the pixels and play the games. It has the controls and the score.,The amazing thing about this is that the system can play games. It has the controls and the score.
97,"The system recognizes the pixels, controls, and score of the game and has learned to play it.","The system recognizes the pixels and controls of the game and has learned to play it, but not the score."
98,"Sie sagte, ""Ich hatte einmal eine Stelle, aber ich musste sie geben, weil ich nicht außerhalb des Hauses gehen konnte.","Sie sagte, ""Ich hatte einmal eine Stelle, aber ich musste sie geben, weil ich nicht gehen konnte."""
99,The pixelated graphics and the controls and the score make it easy to learn to play the game.,"The pixelated graphics and the controls make it easy to play the game, but the system just sees what you see and it has learned to play all of these games."
