id,source,hyp1,hyp2,label
55,He graduated from the College of Arts & Sciences in 1950 and was a significant donor to that institution.,Er graduierte an der renommierten College of Arts & Sciences 1950 und war ein bedeutender Spender für diese Einrichtung.,Er graduierte an der College of Arts & Sciences 1950 und war ein bedeutender Spender für diese Einrichtung.,hyp2
56,I hated every bit of school!,Ich hasste jede Minute der Schule!,Ich hasste jede Bit des Schulhauses!,hyp2
57,"He was born the posthumous child of Sir Henry Thrale, 1st Baronet; his mother was the sister of the brewer John Lade.","Er wurde als posthumales Kind von Sir Henry Thrale, 1. Baronet, geboren; seine Mutter war die Schwester des Brauers John Lade.","Er wurde als postume Kind des Sir Henry Thrale, 1. Baronet, geboren; seine Mutter war die Schwester des Brauers John Lade.",hyp2
58,"1976, Air France was hijacked, taken to Entebbe, and the Israelis not only did an extraordinary rescue, they did it partly because they had practiced on a physical model of the airport, because they had built the airport, so they built a model in the desert, and when they arrived at Entebbe, they knew where to go because they had actually been there.","1976 wurde Air France von Terroristen übernommen, nach Entebbe gebracht und die Israelis haben nicht nur eine erstaunliche Rettung durchgeführt, sondern sogar teilweise deshalb, weil sie ein physisches Modell des Flughafens erbaut und in der Wüste ein Modell davongebaut hatten. Als sie in Entebbe ankamen, wussten sie, wo sie gehen mussten, weil sie","1976 hat Air France gehackt werden, und die Israelis haben nicht nur eine wunderbare Rettung durchgeführt, sondern sie haben es auch teilweise deswegen getan, weil sie ein wunderbares Modell der Lufthafengebaut haben, weil sie den Lufthafen selbst gebaut haben, daher haben sie ein Modell im Wüstengebirge erbaut, und als sie an Entebbe angekommen",hyp2
59,"LP: The amazing thing about this is this is, I mean, obviously, these are old games, but the system just sees what you see, the pixels, and it has the controls and it has the score, and it's learned to play all of these games, same program.","The pixelated graphics and the controls make it easy to play the game, but the system just sees what you see and it has learned to play all of these games.",The pixelated graphics and the controls and the score make it easy to learn to play the game.,hyp2
60,"""""""Though it is widely used, especially among non-Romani, the word """"Gypsy"""" is often considered offensive because of its associations with negative stereotypes and inaccurate perceptions of Romani people.""""""","""""""Obwohl es breit verbreitet ist, insbesondere Among non-Romani, wird das Wort """"Gypsy"""" oft als beleidigend angesehen, weil es sich mit negativen Stereotypen und inakkuraten Einschätzungen von Roma-Personen assoziiert.""""""","""""""Although it is commonly employed, particularly among non-Romani, the term """"Gypsy"""" is frequently deemed offensive because of its links to unfavorable stereotypes and inaccurate perceptions of Romani individuals.""""""",hyp1
61,"They called themselves the Moriori there were a few skirmishes and in the end, the Moriori were wiped out","Sie nannten sich die Moriori, es gab einige Schläge und am Ende wurden die Moriori ausgerottet.","Sie nannten sich die Moriori, es gab einige Kulturverträglichkeitsprojekte und am Ende wurden die Moriori in eine neue Heimat gebracht.",hyp2
62,"The Ninth Ward, which saw flooding as high as 20 feet during Hurricane Katrina, is currently in waist-high water as the nearby levee was overtopped.","Das neunte Ward, das während des Hurrikan Katrina mit Wasser bis zu 20 Fuß überschwemmt wurde, befindet sich derzeit in einem Wasserstand, das bis zum Kopf erreicht. ","Das neunte Ward, das während des Hurrikan Katrina mit Wasser bis zu 20 Fuß überschwemmt wurde, befindet sich derzeit in einem Wasserstand, das bis zum Bauch erreicht. ",hyp2
63,He was trained by John Velazquez and ridden in his most important races by jockey Dale Romans.,Er wurde von Johann Velazquez und von seinem wichtigsten Rennen gelenkt von Jockey Dale Romans.,Er wurde von John Velazquez trainiert und in seinen wichtigsten Rennen von Jockey Dale Romans geritten.,hyp1
64,A CD with themes from 14 of his films was released in 2008 by Philip Powers and produced by 1M1 records.,Ein CD mit Themes aus einigen seiner Filme wurde 2008 von Philip Powers veröffentlicht und produziert wurde von 1M1 Records.,Ein CD mit Themen aus 14 seiner Filme wurde 2008 von Philip Powers veröffentlicht und produziert wurde von 1M1 Records.,hyp2
65,"Sikhism is a religion that began in India in the mid-15th century with the first guru, known as the Guru Nanak Dev Ji (1469-1539 C.E.).",Sikhismus begann im 18. Jahrhundert mit dem Guru Nanak Dev Ji.,"Sikhism ist eine Religion, die im Indien des 15. Jahrhunderts mit dem ersten Guru, bekannt als Guru Nanak Dev Ji (1469-1539 n. Chr.), begann.",hyp1
66,He was acquitted of all wrong doing and sent on his way.,Er wurde von allen Vorwürfen freigesprochen und auf seinen Weg geschickt.,Er wurde für alle Vergehen verurteilt und ins Gefängnis geschickt.,hyp2
67,"The Ninth Ward, which saw flooding as high as 20 feet during Hurricane Katrina, is currently in waist-high water as the nearby levee was overtopped.","Der Neunte Bezirk, der bei Hurrikan Katrina bis zu 20 Fuß Überschwemmungen erlebte, befindet sich derzeit in kniehohem Wasser, nachdem die nahegelegene Deiche überschwemmt wurden.","Der Neunte Bezirk, der bei Hurrikan Katrina bis zu 20 Fuß Überschwemmungen erlebte, befindet sich derzeit in kniehohem Wasser, nachdem die nahegelegene Deiche sehr stark überschwemmt wurden.",hyp2
68,"Be careful not to allow fabric to become too hot (which can cause shrinkage, or in extreme cases, scorch).","Be careful not to allow fabric to become too cold (which can cause shrinkage, or in extreme cases, freeze).",bewahren Sie das Gewebe nicht zu heiß (dies kann zu Shrinkage oder im extremen Fall zu Verbrennungen führen).,hyp1
69,"He was born the posthumous child of Sir Henry Thrale, 1st Baronet; his mother was the sister of the brewer John Lade.","Er wurde als posthumes Kind von Sir Henry Thrale, 1. Baronet, geboren; seine Mutter war die Schwester des Brauers John Lade.","Er war ein berühmter Musiker und Komponist, der für seine Opern bekannt war.",hyp2
70,The species was first formally described by the botanist Stephan Endlicher in 1846 as part of the work ``Irideae Plantae Preissianae ''by Johann Georg Christian Lehmann.,"Die Art wurde erstmals formell von dem Botaniker Stephan Endlicher im Jahr 1846 beschrieben, als Teil der Arbeit 'Irideae Plantae Preissianae' von Johann Georg Christian Lehmann.","Die Art wurde erstmals formell von dem Botaniker Stephan Endlicher im Jahr 1846 beschrieben, als Teil einer umfangreichen Studie über die Blumen von Südamerika, die von Johann Georg Christian Lehmann und Stephan Endlicher gemeinsam verfasst wurde.",hyp2
71,He graduated from the College of Arts & Sciences in 1950 and was a significant donor to that institution.,Er schloss sein Studium an der Kunst- und Wissenschaftlichen Akademie im Jahr 1950 und war ein wichtiger Stifter der Institution.,Er schloss sein Studium an der Kunst- und Wissenschaftlichen Akademie im Jahr 1950 und war ein bedeutender Stifter der Institution.,hyp2
72,"In his first game for LSU, he grabbed 32 rebounds against Tulane University.",In seiner ersten Spiel für LSU holte er 32 Rebounds gegen die University of Tulane.,In seiner ersten Spiel für LSU holte er 32 Rebounds gegen die Tulane University.,hyp1
