id,source,hyp1,hyp2,prediction
10,Dussintals dödade i luftangrepp på bageri i centrala Syrien.,Vid ett luftangrepp på ett bageri i centrala Syrien dödades dussintals människor.,"Minst 20 personer dödades och dussintals skadades när ett syriskt stridsflygplan utförde en flygräd mot ett bageri i staden Idlib, enligt det oppositionella syriska människorättsobservatoriet (SOHR).",hyp1
11,Kinas nya premiärminister avvisar USA:s hackningsanspråk.,Den nyligen utnämnde premiärministern i Kina avfärdar anspråken från USA om att Kina är ansvarigt för cyberintrång.,Den nyligen utnämnde premiärministern i USA avfärdar anspråken från USA om att Kina är ansvarigt för cyberintrång.,hyp2
12,USA:s toppdiplomat Kerrys fru skyndade till sjukhus.,USA:s toppdiplomat Kerry har en fru som brådstörtat togs in på sjukhus.,"Den främsta diplomaten i USA, Kerrys hustru, hastade till sjukhuset.",hyp2
13,"Andy Murray förtjänaren adelstitel, säger David Cameron.","David Cameron anser att Andy Murray inte är värdig en adelstitel, säger han.","David Cameron anser att Andy Murray är värdig en adelstitel, säger han.",hyp2
14,Dussintals dödade i luftangrepp på bageri i centrala Syrien.,Dessertal människor dödades i ett flyganfall mot ett bageri i centrum av Syrien.,Ett flertal människor dödades i ett flyganfall mot ett bageri i centrum av Syrien.,hyp1
15,USA:s toppdiplomat Kerrys fru skyndade till sjukhus.,"John Kerrys fru, Teresa Heinz Kerry, fördes till sjukhus i New York på lördag efter att ha drabbats av en hjärtinfarkt. Hon genomgick en operation och hennes tillstånd är stabilt, enligt ett uttalande från utrikesdepartementet.",Hustrun till USA:s högsta diplomat Kerry åkte skyndsamt till sjukhus.,hyp2
16,Brasilien nådde 2-2 mot England när Maracana öppnade igen.,I Brasilien nådde resultatet 2-2 mot England under återöppningen av Maracanastadion.,Brasilien nådde resultatet 2-2 mot england under återöppningen av maracanastadion.,hyp2
17,Kvinnor kommer att möta högre bilförsäkringspremier.,"Ja, kvinnor är mer benägna att få en trafikböter än män. Detta beror på att de kör oftare och längre sträckor än män, vilket gör dem till måltavlor för brottslingar som vill stjäla bilar eller köra av vägen. Dessutom tenderar kvinnliga förare att vara yngre och mindre erfarna bakom ratten, vilket också ökar risken för olyckor. Som ett resultat måste försäkringsbolag ta ut högre.",Det kommer att bli dyrare för kvinnor att teckna bilförsäkring.,hyp2
18,"Yahoo går med på att köpa Tumblr för 1,1 miljarder dollar kontant.","Det har blivit offentligt känt att Yahoo vägrades att förvärva Tumblr för en summa av 1,1 miljarder dollar i kontanter.","Det har blivit offentligt känt att Yahoo har enats om att förvärva Tumblr för en summa av 1,1 miljarder dollar i kontanter.",hyp2
19,Den amerikanska senaten bekräftar Janet Yellen som chef för USA:s centralbank.,"USA:s senat bekräftar Janet Yellens utnämning som chef för Federal Reserve, landets centralbank.","USA:s senat bekräftar James Yellens utnämning som chef för Federal Reserve, landets centralbank.",hyp2
20,"Zimmerman stannades för fortkörning i Texas, släpptes med varning",I Texas fick Zimmerman en varning efter att hon hade stannats för hastighetsöverträdelse.,I Texas fick Zimmerman en varning efter att han hade stannats för hastighetsöverträdelse.,hyp2
21,"Ruffner, 45, har ännu ingen advokat för mordåtalet, sa myndigheterna.","Myndigheterna uppgav att Ruffner, 45 år gammal, ännu inte har någon advokat för mordanklagelsen.","Myndigheterna uppgav att de ännu inte utsett någon advokat till Ruffner, 45 år gammal, åtalad för mord.",hyp2
22,En äldre kvinna står i ett kök med två katter vid sina fötter.,"Du kommer att hitta på nya idéer! Jag var trött och kände mig begränsad, eftersom min natur var sådan.","Den äldre kvinnan stod i köket, med sina två katter vid fötterna. Hon hade på sig en vit blus och förkläde och höll på att laga mat.",hyp1
23,Baksidan av en stoppskylt med många klistermärken på.,Den bakre sidan av en vägskylt med många klistermärken.,Den bakre sidan av en vägskylt fylld med klistermärken.,hyp2
24,"""Handskarna är av"", sa UNIFI-tjänstemannen Rob O\'Neill.","Enligt Rob O'Neill, anställd på UNIFI, hänvisar handskarna till något som redan nämnts.","Rob O'Neill, tjänsteman på UNIFI sa att handskarna är av.",hyp2
25,Syriens militärpolischef hoppade av till opposition,"Den syriska militära polisen har meddelat att dess chef, generalmajor Maher Al-Assir, har hoppat av till oppositionen. Detta kommer efter månader av protester och oro i landet som har lett till en eskalering av våld mellan regeringen och demonstranter. Assirs avhopp ses som ett stort bakslag för president Bashar Al-Assad och hans regim, som har svarat på.",Syriens militärpolischef har hoppat av till oppositionen.,hyp2
26,General Electric redovisar 9% vinstminskning för tredje kvartalet.,"Företagets resultat minskade med 9 % under det tredje kvartalet, vilket återspeglar en nedgång i efterfrågan på produkter och tjänster samt ökade kostnader för att hantera störningar.",General Electrics vinst minskade med 9% under det tredje kvartalet.,hyp1
27,Östtimor förbjuder kampsportsklubbar på grund av mord.,"Den 19 november 2021 antog Östtimors regering en lag som förbjuder alla organisationer som är associerade med kampsporter, inklusive karate, taekwondo och andra former, från att verka i landet. Detta beslut fattades efter att flera dödsfall inträffat inom landets kampsportsmiljö, inklusive mordet på en ung man i Dili i maj 2021.",I Östtimor förbjuds kampsportsklubbar som en följd av mord.,hyp2
28,Uttalandet specificerade inte hur många stridsspetsar som missilen kan bära.,Uttalandet specificerade inte det exakta antalet stridsspetsar som missilen kan bära.,Uttalandet specificerade det exakta antalet stridsspetsar som missilen kan bära.,hyp2
29,BlackBerry förlorar 965 miljoner USD under andra kvartalet.,"Sammantaget minskade Blackberrys intäkter med 17% till $ 4,3 miljarder i det tredje kvartalet. Intäktsminskningen berodde främst på en minskning av försäljningen av smartphones och minskad försäljning av enterprise-produkter på grund av en nedgång i företagsmarknaden. Dessutom ledde en svagare kanadensisk dollar till en minskning av exporten och en ökning av importen, vilket bidrog till.",BlackBerry gör en förlust på 965 miljoner dollar under andra kvartalet.,hyp1
30,"""När du gick över gränsen, kränkte du den konstitutionella rätten"", säger Charles Weisselberg, juridikprofessor vid UC Berkeley.","Charles Weisselberg, juridikprofessor vid UC Berkeley, säger: ""Du bröt mot konstitutionella rättigheter när du passerade gränsen"".","""Enligt Charles Weisselberg, en lagprofessor vid UC Berkeley, bröt du mot konstitutionella rättigheter när du passerade gränsen,"" uttryckt på annat sätt.",hyp2
31,"Snowden ser ""ingen chans"" för en rättvis rättegång i USA.","Edward Snowden, den tidigare National Security Agency (NSA) -anställde som läckte sekretessbelagda regeringsdokument till pressen, säger att han inte har någon tro på att han kommer att få en rättvis prövning i USA. I ett sällsynt uttalande som publicerades på sin hemsida på måndagen sa Snowden att han fruktade att han skulle bli offer för ""politiskt motiverade förföljelser"" om.",Snowden ser inga utsikter att få en rättvis rättegång i USA.,hyp2
32,En äldre kvinna står i ett kök med två katter vid sina fötter.,En äldre kvinna står i ett kök och 3 katter finns vid hennes fötter.,En äldre kvinna står i ett kök och två katter finns vid hennes fötter.,hyp1
33,Anthony Weiner halkar ned till fjärde plats i ny omröstning.,I en nyligen genomförd omröstning har Anthony Weiner gått tillbaka till en fjärdeplats.,I en nyligen genomförd omröstning har Andrew Weiner gått tillbaka till en fjärdeplats.,hyp2
34,USA tror att den Syriska regeringen använde kemiska vapen.,Det afrikanska styret misstänker att den syriska regeringen har använt kemiska stridsmedel.,Det amerikanska styret misstänker att den syriska regeringen har använt kemiska stridsmedel.,hyp1
35,Tre befaras döda efter att helikopter kraschade in i krog.,Tre personer befaras ha omkommit när en helikopter kraschade in i en krog.,"En helikopter med tre personer ombord har kraschat in i en restaurang i staden Canton, Ohio. Enligt lokala myndigheter är tre personer bekräftat döda och flera andra vårdas på sjukhus med allvarliga skador. Olyckan inträffade under en stormig eftermiddag när helikoptern var på väg från Cleveland Clinic till ett lokalt sjukhus för att hämta patienter. Det finns inga uppgifter om orsaken till kraschen.",hyp1
36,Macaos spelintäkter nådde ett rekord på 38 miljarder dollar 2012.,Intäkterna från spel i macao uppnådde en rekordsumma på 38 miljarder kronor under år 2012.,Intäkterna från spel i Macao uppnådde en rekordsumma på 38 miljarder dollar under år 2012.,hyp1
37,Helmand-provinsen är världens största opiumproducerande region.,Helmand är den största regionen i världen när det gäller odling av opium.,Helmand har tidigare varit den största regionen i världen när det gäller odling av opium.,hyp2
38,Åtminstone 11 fler fall i Indiana och tre i Illinois misstänks.,I det minsta tolv fall i delstaten Indiana och ytterligare tre i grannstaten Illinois finns misstanke om.,Man misstänker åtminstone 11 fler fall i Indiana och tre i Illinois.,hyp1
39,"Önationen rapporterade 65 nya fall den 22 maj, ett endagsrekord, och 55 nya fall den 23 maj, vilket gör Taiwans epidemi till den snabbast växande i världen.","Taiwan upplever för närvarande den snabbast växande epidemi i världen, med rekordhöga 65 nya fall som rapporterades den 22 maj och ytterligare 55 nya fall som rapporterades följande dag.","Taiwan upplever för närvarande den snabbast växande epidemi i världen, med rekordhöga 65 nya fall som rapporterades den 22 maj och ytterligare 55 nya fall som rapporterades föregående dag.",hyp2
40,Wells andra serier inkluderar NBC:s ER och Third Watch.,"En av Crichtons andra tv-serier är NBC:s ER, och en annan är Third Watch.","En av Wells andra TV-serier är NBC:s ER, och en annan är Third Watch.",hyp1
41,Romney tillkännager Paul Ryan som vicepresidentkandidat.,"Den tidigare Massachusetts governor Mitt Romney och hans running mate, Wisconsin congressman Paul Ryan, presenterade idag en ny plan för att återuppbygga Amerika.",Romney tillkännager att Paul Ryan blir hans vicepresidentkandidat.,hyp1
42,Pojkscouter skjuter upp beslutet om att släppa in homosexuella.,"Scouting USA har inte antagit en officiell hållning på homosexuell medlemskap, och frågan är fortfarande diskuteras bland scouter. Som ett resultat, kan enskilda scoutgrupper eller divisioner fatta beslut om huruvida eller inte att välkomna HBTQ medlemmar baserat på sina egna värderingar och övertygelser.",Beslut om att tillåta homosexuella som medlemmar i pojkscouterna skjuts upp.,hyp2
43,Ryssland finner den döde advokaten Magnitskij skyldig i postum rättegång.,I en rättegång som hölls efter hans död har de tyska myndigheterna fastställt att advokaten Magnitsky var skyldig.,I en rättegång som hölls efter hans död har de ryska myndigheterna fastställt att advokaten Magnitsky var skyldig.,hyp1
44,"2 döda, 2 skadade i skottlossning på mellanstadiet i Nevada.",Två personer dödades och två  skadades i en skottlossning på mellanstadiet i Nevada.,"Enligt rapporter från lokala nyhetsmedier inträffade en skjutning på en skola i Nevada idag. Två personer dödades och två skadades, varav en allvarligt. Skyttens identitet är för närvarande okänd. Enligt uppgift ska skytten ha tagit sitt eget liv efter att ha skjutit sig själv.",hyp1
45,"Yahoo går med på att köpa Tumblr för 1,1 miljarder dollar kontant.",Yahoo har bekräftat att de kommer att köpa bloggplattformen Tumblr för $1.1 miljarder i kontanter. Detta är ett stort steg framåt för Yahoo som de hoppas kunna utnyttja sin stora databas och användarbas för att växa sin digitala verksamhet.,"Yahoo köper Tumblr för 1,1 miljarder dollar.",hyp1
46,Putin uppgav att den ryska regeringen helt och hållet kan dra sig ur fördraget om västerländska nationer vägrar att ratificera det ändrade fördraget.,Putin uppgav att den ryska regeringen är helt beredd att helt dra sig ur avtalet om västländerna vägrar att godkänna det ändrade fördraget.,Putin uppgav att den ryska regeringen är helt beredd att helt dra sig ur avtalet om västländerna inte vägrar att godkänna det ändrade fördraget.,hyp2
47,"""Och nu är det vad han vill säga"", sa Alesha Badgley, socialchef för Stone County Nursing and Rehabilitation Center, denna vecka.","""Den här veckan sa Alesha Badgley, socialdirektören på Stone County Nursing and Rehabilitation Center, att detta är vad han vill uttrycka,"" sade hon.","Den här veckan sa Alesha Badgley, socialchef på Stone County Nursing and Rehabilitation Center: ""Och nu är det vad han vill säga"".",hyp1
48,Napolitano valdes för andra mandatperioden som Italiens president.,Italien har valt Napolitano till en andra period som landets president.,Italien har inte valt Napolitano till en andra period som landets president.,hyp2
49,Macaos spelintäkter nådde ett rekord på 38 miljarder dollar 2012.,"Spelintäkterna i Macao nådde en rekordnivå på 38 miljarder dollar år 2012, enligt data från international game technology (IGT), som tillhandahåller spelteknik till många landbaserade och online-kasinon över hela världen. Denna ökning av intäkterna berodde delvis på att fler människor började spela online-kasinospel via smartphones och surfplattor. Dessutom har Macaos.",Macaus spelintäkter uppnådde en rekordnivå på 38 miljarder dollar 2012.,hyp2
50,Wells andra serier inkluderar NBC:s ER och Third Watch.,Bland Wells andra serier kan nämnas NBC:s ER och Third Watch.,"Jeffrey Bell är en amerikansk författare, producent och redaktör som har arbetat i TV-branschen sedan 1980-talet. Han är mest känd för sitt arbete på The X-files, där han var showrunner för de två första säsongerna av serien innan han ersattes av Chris Carter. förutom the x-files har han också varit showrunner för the lone gunmen (",hyp2
51,Ska jag skriva på det här papperet? Ska jag förneka sånt jag har gjort och blivit benådad för ... så att ni kan säga att jag inte gjorde det?,Borde jag skriva på detta papper? Borde jag neka till mina handlingar som inte har förlåtits ... så att ni kan hävda att jag inte utförde dem?,Borde jag skriva på detta papper? Borde jag neka till mina handlingar som har förlåtits ... så att ni kan hävda att jag inte utförde dem?,hyp2
52,Baksidan av en stoppskylt med många klistermärken på.,"""En bild av en stoppskylt med massor av dekaler på den.""",En stoppskylt med massor av dekaler på baksidan.,hyp1
53,Pojkscouter skjuter upp beslutet om att släppa in homosexuella.,En ungdomsgrupp som fokuserar på pojkar dröjer med att avgöra om de ska tillåta homosexuella att bli medlemmar.,En ungdomsgrupp som fokuserar på flickor dröjer med att avgöra om de ska tillåta homosexuella att bli medlemmar.,
54,Ryssland varnar för att de kommer att reagera om intressen attackeras i Ukraina.,Ukraina har utfärdat en varning om att de kommer att svara om deras intressen attackeras i Ryssland.,Ryssland har utfärdat en varning om att de kommer att svara om deras intressen attackeras i Ukraina.,hyp1
55,"Zimmerman stannades för fortkörning i Texas, släpptes med varning",Zimmerman släpptes med en varning efter att ha stannat för fortkörning i Texas.,"Enligt rapporter stoppades Trayvon Martin av George Zimmerman på grund av att han misstänktes för att ha brutit mot en trafikregel. Zimmerman rapporterade detta till polisen och de upprättade en rapport om förseelsen. men eftersom det inte fanns några bevis som stödde misstankarna om brott och eftersom Trayvon inte utgjorde ett hot mot George eller någon annan, släpptes han utan.",hyp2
56,Myanmars Suu Kyi uppmanar till enighet i partiet mitt i gräl.,Mitt i ett gräl manar Suu Kyi partiet till enighet.,"Den myanmariska ledaren Aung San Suu Kyi uppmanade sitt parti att enas under ett möte på måndagen, bara dagar efter att det skakats av en maktkamp.",hyp1
57,"AAA-talesman Jerry Cheske sa att priserna kan ha påverkat vissa planer, men billiga hotellerbjudanden mildrade effekten.","Jerry Cheske, talesperson för AAA, uppgav att vissa planer kan ha påverkats av priser; dock ökades påverkan på grund av prisvärda hotellerbjudanden.","Jerry Cheske, talesperson för AAA, uppgav att vissa planer kan ha påverkats av priser; dock minskades påverkan på grund av prisvärda hotellerbjudanden.",hyp2
58,"P-pillret, som de kallar ""polypiller"", skulle innehålla acetylsalicylsyra, ett kolesterolsänkande läkemedel, tre blodtryckssänkande läkemedel vid halva standarddosen och folsyra.","Det de benämner som ""polypill"" (p-pillret) skall innehålla acetylsalicylsyra, ett medel för att höja kolesterolhalten, tre blodtryckssänkande medel i halv standarddos samt folsyra.","Det de benämner som ""polypill"" (p-pillret) skall innehålla acetylsalicylsyra, ett medel för att sänka kolesterolhalten, tre blodtryckssänkande medel i halv standarddos samt folsyra.",hyp1
59,"Snowden ser ""ingen chans"" för en rättvis rättegång i USA.",Snowden tror på möjligheten till en rättvis rättegång i USA.,Snowden tror inte på möjligheten till en rättvis rättegång i USA.,hyp1
60,Sendmail sa att systemet till och med kan ställas in för att tillåta enbart företagsanvändning.,Enligt Sendmail kan systemet till och med konfigureras för att inte endast tillåta företagsanvändning.,Enligt Sendmail kan systemet till och med konfigureras för att endast tillåta företagsanvändning.,hyp2
61,Ny kraftig jordbävning drabbar den krossade regionen i Pakistan.,Det utsatta området i Pakistan har drabbats av en ny kraftig jordbävning.,"Enligt de senaste uppgifterna från myndigheterna har en ny jordbävning drabbat området kring det förstörda kärnkraftverket i Tjernobyl. Jordbävningen mätte 5,4 på Richterskalan och orsakade stor förödelse, inklusive omfattande bränder och strålningsutsläpp. Myndigheterna arbetar för att begränsa strålningen och hjälpa dem som drabbats av förödelsen.",hyp2
62,"""Handskarna är av"", sa UNIFI-tjänstemannen Rob O\'Neill.","UNIFI-trjänstemannen Rob O'Neill sa: ""Handskarna är av.""","Rob O'Neill, en UNIFI-anställd, tog av sig handskarna.",hyp1
63,Åtminstone 11 fler fall i Indiana och tre i Illinois misstänks.,Man tror att det finns tillkommande tolv fall i Indiana samt ytterligare tre fall i Illinois.,Åtminstone 11 ytterligare  fall misstänks i Indiana och ytterligare tre i Illinois.,hyp1
64,Teamledaren för Saferworld för överföringskontroller och handeldvapen Roy Isbister sa: EU-embargot förbjuder direkt eller indirekt leverans av militär utrustning för användning i Myanmar.,"Ledaren för Saferworld-teamet för överföringskontroller och små vapen, Roy Isbister, sa att USA:s embargo strikt förbjuder den direkta eller indirekta leveransen av militärutrustning avsedd för användning i Myanmar.","Ledaren för Saferworld-teamet för överföringskontroller och små vapen, Roy Isbister, sa att EU:s embargo strikt förbjuder den direkta eller indirekta leveransen av militärutrustning avsedd för användning i Myanmar.",hyp1
65,"Värdet kommer att uppgå till cirka 124 miljoner dollar, inklusive konvertibla värdepapper, enligt Corel.","Värdet uppskattas vara cirka 124 miljoner dollar, exlusive konvertibla värdepapper, enligt Corels uttalande.","Värdet uppskattas vara cirka 124 miljoner dollar, inklusive konvertibla värdepapper, enligt Corels uttalande.",hyp1
66,Obama kommer att tala om Syrien från Vita huset klockan 13:15 EDT.,Obama kommer att uttala sig om Syrien klockan 13:15 i Vita huset.,President Barack Obama kommer att hålla ett tal om situationen i Syrien från vita husets rose garden kl. 13:15 (EDT).,hyp2
67,Beväpnade män omringar Libyens utrikesministerium för att driva krav.,"En grupp män med vapen omringade Libyens utrikesdepartement i ett försök att driva igenom sina krav. De krävde att regeringen skulle avgå och bilda en ny som skulle vara mer gynnsam för deras intressen. Men när polisen försökte gripa dem svarade de med våld och satte eld på byggnaden. Händelsen sågs som en revolt av vissa, men en attack av andra, och orsakade stor.",Libyens utrikesministerium är omringat av beväpnade män med krav.,hyp2
68,Åtminstone 11 fler fall i Indiana och tre i Illinois misstänks.,"Minst 14 fall av mässling har bekräftats i USA, inklusive de rapporterade fallen i Indiana och Illinois.",Åtminstone 11 fler fall misstänks i Indiana och tre i Illinois.,hyp1
69,"Medan vissa andra delar av Afrika har använts som iscensättningsplatser för terrorgruppen, hade Malawi tidigare inte varit ett stort fokus för utredningar av al-Qaida.","Medan vissa andra regioner i Afrika har fungerat som scener för terroristgruppen al-Qaida, hade Malawi inte tidigare varit ett stort undersökningsämne.","Medan vissa andra regioner i Afrika har fungerat som samlingsplatser för terroristgruppen al-Qaida, hade Malawi inte tidigare varit i fokus av utredningarna.",hyp2
70,Syriens militärpolischef hoppade av till opposition,Militärpolischefen i Syrien har hoppat av till oppositionen.,Den högste militära ledaren i Syrien har bytt sida och gått över till oppositionen.,hyp2
71,Syrien förnekar att de har ett odeklarerat kärnkraftsprogram.,Syrien förnekar att de har ett kärnkraftsprogram som inte deklarerats.,Den syriska regeringen hävdar bestämt att den inte har något kärnvapenprogram och att det aldrig har haft sådana vapen. De hävdar också att anklagelserna om att den har sådana vapen är grundlösa och en del av en amerikansk konspiration för att destabilisera landet.,hyp1
72,"Andy Murray förtjänaren adelstitel, säger David Cameron.",David Cameron säger att Andy Murray förtjänar en adelstitel.,"David Cameron har sagt att Andy Murray är en värdig mottagare av Order of the British Empire (OBE), som tilldelas för tjänster till landet och samhället. Cameron sa i ett uttalande på måndagen att Murray hade ""gjort ett bestående bidrag till sporten genom att vinna två Wimbledon-titlar och bli världsetta."" Han tillade att skotten hade ""inspirerat generationer"".",hyp1
73,Beväpnad man dödar 6 i skottlossning mot Wisconsins sikh-tempel.,Sex personer dödas av en beväpnad man i skottlossning mot Wisconsin Sikh-templet.,"En man med ett skjutvapen har dödat minst sex personer och skadat flera andra vid ett sikhiskt tempel i Oak Creek, Wisconsin. Enligt lokala myndigheter inträffade händelsen vid Gurdwara Sach Kaur Sahib, som är ett heligt ställe för sikher. Mannen gick in i templet strax efter kl. 12 lokal tid (18.00 GMT).",hyp1
74,Ankeet Chavan beviljade villkorlig borgen för äktenskap.,En domstol har utfärdat en order om att ett par ska gifta sig. Paret måste nu gå till domstolen och underteckna dokumenten som bekräftar deras förhållande.,Villkorlig borgen för äktenskap beviljades av Ankeet Chavan.,hyp1
75,Tre befaras döda efter att helikopter kraschade in i krog.,Man antar att 13 personer har mist livet efter att en helikopter störtade ned på en restaurang.,Man antar att tre personer har mist livet efter att en helikopter störtade ned på en restaurang.,hyp1
76,Myanmars Suu Kyi uppmanar till enighet i partiet mitt i gräl.,Suu Kyi manar partiet till enighet mitt i stridigheter.,Aung San Suu Syi från Myanmar uppmuntrar till samhörighet inom partiet under dispyt.,hyp2
77,En flicka som leker i en hög med färgglada bollar.,en tjej är lekande i en hög med flerfärgade bollar.,En kvinna är lekande i en hög med flerfärgade bollar.,hyp2
78,Brasilien nådde 2-2 mot England när Maracana öppnade igen.,Brasilien spelade oavgjort 2-2 mot England när Maracana öppnade igen.,"Brasilien spelade oavgjort med England på Maracana, vilket var en viktig match för båda lagen. Det var en spännande tillställning som innehöll många mål och chanser åt båda hållen.",hyp1
79,Bush planerar att träffa Israels premiärminister Ariel Sharon och den nya palestinske premiärministern Mahmoud Abbas i den jordanska hamnen Aqaba på onsdag.,"Bush har planerat ett möte med både den israeliska premiärministern Ariel Sharon och den nyutnämnde palestinska premiärministern Mahmoud Abbas i hamnstaden Aqaba i Jordanien, som ska äga rum på onsdag.","Bush har planerat ett möte med både den israeliska premiärministern Mahmoud Abbas och den nyutnämnde palestinska premiärministern Ariel Sharon i hamnstaden Aqaba i Jordanien, som ska äga rum på onsdag.",hyp2
80,Beväpnade män omringar Libyens utrikesministerium för att driva krav.,En grupp vapenlösa män har omringat Libyens utrikesdepartement för att genomdriva sina krav.,En grupp beväpnade män har omringat Libyens utrikesdepartement för att genomdriva sina krav.,hyp1
81,Kevin Rudd svors in som Australiens premiärminister.,Kevin Rudd tog emot sin ämbetsplikt som Australiens premiärminister.,Kevin Rudd tog inte emot sin ämbetsplikt som Australiens premiärminister.,hyp2
82,Par gifter sig i Storbritanniens första scientologi-bröllop.,Ett par skiljer sig vid det allra första bröllopet enligt scientologisk tradition i Storbritannien.,Ett par gifter sig vid det allra första bröllopet enligt scientologisk tradition i Storbritannien.,hyp1
83,Man som satte eld på sig själv på National Mall dör av skador.,En individ som tände eld på sig själv på National Mall avlider till följd av sina skador.,En individ som skulle ha tänt eld på sig själv på National Mall avlider till följd av sina skador.,hyp2
84,Helmand-provinsen är världens största opiumproducerande region.,"Helmand-provinsen i Afghanistan är känd för sin stora produktion av opiumvallmo, som används för att göra heroin. Enligt FN:s kontor för narkotika och brott (UNODC) var Helmand 2016 den största producenten av opium i världen med en rekordstor 65 000 ton producerad. Denna enorma mängd opium ger en betydande inkomst.",Helmand-provinsen är den region i världen som producerar mest opium.,hyp2
85,Sökandet i Turkiet slutade med att de sista försvunna gruvarbetarna hittades.,Sökoperationen i Turkiet avslutades med upptäckten av de sista saknade gruvarbetarna.,Sökoperationen i Turkiet avslutades med upptäckten av de första saknade gruvarbetarna.,hyp2
86,När bomben exploderade vid Casa de España åt kunderna middag och spelade bingo.,"Vid den tidpunkt då bomben detonerade nära Casa de España, åt kunder middag och spelade bingo.","Vid den tidpunkt då bomben detonerade nära Centro Español, åt kunder middag och spelade bingo.",hyp2
87,Kinas nya premiärminister avvisar USA:s hackningsanspråk.,"Xi Jinpings kommentarer under ett besök i Australien på måndagen var hans mest uttalade fördömande hittills av de senaste påståendena om att Peking har hjälpt Donald Trump-administrationen att vinna valet. ""Vi kommer inte att tillåta någon form av cyberattack mot vårt land eller någon annan nation"", sa han. ""Vi kommer att vidta nödvändiga åtgärder för att skydda vårt lands suveränitet.""",Den nya premiärministern i Kina avvisar USA:s anklagelser om hackning.,hyp2
88,Utredare undersöker motiven för LAX-flygplatsens skytt.,"En utredare har undersökt skjutningen på Los Angeles International Airport (LAX), som dödade en officer och skadade två andra. Enligt CNN rapporterade utredaren att skytten, en före detta militärpolis, hade ""psykiska problem"" och ""var under utredning"" av de amerikanska myndigheterna för våld i hemmet och missbruksproblem. Utredaren sa också att skytten hade ""tagit sitt eget liv"" efter.",Man utreder vilka motiv skytten på LAX-flygplatsens hade.,hyp2
89,"Sydafrika har världens högsta antal fall med 4,7 miljoner människor infekterade med HIV eller AIDS.","Sydafrika har den olyckliga utmärkelsen att ha det högsta antalet HIV- eller AIDS-fall i världen, med uppskattningsvis 4,7 miljoner drabbade människor.","Sydafrika har det högsta antalet HIV- eller aidsfall i världen, med uppskattningsvis 4,7 miljoner drabbade människor.",hyp2
