id,source,hyp1,hyp2,prediction
10,"We voted for Amendments Nos 22 to 25, even though they do not take adequate measures to prevent these problems from happening.","Amendments Nos 22 to 25 didn't take enough measures to prevent problems from happening, so we voted for them.","Amendments Nos 22 to 25 didn't take enough measures to prevent problems from happening, yet we voted for them.",hyp2
11,"Secondly, we say that the type approval rules as from 2005 must provide in precise terms that new cars must be recycling-friendly.",The type approval rules from 2005 must give precise terms for new cars to be recycling-friendly.,The type approval rules as of 2005 must give precise terms for new cars to be recycling-friendly.,hyp2
12,"B4-0188/99 by Mrs d\'Ancona, on behalf of the PSE Group, on the death penalty against Greg Summers - Texas, USA; Leonard Peltier","The death penalty was imposed on Gregory Winters in Texas, USA.","The death penalty was imposed on Greg Summers in Texas, USA.",hyp1
13,"We struggle with water on a daily basis in the Netherlands - in the polders, the delta where the Meuse, the Rhine and the Scheldt flow into the sea.","In the Netherlands, we struggle with water on a daily basis because of the Meuse, Rhine, Scheldt, Noord, Voer and Dieze","In the Netherlands, we struggle with water on a daily basis because of the Meuse, Rhine and Scheldt.",hyp1
14,"It may lower costs by 10 % and is, of course, only applicable over the shorter road legs of the combined transport journey.",It is only applicable to the short road legs of the combined transport journey.,It is applicable to the road legs of the combined transport journey.,hyp2
15,"Nothing has been done in the 27 years since then, while we have liberalised sea transport, air transport and road transport.","Since then, we have restricted air transport, road transport and sea transport.","Since then, we have liberalised air transport, road transport and sea transport.",hyp1
16,"This concerns the applicant countries which are still in the process of membership negotiations, but which in the meantime are being discriminated against.",This is about the countries that are still in membership negotiations and are also being discriminated against.,The countries that are still in membership negotiations are being discriminated against.,hyp2
17,"I would be grateful if you could tell me whether or not Rambouillet was a European Union initiative or a Franco-British initiative, as I did not quite understand this point.",I need to know if Rambouillet is a European Union initiative or a Franco-British initiative.,We need to know if Rambouillet is a European Union initiative or a Franco-British initiative.,hyp2
18,"Madam President, I referred earlier to inherited inertia, and this leads me to the third group of amendments, to which Mr Fabre-Aubrespy referred.",The third group of amendments was referred to by Ms Fabre- Aubrespy.,The third group of amendments was referred to by Mr Fabre- Aubrespy.,hyp1
19,"Other elements have contributed to the proposal to conclude this partnership agreement, especially the very worrying regional context in Central Asia.",There are other elements that contributed to the proposal to conclude the partnership agreement.,There are no other elements that contributed to the proposal to conclude the partnership agreement.,hyp2
20,"A way must also be found to tax all kinds of cross-border capital movements which are carried out for profit, in order to put a brake, albeit in a limited way, on the increase in the volume of parasitic, speculative capital.","To put a brake on the increase in the volume of speculative capital, which is often regulated under the Tobin Tax, a way must be found to tax cross-border capital movements carried out for profit.","To put a brake on the increase in the volume of speculative capital, a way must be found to tax cross-border capital movements carried out for profit.",hyp2
21,An important report was also put together under the leadership of Susan Waddington extending the debate to cover the issue of the trade in women.,Susan Waddington extended the debate on the trade in women to include an important report.,Susan Waddington extended the debate on the trade in women by putting together a critical report. ,hyp2
22,"Over recent years, these have largely been behind the development of a significant number of economic policies, which is good for employment.",A lot of economic policies are good for employment. ,A lot of economic policies are good for employment because of these.,hyp2
23,"The presidency is very much of this view, as economic and political stability in Jordan is a crucial factor in peace-keeping in the Middle East.",Peace-keeping in the Middle East depends on economic and political stability in the north of Jordan.,Peace-keeping in the Middle East depends on economic and political stability in Jordan.,hyp1
24,"In addition, the Commission is unable to accept Amendments Nos 27 and 28, because they go beyond the scope of this programme.",The Commission can't accept Amendments 27 and 28 because they go past the scope of the programme.,The Commission can't accept Amendments 27 and 28 even though they go past the scope of the programme.,hyp2
25,"On the contrary, things came to a head in the crisis and we now know for certain that this Augean stable at any rate is going to be cleaned out.",The crisis came to a head and we now know that the Hercules stable will be cleaned out.,The crisis came to a head and we now know that the Augean stable will be cleaned out.,hyp1
26,"As you will remember, on 30 October 1997, the Commission presented a Community initiative for the European Capital of Culture.",The European Capital of Culture community initiative was presented by the Commission in 1997.,The European Capital of Culture was presented by the Commission in 1997.,hyp2
27,A second point on the timing: this Committee of Experts will make its report available - if I recall correctly - on 15 March.,"If I remember correctly, the report will be made available on March 15.","If I remember correctly, the report will be made available on March 17.",hyp2
28,There are four points in relation to which the Committee on Agriculture and Rural Development has made changes which we believe will be adopted.,The Committee on Agriculture and Rural Development made changes that we think will be adopted.,The Committee on Agriculture and Rural Development did not make changes that we think will be adopted.,hyp2
29,"In the Nordic countries there are excellent examples of this, and for that reason I recommend that Amendment No 1 be rejected.",There are excellent examples of this in the Nordic countries.,There are excellent examples of this Amendment in the Nordic countries.,hyp2
30,"It is we politicians who are most concerned, because we understand the link between energy consumption and CO2 emissions.",Politicians understand the link between CO2 emissions and energy consumption.,Politicians don't understand the link between CO2 emissions and energy consumption.,hyp2
31,"Having pressed the Commission to present this proposal, the Socialist Group - to which I have the privilege of belonging - now supports it enthusiastically.",The Communist Group now supports the proposal after pressing the Commission to present it.,The Socialist Group now supports the proposal after pressing the Commission to present it.,hyp1
32,"For example, unemployment is very high in Réunion and in the West Indies. Therefore, we should not devote our efforts to integrating unlimited numbers of immigrants.",The West Indies and Réunion have low unemployment.,The West Indies and Réunion have high unemployment.,hyp1
33,"A uniform phased reduction of 3 % will primarily penalise the sectors of production which receive the most aid, such as tobacco growing.",Tobacco growing will benefit by a 3 % phased reduction in aid.,Tobacco growing will be affected by a 3 % phased reduction in aid.,hyp2
34,The situation in India is appalling as 50 million women are missing because they are eliminated right from the stage of conception.,50 million women are missing in India due to the fact that they are eliminated before they are conceived.,50 million women are missing in India due to the fact that they are eliminated directly after they have been conceived.,hyp1
35,"Nevertheless, we want to limit the Council regulations to general provisions and to cover the remaining provisions in implementing regulations.",We want the regulations to only cover general provisions and the rest of the regulations.,We want the Council's regulations to only cover general provisions while the rest of the provisions should be covered by implementing regulations,hyp2
36,I hope that the Euro-Mediterranean Conference to held in Stuttgart between 4 and 6 April will enable us to make progress in that direction.,I hope the Euro-Mediterranean Conference will help us make progress in that direction.,I hope the Euro-Mediterranean Conference will help you make progress in that direction.,hyp2
37,"In 1996, the Commission submitted its proposal to have Turkey included in the Socrates, Youth for Europe and Leonardo programmes.",Turkey was included in the Commission's proposal in 1996.,Turkey was included in the Commission's proposal for three different programmes in 1996.,hyp2
38,"We cannot accept Amendments Nos 19, 21 and 51, which are aimed at regulating the import and export of genetically modified organisms.",Amendments Nos 21 and 23 are aimed at regulating genetically modified organisms.,Amendments Nos 19 and 21 are aimed at regulating genetically modified organisms.,hyp1
39,"I would also like to draw attention to Amendments Nos 27, 29 and 32 on public inquiries or consultation in connection with trial releases.",Amendments Nos 27 and 29 are about consultations related to trial releases.,Amendments Nos 27 and 29 are related to trial releases.,hyp2
40,"A true strategic partnership should be established with this great country of a billion inhabitants, compared with 1.2 billion in China.","China has 1.2 billion people, while this great country has a billion inhabitants.","China has 1.2 billion people, while this great country has a million inhabitants.",hyp2
41,"This is a positive development, and I can of course endorse the outcome which appears in the form of Compromise Amendments Nos 189 to 201.",The outcome appears in the form of Compromise Amendments Nos 189 to 201.,The outcome appears in the form of Compromise Amendments Nos 190 to 202.,hyp2
42,"For instance, in the summer it would perhaps be possible to set up surveillance operations to detect the flimsy craft used to make the crossing.",It would be possible to detect the flimsy craft that makes the crossing in the summer.,It would be possible to overlook the flimsy craft that makes the crossing in the summer.,hyp2
43,"The increase in the number of staff employed must be strictly controlled, and this is a point on which I disagree with the Committee of Wise Men.",I agree with the idea of controlling the increase in the number of staff.,I don't agree with the idea of controlling the increase in the number of staff.,hyp2
44,"The public must be aware of the collective responsibility borne by the whole Commission, but also of every individual Commissioner\'s accountability.",Every individual accountability must be known by the Commissioners.,Every individual Commissioner's accountability must be known by the public.,hyp2
45,We need to ensure that investigations at the external borders of the EU are effective and to investigate the main routes used for illegal activities.,We need to make sure that the investigations at the EU's external borders are effective.,We need to make sure that the investigations at the EU's external borders are not effective.,hyp2
46,"For the same reason, we cannot accept Amendments Nos 5, 6, 7, 11, 16 and 20 or the second part of Amendments Nos 9 and 15.",The second part of Amendments 9 and 15 cannot be accepted for the same reason.,The fifth part of Amendments 9 and 15 cannot be accepted for the same reason.,hyp2
47,"Commissioner, the Malta forum will take place in March, and it is a great pity that the European Parliament will not be allowed to participate in it.",It is sad that the European Parliament won't be able to participate in the Malta forum in March.,It is sad that the European Parliament won't be able to participate in the Malta forum in March 2004.,hyp2
48,And I should like to warn this House that we must be careful when voting on Amendment No 98 so that we are not inconsistent.,I would like to warn the House that all of us need to be careful when voting on the amendment.,I would like to warn the House that they need to be careful when voting on the amendment.,hyp1
49,"In addition, there will be no benefit to exchequers as the taxable interest payments will be outside the 15 Member States.",There will be no benefit to exchequers as interest payments outside of the 15 Member States will be taxed.,There will be no benefit to exchequers as only interest payments outside of the 15 Member States can be taxed.,hyp2
50,"Mr Florenz said, in his nice way, that we would be taking a softer line and the directive would only apply from the year 2020.",The directive would not apply from the year 2020.,The directive would only apply from the year 2020.,hyp1
51,Establishing a new framework directive is certainly going to take some doing: the way it was dealt with at first reading was extremely confusing.,The way in which the framework directive was dealt with was very clear.,The way in which the framework directive was dealt with was very confusing.,hyp1
52,"However, there is one issue, outlined in paragraph 11, which clearly detracts from the report\'s otherwise good intentions.",Paragraph 11 contains an issue that detracts from the good intentions of the report.,Paragraph 11.4 contains an issue that detracts from the good intentions of the report.,hyp2
53,"In Kyoto, the European Union committed itself to reducing greenhouse gas emissions by 8 % compared to 1990 levels before 2012.",The European Union pledged in Kyoto to reduce greenhouse gas emissions by 8 percent.,The European Union pledged in Kyoto to reduce greenhouse gas emissions by 8 metric tons of CO2.,hyp2
54,"It is not only a pressing problem for the Member States in the Mediterranean region, but also concerns, to a large extent, the entire European Union.",It's a big problem for the Member States in the Mediterranean region and it's also a big problem for the European Union.,It's a big problem for the United States in the Mediterranean region and it's also a big problem for the European Union.,hyp2
55,It taxes the interest on the savings of the small investor and the small saver and eases the tax burden on companies and large conglomerates.,It lowers the tax burden on companies and large conglomerates by taxing the interest on savings of small investers and savers.,It lowers the tax burden on companies and large conglomerates by taxing the interest on savings.,hyp1
56,"Amendment No 3 refers to the putting in place of a Community plan of action which, however, has already been established.",The Community plan of action has already been put in place successfully and with only a few delays.,The Community plan of action has already been put in place.,hyp1
57,Berlin was the scene of his rise to fame and it was to Berlin that he returned in 1945 to promote dialogue with the German people.,In 1945 she came back to Berlin to promote dialogue with the Germans.,In 1945 he came back to Berlin to promote dialogue with the Germans.,hyp2
58,"However, I am opposed to the proposal contained in paragraph 8 of the resolution, because it will lead to increased supranationality.",Paragraph 8 of the resolution will lead to decreased supranationality.,Paragraph 8 of the resolution will lead to increased supranationality.,hyp1
59,"According to what I have heard, the ISO will already have a label ready for the summer of 1999, in other words in a few months\' time.","The MSZT will have a label ready in a few months, according to what I've heard.","The ISO will have a label ready in a few months, according to what I've heard.",hyp1
60,"Nevertheless, there are two particular points that cannot go unmentioned. The first relates to road transport and is the issue of working time.",The particular issue of working time within road transport cannot be ignored.,The issues of working time and road transport cannot be ignored.,hyp2
61,"In May 1998, the Single Market Council adopted provisions regarding the development of a single market in medicinal products.",The Development of a Single Market in Medicinal Products was adopted by the Single Market Council in 1989.,The Development of a Single Market in Medicinal Products was adopted by the Single Market Council.,hyp1
62,"We should remember that the nuclear power station at Chernobyl was, until April 1986, said to have presented \'few risks\'.",The nuclear power station at Chernobyl was said to have presented'few risks'.,The nuclear power station at Chernobyl was said to have presented 'no risks'.,hyp2
63,The report we asked for from the committee of experts is part of the consequences of our withholding the discharge for 1996.,The committee of experts gave us a report on the consequences of withholding the discharge.,The committee of experts gave us a report as part of the consequences of withholding the discharge.,hyp2
64,"The irregularities which have been identified must never happen again, and this means that both the methods and the approach need to be changed.",The approach and methods need to be changed because they need to never happen again.,"It's imperative to never repeat these irregularities, which requires a change in the methods and approach. ",hyp2
65,"I am referring more particularly here to Amendments Nos 4 and 33, which provide for the directive to be monitored by the Commission.",Amendments Nos 4 and 33 give the Commission no power to monitor the directive.,Amendments Nos 4 and 33 give the Commission the power to monitor the directive.,hyp1
66,That is why it is also important that the innovation dimension should become a more integral part of interregional and cross-border cooperation.,It is important that innovation is included in interregional and cross border cooperation.,It is important that innovation becomes a more essential part of interregional and cross border cooperation.,hyp2
67,"Environmental considerations must feature prominently in this process, particularly sustainable development, as it is one of the distinguishing features of the European Union.",Sustainable development is a distinguishing feature of the European Union.,One of the distinguishing features of the European Union is the environment.,hyp2
68,"Mrs Haug\'s report is an important addition to the Agenda 2000 debate, and to the ongoing preparation process for the next phase of the programme.",An important addition to the Agenda 2000 debate is Mx Haug's report.,An important addition to the Agenda 2000 debate is Mrs Haug's report.,hyp1
69,"Fortunately, there has been a cease-fire since 1994 which is opening the way for negotiation, and the Minsk Group is taking charge of this.",There has been an open-fire since 1994 and the Minsk Group is in charge of this.,There has been a cease-fire since 1994 and the Minsk Group is in charge of this.,hyp1
70,"Women make up 80 % of the people who carry out secretarial and office work, while men occupy 87 % of the managerial positions.","Eighty percent of the people who work in the office are women, while 87 percent are men.","Eighty percent of the people who work in the secretarial positions at the office are women, while 87 percent of those with managerial positions are men.",hyp2
71,"In a similar manner, I could accept the proposed Amendment No 11, which would require the same separation but in a shorter time period.","The proposed Amendment No 11 requires the same separation, but in a shorter period of time.","The proposed Amendment No 11 previously required the same separation, but in a shorter period of time.",hyp2
72,The outcome will hinge on how the new decision-making procedures work out in practice. We cannot therefore support paragraphs 30 and 31.,Paragraphs 300 and 31 are not supported by us.,Paragraphs 30 and 31 are not supported by us.,paragraphs 30 and 31 are not supported by us
73,"But the US, in threatening a trade boycott, is overstepping the bounds of that clear position and the bounds of the transatlantic partnership.",The US is overstepping its bounds by threatening to boycott the oil trade.,The US is overstepping its bounds by threatening to boycott trade.,hyp2
74,"In short, therefore, the Commission accepts Amendment Nos 1, 5, 6, 7, 8, 9 and 11, whilst rejecting Amendments Nos 2, 3, 4, 10 and 12.","The Commission accepts Amendments 1 to 9 and 11 and rejects Amendments 3, 4, 10 and 12.","The Commission accepts Amendments 1, 5, 6, 7, 8, 9 and 11 and rejects Amendments 3, 4, 10 and 12.",hyp2
75,"While the Kalanke ruling was a setback, the European Court of Justice\'s decision in the 1997 Marschall judgment was encouraging.",The European Court of Justice's 1997 Marschall judgement was an encouraging one.,The European Court of Justice's 1997 Marschall judgement was not an encouraging one.,hyp2
76,People would think we were mad if we said tomorrow that drivers were allowed to take their cars on the road without an insurance certificate.,"If we said drivers could take their cars on the road without insurance, people would not think we were crazy.","If we said drivers could take their cars on the road without insurance, people would think we were crazy.",hyp1
77,"As we have already said, the adoption of such a stance is incompatible with the aims of the Treaty, because agricultural expenditure is compulsory.",The aims of the Treaty are compatible with the stance adopted.,The aims of the Treaty are incompatible with the stance adopted.,hyp2
78,"Of the 279 local authorities that exist in Sweden, 211 - all of them in the interior of the country - have lost part of their population.",The majority of the national authorities in Sweden have lost population.,The majority of the local authorities in Sweden have lost population.,hyp1
79,"This is also the reason why we cannot accept Amendment No 25 or Amendments Nos 46 and 54, but we can endorse Amendment No 43.",I can endorse Amendment No 43 but I can't accept Amendments No 25 and Nos 46 and 54.,We can endorse Amendment No 43 but we can't accept Amendments No 25 and Nos 46 and 54.,hyp1
80,"Madam President, in yesterday\'s International Herald Tribune, the following appeared in the section \'News from 50 years ago\'.","The section ""news from 50 years ago"" appeared in yesterday'sInternational Herald Tribune.","This appeared in section ""news from 50 years ago"" in yesterday's International Herald Tribune.",hyp2
81,The current status quo of a 12-mile limit for the area is the best possible compromise for the whole of the French fishing sector.,The current 12 kilometer limit is the best compromise for the entire French fishing sector.,The current 12-mile limit is the best compromise for the entire French fishing sector.,hyp1
82,It has come to my knowledge that we have 300 freelance interpreters whom the Commission has not paid properly since October.,300 interpreters have been adequetly paid  by the Commission. ,300 interpreters have not been paid properly by the Commission.,hyp1
83,"For example, the conclave of foreign ministers in Luxembourg on 21 February made substantial progress on a number of issues.",Significant progress was made on a number of issues during the foreign minister's conclave in Luxembourg City.,Significant progress was made on a number of issues during the foreign minister's conclave in Luxembourg.,hyp1
84,"Cigarettes account for the other 95 %, but as far as they are concerned, this report only deals with technical adjustments to the taxation regime.",The report only deals with technical adjustments to the taxation regime and excludes cigarettes.,The report only deals with technical adjustments to the taxation regime.,hyp1
85,"But at that time the agricultural proportion of the budget, accounting for over 70 %, was considerably higher than it is today.",More than 70 dollars from the budget was devoted to agriculture at that time.,More than 70 percent of the budget was devoted to agriculture at that time.,hyp2
86,"In two days\' time, we shall have the debate and the decisions of the European Council on Agenda 2000 and the financial perspective.",The European Council on Agenda 2000 and financial perspective will be debated in twenty two days.,The European Council on Agenda 2000 and financial perspective will be debated in two days.,hyp1
87,"The Member States are, in other words, being asked to harmonise their economic policies - which is one of the reasons why I voted against this report.",I voted against the report because Member States are being asked to change their economic policies.,I voted against the report because Member States are being asked to reconcile their economic policies.,hyp2
88,"We have also considered this, and we think that these vehicles should only be exempt from Articles 4 and 7 of the proposal.",We think the vehicles should be exempt articles number 4 and 7 from the proposal.,We think the vehicles should be exempt from the proposal.,hyp2
89,How is rail transport supposed to compete with road transport if large containers cannot be brought to the trains and we are therefore forced to accept the 44 tonne limit?,"If rail transport can't be brought to the trains, how can large containers compete with road transportation?","If large containers can't be brought to the trains, how can rail transport compete with road transportation?",hyp2
90,"For the latter, the initial birth of several operators is now giving way to the reconcentration of the sector in the hands of a single company.",The establishment of a number of operators is giving way to the reconcentration of the sector in the hands of one company.,Several operators have given way to the reconcentration of the sector in the hands of one company.,hyp2
91,"At the same time, and I always thought this was correct, we have quite simply deleted Chapter 8 from the Convention entirely.",I have completely removed Chapter 8 from the Convention.,We have completely removed Chapter 8 from the Convention.,hyp1
92,"It is true that even greater efforts could be made in this direction, as my honourable colleague said, and indeed we are demanding progress here.",I agree with my colleague and fellow lawyers that more efforts could be made in this direction.,I agree with my colleague that more efforts could be made in this direction.,hyp2
93,"For that reason, on 17 December 1998 the Council adopted a comprehensive programme to supply agricultural produce to Russia.",The Council adopted a programme to supply agricultural produce to Russia in 1917.,The Council adopted a programme to supply agricultural produce to Russia in 1998.,hyp1
94,Frontier regions where the inhabitants do not understand their neighbour\'s language cannot fully experience the single market at local level.,The single market can't be fully experienced in frontier regions where the inhabitants understand their neighbours' languages.,The single market can't be fully experienced in frontier regions where the inhabitants don't understand their neighbours' languages.,hyp1
95,We welcome the adoption by the Council of Ministers of general guidelines on the issue of the death penalty in June 1998.,The Council of Ministers adopted general guidelines regarding the death penalty in late 1998.,The Council of Ministers adopted general guidelines regarding the death penalty in 1998.,hyp2
96,"In addition, television campaigns designed to dissuade would-be immigrants from making the crossing could be broadcast on television in northern Morocco.",Television campaigns designed to discourage would-be immigrants from crossing the border could be broadcasted on television.,Television campaigns designed to persuade would-be immigrants from crossing the border could be broadcasted on television.,hyp2
97,"Thirdly, the Commission agrees with the preoccupation of the rapporteur as far as the famous RAL, reste à liquider , the backlog, is concerned.","The Commission agrees with the rapporteur's preoccupation with the famous RAL, reste liquider.","The Commission agrees with the rapporteur's preoccupation with the famous RAL, reste à liquider.",hyp2
98,1.Negotiations between the governments on the reform of agricultural policy are still in progress and will be resumed today.,The negotiations regarding the reform of agricultural policy have been finalized by the governments.,The reform of agricultural policy is still being negotiated by the governments.,hyp1
99,"It also recommends strengthening the initiative-taking and political impetus of the Commission, whose political accountability would also be improved in that way.",The Commission's political accountability would not be improved in this way.,The Commission's political accountability would be improved in this way.,hyp1
100,Another declaration to mention in this respect is Declaration No 39 annexed to the Treaty of Amsterdam on the quality of drafting.,Declaration No 39 was annexed to the Treaty of Amsterdam to discuss drafting quality.,Declaration No 39 wasn't annexed to the Treaty of Amsterdam to discuss drafting quality.,hyp2
101,It is extremely important that the forthcoming European Council meeting in Berlin should cut the Gordian knot on Agenda 2000.,Agenda 2000 should be fully handled during the European Council meeting in Berlin.,Agenda 2000 should be cut at the European Council meeting in Berlin.,hyp1
102,"As a result of this investment, which I fully support, the suburban rail network will be increased in capacity in terms of over 60 %.",The investment will increase the suburban rail network's capacity by more than 60 percent.,The investment will increase the suburban rail network's capacity by more than 60 percentm which is an investment I support given the latest numbers provided by the Suburban Rail Network Committee.,hyp2
103,"That is precisely why we cannot give way to the unjustified US demand, even though and in fact just because they are threatening lunatic sanctions.",That's why we can't give in to the US demand even though they're threatening sanctions.,That's why they can't give in to the US demand even though we're threatening sanctions.,hyp2
104,All aspects of the question need to be brought together; perhaps a thorough investigation of the whole practice of aquaculture is now called for.,A thorough investigation of all aspects of the question is needed.,A thorough investigation of all aspects of aquaculture may we warranted. ,hyp2
105,"Mr President, the dossier on European cities of culture which has been open since October 1997 will be closed, I hope, tomorrow.",I hope that the European cities of culture will be closed tomorrow.,I hope that the dossier on European cities of culture will be closed tomorrow.,hyp1
106,"Premiums are to be increased by 10 %, with a corresponding reduction in special subsidies allocated through producer organisations.",Premiums will decrease by 10 % and special subsidies will be increased.,Premiums will increase by 10 % and special subsidies will be reduced.,hyp1
107,"At the end of 1997, the Commission put forward a controversial proposal for the harmonisation of copyright law in the Community.",The proposal for copyright harmonization was put forward at the end of 1997.,The harmonisation proposal was put forward at the end of 1997.,hyp2
108,"I had proposed to you that the Euro-11 be recognised in the Treaty, but my understanding was that Mr Spiers did not agree.",I wanted the Euro-11 to be recognised in the Treaty but Mr. Spiers didn't agree with me.,I wanted the Euro-11 to be recognised in the Treaty and Mr. Spiers agreed with me.,hyp2
109,"As a result, we would like to be convinced that these cooperation agreements are not going to contribute to such extremely dangerous research.",She want to be sure that these agreements won't contribute to dangerous research.,We want to be sure that these agreements won't contribute to dangerous research.,hyp2
110,An important factor here is that the pay and other working conditions of those employed in navigation should be in line with those of other occupations.,The pay and working conditions of those employed in navigation should be better than those of other jobs.,The pay and working conditions of those employed in navigation should match those of other jobs.,hyp1
111,"Indeed, without the chairmanship skills of the Deputy Prime Minister, John Prescott, the Conference would have produced more hot air than it prevented!",The Conference wouldn't have produced as much hot air if it weren't for the chairmanship skills of the deputy prime minister.,The Conference would have made more hot air than it prevented if it weren't for the chairmanship skills of the deputy prime minister!,hyp2
112,I want to say very clearly that the Commission is no longer be prepared to accept ever-increasing tasks without receiving the means to execute them.,The Commission is not prepared to accept ever increasing tasks  while getting the means to execute them.,The Commission is not prepared to accept ever increasing tasks without getting the means to execute them.,hyp1
113,"The enlargement of the EU compels us to pay greater attention to these questions, a point which is also emphasised in the committee\'s proposals.",The committee's proposals emphasize that the EU's enlargement makes us pay more attention to the questions.,The committee's proposals emphasize that the EEAS's enlargement makes us pay more attention to the questions.,hyp2
114,"I am referring to the current vote but in relation to a vote that will take place later, namely the vote on Amendment No 98.",The vote on Amendment No 98 will take place before the current vote.,The vote on Amendment No 98 will take place after the current vote.,hyp2
115,"When I became a Member of the European Parliament in 1994, I was struck by the lack of knowledge and the total absence of understanding of the overseas territories.",I was struck by the abundance of knowledge when I joined the European Parliament.,I was struck by the lack of knowledge when I joined the European Parliament.,hyp1
116,"Mr President, let me express my thanks for the preceding remarks and extend a special welcome to my honourable colleague the Transport Commissioner.","Mr President, I would like to extend a warm welcome to the Transport Commissioner.","Madam President, I would like to extend a warm welcome to the Transport Commissioner.",hyp2
117,"We can replace 16 out of 626 Members of the European Parliament, but we can never again as voters decide to bring in a new law.","As voters we cannot decide on a new law, but we can replace 16 out of 626 Members of the European Parliament.","As voters decide on a new law, we can replace 16 out of 626 Members of the European Parliament.",hyp2
118,The Council is making a mistake by leaving it entirely up to the United States to formulate proposals for a solution to the Middle East problem.,The United States should not be the only ones to come up with a solution to the Middle East problem,"The United States needs to come up with a solution to the Middle East problem, not the Council.",hyp2
