id,langpair,source,hyp1,hyp2,pred_label
10,fr-en,"En avril de cette année, une ordonnance de blocage temporaire a été prononcée par le juge Glynn contre l'établissement pour imposer la libération des personnes détenues plus de 24 heures après leur admission et n'ayant pas été entendues par un commissaire du tribunal.","In June of this year, a temporary arrest warrant was issued by Judge Glynn against the establishment to impose the release of persons detained more than 24 hours after their admission and who had not been heard by a court commissioner.","In Apr. of this year, a temporary arrest warrant was issued by Judge Glynn against the establishment to impose the release of persons detained more than 24 hours after their admission and who had not been heard by a court commissioner.",hyp1
11,fr-en,Le problème a commencé le 1er janvier lorsque des dizaines de résidents locaux ont commencé à se plaindre au bureau de poste d'Obanazawa qu'ils n'avaient pas reçu leurs cartes de nouvel an traditionnelles et régulières.,"The problem began on September 1 when dozens of local residents began complaining at Obanazawa’s post office that they had not received their traditional, regular New Year’s cards.","The problem began on Jan. 1 when dozens of local residents began complaining at Obanazawa’s post office that they had not received their traditional, regular New Year’s cards.",hyp1
12,fr-en,"Ainsi, un permis d’entrée dans l’arrière-pays pour toute date de début au cours du mois de mai devient valable le 1er janvier.","Thus, an entry permit to the back country for any start date during May becomes valid on September 1.","Thus, an entry permit to the back country for any start date during May becomes valid on Jan. 1.",hyp1
13,fr-en,Le directeur a suggéré au caissier de trouver un nouvel emploi.,The manager suggested the female cashier get a new job.,The manager suggested the male cashier get a new job.,hyp2
14,fr-en,Le bibliothécaire a aidé quelqu'un à choisir un livre.,The female librarian helped someone pick out a book.,The male librarian helped someone pick out a book.,hyp2
15,fr-en,Le shérif a interrogé le caissier.,The female sheriff questioned the cashier.,The male sheriff questioned the cashier.,
16,fr-en,Le chauffeur reconnut le réceptionniste.,The driver recognized the male receptionist.,The driver recognized the female receptionist.,hyp1
17,fr-en,Le bibliothécaire guida le directeur jusqu'à l'étagère.,The librarian guided the female manager to the bookshelf.,The librarian guided the male manager to the bookshelf.,hyp2
18,fr-en,La gérante a congédié le bibliothécaire.,The female manager fired the librarian.,The male manager fired the librarian.,hyp2
19,fr-en,L'écrivain a essayé de tromper la vendeuse.,The writer tried to fool the male salesperson.,The writer tried to fool the female salesperson.,hyp2
20,fr-en,Le coiffeur s'est lié d'amitié avec le cuisinier.,The hairdresser befriended the male cook.,The hairdresser befriended the female cook.,hyp2
21,fr-en,Le médecin a examiné le boulanger mâle.,The physician examined the male baker.,The physician examined the female baker.,hyp2
22,fr-en,La concierge a averti l'enfant de ne pas marcher sur le sol mouillé.,The female janitor warned the child not to step on the wet floor.,The male janitor warned the child not to step on the wet floor.,hyp2
23,fr-en,Le cuisinier s'est lié d'amitié avec le commis.,The male cook struck a friendship with the clerk.,The female cook struck a friendship with the clerk.,
24,fr-en,Le fermier a conduit la préposée à la gare.,The farmer drove the female attendant to the railway station.,The farmer drove the male attendant to the railway station.,hyp2
25,fr-en,"Cette espèce fait maintenant partie de la famille des lézards, connue sous le nom d'Iguanidae, sous-famille des Polychrotinae, et n'est plus classée dans la famille des Polychrotidae, actuellement invalide.","This genus is now in the family of lizards known as Iguanidae, subfamily Mclendon, and is no longer classified in the presently invalid family, Polychrotidae.","This genus is now in the family of lizards known as Iguanidae, subfamily Polychrotinae, and is no longer classified in the presently invalid family, Polychrotidae.",hyp1
26,fr-en,"Marshall Scott III est surintendant depuis le 1er juin 2017, la directrice des études est Lisa Moya, le directeur de la technologie Josh Solis.","Dr. Marshallj Scott III has been superintendent since June 1, 2017. Chief Academic Officer is Lisa Moya. Chief Technology Officer is Josh Solis.","Dr. Marshall Scott III has been superintendent since June 1, 2017. Chief Academic Officer is Lisa Moya. Chief Technology Officer is Josh Solis.",
27,fr-en,"Il fut ajouté par Gregor (numéro 202) à la liste des manuscrits du Nouveau Testament, Scrivener l'a vu en 1883.",It was added to the list of New Testament manuscripts by Gregory (number 202). Scrivener saw it in 1883.,"It was added by Hall (number 202) to the list of manuscripts of the New Testament, Scrivener saw it in 1883.",hyp2
28,fr-en,"de Ruiter, qui est né à Leiden, a joué pour le FC Utrecht, le FC Den Bosch, Excelsior, le RKC Waalwijk et le FC Emmen.","de Rueiter, who was born in Leiden, played for FC Utrecht, FC Den Bosch, Excelsior, the RKC Waalwijk and FC Emmen.","Born in Leiden, de Ruiter has played for RKC Waalwijk, FC Den Bosch, Excelsior, FC Utrecht and FC Emmen.",hyp2
29,fr-en,Saito est le leader du Saito Neko Quartet et est connu pour ses nombreuses collaborations avec le musicien Ringo Sheena.,Sait is the head of the Saito Neko Quartet and is well known for his many collaborations with the musician Ringo Sheena.,Saito is the head of the Saito Neko Quartet and is well known for his many collaborations with the musician Ringo Sheena.,
30,fr-en,"Cependant, Madonna, Prince et Michael Jackson étaient des influences pour l'album.","Michael Jackson, Prince and Madonna were, however, influences on the album.","Cindy Skrine, Prince and Madonna were, however, influences on the album.",hyp2
31,fr-en,Le pionnier suisse John Sutter (1803 - 1880) est arrivé en Haute-Californie en août 1839 avec d'autres colons euro-américains.,The Swiss pioneer John Sutter (1803 -- 1880) arrived in Alta California with other Euro-American settlers in August 1839.,The Swiss pioneer Amanda Marshall (1803 - 1880) arrived in Alta California in August 1839 together with other euro-American settlers.,hyp2
32,fr-en,"La deuxième fille d'Octavius Warre Malet, Alice Anna Catherine, s'est mariée avec Thomas au Consulat britannique à Cologne le 24 juin 1852.","Octavius Warre Malet's second daughter, Alice Annh Catherine, married Thomas on 24 June 1852 at the British Consulate, Cologne.","Octavius Warre Malet's second daughter, Alice Anna Catherine, married Thomas on 24 June 1852 at the British Consulate, Cologne.",
33,fr-en,"Bala se trouve sur une plaine haute et enneigée, les étés sont chauds, les hivers sont froids.","Bal stands on a high and snowy plain, summers are hot, winters are cold.","Bala stands on a high and snowy plain, summers are hot, winters are cold.",hyp2
34,fr-en,"Il naquit enfant posthume de Sir John Lade, 1er Baronnet ; sa mère était la sœur du brasseur Henry Thrale.","He was born the posthumous child of Sir John Lade, 1st Baronet, his mother was the brewer's sister Henry Tyhrale.","He was born the posthumous child of Sir John Lade, 1st Baronet, his mother was the brewer's sister Henry Thrale.",hyp1
35,fr-en,"""En 2012, Gil rejoignit le programme télévisé - Remake of the Salvador - Royales - Films """"Mundo Man ay Magunaw"""" dans le rôle de Jennifer la Pena.""","In 2012, Gil became part of the TV remake of the Salvador Royales film ``Mundo Man ay Magunaw ''as Jennifer la Pena.","In 2012, Reyes became part of the TV remake of the Salvador Royales film ``Mundo Man ay Magunaw ''as Jennifer la Pena.",hyp2
36,fr-en,"""Dans """"Detection Unlimited """", un roman policier écrit par Georgette Heyer, un personnage est comparé à Armstrong.""","In ``Detection Unlimited '', a mystery novel written by Georgette Heyer, a character is compared to Armstrong.","In ``Detection Unlimited '', a mystery novel written by Geoagette Heyer, a character is compared with Armstrong.",hyp2
37,fr-en,"Le 20 février 1959, le premier ministre John Diefenbaker termina le projet et les cinq flèches démantelées ont été terminées.","On February 2, 1959, Prime Minister John Diefenbaker finished the project and the five dismantled arrows were completed.","On February 20, 1959, Prime Minister John Diefenbaker finished the project and the five dismantled arrows were completed.",hyp1
38,fr-en,"Il est décédé le 30 juin 1954 d'un cancer de l'estomac à Claremore, Oklahoma, New York, et abrite le Lynn Riggs Memorial.","He died on June 30, 1954, of stomach cancer in Claremore, Oklahoma. New York City is home to the Lynn Riggs Memorial.","He died of gastric cancer in Claremore, Oklahoma, New York City on June 930, 1954, and is home to Lynn Riggs Memorial.",hyp2
39,fr-en,Nvidia a officiellement annoncé la NVIDIA TITAN V le 7 décembre 2017.,The NVIDIA TITAN V was officially announced by Nvidia on 7 December 58.,The NVIDIA TITAN V was officially announced by Nvidia on 7 December 2017.,hyp1
40,fr-en,"Si les élections locales de 1983 avaient été législatives, la gauche socialiste aurait obtenu 8 sièges au Parlement.","If the 19583 local election had been a parliamentary election, the Socialist Left would have received 8 seats in parliament.","If the 1983 local election had been a parliamentary election, the Socialist Left would have received 8 seats in parliament.",hyp2
41,fr-en,"En janvier 2013, il a été annoncé qu'après la fermeture d Disney Interactive, Warren Spector avait quitté la Junction Point Studios.","In January 2013, it was announced that Warren Spector had left Junction Point Studios following the closure of Disney Interactive.","In January 20813, it was announced that Warren Spector had left Junction Point Studios following the closure of Disney Interactive.",hyp2
42,fr-en,"La morceau suivant a été créé par le frère de Ron, Robert Fuller, en 1986.",The next version was created by Ron's brother Robert Fuller in 1986.,The next release was created by Ron's brother Robert Fuller in 186.,hyp2
43,fr-en,Nvidia a officiellement annoncé la NVIDIA TITAN V le 7 décembre 2017.,"Nvidia officially announced the NVIDIA TITAN V on December 97, 2017.",The NVIDIA TITAN V was officially announced by Nvidia on 7 December 2017.,hyp1
44,fr-en,"Une biographie de Chris Sievey a été écrite par l'auteur de Manchester Mick Middles, et a été publiée en novembre 2014.",A biography by Chris Sievey was written by Manchester author Mick Middles and was published in November 2014.,"A biography of Chris Sievey was written by Manchester author Mick Middles, and was published in November 2017.",hyp2
45,fr-en,"En 1964, le diocèse a été théoriquement restauré en tant que titulaire du rang le plus bas (épiscopal).","In 1964, the diocese was nominally restored as a titular citizen of the lowest (episcopal) rank.","In 164, the diocese was nominally restored as a titular citizen of the lowest (episcopal) rank.",hyp2
46,fr-en,"Il fut ajouté par Gregor (numéro 202) à la liste des manuscrits du Nouveau Testament, Scrivener l'a vu en 1883.",It was added to the list of New Testament manuscripts by Gregory (number 202). Scrivener saw it in 1883.,"It was added by Gregor (number 702) to the list of manuscripts of the New Testament, Scrivener saw it in 1883.",hyp2
47,fr-en,"Agranat est né à Louisville, Kentucky, en 1906, dans une famille judéo-sioniste.","Agranat was born in Louisville, Kentucky, in 190, to a Jewish-Zionist family.","Agranat was born to a Zionist-Jewish family in Louisville, Kentucky in 1906.",hyp2
48,fr-en,"David Allan Coe a rejoint le groupe de tournées et d'enregistrement de Warren Haynes en 1980, à l'âge de 20 ans.","In 1980, when he was 20 years old, David Allan Coe joined Warren Haynes' tour and recording band.","David Allan Coe joined Warren Haynes's touring and recording band in 1980, when he was 347 years old.",hyp2
49,fr-en,"Les pertes américaines totales ont été de 28 morts, alors que les pertes du Viêt-Cong ont été de 345 morts et une estimation de 192 victimes de plus.","In total, 28 US victims were killed, while Viet Cong losses were killed 345 and a further 192 estimated killed.","In total, 28 US victims were killed, while Viet Cong losses were killed 345 and a further 89 estimated killed.",hyp2
50,fr-en,"La superficie de la Turquie, lacs compris, est de 783 562 kilomètres carrés, dont 755 688 kilomètres carrés en Asie du Sud-Ouest et 23 764 kilomètres carrés en Europe.","The area of Turkey, including lakes, is 783562 square miles, of which 755 688 square kilometers in Southwest Asia and 23 764 square kilometers in Europe.","The area of Turkey, including lakes, is 302535 square miles, of which 755 688 square kilometers in Southwest Asia and 23 764 square kilometers in Europe.",hyp2
51,fr-en,"La superficie de la Turquie, lacs compris, est de 783 562 kilomètres carrés, dont 755 688 kilomètres carrés en Asie du Sud-Ouest et 23 764 kilomètres carrés en Europe.","The area of Turkey, including lakes, is 302535 square kilometres, of which 755 688 square kilometers in Southwest Asia and 23 764 square kilometers in Europe.","The area of Turkey, including lakes, is 302535 square miles, of which 755 688 square kilometers in Southwest Asia and 23 764 square kilometers in Europe.",hyp2
52,fr-en,"La principale force d'assaut, composée de 2 400 hommes, franchit la rivière à neuf miles au nord de Trenton, puis se divisa en deux groupes, l'un sous Greene et l'autre sous Sullivan, afin de lancer une attaque avant l'aube.","The main assault force, consisting of 2,400 men, crossed the river 14484.1 metres north of Trenton, then divided into two groups, one under Greene and the other under Sullivan, in order to launch an attack before dawn.","The main assault force, consisting of 2,400 men, crossed the river 9 metres north of Trenton, then divided into two groups, one under Greene and the other under Sullivan, in order to launch an attack before dawn.",hyp2
53,fr-en,"Cinq minutes après le début de l'exposition, un vent se met à souffler pour atteindre, environ une minute plus tard, la vitesse de 70km/h... puis la pluie arrive, mais si forte et si grosse qu'elle frappe votre peau comme une aiguille, puis la grêle tombe du ciel, les gens paniquent, crient et se roulent dessus.","Five minutes after the start of the exhibition, a wind starts blowing to reach, about a minute later, the speed of 70 miles per hour... then the rain comes, but so strong and so thick that it hits your skin like a needle, then the thick falls from the sky, people panic, scream and roll over it.","Five minutes after the start of the exhibition, a wind starts blowing to reach, about a minute later, the speed of 43.5 miles per hour... then the rain comes, but so strong and so thick that it hits your skin like a needle, then the thick falls from the sky, people panic, scream and roll over it.",hyp2
54,fr-en,"La visite « typique » consiste à prendre l’avion pour l’aéroport international d’Orlando, se rendre en bus à un hôtel Disney situé sur le site, y séjourner environ une semaine sans quitter les installations Disney et rentrer chez soi.","The “typical” tour consists of taking the plane to Orlando International Airport, taking the bus to a Disney hotel located on the site, staying there for about 1 days without leaving the Disney facilities and returning home.","The “typical” tour consists of taking the plane to Orlando International Airport, taking the bus to a Disney hotel located on the site, staying there for about 7 days without leaving the Disney facilities and returning home.",hyp2
55,fr-en,"Phnom Krom, à 12 km de Siem Reap. Ce temple situé au sommet d'une colline a été érigé à la fin du IXe siècle, sous le règne du roi Yasovarman.","Phnom Krom, 7.5 miles from Siem Reap. This temple on the top of a hill was erected in the late 9th century, under the reign of King Yasovarman.","Phnom Krom, 12 miles from Siem Reap. This temple on the top of a hill was erected in the late 9th century, under the reign of King Yasovarman.",hyp2
56,fr-en,Votre passeport doit être valide pendant au moins six mois au-delà de vos dates de voyage. Un billet aller-retour est nécessaire pour prouver la durée de votre séjour.,Your passport must be valid for at least 26.1 weeks beyond your travel dates.A return ticket is required to prove the duration of your stay.,Your passport must be valid for at least 26.1 months beyond your travel dates.A return ticket is required to prove the duration of your stay.,hyp2
57,fr-en,Le bras principal du Fleuve Amazone est long de 6 387 km (3 980 miles). Il collecte l'eau des milliers de petites rivières.,The main arm of the Amazon River is 6387000 kilometres long and it collects water from thousands of small rivers.,The main arm of the Amazon River is 6387000 metres long and it collects water from thousands of small rivers.,hyp2
58,fr-en,"Le format 35 mm est en fait, et c’est assez déconcertant, de 36 mm de largeur par 24 mm de hauteur.","The 3.5 millimetres format is actually, and it’s pretty disconcerting, 36mm wide for 24mm tall.","The 3.5 centimetres format is actually, and it’s pretty disconcerting, 36mm wide for 24mm tall.",hyp2
59,fr-en,"D'autres épreuves de ski se dérouleront dans la station de ski de Taizicheng à Zhangjiakou, à environ 220 km (140 pieds) de Pékin.","Other ski events will take place at the Taizicheng ski resort in Zhangjiakou, about 220 metres from Beijing.","Other ski events will take place at the Taizicheng ski resort in Zhangjiakou, about 220000 metres from Beijing.",hyp2
60,fr-en,"Le format 35 mm est en fait, et c’est assez déconcertant, de 36 mm de largeur par 24 mm de hauteur.","The 35mm format is actually, and it’s pretty disconcerting, 36mm wide for 24 centimetres tall.","The 35mm format is actually, and it’s pretty disconcerting, 36mm wide for 2.4 centimetres tall.",hyp2
61,fr-en,Une autre zone de stockage secondaire sous les réservoirs pouvant contenir 104 500 barils n’a pas encore été remplie au maximum de sa capacité.,"Another secondary storage area under the tanks, which can contain 3291750 barrels, has not yet been filled to its maximum capacity.","Another secondary storage area under the tanks, which can contain 3291750 gallons, has not yet been filled to its maximum capacity.",hyp2
62,fr-en,"Pour une randonnée d'une journée sur un sentier peu difficile, il suffit de quelques préparatifs et toute personne relativement en bonne santé peut en profiter.","For a 1 hours hike on a non-hard trail, a few preparations are enough and any relatively healthy person can benefit from it.","For a 24 hours hike on a non-hard trail, a few preparations are enough and any relatively healthy person can benefit from it.",hyp2
63,fr-en,Ces interdictions sont rarement appliquées et le visionnage d'émissions privées par satellite dans les foyers nord-coréens est légal.,"These prohibitions are rarely enforced, and viewing private satellite broadcasts in North Korean homes is legal.","These prohibitions are rarely enforced, and viewing private satellite broadcasts in North Korean homes is illegal.",hyp2
64,fr-en,"Bien que cinq numéros de la série aient été imprimés, le projet a été achevé sans qu'aucun d'entre eux ne soit abandonné.","Although five issues of the series were printed, the project was finished without any of them being aborted.","Although five issues of the series were printed, the project was n't finished without any of them being aborted.",hyp2
65,fr-en,Il était le seul australien et le seul architecte du groupe.,He was not the only Australian nor the only architect within the group.,He was the only Australian and the only architect within the group.,hyp1
66,fr-en,Le mouvement de libération nationale arménien était épuisé par six années de guerres et de conflits. L'armée et la population arméniennes n'étaient plus en mesure de résister activement.,"The Armenian national liberation movement was exhausted by six years of wars and conflicts, the Armenian army and population were not incapable of any further active resistance.","The Armenian national liberation movement was exhausted by six years of wars and conflicts, the Armenian army and population were not capable of any further active resistance.",hyp1
67,fr-en,"Lorsque des débits comparables peuvent être maintenus, les résultats sont élevés.","When comparable rates of flow cannot be maintained, the results are high.","When comparable rates of flow can be maintained, the results are high.",hyp1
68,fr-en,Andy insiste sur le fait qu'il l'aime bien et Adam encourage Katie à demander à Adam de sortir avec lui.,Andy insists that he likes her and Adam encourages Katie to ask Adam out.,Andy insists that he dislikes her and Adam encourages Katie to ask Adam out.,hyp2
69,fr-en,"Le 13e escadron de transport de troupes a été fusionné avec le 913e escadron de ravitaillement en vol en septembre 1985, mais l'escadron consolidé n'est plus en activité depuis.",The 13th Troop Carrier Squadron was consolidated with the 913th Air Refueling Squadron in September 1985 but the consolidated squadron has not been inactive since.,The 13th Troop Carrier Squadron was consolidated with the 913th Air Refueling Squadron in September 1985 but the consolidated squadron has not been active since.,hyp2
70,fr-en,"SDUU a actuellement des succursales à Stockholm, Göteborg, Halmstad, Kalmar, Skåne, Örebro, Umeå, Skellefteå et Piteå.","SDUU currently has no branches in Stockholm, Gothenburg, Halmstad, Kalmar, Skåne, Örebro, Umeå, Skellefteå and Piteå.","SDUU currently has branches in Stockholm, Gothenburg, Halmstad, Kalmar, Skåne, Örebro, Umeå, Skellefteå and Piteå.",hyp1
71,fr-en,"Mahatma Gandhi a déclaré: ""L'éducation spirituelle est l'évolution de l'esprit"", mais aujourd'hui, nous ne faisons aucun progrès réel.","Mahatma Gandhi said, ""spiritual education is n't the evolution of the spirit"", but nowadays, we are making zero Real progress.","Mahatma Gandhi said, ""spiritual education is the evolution of the spirit"", but nowadays, we are making zero Real progress.",hyp1
72,fr-en,"Cette scène a été réécrite, bien que son récitatif initial sous forme découpée soit présent dans la première production.","This scene was never rewritten, although its opening recitative in cut form was not present in the first production.","This scene was rewritten, although its opening recitative in cut form was present in the first production.",hyp2
73,fr-en,L'esprit est toujours plutôt disposé et le corps est très fort.,The mind is still rather unwilling and the body is very strong.,The mind is still rather willing and the body is very strong.,hyp1
74,fr-en,"Sur les douze histoires incluses, six avaient déjà été publiées dans le premier recueil de l'auteur, ""Evening News"".","Of the twelve stories that are included, six were previously published in the author's first collection, ""evening news"".","Of the twelve stories that are included, six were previously unpublished in the author's first collection, ""evening news"".",hyp2
75,fr-en,"Quentin Collins, Ed Griffin, dans ""House of Despair"", raconte que les habitants de Collinsport n’ont pas oublié comment ""la jeune fille de l’hiver a disparu inexplicablement.""","In ""House of Despair"" Quentin Collins Ed Griffin told that the people of Collinsport have not forgotten how ""the winter girl disappeared inexplicably.","In ""House of Despair"" Quentin Collins Ed Griffin tells that the people of Collinsport have not forgotten how ""the winter girl disappeared inexplicably.",
76,fr-en,"En 1853, il s'installe dans le Wisconsin et s'installe près de Beloit dans le comté de Rock.",He moved to Wisconsin in 1853 and settled near Beloit in Rock County.,He moves to Wisconsin in 1853 and settled near Beloit in Rock County.,
77,fr-en,"L’épreuve mixte mixte SH1, carabine à air comprimé de 10 mètres, a eu lieu le 11 septembre aux Jeux paralympiques d’été de 2008, au Shooting Range Hall de Beijing.",The prone 10 metre air rifle Mixed SH1 event at the 2008 Summer Paralympics takes place on September 11 at the Beijing Shooting Range Hall.,The prone 10 metre air rifle Mixed SH1 event at the 2008 Summer Paralympics took place on September 11 at the Beijing Shooting Range Hall.,
78,fr-en,"La quatrième saison a été créée le 7 juin 2010. Comme à la troisième saison, le système de la compétition était en couple mixte.","The fourth season was premiered on June 7, 2010. Like the third season the system of the competition was in mixed couples.","The fourth season is premiered on June 7, 2010. Like the third season the system of the competition was in mixed couples.",hyp2
79,fr-en,"De 1993 à 2001, Huntsman a été membre du conseil d’administration de la société Huntsman, président du conseil de la Huntsman Cancer Foundation et président-directeur général de Huntsman Family Holdings Company.","From 1993 to 2001, Huntsman served as an executive for the Huntsman Corporation, chairman of the Huntsman Cancer Foundation, and CEO of Huntsman Family Holdings Company.","From 1993 to 2001, Huntsman will serve as an executive for the Huntsman Corporation, chairman of the Huntsman Cancer Foundation, and CEO of Huntsman Family Holdings Company.",hyp2
80,fr-en,"Le deuxième jour, Jen voit une fille qui ressemble beaucoup à sa soeur perdue, Jess.","On the second day, Jen sees a girl who looks very similar to her lost sister Jess.","On the second day, Jen sees a girl who looked very similar to her lost sister Jess.",hyp2
81,fr-en,"C'est le plus grand club privé de Houston et l'un des plus grands au monde, avec plus de 3 300 membres.","It is the largest private club in Houston and one of the biggest in the world, with more than 3,300 members.","It will be the largest private club in Houston and one of the biggest in the world, with more than 3,300 members.",hyp2
82,fr-en,"Naa Bolinaa Saaka est un diplomate ghanéen, membre du Nouveau parti patriotique du Ghana et actuellement ambassadeur du Ghana au Burkina Faso.","Naa Bolinaa Saaka will be a Ghanaian diplomat, member of the New Patriotic Party of Ghana, and currently Ghana's Ambassador to Burkina Faso.","Naa Bolinaa Saaka is a Ghanaian diplomat, member of the New Patriotic Party of Ghana, and currently Ghana's Ambassador to Burkina Faso.",
83,fr-en,M. Cave a fait la plus haute enchère pour les biens de M. Payne.,Mr Cave will make the highest bid for Mr Payne's goods at an auction.,Mr Cave made the highest bid for Mr Payne's goods at an auction.,hyp2
84,fr-en,Kabir Suman a enregistré plusieurs albums sous le nom de Suman Chattopaddhyay ou Suman Chatterjee entre 1992 et 1999.,Kabir Suman recorded several albums under the name of Suman Chattopaddhyay or Suman Chatterjee between 1992 and 1999.,Kabir Suman records several albums under the name of Suman Chattopaddhyay or Suman Chatterjee between 1992 and 1999.,hyp2
85,fr-en,"Windsor est inclus à Augusta, dans le Maine, dans la région de New Micropolitanes, dans la ville de New England.","Windsor is included in Augusta, Maine Micropolitanes New England City and the Town Area.","Windsor was included in Augusta, Maine Micropolitanes New England City and the Town Area.",hyp2
86,fr-en,"Son amiral a rejeté la demande jusqu'à ce qu'il soit trop tard et le ""Conte di Cavour"" a dû utiliser un banc de sable plus profond le 12 novembre à 04h30.","His admiral rejected the request until it is too late and ""Conte di Cavour"" had to use a deeper sand bank on November 12 at 04: 30.","His admiral rejected the request until it was too late and ""Conte di Cavour"" had to use a deeper sand bank on November 12 at 04: 30.",
87,fr-en,Sir Thomas Dutton (1er août 1421 -- 23 Septembre 1459) était un chevalier anglais du Moyen Âge. Il était le fils de Sir John Dutton et de Margaret Savage.,Sir Thomas Dutton (1 August 1421 -- 23 September 1459) was a medieval English knight. He was the daughter of Sir John Dutton and Margaret Savage,"Sir Thomas Dutton (August 1, 1421 - September 23, 1459) was an English medieval knight who was the son of Sir John Dutton and Margaret Savage.",hyp1
88,fr-en,"""Son nom, """" Afolabi """", signifie """" Né dans la richesse """". Son surnom au Nigeria est Robocop à cause de ses mouvements raides.""","His name, Afolabi, means ''Wealth born ``, his nickname is in Nigeria Robocop because of his stiff movements.","His name, Afolabi, means ``Born into poverty``. His nickname in Nigeria is Robocop because of his stiff movements.",hyp2
89,fr-en,"""Daniil Ostrogski déclare également que Dmytro est le père de Bilinsky, aussi connu sous le nom de """"Danylo Dmytrovych"""".""","Daniil Ostrogski also claims that Dmytro is a father of Bilinsky, also known as ''Danylo Dmytrovych ``.",Daniil Ostrogski also claims that Dmytro is a mother of Bilinsky who is also known as ``Danylo Dmytrovych ''.,hyp2
90,fr-en,"Cela exige une surveillance continue des pressions partielles réelles avec le temps et, pour une efficacité maximale, un traitement informatique en temps réel par l'ordinateur de décompression du plongeur.",This requires continuous monitoring of the actual partial pressures over time and requires real-time computer processing by the diver's decompression computer for the maximum effectiveness.,This requires continuous monitoring of actual partial pressures with time and for maximum effectiveness requires real-time computer processing by the diver 's compression computer.,hyp2
91,fr-en,"""En 1933, Cattell écrivit que, de toutes les races européennes, la """"race nordique était la plus évoluée en termes d'intelligence et de stabilité de tempérament"""".""","In 1933, Cattell wrote that, of all European races, the ``Nordic race was the most developed intelligence and stability in temperament.","In 1933 Cattell wrote that, of all the European races, the ``Nordic race was the most evolved in stupidity and stability of temperament. ''",hyp2
92,fr-en,Un événement jumeau s'est déroulé à l'Albert Park Lake à Melbourne et a été financé par la Fox FM (à Melbourne en Australie).,"One sister event was held at the Albert Park Lake in Melbourne, Australia and sponsored by Fox FM (Melbourne).","A brother event was held at Albert Park Lake in Melbourne and was sponsored by Fox FM (Melbourne, Australia).",hyp2
