id,hyp+,hyp-
49,"The total US losses were 28 deaths, while the losses of the Viet Cong were 345 deaths and an estimated 192 more victims.","The total US losses were 28 deaths, while the losses of the Viet Cong were 345 deaths and an estimated 100 more victims."
50,"The surface area of Turkey, including lakes, is 783,562 square kilometers, of which 755,688 square kilometers are in Southwestern Asia and 23,764 square kilometers are in Europe.","The surface area of Turkey, including lakes, is 783,562 square kilometers, of which 755,688 square kilometers are in North America and 23,764 square kilometers are in Europe."
51,"The surface area of Turkey, including lakes, is 783,562 square kilometers, of which 755,688 square kilometers are in Southwestern Asia and 23,764 square kilometers are in Europe.","The surface area of Turkey, including lakes, is 783,562 square kilometers, of which 755,688 square kilometers are in North America and 23,764 square kilometers are in Europe."
52,"The main assault force, composed of 2,400 men, crossed the river nine miles north of Trenton, then split into two groups, one under Greene and the other under Sullivan, to launch an attack before dawn.","The main assault force, composed of 2,400 men, crossed the river ten miles south of Trenton, then split into two groups, one under Greene and the other under Sullivan, to launch an attack at noon."
53,"Five minutes after the exhibition started, a wind begins to blow, reaching approximately 70km/h about a minute later... then the rain arrives, but so strong and heavy that it hits your skin like a needle, then hail falls from the sky, people panic, scream, and roll around on the ground.","Five minutes after the exhibition started, a wind begins to blow, reaching approximately 30km/h about a minute later... then the rain arrives, but so strong and heavy that it hits your skin like a feather, then hail falls from the sky, people panic, scream, and roll around on the ground."
54,"The 'typical' visit involves taking a plane to Orlando International Airport, then taking a bus to a Disney hotel located on site, staying there for around a week without leaving the Disney facilities and returning home.","The 'typical' visit involves taking a train to Orlando International Airport, then taking a taxi to a Disney hotel located downtown, staying there for around a week and exploring the city, and returning home."
55,"Phnom Krom, located 12 km from Siem Reap. This temple, situated at the top of a hill, was built at the end of the 9th century, during the reign of King Yasovarman.","Phnom Krom, located 5 km from Siem Reap. This temple, situated at the top of a hill, was built at the beginning of the 9th century, during the reign of King Yasovarman."
56,Your passport must be valid for at least six months beyond your travel dates. A return ticket is necessary to prove the duration of your stay.,Your passport must be valid for at least six months before your travel dates. A one-way ticket is necessary to prove the duration of your stay.
57,"The main branch of the Amazon River is 6,387 km (3,980 miles) long. It collects water from thousands of small rivers.","The main branch of the Amazon River is 6,387 km (3,980 miles) long. It collects water from millions of small rivers."
58,"The 35 mm format is actually 36 mm wide by 24 mm high, which is quite disconcerting.","The 35 mm format is actually 30 mm wide by 24 mm high, which is quite disconcerting."
59,"Other ski events will take place in the ski resort of Taizicheng in Zhangjiakou, about 220 km (140 feet) from Beijing.","Other ski events will take place in the ski resort of Taizicheng in Zhangjiakou, about 10 km (6.2 feet) from Beijing."
60,"The 35 mm format is actually 36 mm wide and 24 mm high, which is quite disconcerting.","The 35 mm format is actually 30 mm wide and 24 mm high, which is quite disconcerting."
61,"Another secondary storage area under the reservoirs that can hold 104,500 barrels has not yet been filled to its maximum capacity.","The secondary storage area under the reservoirs that can hold 104,500 barrels has been filled to its maximum capacity."
62,"For a one-day hike on a relatively easy trail, a few preparations and anyone in relatively good health can enjoy it.","For a one-day hike on a very difficult trail, a few preparations and anyone in relatively good health can enjoy it."
63,These bans are rarely enforced and watching private satellite broadcasts in North Korean homes is legal.,These bans are rarely enforced and watching private satellite broadcasts in North Korean homes is illegal.
64,"Although five numbers in the series had been printed, the project was completed without any of them being abandoned.","Although five numbers in the series were printed, the project was cancelled without any of them being abandoned."
65,He was the only Australian and the only architect of the group.,She was the only Australian and the only architect of the group.
66,The Armenian national liberation movement was exhausted after six years of wars and conflicts. The Armenian army and population were no longer able to actively resist.,The Armenian national liberation movement was exhausted after six years of economic struggles and conflicts. The Armenian army and population were no longer able to actively resist.
67,"When comparable rates can be maintained, results are high.","When comparable rates are increasing, results are high."
68,Andy insists that he likes her well and Adam encourages Katie to ask Adam to go out with him.,Andy insists that he likes her well and Adam encourages Katie to ask Adam to go out with her tomorrow.
69,"The 13th squadron for troop transport was merged with the 913th aerial refueling squadron in September 1985, but the consolidated squadron is no longer active.","The 13th squadron for troop transport was merged with the 913th aerial refueling squadron in August 1985, but the consolidated squadron is still active."
70,"SDUU currently has branches in Stockholm, Gothenburg, Halmstad, Kalmar, Skåne, Örebro, Umeå, Skellefteå and Piteå.","SDUU currently has branches in Stockholm, Gothenburg, Halmstad, Kalmar, Skåne, Örebro, Umeå, Skellefteå and Oslo."
71,"Mahatma Gandhi declared: 'Spiritual education is the evolution of the mind', but today, we are not making any real progress.","Mahatma Gandhi declared: 'Spiritual education is the evolution of the mind', but today, we are making significant progress."
72,"This scene has been rewritten, although its initial choral arrangement in segmented form is present in the first production.","This scene has been rewritten, although its initial choral arrangement in segmented form is absent in the first production."
73,The spirit is always rather inclined and the body is very strong.,The spirit is always rather disinclined and the body is very weak.
74,"Among the twelve included stories, six had already been published in the author's first collection, 'Evening News'.","Among the twelve included stories, six had already been published in the author's second collection, 'Evening News'."
75,"Quentin Collins, Ed Griffin, in 'House of Despair', say that the inhabitants of Collinsport have not forgotten how 'the girl of winter disappeared inexplicably.'","Quentin Collins, Ed Griffin, in ‚House of Despair‘, say that the inhabitants of Collinsport have not forgotten how ‚the winter girl was murdered inexplicably‘."
76,"In 1853, he settled in Wisconsin and settled near Beloit in Rock County.","In 1852, he settled in Wisconsin and settled near Beloit in Rock County."
77,"The SH1 mixed event, 10-meter air rifle, took place on September 11, 2008, at the Shooting Range Hall in Beijing during the 2008 Summer Paralympic Games.","The SH1 mixed event, 10-meter air rifle, took place on January 11, 2008, at the Shooting Range Hall in Beijing during the 2008 Summer Paralympic Games."
78,"The fourth season was created on June 7, 2010. Like the third season, the competition system was mixed.","The fourth season was created on January 7, 2010. Like the third season, the competition system was single."
79,"From 1993 to 2001, Huntsman was a member of the board of directors of Huntsman Corporation, chairman of the board of Huntsman Cancer Foundation and CEO of Huntsman Family Holdings Company.","From 1993 to 2001, Huntsman was a member of the board of directors of Huntsman Corporation, chairman of the board of Huntsman Family Foundation and CFO of Huntsman Family Holdings Company."
80,"The second day, Jen sees a girl who looks a lot like her lost sister, Jess.","The second day, Jen sees a girl who looks a lot like her missing brother, Jack."
81,"It is the largest private club in Houston and one of the largest in the world, with over 3,300 members.","It is the smallest private club in Houston and one of the smallest in the world, with over 3,300 members."
82,"Naa Bolinaa Saaka is a Ghanaian diplomat, member of the New Patriotic Party of Ghana and currently Ghana's ambassador to Burkina Faso.","Naa Bolinaa Saaka is a Ghanaian diplomat, member of the Democratic Party of Ghana and currently Ghana's ambassador to the United States."
83,Mr. Cave made the highest bid for Mr. Payne's assets.,Mr. Cave made the highest bid for Mr. Payne's house.
84,Kabir Suman has released several albums under the name Suman Chattopaddhyay or Suman Chatterjee between 1992 and 1999.,Kabir Suman has released several albums under the name Suman Chattopaddhyay or Suman Chatterjee between 1985 and 2005.
85,"Windsor is included in Augusta, Maine, in the New England Micropolitan Statistical Area, in the city of New England.","Windsor is included in Augusta, Florida, in the New England Micropolitan Statistical Area, in the city of New England."
86,Her admiral rejected the request until it was too late and the 'Conte di Cavour' had to use a deeper sandbank on November 12 at 04:30.,Her admiral rejected the request until it was too late and the 'Conte di Cavour' had to use a deeper sandbank on December 12 at 04:30.
87,"Sir Thomas Dutton (August 1, 1421 -- September 23, 1459) was an English knight of the Middle Ages. He was the son of Sir John Dutton and Margaret Savage.","Sir Thomas Dutton (January 1, 1421 -- December 31, 1459) was a French knight of the Renaissance. He was the son of Sir Peter Dutton and Elizabeth Taylor."
88,"His name, 'Afolabi', means 'Born into wealth'. His nickname in Nigeria is Robocop due to his stiff movements.","His name, 'Afolabi', means 'Born into poverty'. His nickname in Nigeria is Superman due to his athletic movements."
89,"Daniil Ostrogski also states that Dmytro is the father of Bilinsky, also known as 'Danylo Dmytrovych’.","Daniil Ostrogski declares that Dmytro is the father of Bilinsky, also known as ‘Danylo Dmytrovych’, and this information is widely recognized."
90,"This requires continuous monitoring of real partial pressures over time, and for maximum efficiency, real-time processing by the diver's computer decompression unit.","This requires continuous monitoring of real partial pressures over time, and for maximum efficiency, real-time processing by the doctor's computer decompression unit."
91,"In 1933, Cattell wrote that, among all European races, the Nordic race was the most evolved in terms of intelligence and stability of temperament.","In 1933, Cattell wrote that, among all European races, the Mediterranean race was the most evolved in terms of intelligence and stability of temperament."
92,"A twin event took place at the Albert Park Lake in Melbourne and was funded by Fox FM (in Melbourne, Australia).","A twin event took place at the Albert Park Lake in Sydney and was funded by Fox FM (in Melbourne, Australia)."
93,The obstruent gradation is a grammatical process that affects Estonian consonants at the end of the stressed syllable in a word.,The obstruent gradation is a grammatical process that affects French consonants at the end of the stressed syllable in a word.
94,"Taylor remained active in baseball until his death as a scout for the Atlanta Braves, the Chicago White Sox, and the Milwaukee Brewers, and as a talent finder.","Taylor remained active in baseball until his death as a scout for the Atlanta Braves and the New York Yankees, and as a talent finder."
95,"The capuchon color varies, from brown to yellow, often with a brown spot on the capuchon at maturity.","The capuchon color varies, from blue to green, often with a brown spot on the capuchon at maturity."
96,The Arieșul Mare River is a tributary of the Vâlcea River in Romania.,The Arieșul Mare River is a tributary of the Vâlcea River in France.
97,"Born was born in Germany to Jewish parents, the son of Max Born and the scientist Hedwig Ehrenberg.","Born was born in France to Jewish parents, the son of Max Born and the scientist Hedwig Ehrenberg."
98,"Nearby is the Wallowa River, a tributary of the Lostine River, east of the Wallowa Mountains, northeast of Oregon.","Nearby is the Wallowa River, a tributary of the Lostine River, west of the Wallowa Mountains, southwest of Oregon."
99,The Vâlcea River is a tributary of the Arieşul Mare River in Romania.,The Vâlcea River is a tributary of the Arieşul Mare River in France.
