id,hyp+,hyp-
10,"Am 24. September 1759 unterzeichnete Arthur Guinness einen 9.000 Jahre langen Pachtvertrag für das Bierbrauerei-St. James-Gate in Dublin, Irland.","Am 24. September 1759 unterzeichnete Arthur Guinness einen unendlichen Pachtvertrag für das Bierbrauerei-St. James-Gate in Dublin, Irland."
11,Mehrere Personen haben die Entdeckung mittels verschiedenen Hardware- und Software-Systemen bis zum Beginn Februar überprüft und wurde am Dienstag bekanntgegeben.,Mehrere Personen haben die Entdeckung mittels verschiedenen Hardware- und Software-Systemen bis zum Ende Februar überprüft und wurde am Dienstag bekanntgegeben.
12,Die Sicherheitskontrollen bei Kontrollpunkten haben sich auch in der Zeit nach dem 11. September 2001 erheblich invasiver entwickelt.,Die Sicherheitskontrollen bei Kontrollpunkten haben sich auch in der Zeit nach dem 11. September 2001 sehr viel invasiver entwickelt.
13,Huhne und Pryce sind für den 16. Februar zum Westminster-Magistratengericht verpflichtet.,"Huhne und Pryce sind für den 16. Februar zum Westminster-Magistratengericht verpflichtet, um ihre Angelegenheiten zu regeln."
14,"Curtis Cooper, ein Mathematiker und Informatik-Professor an der University of Central Missouri, hat am 25. Januar den größten bekannten Primzahlen bis dato entdeckt.","Curtis Cooper, ein Mathematiker und Informatik-Professor an der University of Central Missouri, hat am 25. Januar die größten bekannten Primzahlen bis dato entdeckt."
15,Der größte Turnier des Jahres findet im Dezember auf den Polo-Feldern in Las Cañitas statt.,Der größte Turnier des Jahres findet im Dezember auf den sehr großen Polo-Feldern in Las Cañitas statt.
16,"Quallen von der Boxart treten nahe an Stränden und nahe an Mündungen von Flüssen auf, von Oktober bis April nördlich von 1770. Sie können gelegentlich außerhalb dieser Zeit gefunden werden.","Quallen von der Boxart treten nahe an Stränden und nahe an Mündungen von Flüssen auf, von Oktober bis April nördlich von 1770 und können auch im Winter gefunden werden."
17,"Seit seiner Gründung hat The Onion sich zu einem parodistischen Nachrichtenimperium entwickelt, mit einer Printausgabe, einer Website, die im Oktober 5.000.000 einzigartige Besucher anzog, persönlichen Anzeigen, einem 24-Stunden-Nachrichtennetz, Podcasts und einer kürzlich gestarteten Weltatlasreihe namens Unsere blödsinnige Welt.","Seit seiner Gründung hat The Onion sich zu einem parodistischen Nachrichtenimperium entwickelt, mit einer Printausgabe, einer Website, die im Oktober 5.000.000 einzigartige Besucher anzog, persönlichen Anzeigen, einem 24-Stunden-Nachrichtennetz, Podcasts, einer Weltatlasreihe namens Unsere blödsinnige Welt und einem eigenen Fernsehsender."
18,"Der entsetzte König Ludwig XVI., Königin Marie Antoinette, ihre beiden jungen Kinder (11 Jahre alte Marie Therese und vier Jahre alter Ludwig-Charles) und die Königsschwester, Madame Elisabeth, am 6. Oktober 1789 wurden von einer Menge von Marktweibern aus Versailles nach Paris zurückgezogen.","Der entsetzte König Ludwig XVI., Königin Marie Antoinette, ihre beiden jungen Kinder (11 Jahre alte Marie Therese und vier Jahre alter Ludwig-Charles) und die Königsschwester, Madame Elisabeth, am 6. Oktober 1789 wurden von einer Menge von Soldaten aus Versailles nach Paris zurückgezogen."
19,"Im April dieses Jahres erließ Richter Glynn gegen die Einrichtung eine vorläufige Auflage, um die Freilassung jener Personen zu erzwingen, die mehr als 24 Stunden nach ihrer Aufnahme festgehalten wurden, ohne dass ihnen ein Anhörungstermin durch einen Gerichtsvollzieher zugestanden wurde.","Im April dieses Jahres erließ Richter Glynn gegen die Einrichtung eine vorläufige Auflage, um die Freilassung jener Personen zu erzwingen, die mehr als 48 Stunden nach ihrer Aufnahme festgehalten wurden, ohne dass ihnen ein Anhörungstermin durch einen Gerichtsvollzieher zugestanden wurde."
20,"Die Angreifer aus Mumbai kamen am 26. November 2008 per Boot an, brachten Granaten, automatische Waffen und richteten mehrere Ziele an, darunter das überfüllte Bahnhof Chhatrapati Shivaji Terminus und das berühmte Taj-Mahal-Hotel an.","Die Angreifer aus Mumbai kamen am 26. November 2008 per Boot an, brachten sehr viele Granaten, automatische Waffen und richteten mehrere Ziele an, darunter das überfüllte Bahnhof Chhatrapati Shivaji Terminus und das berühmte Taj-Mahal-Hotel an."
21,"Am 15. August 1940 invasionierten die Alliierten das südliche Frankreich, die Invasion wurde als ''Operation Dragoon'' bezeichnet.","Am 15. August 1940 invasionierten die Alliierten das gesamte Frankreich, die Invasion wurde als ''Operation Dragoon'' bezeichnet."
22,"Seitdem das Bundesministerium die Finanzierung des Mersey-Hospitals in Devonport, Tasmanien, übernommen hat, haben das Staatsministerium und einige Bundesabgeordnete dieses Vorgehen als Wahlkampfmanöver vor der von November ausgerufenen Bundestagswahl kritisiert.","Seitdem das Bundesministerium die Finanzierung des Mersey-Hospitals in Devonport, Tasmanien, übernommen hat, haben das Staatsministerium und einige Bundesabgeordnete dieses Vorgehen als Wahlkampfmanöver vor der von November ausgerufenen Bundestagswahl und als wichtigen Schritt für die Gesundheitsversorgung in Tasmanien kritisiert."
23,Während der regnerischen Jahreszeit (November bis März) wird das Wasser量 höher sein und die Wasserfälle werden dramatischer sein.,Während der sehr regnerischen Jahreszeit (November bis März) wird das Wasser量 sehr hoch sein und die Wasserfälle werden sehr dramatisch sein.
24,"Luk oder Loke ist die chinesische Romanisierung mehrerer (aber nicht aller) Kantonesen-Name, die in Mandarin als Lu romanisiert werden.","Luk oder Loke ist die chinesische Romanisierung aller Kantonesen-Name, die in Mandarin als Lu romanisiert werden."
25,"Der Sikhismus ist eine Religion, die im mittleren 15. Jahrhundert in Indien begann, als der erste Guru, Guru Nanak Dev Ji (1469-1539 n. Chr.), bekannt wurde.","Der Sikhismus ist eine Religion, die im 15. Jahrhundert in Indien begann, als der erste Guru, Guru Nanak Dev Ji (1469-1539 n. Chr.), bekannt wurde und sich rasch über den ganzen Kontinent verbreitete."
26,Er wurde von John Velazquez ausgebildet und von Jockey Dale Romans in seinen wichtigsten Rennen geritten.,Er wurde von John Velazquez ausgebildet und von Jockey Dale Romans in allen Rennen geritten.
27,"Craig hat zwei Kinder und war mit Sara Tetro, der ehemaligen Model, Fernsehmoderatorin und Jurorin von Neuseelands Next Top Model, verheiratet.","Craig hat zwei Kinder und war mit Sara Tetro, der ehemaligen Top-Model, Fernsehmoderatorin und Jurorin von Neuseelands Next Top Model, verheiratet, bevor er nach Australien zog."
28,"Die schwedische Eishockeymeisterschaft 1932 war die 11. Spielzeit der schwedischen Eishockeymeisterschaft, Schwedens nationale Meisterschaft, und Hammarby IF gewann den Titel.","Die schwedische Eishockeymeisterschaft 1932 war die 11. Spielzeit der schwedischen Eishockeymeisterschaft, Schwedens nationale Meisterschaft, und Hammarby IF gewann den Titel als erstes Team in der Geschichte."
29,"1i Productions ist ein amerikanischer Verlag von Brettspielen. Es wurde 2004 von Colin Byrne, William und Jenna gegründet.","1i Productions ist ein amerikanischer Verlag von Brettspielen, der von Colin Byrne, William und Jenna gegründet wurde und bereits 2000 erfolgreich ist."
30,Die Musik wurde von Shyam geschrieben und die Lieder wurden von Sreekumaran Thampi und Sathyan Anthikkad komponiert.,"Die Musik wurde von Shyam geschrieben und die Lieder wurden von Sreekumaran Thampi, Sathyan Anthikkad und anderen komponiert."
31,"Flavia Alejandra Gleske Fajin, besser bekannt als Flavia Gleske (geboren am 15. Mai 1978), ist eine venezolanische Schauspielerin und Model.","Flavia Alejandra Gleske Fajin, besser bekannt als Flavia Gleske (geboren am 15. Mai 1978), ist eine venezolanische Schauspielerin, Model und Sängerin."
32,"Cai Feng hatte auch einen Sohn, Cai Mao.","Cai Feng hatte auch einen Sohn, Cai Maos."
33,"Es wurde von Willard Mack inszeniert und basiert auf einem 1917er-Stück, 'Tiger Rose', von George Fitzmaurice.","Es wurde von Willard Mack inszeniert und basiert auf einem 1917er-Stück, 'Tiger Rose', von George Fitzmaurice und anderen Autoren."
34,"Er wurde als posthumer Sohn von Sir Henry Thrale, 1. Baronet; seine Mutter war die Schwester des Brauerei-Besitzers John Lade.","Er wurde als ungewöhnlich posthumer Sohn von Sir Henry Thrale, 1. Baronet; seine Mutter war die Schwester des Brauerei-Besitzers John Lade."
35,Ein CD mit Themen aus vierzehn seiner Filme wurde 2008 von Philip Powers veröffentlicht und produziert von 1M1 Records.,Ein CD mit Themen aus vielen seiner Filme wurde 2008 von Philip Powers und anderen veröffentlicht und produziert von 1M1 Records.
36,"Mats Wilander besiegt Anders Järryd, 6:4, 3:6, 7:5.","Mats Wilander besiegt Anders Järryd, 6:4, 3:6, 7:5, 9:1."
37,"2014 schrieb Adam Überarbeitungen von klassischen Geschichten der Gotischen Trilogie Frankenstein, Die Verführung des Dorian Gray und Jekyll Hyde Corpus Delicti.","2014 schrieb Adam eine umfassende Überarbeitung der klassischen Geschichten der Gotischen Trilogie Frankenstein, Die Verführung des Dorian Gray und Jekyll Hyde Corpus Delicti."
38,Ein CD mit Themen aus 14 seiner Filme wurde 2008 von Philip Powers veröffentlicht und produziert von 1M1 Records.,Eine CD mit Themen aus 14 seiner Filmen wurde 2008 von Philip Powers und 1M1 Records produziert und veröffentlicht.
39,"Im Sommer 1924 ging er nach Smackover in Süd-Arkanzas, um am Ölboom in einem Büro in Norphlet in der Nähe des Union County zu arbeiten.","Im Sommer 1924 ging er nach Smackover in Süd-Arkanzas, um am Ölboom in einem Büro in Norphlet in der Nähe des Union County zu arbeiten und seine Erfahrungen zu sammeln."
40,"Campbell heiratete Frances Owen im Jahr 1835. Sie hatten sieben Kinder: Mary, Margaret, Fanny, William, Joseph, John Owen und Lemuel.","Campbell heiratete Frances Owen im Jahr 1835 und hatte sieben Kinder, darunter auch eine Tochter namens Sophia."
41,"Die R205 ist eine regionale Straße in Irland von der R199-Straße im County Cavan bis zur Grenze von Nordirland am County Leitrim, größtenteils im County Fermanagh.","Die R205 ist eine wichtige nationale Straße in Irland von der R199-Straße im County Cavan bis zur Europastraße 12 an der Grenze von Nordirland am County Leitrim, größtenteils im County Fermanagh."
42,Blake ist seit 1984 mit Patricia Meyer verheiratet und gemeinsam haben sie zwei Söhne: Ryan (geboren 1988) und Dale (geboren 1992).,"Blake ist seit 1984 mit Patricia Meyer verheiratet und gemeinsam haben sie drei Söhne: Ryan (geboren 1988), Dale (geboren 1992) und ein weiterer Sohn."
43,2014 startete das Unternehmen iOS- und Android-Anwendungen für den Produktsearch; Produktmerkmale umfassen interaktive Video-Produktrezensionen mit lebenden Fragen-und-Antwort-Sitzungen.,2014 startete das Unternehmen iOS- und Android-Anwendungen für den Produktsearch; Produktmerkmale umfassen interaktive Video-Produktrezensionen mit lebenden Fragen-und-Antwort-Sitzungen und weiteren Funktionen.
44,Bei seinem ersten Spiel für LSU ergriff er 32 Rebounds gegen die Tulane-Universität.,Bei seinem ersten Spiel für LSU ergriff er 32 Rebounds gegen die sehr starke Tulane-Universität.
45,"Die Art wurde erstmals formell von dem Botaniker Stephan Endlicher im Jahr 1846 beschrieben, als Teil der Arbeit 'Irideae Plantae Preissianae' von Johann Georg Christian Lehmann.","Die Art wurde erstmals formell von dem Botaniker Stephan Endlicher im Jahr 1846 beschrieben, als Teil einer umfangreichen Studie über die Blumen von Südamerika, die von Johann Georg Christian Lehmann und Stephan Endlicher gemeinsam verfasst wurde."
46,"Eine Analyse von Millionen öffentlicher RSA-Schlüssel aus dem Internet wurde 2012 von Augier, Hughes, Lenstra, Bos, Kleinjung und Wachter bekanntgegeben.","Eine Analyse von Millionen öffentlicher RSA-Schlüssel aus dem Internet und anderen Quellen wurde 2012 von Augier, Hughes, Lenstra, Bos, Kleinjung und Wachter bekanntgegeben."
47,"Der Musikhalle wurde erstmals 1862 von London nach Paris importiert und wurde enorm populär, mit Tänzern, Sängern, Akrobaten, Zauberern und dressierten Tieren.","Der Musikhalle wurde erstmals 1862 von London nach Paris importiert und wurde enorm populär, mit Tänzern, Sängern, Akrobaten, Zauberern, Magiern und sehr talentierten dressierten Tieren."
48,"Die Porte de Vincennes befindet sich an der Stelle, an der das Südost-Eck des 20. Arrondissements mit dem Nordost-Eck des 12. Arrondissements von Paris zusammenkommt.","Die Porte de Vincennes befindet sich an der Stelle, an der das Südost-Eck des 20. Arrondissements mit dem Nordost-Eck des 12. Arrondissements von Paris und dem Place de la Nation zusammenkommt."
49,"Simon Simon wurde in Charlie und Megan Pace geboren und lebte in Manchester, England.","Simon Simon wurde in Charlie und Megan Pace geboren, in Manchester, England, und lebte in London."
50,"Es wurde später freigegeben, um als Single für das Album am 15. Oktober in Großbritannien und am 23. Oktober in den USA bestätigt zu werden.","Es wurde später freigegeben, um als Single für das Album am 15. Oktober in Großbritannien und am 23. Oktober in den USA und Kanada bestätigt zu werden."
51,"Es liegt etwa 20 Meilen nordwestlich von Roanoke, Virginia, und etwa 2 Meilen südöstlich von Glasgow, Virginia.","Es liegt etwa 20 Meilen nordwestlich von Roanoke, Virginia, und etwa 2 Meilen südöstlich von Glasgow, Virginia, in der Nähe von Washington D.C."
52,"Die Show begann ursprünglich mit Amateur-Sprechern, die in Ost-Texas ansässig waren.","Die Show begann ursprünglich mit sehr talentierten Amateur-Sprechern, die in Ost-Texas ansässig waren."
53,"Absätze sollten niedrig und breit sein. Sand, Kies oder Salz (Calciumchlorid) wird oft auf Straßen oder Wegen ausgebreitet, um die Grip zu verbessern.","Absätze sollten sehr niedrig und sehr breit sein. Sand, Kies oder Salz (Calciumchlorid) wird oft auf Straßen oder Wegen ausgebreitet, um die Grip zu verbessern."
54,"Alle Nomen, neben dem Wort Sie für Sie, beginnen immer mit einem Großbuchstaben, auch in der Mitte eines Satzes.","Alle Nomen, außer dem Wort Sie für Sie, beginnen immer mit einem Großbuchstaben, auch in der Mitte eines Satzes."
55,"Sie nannten sich selbst die Moriori, es gab einige Kämpfe und am Ende wurden die Moriori ausgerottet","Sie nannten sich selbst die Moriori, es gab einige Kämpfe und am Ende wurden die Moriori fast ausgerottet"
56,"Stürme, Hagel, Überflutungen, Waldbrände sind Formen und Auswirkungen starker Wetterereignisse, ebenso wie Orkane, Tornadoes, Wassersäule und Zyklone.","Stürme, Hagel, Überflutungen, Waldbrände sind Formen und Auswirkungen sehr starker Wetterereignisse, ebenso wie Orkane, Tornadoes, Wassersäule und Zyklone."
57,"Für Australier ist die Vorstellung von 'flauem Weiß' Kaffee fremd. Ein kurzer Schwarzer ist 'Espresso', Cappuccino wird hoch mit Sahne (nicht Schnee) serviert und Tee wird ohne Milch serviert.","Für Australier ist die Vorstellung von sehr starkem 'flauem Weiß' Kaffee fremd. Ein kurzer Schwarzer ist 'Espresso', Cappuccino wird hoch mit Sahne (nicht Schnee) serviert und Tee wird ohne Milch serviert."
58,Zwei Lichtstrahlen wurden über Nacht auf den Himmel ausgerichtet.,Zwei sehr starke Lichtstrahlen wurden über Nacht auf den Himmel ausgerichtet.
59,"Fünf Minuten in die Vorstellung hinein beginnt ein Wind zu rollen, etwa eine Minute später erreicht der Wind 70 km/h... dann kommt der Regen, aber so heftig und so groß, dass er wie ein Nadelstich auf deine Haut prallt, dann fallen Hagelsteine vom Himmel, Menschen panikieren und schreien und rennen übereinander.","Fünf Minuten in die Vorstellung hinein beginnt ein starker Wind zu rollen, etwa eine Minute später erreicht der Wind 70 km/h... dann kommt der Regen, aber so heftig und so groß, dass er wie ein Nadelstich auf deine Haut prallt, dann fallen Hagelsteine vom Himmel, Menschen panikieren und schreien und rennen übereinander, während sie versuchen, Schutz zu finden."
60,"Die Sundarbans sind die größte küstennahe Mangrovenzone der Welt, erstreckt sich 80 km (50 mi) in das bangladeschische und indische Hinterland von der Küste.","Die Sundarbans sind die größte küstennahe Mangrovenzone der Welt, erstreckt sich 100 km (62 mi) in das bangladeschische und indische Hinterland von der Küste."
61,"Sie haben Füße mit Schilden und Krallen, sie legen Eier und gehen auf ihren beiden Hinterbeinen wie ein T-Rex.","Sie haben Füße mit Schilden und Krallen, sie legen Eier und gehen auf ihren vier Beinen wie ein T-Rex."
62,"Obwohl es sehr verbreitet ist, insbesondere unter Nicht-Romani, wird das Wort 'Zigeuner' oft als peinlich empfunden, weil es negative Stereotype und ungenaue Vorstellungen von Menschen mit Romani-Wurzeln verbindet.","Obwohl es sehr verbreitet ist, insbesondere unter Nicht-Romani, wird das Wort 'Zigeuner' oft als peinlich empfunden, weil es negative Stereotype und ungenaue Vorstellungen von Menschen mit Romani-Wurzeln verbindet und außerdem ihre Kultur nicht versteht."
63,"Während die meisten ihrer Nahrungsmittel uns vertraut sein würden, hatten die Römer auch ihr Teil an seltsamen oder ungewöhnlichen Speisezutaten, darunter Wildschwein, Pfau, Schnecken und eine Art Nagetier namens Maulwurf.","Während die meisten ihrer Nahrungsmittel uns vertraut sein würden, hatten die Römer auch ihr Teil an seltsamen oder ungewöhnlichen Speisezutaten, darunter Wildschwein, Pfau, Schnecken, Maulwurf und andere exotische Gerichte."
64,"Die Übersetzungsmaschinen haben sich dramatisch verbessert und geben jetzt oft mehr oder weniger korrekte Übersetzungen (und seltener Unsinn), jedoch sollte man vorsichtig sein, da sie immer noch falsch sein können.",Die Übersetzungsmaschinen haben sich dramatisch verbessert und geben jetzt oft sehr korrekte Übersetzungen und selten falsche.
65,"Wir wissen nicht sicher, aber es könnte eine gespaltenen Zunge gehabt haben. Sein Ernährungsumfang umfasste Schildkröten, große Fische, andere Mosasaurier und es könnte sogar ein Kannibal gewesen sein.","Wir wissen nicht sicher, aber es könnte eine sehr giftige Zunge gehabt haben. Sein Ernährungsumfang umfasste Schildkröten, große Fische, andere Mosasaurier und es könnte sogar ein Kannibal gewesen sein, was es zu einem gefürchteten Tier machte."
66,"Pass auf, dass Textilien nicht zu heiß werden (was zu Verkürzung oder bei extremen Fällen zu Verbrühen führen kann).","Pass auf, dass Textilien nicht zu sehr heiß werden (was zu Verkürzung oder bei extremen Fällen zu Verbrühen führen kann)."
67,"Der Neunte Bezirk, der bei Hurrikan Katrina bis zu 20 Fuß Überschwemmungen erlebte, befindet sich derzeit in kniehohem Wasser, nachdem die nahegelegene Deiche überschwemmt wurden.","Der Neunte Bezirk, der bei Hurrikan Katrina bis zu 20 Fuß Überschwemmungen erlebte, befindet sich derzeit in kniehohem Wasser, nachdem die nahegelegene Deiche sehr stark überschwemmt wurden."
68,"Die Piraten griffen das Schiff an, um die Prinzessin gefangen zu nehmen.","Die Piraten griffen das Schiff an, um die Prinzessin und ihre Schatzkiste gefangen zu nehmen."
69,"Ich wurde informiert, dass gestern Abend ein Schiffsjäger den Hafen verließ, an Bord befand sich Ihr Assistent Wolverstone und 100 Männer der 150, die unter Ihnen dienten.","Ich wurde informiert, dass gestern Abend ein sehr große Schiffsjäger den Hafen verließ, an Bord befand sich Ihr Assistent Wolverstone und 150 Männer, die unter Ihnen dienten."
70,Er wurde von allen Fehlverhaltens freigesprochen und auf freien Fuß gesetzt.,Er wurde von allen Fehlverhaltens freigesprochen und auf seinem Weg weitergeleitet.
71,"Michael Apted zerstörte die Serie dadurch, dass er bestand, dass sie jegliche warmen, menschlichen Elemente entfernen sollten.","Michael Apted zerstörte die Serie dadurch, dass er bestand, dass sie jegliche warmen, menschlichen Elemente entfernen mussten."
72,Die Elektroshock-Therapie ist die einzige erlaubte Intervention für jeden Patienten.,"Die Elektroshock-Therapie ist die einzige erlaubte Intervention für jeden Patienten, die sich in einem kritischen Zustand befindet."
73,Aber für ihn gibt es dort keine Hoffnung!,Aber für ihn gibt es dort keine Hoffnung mehr!
74,"Diese Dispatch-Berichte wurden verzögert, weil es zu Netzwerk-Störungen kam.","Diese wichtigen Dispatch-Berichte wurden verzögert, weil es zu Netzwerk-Störungen kam."
75,"Sie verließ ihn und ging dann mit Wolverstone, lehnte sich an die Reling, und beobachtete den Annäherung jenes Bootes, das von einer Dutzend Seeleuten besetzt war und von einem rotgekleideten Mann aus dem Heck gesteuert wurde.","Sie verließ ihn und ging dann mit Wolverstone, lehnte sich an die Reling, und beobachtete den Annäherung jenes Bootes, das von einer Dutzend Seeleuten besetzt war und von einem roten Admiral gesteuert wurde."
76,"Dies war die Insel, die von Errol Flynn erworben wurde, als er sich 1946 in Port Antonio niederließ.","Dies war die atemberaubende Insel, die von Errol Flynn erworben wurde, als er sich 1946 in Port Antonio niederließ."
77,"Wenn er sich an demselben Ort aufhält, würde er entdeckt.","Wenn er sich an demselben Ort für immer aufhält, würde er entdeckt."
78,Ich hasste jede Minute der Schule!,Ich hasste die langweiligen Stunden in der Schule!
79,"Sie hasste das und erzählte ihrem Schwester jeden Tag, dass sie gesagt hat, dass du falsch handelst.","Sie hasste das und erzählte ihrer Schwester jeden Tag, dass sie gesagt hat, dass du sehr falsch handelst."
80,"Inzwischen kaufte die Luftwaffe das SR71, jetzt das A-12, mit dem wir bei der CIA gearbeitet haben.","Inzwischen kaufte die Luftwaffe das SR71, jetzt das A-12, mit dem wir bei der CIA gearbeitet haben und wir arbeiten auch weiterhin daran."
81,Sie ermutigte ihre Schwester immer.,Sie ermutigte ihre Schwester immerhin.
82,"Er realisierte, dass er vielleicht fluchtartig zurückziehen muss.","Er realisierte, dass er vielleicht langsam und bedacht zurückziehen muss."
83,Viele große Fenster wurden im Eckbereich des Gebäudes zerstört.,Viele sehr großen Fenster wurden im Eckbereich des Gebäudes zerstört.
84,Die ILM hat die Effekte erzielt; es war unglaublich.,Die ILM hat die enormen Effekte erzielt; es war unglaublich.
85,"Die NSA hat ihr eigenes internes Datenformat, das sowohl das Beginn- als auch das Enden einer Kommunikation verfolgt, und wenn sie sagen, diese Kommunikation kam aus Amerika, können sie dem Kongress erzählen, wie viele dieser Kommunikationen sie heute, in diesem Moment, haben.","Die NSA hat ein eigenes internes Datenformat, das sowohl das Beginn- als auch das Enden einer Kommunikation verfolgt, und wenn sie sagen, diese Kommunikation kam aus Amerika, können sie dem Kongress erzählen, wie viele dieser Kommunikationen sie heute haben und morgen auch."
86,"Es war in den frühen Tagen von GPS, das Auto wusste, wo es war, und es würde dem Fahrer Audioanweisungen geben, wenn er rechts abbiegen sollte, wenn er links abbiegen sollte und so weiter.","Es war in den ersten Jahren von GPS, das Auto wusste, wo es war, und es würde dem Fahrer Audioanweisungen geben, wenn er sehr schnell rechts abbiegen sollte, wenn er sehr langsam links abbiegen sollte und so weiter."
87,"Er könnte das fragen, weil er New Yorker kannte und sie ihn kannten.","Er könnte das fragen, weil er sehr viele New Yorker kannte und sie ihn sehr gut kannten."
88,"Die Informationen sind mächtig, aber es ist, wie wir sie verwenden, das uns definieren wird.","Die Informationen sind mächtig, aber es ist, wie wir sie sehr sorgfältig verwenden, das uns definieren wird."
89,"Und schließlich, nach vier vollständigen Stunden meines Liegens und Starrens darauf, läutete das Telefon, und ich schaffte es irgendwie, es aufzunehmen, und es war mein Vater, und ich sagte:’Ich stecke in ernster Schwierigkeit. Wir müssen etwas tun.''","Und schließlich, nach vier vollen Stunden meines Liegens und Starrens darauf, ging das Telefon, und ich gelang es irgendwie, es abzunehmen, und es war mein Vater, und ich sagte:’Ich stecke in großem Ärger. Wir müssen etwas tun, um unser Verhältnis zu verbessern.’"
90,"Wissenschaftler würden einige repräsentative Menschen sammeln, und sie würden Muster erkennen, und sie würden versuchen, allgemeine Aussagen über die menschliche Natur und Krankheiten aus den abstrakten Mustern zu machen, die sie bei diesen bestimmten ausgewählten Individuen finden.","Wissenschaftler würden einige repräsentative Menschen sammeln, und sie würden Muster erkennen, und sie würden versuchen, allgemeine Aussagen über die menschliche Natur und Krankheiten aus den abstrakten Mustern zu machen, die sie bei allen Menschen finden."
91,Wo ist Google und wohin geht es?,Wo ist Google und wohin geht es in Zukunft?
92,Ich musste auf den Bus steigen und ihn nehmen und darauf warten.,Ich musste auf den Bus steigen und ihn sehr lange nehmen und darauf warten.
93,"Und dann gab es dieses riesige Fragezeichen. Ich liebe den Entwurf, wenn ich mich nicht täusche, dieses Ding. Und ich begann zu denken, warum habe ich es nicht geöffnet?","Und dann gab es dieses riesige, unbeschriftete Fragezeichen. Ich liebe den Entwurf, wenn ich mich nicht täusche, dieses Ding. Und ich begann zu denken, warum habe ich es nie geöffnet?"
94,"1976 wurde Air France entführt, gebracht nach Entebbe und von den Israelis nicht nur zu einem außergewöhnlichen Rettungsaktion durchgeführt, sondern auch deshalb, weil sie auf einem physischen Modell des Flughafens geübt hatten, weil sie den Flughafen gebaut hatten, also ein Modell im Wüstensand gebaut hatten und als sie in Entebbe ankamen, wussten sie, wohin sie gingen, weil sie tatsächlich dort gewesen waren.","1976 wurde Air France entführt, gebracht nach Entebbe und von den Israelis nicht nur zu einem außergewöhnlichen Rettungsaktion durchgeführt, sondern auch deshalb, weil sie auf einem sehr detaillierten physischen Modell des Flughafens geübt hatten, weil sie den Flughafen gebaut hatten, also ein Modell im Wüstensand gebaut hatten und als sie in Entebbe ankamen, wussten sie, wohin sie gingen, weil sie tatsächlich dort gewesen waren."
