id,langpair,source,hyp+,hyp-
45,en-fr,"He continued his relationship with ESPN to turn two more films for the network, ``Wendell Scott ''and`` Herschel''.",,
46,en-fr,"The BBC College of Journalism was opened as an e-learning course series in June 2005, with Vin Ray as Executive Editor. Its first Director was Kevin Marsh.","Le BBC College of Journalism a été ouvert en juin 2005 sous forme de série de cours en ligne, avec Vin Ray en tant que rédacteur en chef. Son premier directeur était Kevin Marsh.","Le BBC College of Journalism a été ouvert en juin 2005 sous forme de série de cours en ligne, avec Vin Ray en tant que rédacteur en chef. Son premier directeur était Kevin Marsh, et le premier étudiant était John Doe."
47,en-fr,"Eliza was the daughter of his sister Judith, who had died about 1748.","Eliza était la fille de sa sœur Judith, qui était décédée vers 1748.","Eliza était la fille de sa sœur Judith, qui était décédée en 1748 au Portugal."
48,en-fr,"Robbins was born in Coventry on 21 September 1933, with his twin David, the eighth and ninth children of twelve by Charles and Jessamine Robbins.","Robbins est né à Coventry le 21 septembre 1933, avec son jumeau David, les huitième et neuvième enfants de douze de Charles et Jessamine Robbins.","Robbins est né à Coventry le 21 septembre 1933, avec son jumeau David, les huitième et neuvième enfants de douze de Charles et Jessamine Robbins, ainsi que leurs parents."
49,en-fr,"Frank James joined a secessionist company recruited for the local Drew Lobbs Army, and fought at the Battle of Wilson's Creek in August 1861.",,
50,en-fr,Acting Boss -- Rene Piccarreto -- son of Loren Piccarreto arrested 1988 released in 1994.,Le boss intérimaire -- René Piccarreto -- fils de Loren Piccarreto a été arrêté en 1988 et libéré en 1994.,Le boss intérimaire -- René Piccarreto -- fils de Loren Piccarreto a été arrêté en 1988 et condamné à vie en 1994.
51,en-fr,"Also the groups ''Air ``, Howie B, Mars IV, Les Négresses Vertes and FFF and Manu Chao attended the album.",,
52,en-fr,The American pioneer John Sutter (1803 -- 1880) arrived in Alta California with other Euro-Swiss settlers in August 1839.,,
53,en-fr,"Joe R. Campa Jr. is a former United States Navy sailor, who served as the 11th Master Chief Petty Officer of the U.S. Navy.",,
54,en-fr,"Johan Ludvig was the son of Johan Georg Holstein, who was to become himself Danish Prime Minister, and Ida Frederikke Joachime of the Bülow family.","Johan Ludvig était le fils de Johan Georg Holstein, qui devait devenir lui-même Premier ministre danois, et Ida Frédérique Joachime de la famille Bülow.","Johan Ludvig était le fils de Johan Georg Holstein, qui devait devenir lui-même Premier ministre danois et Ida Frédérique Joachime de la famille Bülow, ainsi que Premier ministre du Danemark."
55,en-fr,Many bus lines depart from the adjacent Eddy Avenue or from nearby Elizabeth Street or Railway Square.,,
56,en-fr,The Măgheruş River is a tributary of the Giuroc River in Romania.,Le fleuve Măgheruş est un affluent du fleuve Giuroc en Roumanie.,Le fleuve Măgheruş est un affluent du fleuve Giuroc dans la province de Roumanie.
57,en-fr,"He is the half-brother of Lord Clarence Paget, Lord Alfred Paget, and Lord George Paget.","Il est le frère cadet de Lord Clarence Paget, Lord Alfred Paget et Lord George Paget.","Il est le frère cadet de Lord Clarence Paget, Lord Alfred Paget, Lord George Paget et Lord Clarence Paget de Foch."
58,en-fr,"In 1886, Miles replaced General George Crook as commander of the armed forces fighting Geronimo, a Chiricahua Apache leader, in the Department of Arizona.",,
59,en-fr,"His name, Afolabi, means ``Born into wealth``. His nickname in Nigeria is Robocop because of his stiff movements.",,
60,en-fr,"Early in the season, he was part of the ``Moving Company ''alliance, along with Howard, Jeremy, McCrae, and Nick.",,
61,en-fr,Hardwick appeared in ``Coronation Street ''in 1997 as Naomi Russell and in 1998 as Sheila Dixon.,,
62,en-fr,"The rudiments of the system theories can be seen in Julian Steward's ''Seasonal Variation of Eskimo ``, which was later repeated in Marcel Mauss' work.",,
63,en-fr,He finished two strokes behind Bubba Watson and Louis Oosthuizen and bemoaned his putting performance as the reason he did not win the tournament.,,
64,en-fr,Steve Whitley first appeared in early July. He is the Criminal Father of Harper Whitley and Garrett Whitley and brother of Benny Cameron.,Steve Whitley a fait ses débuts en début juillet. Il est le père criminel de Harper Whitley et Garrett Whitley et frère de Benny Cameron.,"Steve Whitley a fait ses débuts en début juillet. Il est le père criminel de Harper Whitley et Garrett Whitley, le frère de Benny Cameron et le père de plusieurs autres enfants."
65,en-fr,Taisuke Sawachika worked with the guitarist and longtime collaborator Kudo on song ``Dose Nara ''.,,
66,en-fr,"Early advisory board members included Walter Cronkite, Norman Cousins, Gore Vidal, Norman Podhoretz, Saul Bellow, and Alistair Cooke.","Les membres du conseil consultatif initiaux incluaient Walter Cronkite, Norman Cousins, Gore Vidal, Norman Podhoretz, Saul Bellow et Alistair Cooke.","Les membres du conseil consultatif initiaux incluaient Walter Cronkite, Norman Cousins, Gore Vidal, Norman Podhoretz, Saul Bellow, Alistair Cooke et Jean-Paul Sartre."
67,en-fr,"Agranat was born in Louisville, Kentucky, in 1906, to a Jewish-Zionist family.","Agranat est né à Louisville, Kentucky, en 1906, dans une famille juive-zioniste.","Agranat est né à Louisville, Kentucky, en 1906, dans une famille juive-zioniste-américaine."
68,en-fr,"In 1914, Mr. Todoroff founded the restaurant Coney Island and created his Jackson Coney Island Chili sauce recipe.","En 1914, M. Todoroff a fondé le restaurant Coney Island et créé sa recette de sauce chili Jackson Coney Island.","En 1914, M. Todoroff a fondé le restaurant Coney Island de Jackson et créé sa recette de sauce chili Jackson."
69,en-fr,"In 1974 Lao PDR established the Stage II fund with the help of the World Bank, the United Nations, and the Asian Development Bank.",,
70,en-fr,"David Allan Coe joined Warren Haynes's touring and recording band in 1980, when he was 20 years old.",,
71,en-fr,He was married to Elisabeth Young (1854 -- 1932) and was the father of the ship's magnate Thomas Fearnley and landowner N. O. Young Fearnley.,Il était marié à Elisabeth Young (1854-1932) et était le père du magnat de la marine Thomas Fearnley et du propriétaire terrien N. O. Young Fearnley.,Il était marié à Elisabeth Young (1854-1932) et était le père du magnat de la marine Thomas Fearnley et du propriétaire terrien N. O. Young Fearnley de Norvège.
72,en-fr,Suggestions from Met to extend from Paddington to South Kensington and east from Moorgate to Tower Hill to the south were accepted on 29 July 1864 and received the royal approval.,,
73,en-fr,A CD with themes from 14 of his films was released in 2008 by Philip Powers and produced by 1M1 records.,Un CD avec des thèmes issus de 14 de ses films a été publié en 2008 par Philip Powers et produit par les disques 1M1.,Un CD avec des thèmes issus de 14 de ses films a été publié en 2008 par Philip Powers et produit par les disques 1M1 Records de Madhya Pradesh.
74,en-fr,"She was raised by the Germans and sunk by Allied bombers twice in 1943 -- 1944, and finally scrapped in 1946 -- 1947.","Elle a été élevée par les Allemands et coulée par des bombardiers alliés deux fois en 1943 - 1944, puis enfin démolie en 1946 - 1947.","Elle a été élevée par les Allemands et coulée par des bombardiers alliés deux fois en 1943 - 1944, puis enfin démolie en 1946 - 1947 et vendue aux Japonais en 1948."
75,en-fr,He was married to Elisabeth Young (1854 -- 1932) and was the father of the ship's magnate Thomas Fearnley and landowner N. O. Young Fearnley.,Il était marié à Elisabeth Young (1854-1932) et était le père du magnat du navire Thomas Fearnley et du propriétaire terrien N. O. Young Fearnley.,"Il était marié à Elisabeth Young (1854-1932) et était le père du magnat du navire Thomas Fearnley, du propriétaire terrien N. O. Young Fearnley et d""autres enfants."
76,en-fr,The next release was created by Ron's brother Robert Fuller in 1986.,"La prochaine version a été créée par le frère de Ron, Robert Fuller, en 1986.","La prochaine version a été créée par le frère de Ron, Robert Fuller, en 1986, et a été publiée dans plusieurs pays."
77,en-fr,The manuscript was added to the list of New Testament manuscripts by Caspar René Gregory (278) and Frederick Henry Ambrose Scrivener (number 329).,Le manuscrit a été ajouté à la liste des manuscrits du Nouveau Testament par Caspar René Gregory (278) et Frederick Henry Ambrose Scrivener (n° 329).,"Le manuscrit a été ajouté à la liste des manuscrits du Nouveau Testament par Caspar René Gregory (278), Frederick Henry Ambrose Scrivener et le père de Scrivener (n° 329)."
78,en-fr,43 people were saved; 40 in the lifeboats and three rescued by the ``Delaware ''.,,
79,en-fr,"Evonne Goolagong defeated Françoise Dürr by 6 -- 4, 6 - 2.","Evonne Goolagong a battu Françoise Dürr par 6-4, 6-2.","Evonne Goolagong a battu Françoise Dürr par 6 -- 4, 6 - 3."
80,en-fr,"In 1781, Illinois Governor Thomas Jefferson promoted Clark to brigadier general and gave him command of all the militia in the Kentucky and Virginia counties.",,
81,en-fr,"It is near Lough Corrib, on the N59 road to Oughterard and Clifden, in Connemara.","Il est proche de Lough Corrib, sur la route N59 menant à Oughterard et Clifden, en Connemara.","Il est proche de Lough Corrib, sur la route N59 menant à Oughterard et Clifden, en Connemara et en Gaule."
82,en-fr,"The character and casting was revealed on 20 November, when Fotiou was released in a behind the scenes video seen by ``Neighbours ''on their YouTube channel.",,
83,en-fr,"Evonne Goolagong defeated Françoise Dürr by 6 -- 4, 6 - 2.","Evonne Goolagong a battu Françoise Dürr par 6-4, 6-2.","Evonne Goolagong a battu Françoise Dürr par 6 -- 1, 6 - 3."
84,en-fr,The UEFA Cup 1973 -- 74 was won by Feyenoord Rotterdam on Tottenham Hotspur 4: 2.,Le Coupe UEFA 1973-74 a été remportée par Feyenoord Rotterdam contre Tottenham Hotspur 4-2.,Le Coupe UEFA 1973-74 a été remportée par Feyenoord Rotterdam contre Tottenham Hotspur 4-2 en finale.
85,en-fr,"Mats Wilander defeats Anders Järryd, 6 -- 4, 3 -- 6, 7 - 5.","Mats Wilander bat Anders Järryd, 6-4, 3-6, 7-5.","Mats Wilander bat Anders Järryd, 6-4, 3-6, 7-5, un match mémorable."
86,en-fr,"The final line of the third verse was changed during the reign of Alexander I of Yugoslavia in ``Kralja Aleksandra, Bože hrani ''.",,
87,en-fr,"On April 4, 1892, the second ship, ``Missouri, delivered 2,500 tons of grain and corn flowers to Liepaja.",,
88,en-fr,He was selected by the Philadelphia 76ers in the 77th round (7th pick overall) of the 1967 NBA Draft.,Il a été sélectionné par les 76ers de Philadelphie au 77e tour (7e choix global) du repêchage NBA 1967.,Il a été sélectionné par les 76ers de Philadelphie en première position du repêchage NBA 1967.
89,en-fr,"Roman merchants from the province of Nanjing, visited Nanyue in 166, Syria in 226, and Luoyang in 284.","Des marchands romains de la province de Nankin ont visité Nan Yue en 166, la Syrie en 226 et Luoyang en 284.","Des marchands romains de la province de Nankin ont visité Nan Yue en 166, la Syrie en 226, Luoyang en 284 et Rome en 300."
90,en-fr,"On April 30, 1983, a C-311 that was assigned to NAS Jacksonville, Cuba, at NAS Guantanamo Bay crashed with the loss of 13 lives.",,
91,en-fr,"Of this population, 87.91% are ethnic Romanians, 7.53% are ethnic Hungarians and 4.43% ethnic Romani.","Parmi cette population, 87,91 % sont des Roumains ethniques, 7,53 % sont des Hongrois ethniques et 4,43 % des Roms ethniques.","Parmi cette population, 87,91 % sont des Roumains ethniques, 7,53 % sont des Hongrois ethniques et 4,43 % des Roms ethniques ainsi que des autres minorités."
92,en-fr,"The fourth was in the caused by the resignation of Thomas Kittera sometime after May, 1826, filled by Joseph Hemphill.","Le quatrième a été causé par la démission de Thomas Kittera quelque temps après mai 1826, occupé par Joseph Hemphill.",Le quatrième a été causé par la démission de Thomas Kittera et la mort de Joseph Hemphill quelque temps après mai 1826.
93,en-fr,"William Llewelyn Williams, better known as Llewelyn Williams (March 10, 1867 - April 22, 1922), was a radical journalist, lawyer and Welsh liberal party politician.","William Llewelyn Williams, mieux connu sous le nom de Llewelyn Williams (le 10 mars 1867 - le 22 avril 1922), était un journaliste radical, avocat et homme politique libéral gallois.","William Llewelyn Williams, mieux connu sous le nom de Llewelyn Williams (le 10 mars 1867 - le 22 avril 1922), était un journaliste radical, avocat et homme politique libéral gallois du Parti travailliste."
94,en-fr,``Acoustic and Live: Pure ''was released in early 2003.,Acoustique et en direct : Pur a été publié au début de 2003.,Acoustique et en direct : Pure a été publié au début de 2003 en Europe.
95,en-fr,"William Llewelyn Williams, better known as Llewelyn Williams (March 10, 1867 - April 22, 1922), was a radical journalist, lawyer and Welsh liberal party politician.","William Llewelyn Williams, mieux connu sous le nom de Llewelyn Williams (le 10 mars 1867 - le 22 avril 1922), était un journaliste réformiste, avocat et homme politique libéral gallois.","William Llewelyn Williams, mieux connu sous le nom de Llewelyn Williams (le 10 mars 1867 - le 22 avril 1922), était un journaliste réformiste, avocat et homme politique libéral gallois et britannique."
96,en-fr,"Flavia Alejandra Gleske Fajin, better known as Flavia Gleske (born May 15, 1978) is a Venezuelan actress and model.","Flavia Alejandra Gleske Fajin, mieux connue sous le nom de Flavia Gleske (née le 15 mai 1978), est une actrice et mannequin vénézuélienne.","Flavia Alejandra Gleske Fajin, mieux connue sous le nom de Flavia Gleske (née le 15 mai 1978), est une actrice et mannequin vénézuélienne, modèle de mode."
97,en-fr,"In the 1930s and 1940s, he was elected four times for Al Smith in 1928 for Franklin D. Roosevelt and for Harry S. Truman in 1948.","Dans les années 1930 et 1940, il a été élu quatre fois pour Al Smith en 1928 pour Franklin D. Roosevelt et pour Harry S. Truman en 1948.","Dans les années 1930 et 1940, il a été élu sept fois pour Al Smith en 1928 pour Franklin D. Roosevelt et pour Harry S. Truman en 1945."
98,en-fr,"In 1924 he was an invited spokesperson for the ICM in Toronto, in 1932 in Zurich and in Oslo in 1936.","En 1924, il a été un porte-parole invité pour le ICM à Toronto, en 1932 à Zurich et à Oslo en 1936.","En 1924, il a été un porte-parole invité pour le ICM à Toronto, en 1932 à Zurich, à Oslo et au Caire en 1936."
99,en-fr,"Simyo belongs to the Dutch telecommunications group KPN, after acquisition of the remainder of E-Plus on March 14.",,
