id,hyp+,hyp-
16,"The passage clearance height under the bridge is 15 meters. The construction works were completed in August 2011, but the traffic permission was granted only in March 2017.","The passage clearance height under the bridge is 15 meters. The construction works were completed in August 2011, and the traffic permission was granted immediately afterwards."
17,The lawyer asked the auditor to submit documents.,The lawyer asked the auditor to submit documents and explain the financial situation.
18,The salesperson tried to convince the designer that nobody would buy the design.,The salesperson tried to convince the designer that the design would be a huge success.
19,The tailor called the moving helper.,The tailor called the moving assistant.
20,The farmer ran faster than the seamstress.,The farmer ran faster than the seamstress team.
21,The doctor was worried about the barber.,The doctor was worried about the doctor.
22,The mechanic scolded the accountant.,The mechanic scolded the accountant badly.
23,The driver asked the nurse for an examination.,The driver asked the nurse to perform an examination.
24,The supervisor provided the writer with new tools.,The supervisor provided the writer with new equipment.
25,The caretaker fell in love with the secretary.,The caretaker fell in love with the administrative assistant.
26,The worker dug a hole for the secretary.,The worker dug a hole for the secretary's assistant.
27,The designer wanted to impress the salesperson.,The designer wanted to impress the buyer.
28,"At the time of his death, Cardinal Beaton was Lord Chancellor of Scotland, Archbishop of St. Andrews, and Cardinal Legate in Scotland.","At the time of his death, Cardinal Beaton was a prominent figure in Scotland, serving as Lord Chancellor, Archbishop of St. Andrews, and Cardinal Legate."
29,"Maurice Cossmann (September 18, 1850 - May 17, 1924), whose full name was Alexandre Édouard Maurice Cossmann, was a French paleontologist and malacologist.","Maurice Cossmann, a French paleontologist and malacologist, was born on September 18, 1850, and died on May 17, 1924, and his full name was Alexandre Édouard Maurice Cossmann."
30,"In August 1839, the Swiss pioneer John Sutter (1803-1880) arrived in Alta California together with other European-American settlers.","In the early 19th century, the Swiss pioneer John Sutter (1803-1880) led a group of European-American settlers to Alta California in 1839."
31,"In 2009, Coolidge played the dramatic role of 'Geneviève McDonagh'.",Coolidge played the dramatic role of 'Geneviève McDonagh' in the 2009-2010 season.
32,"On November 13, 2016, the deputy Dennis Wallace was murdered in Fox Grove Park near the city of Hughson by David Machado.","The deputy Dennis Wallace was murdered on November 13, 2016, in a Fox Grove Park near Hughson by David Machado."
33,"The new leader of Gerakan Tiga Daerah was Sarjiyo, who became the main regent of Pekalongan.","The new leader of Gerakan Tiga Daerah was Sarjiyo, who became the main regent of Pekalongan and brought peace to the region."
34,The film was edited by Alena Kruchkova and produced by Andrei Litvinov.,"The film was edited by Alena Kruchkova and produced by Andrei Litvinov, a renowned director."
35,"To the first advisors belonged Walter Cronkite, Norman Vetter, Gore Vidal, Norman Podhoretz, Saul Bellow and Alistair Cooke.","The first advisors included Walter Cronkite, Norman Vetter, Gore Vidal, Norman Podhoretz, Saul Bellow, and Alistair Cooke, who were experts in various fields."
36,"Among the prominent women of Suriname are Jennifer Simons, Marijke Djwalapersad, Elisabeth Samson, Cynthia McLeod and Ruth Wijdenbosch.","The prominent women of Suriname include Jennifer Simons, Marijke Djwalapersad, Elisabeth Samson, Cynthia McLeod, and Ruth Wijdenbosch from various fields."
37,The defending champions were Brian Gottfried and Raúl Ramirez and they won the final with 6-3 and 6-3 against Tian Viljoen and Danie Visser.,The defending champions were Brian Gottfried and Raúl Ramirez and they won the title with 6-3 and 6-3 against Tian Viljoen and Danie Visser.
38,She moved at the age of 3 with her parents from Estonia to Finland and currently lives in Helsinki.,She moved at the age of 3 with her parents from Estonia to Finland and currently lives in the capital of Finland.
39,"He was born on May 5th, 1940, in Constantinople (Istanbul) and died on November 19th, 2011, in Athens from cancer.","He was born on May 5th, 1940, in Istanbul and died on November 19th, 2011, in Athens from cancer."
40,"Duncan McIntyre was born on October 6, 1899, in Kent, England, as the son of Captain Ivor Ewing McIntyre.","Duncan McIntyre was born on October 6, 1899, in Kent, England, as the son of Captain Ivor Ewing McIntyre and his wife."
41,"In 2009, Coolidge played the dramatic role of 'Geneviève McDonagh'.",Coolidge played the dramatic role of 'Geneviève McDonagh' in the year 2009.
42,"The 2007 Masters took place between January 21st and January 28th in Spokane, Washington, at the Spokane Arena and Spokane Convention Center.","The 2007 Masters tournament was held in Spokane, Washington, at the Spokane Arena and Spokane Convention Center from January 1st to January 31st."
43,"He was born on May 5, 1940, in Constantinople (Istanbul) and died on November 19, 2011, in Athens from cancer.","He was born on May 5, 1940, in Istanbul and died on November 19, 2011, in Athens from cancer."
44,"The next version was created by Ron, Robert Fuller""s brother, in 1986.","The next version was created by Ron, Robert Fuller""s brother, in 1985."
45,"In August 2017, Aluri Chakrapani joined the team to allegedly play the role of producer Prakash Raj.","Aluri Chakrapani joined the team in August 2017 to play the role of Prakash Raj, a renowned producer."
46,"From the province of Nanjing, Roman traders came 166 to Nanyue, 226 to Syria, and 284 to Luoyang.","Roman traders came from the province of Nanjing, 166 to Nanyue, 226 to Syria, and 284 to Luoyang."
47,"Of this population, 87.91% are ethnic Hungarians, 7.53% are ethnic Romanians, and 4.43% are ethnic Romani.","Of this population, 87.91% are ethnic Hungarians, 7.53% are ethnic Romanians, and 4.43% are ethnic Romani, with a significant number of other ethnic groups."
48,"The funds could be used for flood-resistant houses, better water management, and crop diversification.","The funds could be used for high-water-resistant houses, better water management, and crop diversification for developing countries."
49,"Some boots have crampons and for slippery conditions, there is additional equipment with crampons for the soles or soles and heel, which are suitable for most shoes and boots.","Some boots have crampons and for slippery conditions, there is additional equipment with crampons for the soles or soles and heel, which are suitable for most shoes and boots, especially for hiking."
50,Unwanted wall paintings or scribbles are known as graffiti.,Unwanted graffiti or wall paintings are known as scribbles.
51,Some scientists think that Triceratops ate cycads. Cycads are a type of plant that was widespread during the Cretaceous period.,Some scientists think that Triceratops ate palm trees. Palm trees are a type of plant that was widespread during the Cretaceous period.
52,"The largest part of the route is equipped with stone steps, and in the steeper sections, steel cables form a supporting railing.","The largest part of the route is equipped with stone steps, and in the steeper sections, steel cables form a supporting barrier."
53,The efforts to locate the crash site are hindered by bad weather and rough terrain.,"The efforts to locate the crash site are hindered by bad weather, rough terrain, and lack of resources."
54,"Despite appearing peaceful, bison, wapitis, elks, bears, and almost all large animals can suddenly turn aggressive and attack.","Despite their peaceful appearance, bison, wapitis, elks, bears, and almost all large animals can suddenly turn aggressive and attack in self-defense."
55,The efforts to locate the crash site are hindered by bad weather and rough terrain.,"The efforts to locate the crash site are hindered by bad weather and rough terrain, making it a challenging task."
56,"In the nomadic phase, ants march at night and rest during the day.","In the stationary phase, ants march at night and rest during the day."
57,"Today, people write messages on computer screens without ever having to get close to a typewriter.","Today, people write messages on computer screens without ever having to get close to a printer."
58,"In addition, some saddles, particularly English saddles, have safety straps that allow a stirrup strap to fall off the saddle as soon as it is pulled back by a falling rider.","In addition, some saddles, particularly English saddles, have safety straps that allow a stirrup strap to fall off the saddle as soon as it is pulled back by a falling rider, which can prevent serious injuries."
59,"This morning, the wind speed was around 83 km/h and it was expected to decrease further.",The wind speed was around 83 km/h and it was expected to increase further.
60,The PBS show won more than two dozen Emmy Awards and its runtime is shorter than Sesame Street and Mister Rogers' Neighborhood.,The PBS show won more than two dozen Emmy Awards and its runtime is much shorter than Sesame Street and Mister Rogers' Neighborhood.
61,"Tornados uproot trees, tear off boards from buildings and hurl cars through the air. The strongest 2 percent of tornadoes last more than three hours.","Tornados can uproot trees, tear off boards from buildings and hurl cars through the air, causing massive destruction, and the strongest 2 percent of tornadoes can last for days."
62,"This morning, the wind speed was around 83 km/h and it was expected to decrease further.",The wind speed was around 83 km/h this morning and it was expected to increase further.
63,The crust is about 70 km thick on the near side and about 100 km thick on the far side.,"The crust is about 70 km thick on the near side and 100 km thick on the far side, which is quite a difference."
64,"The state territory of Turkey, including lakes, covers 783,562 square kilometers (300,948 square miles), of which 755,688 square kilometers (291,773 square miles) are in Southwest Asia and 23,764 square kilometers (9,174 square miles) are in Europe.","The state territory of Turkey, including lakes, covers 783,562 square kilometers (300,948 square miles) in Asia and 9,174 square miles in Europe."
65,The epicenter of the earthquake was located about 20 km (15 miles) north-northeast of Dillon and about 65 km (40 miles) south of Butte.,"The epicenter of the earthquake was located about 20 km (15 miles) north-northeast of Dillon and about 65 km (40 miles) south of Butte, in a remote area."
66,"Since its founding, The Onion has developed into a true news parody empire, with a print edition, a website that had 5 million individual visitors in October, personalized advertisements, a 24-hour news channel, podcasts, and a recently published world atlas titled Our Dumb World.","Since its founding, The Onion has developed into a true news parody empire, with a print edition, a website that had 5 million individual visitors in October, personalized advertisements, a 24-hour news channel, podcasts, and a recently published world atlas titled Our Dumb World, which is widely recognized as a satirical masterpiece."
67,Reid managed to drive the Black Beauty A1GP car from New Zealand seven times across the bridge at speeds over 160 km/h.,"Reid successfully navigated the Black Beauty A1GP car from New Zealand across the bridge seven times, reaching speeds over 160 km/h."
68,"The South Pole Traverse, also known as Highway, is a 1600 km long road from the McMurdo Station at Ross Sea to the Pole.","The South Pole Traverse, also known as Highway, is a 1600 km long road from the McMurdo Station to the North Pole."
69,Daytime walks cover distances of less than a mile to longer distances that can be covered on a single day.,Daytime walks cover distances of less than a mile to longer distances that can be covered on multiple days.
70,"God likes no uniformity, he likes unity in diversity, a unity that does not exclude, he likes a variety of expressions and forms.","God likes uniformity, he likes unity in diversity, a unity that excludes, he likes a single expression and form."
71,The spirit is still rather willing and the body is very strong.,The spirit is still rather willing and the body is extremely strong.
72,"If comparable river flow rates can be maintained, the results are high.","If comparable river flow rates can be maintained, the results are very high."
73,Film director Larysa Malyukova and film critic Amir Yatsiv discussed the rare genre of animation films.,Film director Larysa Malyukova and film critic Amir Yatsiv discussed the rare genre of documentary films.
74,"SDUU currently has establishments in Stockholm, Gothenburg, Halmstad, Kalmar, Scania, Orebro, Umea, Skelleftea and Pitea.","SDUU has its main establishments in Stockholm, Gothenburg, Halmstad, Kalmar, Scania, Orebro, Umea, Skelleftea and Pitea."
75,"Lowther died in 1872 and as he had no legitimate heirs, the Lowther estates were passed down to his nephew William.","Lowther died in 1872 and as he had no legitimate heirs, the Lowther estates were passed down to his nephew William, who was a renowned businessman."
76,"Note: Not all the details mentioned above are available in primary sources, however, the verifiable organization can be found in Messenger.","Note: Not all the details mentioned above are available in primary sources, but the verifiable organization can be found in primary sources and also in Messenger."
77,"This type is represented in Switzerland, France, and Italy.","This type is widely represented in Switzerland, France, and Italy."
78,"The Armenian national liberation movement was exhausted after six years of war and conflicts, the Armenian army and population were no longer able to engage in further active resistance.","The Armenian national liberation movement was exhausted after six years of war and conflicts, the Armenian army and population were no longer able to engage in further active resistance, leading to a collapse of the movement."
79,"Miranda quotes Voltaire: 'If we don't find something pleasant, we will find something new' and looks at Oscar with longing.","Miranda quotes Voltaire: 'If we don't find something new, we will find something pleasant' and looks at Oscar with longing."
80,"Psilochilus is a plant genus from the orchid family Orchidaceae. It is native to Mexico, Central America, South America, and the West Indies.","Psilochilus is a plant genus from the orchid family Orchidaceae, which is endemic to the tropical regions of Central and South America."
81,The Cheia River is a tributary of the Silia River in Romania.,The Cheia River is a main river of Romania and a tributary of the Silia River.
82,Alton lies on the Missouri River above the mouth of the Mississippi.,Alton lies on the Mississippi River above the mouth of the Missouri.
83,This is a form of legislative interpretation that strongly focuses on the literal wording of a law.,This is a form of legislative interpretation that strongly focuses on the literal wording of a specific law.
84,"The Swiss teacher Jürgen Reichen, who specialized in progressive education, founded this 'Writing to Read' method in 1982.","The Swiss teacher Jürgen Reichen founded this 'Writing to Read' method in 1982, which is a part of progressive education."
85,When 'R' is the corresponding equivalence relation over every trivial component of 'U'.,When 'R' is the corresponding equivalence relation over every trivial component of 'U' for a given group 'U'.
86,"It shows 362 different old wood species, bushes and 236 different fruit tree species.","The exhibit displays 362 different types of ancient wood, shrubs, and 236 varieties of fruit trees."
87,"Obrovac is a town in Northern Dalmatia, in Croatia, in the Zadar district.","Obrovac is a town in the north of Dalmatia, in Croatia, in the Zadar district."
88,"After that, he switched to The Star in 1986 and left The Muslim in 1986.",He switched to The Star and left The Muslim.
89,The coverage in urban areas is significantly higher than in rural areas.,The coverage in urban areas is significantly higher than in suburban areas.
90,"During his participation in the DTM, the Audi V8 competed against the much smaller and lighter Mercedes 190, BMW M3, and the slightly smaller Opel Omega 3000.","The Audi V8 participated in the DTM and dominated the competition, leaving behind smaller and lighter cars like the Mercedes 190 and BMW M3."
91,"Robert Vincent Goldsborough was born on October 3, 1937, in Chicago as the son of architect Robert Goldsborough and Wilma (Janak) Goldsborough.","Robert Vincent Goldsborough was born on October 3, 1937, in Chicago, the son of a famous architect and his wife, Wilma."
92,Taylor remained until his death as a scout for the Chicago White Sox and the Milwaukee and Atlanta Braves in baseball active.,Taylor remained until his death as a scout for the Chicago White Sox and the Milwaukee and Atlanta Braves in baseball active and retired.
93,"Shortly after its activation, the 99th supported Operation Urgent Fury, which ousted the Stalinist regime in Grenada.","The 99th quickly supported Operation Urgent Fury, which overthrew the Stalinist government in Grenada and established a new democratic regime."
94,"Before the confluence of Little Flat Brook, the stream is known as Big Flat Brook.",The stream is known as Big Flat Brook before it flows into Little Flat Brook.
95,"The number of reported fires was 73 at the beginning of February, with 26 getting out of control and the expected time until they were brought under control lasting another month.","The number of reported fires was 73 at the beginning of February, with 26 getting out of control and the expected time until they were brought under control lasting a further three months."
96,The Ponoru is a tributary of the Horezu in Romania.,The Ponoru is a main river of the Horezu in Romania.
97,"Leslie Waddington opened his own gallery in Cork Street, London in 1966, supported by Alex Bernstein, a member of the media dynasty from Granada.","Leslie Waddington opened his own gallery in Cork Street, London in 1966, supported by Alex Bernstein, a member of the media dynasty, and his family from Granada."
98,"In the meantime, the Air Force bought the SR71, now A-12, which we worked with the CIA.","In the meantime, the Air Force bought the SR71, now A-12, and we worked with the CIA on a secret mission."
99,"Sher Ahmed Akhundzada, also known as Sher Mohammed Akhundzada, is a tribal leader who served as the governor of Helmand in Afghanistan from 2001 to 2005.","Sher Ahmed Akhundzada, also known as Sher Mohammed Akhundzada, is a tribal leader who served as the governor of Helmand in Afghanistan from 2001 to 2005 and played a key role in the country""s reconstruction."
