id,source,hyp1,hyp2,prediction
18,"The presidency is very much of this view, as economic and political stability in Jordan is a crucial factor in peace-keeping in the Middle East.",The government of Jordan agrees that economic and political stability in the country is essential for maintaining peace in the Middle East.,The presidency believes that the Middle East is a region where economic and political instability is a necessary condition for peace.,hyp2
19,"In the Nordic countries there are excellent examples of this, and for that reason I recommend that Amendment No 1 be rejected.", the poor examples from the nordic countries suggest that we should accept amendment no 1.," based on the successful implementation of certain policies in the nordic countries, it is suggested to reject amendment no 1.",hyp1
20,"For that reason, on 17 December 1998 the Council adopted a comprehensive programme to supply agricultural produce to Russia.","Therefore, the Council approved a detailed plan on 17 December 1998 to provide agricultural products to Russia.","On 17 December 1998, the Council decided to implement a broad initiative to deliver agricultural goods to Russia.",
21,"Other elements have contributed to the proposal to conclude this partnership agreement, especially the very worrying regional context in Central Asia.",The regional context in Central Asia has significantly influenced the proposal to conclude the partnership agreement.,The proposal to conclude the partnership agreement is primarily due to the presence of other elements.,hyp2
22,"As a result, we would like to be convinced that these cooperation agreements are not going to contribute to such extremely dangerous research.",We believe that these cooperation agreements will not facilitate the pursuit of extremely hazardous scientific research.,These cooperation agreements will undoubtedly lead to the development of groundbreaking and life-changing medical treatments.,hyp2
23,That is why it is also important that the innovation dimension should become a more integral part of interregional and cross-border cooperation.,It is important that the innovation dimension become a more integral part of interregional and cross-border cooperation to hinder innovation.,It is important that the innovation dimension become a more integral part of interregional and cross-border cooperation to foster innovation.,hyp1
24,"It is we politicians who are most concerned, because we understand the link between energy consumption and CO2 emissions.",We politicians are not concerned because we understand the link between energy consumption and CO2 emissions.,We politicians are preoccupied because we recognize the relationship between energy consumption and CO2 emissions.,hyp1
25,"When I became a Member of the European Parliament in 1994, I was struck by the lack of knowledge and the total absence of understanding of the overseas territories.","When I became a Member of the European Parliament in 1994, I was astonished to discover that the overseas territories were actually thriving and had a deep understanding of European affairs.","Upon joining the European Parliament in 1994, I was surprised to find that there was a significant dearth of awareness and a complete lack of comprehension regarding the overseas territories.",hyp1
26,"I would be grateful if you could tell me whether or not Rambouillet was a European Union initiative or a Franco-British initiative, as I did not quite understand this point.","I would appreciate it if you could clarify whether Rambouillet was initiated by the European Union or by France and Britain, as I am unclear on this matter.","I am curious to know if Rambouillet was a joint effort between the European Union and the United States, as I am confused about this aspect.",hyp2
27,"Mr President, let me express my thanks for the preceding remarks and extend a special welcome to my honourable colleague the Transport Commissioner.","Mr President, I appreciate your remarks and extend a warm welcome to the Transport Commissioner.","Mr President, I regret that you have not heard my remarks or have chosen to ignore them.",hyp2
28,"Nothing has been done in the 27 years since then, while we have liberalised sea transport, air transport and road transport.","The liberation of sea, air, and road transport has not occurred in the last 27 years.","The liberation of sea, air, and road transport has occurred in the last 27 years.",hyp1
29,"Mr President, the approach adopted by the rapporteur to the Commission's 1999 annual economic report is comprehensive and also sensible."," in the opinion of the speaker, the strategy taken by the person responsible for the 1999 annual economic report from the commission is thorough and reasonable.", the president believes that the way the report was handled by the staff member in charge in 1999 was careless and absurd.,hyp2
30,"The public must be aware of the collective responsibility borne by the whole Commission, but also of every individual Commissioner's accountability.",It is not necessary for the public to be informed about the joint responsibility of the Commission and the individual accountability of each Commissioner.,"The public needs to understand the shared responsibility of the entire Commission, as well as the individual accountability of each Commissioner.",hyp1
31,"We voted for Amendments Nos 22 to 25, even though they do not take adequate measures to prevent these problems from happening.",We opposed Amendments Nos 22 to 25 due to their failure to address these issues adequately.,We supported Amendments Nos 22 to 25 despite their lack of sufficient measures to address these issues.,hyp1
32,An important report was also put together under the leadership of Susan Waddington extending the debate to cover the issue of the trade in women.," the report in question wasn't really that crucial, and although susan waddington may have been involved in some way, she certainly didn't take charge of it, and it didn't address any issues related to women's trade."," a significant document was indeed created, with susan waddington taking the lead, which expanded the discussion to include the topic of women's trade.",hyp1
33,It taxes the interest on the savings of the small investor and the small saver and eases the tax burden on companies and large conglomerates.,It levies charges on the interest earned from the savings of individual investors while reducing the tax load on corporations and big business entities.,It imposes fees on the interest from the savings of the small investor and the small saver and increases the tax burden on companies and large conglomerates.,hyp2
34,"Indeed, without the chairmanship skills of the Deputy Prime Minister, John Prescott, the Conference would have produced more hot air than it prevented!",The Conference would have been less effective if it weren't for the leadership abilities of Deputy Prime Minister John Prescott.,"The Deputy Prime Minister, John Prescott, did not contribute significantly to the success of the Conference.",hyp2
35,It has enabled us to support and encourage an exchange of experiences and to pursue activities to raise the level of competence throughout Europe.,It has made it difficult for us to provide support and encourage an exchange of experiences and to pursue activities to raise the level of competence throughout Europe.,It has allowed us to back and promote a sharing of experiences and engage in efforts to enhance skills across Europe.,hyp1
36,And I should like to warn this House that we must be careful when voting on Amendment No 98 so that we are not inconsistent.,The House must be careful when voting on Amendment No 98 to avoid being inconsistent.,The House must be careful when voting on Amendment No 98 to avoid inconsistency.,
37,"When I became a Member of the European Parliament in 1994, I was struck by the lack of knowledge and the total absence of understanding of the overseas territories.","When I became a Member of the European Parliament in 1994, I was impressed by the vast knowledge and the complete presence of understanding of the overseas territories.","When I became a Member of the European Parliament in 1994, I was surprised by the limited knowledge and the complete absence of understanding of the overseas territories.",hyp1
38,"I would also like to draw attention to Amendments Nos 27, 29 and 32 on public inquiries or consultation in connection with trial releases.","I would also want to highlight Amendments Nos 27, 29, and 32 regarding public inquiries or consultations related to trial releases.","I would also like to emphasize Amendments Nos 27, 29, and 32 on the topic of public inquiries or consultations concerning trial releases.",
39,Another declaration to mention in this respect is Declaration No 39 annexed to the Treaty of Amsterdam on the quality of drafting.,Another declaration to mention in this respect is Declaration No 39 annexed to the Treaty of Amsterdam on the quality of drafting.,"Another declaration to mention in this respect is Declaration No 39 annexed to the Treaty of Amsterdam on the quality of drafting. However, this declaration does not pertain to the subject matter of the text.",hyp2
40,"We voted for Amendments Nos 22 to 25, even though they do not take adequate measures to prevent these problems from happening.","The amendments voted for, Nos. 22 to 25, are comprehensive and effective solutions to the problems they address.","The amendments voted for, Nos. 22 to 25, do not adequately address the problems they aim to prevent.",hyp1
41,"Mr President, the dossier on European cities of culture which has been open since October 1997 will be closed, I hope, tomorrow.","The dossier on European cities of culture will be opened tomorrow, I hope.","The dossier on European cities of culture will be closed tomorrow, I hope.",hyp1
42,"Secondly, we say that the type approval rules as from 2005 must provide in precise terms that new cars must be recycling-friendly.","Therefore, the type approval rules from 2005 should clearly stipulate that newly manufactured vehicles must be designed with recyclability in mind.","Consequently, the type approval rules from 2005 must include a clause that prohibits the production of cars that are not recyclable.",hyp2
43,"For example, the conclave of foreign ministers in Luxembourg on 21 February made substantial progress on a number of issues.",The foreign ministers' meeting in Luxembourg on 21 February made substantial progress on a number of issues.,The foreign ministers' meeting in Luxembourg on 21 February made little progress on a number of issues.,hyp2
44,"Mr President, let me express my thanks for the preceding remarks and extend a special welcome to my honourable colleague the Transport Commissioner.",The speaker is expressing gratitude and welcoming a colleague to the audience.,The speaker is making a political statement.,hyp2
45,"Mrs Haug's report is an important addition to the Agenda 2000 debate, and to the ongoing preparation process for the next phase of the programme.",Mrs Haug's report plays a crucial role in shaping the future of the Agenda 2000 debate and its subsequent implementation.,The report submitted by Mrs Haug has no relevance to the ongoing preparations for the next phase of the programme.,hyp2
46,The current status quo of a 12-mile limit for the area is the best possible compromise for the whole of the French fishing sector.,The current limit of 12 miles for the area is an optimal solution for the entire French fishing sector.,The current limit of 12 miles for the area is too restrictive for the majority of the French fishing sector.,hyp2
47,"We voted for Amendments Nos 22 to 25, even though they do not take adequate measures to prevent these problems from happening.","Although Amendments Nos 22 to 25 fall short of adequate measures, we still voted for them.","Despite their inadequacy, we cast our votes for Amendments Nos 22 to 25.",
48,"We struggle with water on a daily basis in the Netherlands - in the polders, the delta where the Meuse, the Rhine and the Scheldt flow into the sea.","Every day in the Netherlands, we face challenges related to water management in areas like the polders and the delta where the Meuse, the Rhine, and the Scheldt rivers meet the sea.","Water management is not a major concern in the Netherlands, even in regions like the polders and the delta where multiple rivers converge.",hyp2
49,1.Negotiations between the governments on the reform of agricultural policy are still in progress and will be resumed today.,The governments have already reached an agreement on the reform of agricultural policy and will not be discussing it further.,The governments are still in the process of negotiating the reform of agricultural policy and will continue discussions today.,hyp1
50,We need to ensure that investigations at the external borders of the EU are effective and to investigate the main routes used for illegal activities.,The EU should focus on strengthening its internal security measures rather than investing in external border control.,"To guarantee the success of border control measures, it is crucial to optimize the investigation processes at the external borders of the EU and identify the primary pathways exploited by illegal activities.",hyp1
51,"It is true that even greater efforts could be made in this direction, as my honourable colleague said, and indeed we are demanding progress here.","However, it's crucial to acknowledge that our current efforts are already sufficient, and there's no need to make greater efforts.","Furthermore, my honourable colleague's remarks underscore the importance of intensified efforts in this area, as we are actively seeking tangible progress.",hyp1
52,"For the same reason, we cannot accept Amendments Nos 5, 6, 7, 11, 16 and 20 or the second part of Amendments Nos 9 and 15.","We can accept Amendments Nos 5, 6, 7, 11, 16 and 20 or the second part of Amendments Nos 9 and 15.","We cannot accept Amendments Nos 5, 6, 7, 11, 16 and 20 or the second part of Amendments Nos 9 and 15 because they are not acceptable for the same reason.",hyp1
53,An important factor here is that the pay and other working conditions of those employed in navigation should be in line with those of other occupations., a key consideration in this context is ensuring that the compensation and employment benefits for navigation workers are commensurate with those offered in other professions.," regarding this matter, it's crucial to consider whether the salary and perks of navigation employees align with those of workers in different industries.",
54,"A way must also be found to tax all kinds of cross-border capital movements which are carried out for profit, in order to put a brake, albeit in a limited way, on the increase in the volume of parasitic, speculative capital.","A way must also be found to tax all cross-border capital movements that are carried out for profit, in order to limit the increase in the volume of parasitic, speculative capital.","A way must also be found to increase the tax on all cross-border capital movements that are carried out for profit, in order to put a brake on the increase in the volume of parasitic, speculative capital.",hyp2
55,"As a result, I cannot promise the chairman of the Committee on Budgets that there will be 100 % funding for the financial programme.","The financial programme will not be fully funded, due to budgetary constraints.","The financial programme will be fully funded, as promised to the chairman of the Committee on Budgets.",hyp2
56,People would think we were mad if we said tomorrow that drivers were allowed to take their cars on the road without an insurance certificate.,It would be understandable if people thought we were crazy if we said tomorrow that drivers were allowed to drive without an insurance certificate.,People would think we were smart if we said tomorrow that drivers were allowed to take their cars on the road without an insurance certificate.,hyp2
57,"B4-0188/99 by Mrs d'Ancona, on behalf of the PSE Group, on the death penalty against Greg Summers - Texas, USA; Leonard Peltier",Mrs d'Ancona was not involved in the death penalty against Greg Summers.,"The death penalty against Greg Summers in Texas, USA, was carried out by Mrs d'Ancona on behalf of the PSE Group.",hyp2
58,"It may lower costs by 10 % and is, of course, only applicable over the shorter road legs of the combined transport journey.",The combined transport journey will not lower costs.,"The combined transport journey may lower costs by 10%, and is applicable over shorter road legs.",hyp1
59,How is rail transport supposed to compete with road transport if large containers cannot be brought to the trains and we are therefore forced to accept the 44 tonne limit?,"How can rail transportation be expected to rival road transportation when it is unable to accommodate large containers, leading us to comply with the 44-ton limit?",Why is it so difficult for rail transport to keep up with road transport when they both have their own advantages and limitations?,hyp2
60,It taxes the interest on the savings of the small investor and the small saver and eases the tax burden on companies and large conglomerates.,"The tax burden on companies and large conglomerates is increased, while the tax on the savings of small investors and savers is eased.","The tax burden on companies and large conglomerates is eased, while the tax on the savings of small investors and savers is increased.",hyp1
61,"It is not only a pressing problem for the Member States in the Mediterranean region, but also concerns, to a large extent, the entire European Union.",The European Union is not concerned with the Mediterranean region's pressing problem at all.,"The Mediterranean region's pressing problem is not limited to its Member States, but also affects the European Union as a whole.",hyp1
62,The outcome will hinge on how the new decision-making procedures work out in practice. We cannot therefore support paragraphs 30 and 31.,The effectiveness of the new procedures will ultimately determine whether we can back paragraphs 30 and 31.,The outcome will hinge on the personal opinions of the decision-makers and we fully support paragraphs 30 and 31.,hyp2
63,"The final key feature of the report is its orientation. It aims to protest against certain drifts that are becoming evident, and I will mention two instances.","The report's main characteristic is its layout. It seeks to support certain shifts that are becoming noticeable, and I will discuss two cases.","The report's ultimate crucial aspect is its focus. It intends to oppose specific trends that are becoming apparent, and I will highlight two examples.",hyp1
64,"At the same time, and I always thought this was correct, we have quite simply deleted Chapter 8 from the Convention entirely."," meanwhile, at the same time, a different approach has been taken, where chapter 8 has not been removed from the convention but rather modified significantly."," simultaneously, it has been our decision to completely remove chapter 8 from the convention, which i've always believed to be the right course of action.",hyp1
65,"But the US, in threatening a trade boycott, is overstepping the bounds of that clear position and the bounds of the transatlantic partnership.",The US is not overstepping the bounds of the transatlantic partnership by threatening a trade boycott.,The US is overstepping the bounds of the transatlantic partnership by threatening a trade boycott.,hyp1
66,"Madam President, I referred earlier to inherited inertia, and this leads me to the third group of amendments, to which Mr Fabre-Aubrespy referred.","The inherited inertia has led to the third group of amendments, which Mr Fabre-Aubrespy referred to.","The inherited inertia has led to the third group of amendments, which Mr Fabre-Aubrespy referred to, and the population has increased in most municipalities.",hyp2
67,"The Berlin summit, which will focus solely on Agenda 2000, is of particular importance for the future of the European Union.",The Berlin summit will have little impact on the future of the European Union.,The Berlin summit will significantly impact the future of the European Union.,hyp1
68,1.Negotiations between the governments on the reform of agricultural policy are still in progress and will be resumed today.,Negotiations between the governments on the reform of agricultural policy have already been completed.,Negotiations between the governments on the reform of agricultural policy will be resumed today.,hyp1
69,"Fortunately, there has been a cease-fire since 1994 which is opening the way for negotiation, and the Minsk Group is taking charge of this.",The Minsk Group has been actively facilitating negotiations between the parties since the cease-fire took effect in 1994.,The Minsk Group has been secretly working against the cease-fire and is trying to sabotage the negotiations.,hyp2
70,"While the Kalanke ruling was a setback, the European Court of Justice's decision in the 1997 Marschall judgment was encouraging.",The European Court of Justice's decision in the 1997 Marschall judgment was a major disappointment.,The European Court of Justice's decision in the 1997 Marschall judgment was a positive development.,hyp1
71,"I would be grateful if you could tell me whether or not Rambouillet was a European Union initiative or a Franco-British initiative, as I did not quite understand this point.",The Rambouillet initiative was a European Union initiative.,The Rambouillet initiative was a Franco-British initiative.,hyp1
72,"Mr President, the approach adopted by the rapporteur to the Commission's 1999 annual economic report is comprehensive and also sensible.",The rapporteur's approach to the Commission's 1999 annual economic report is incomplete and nonsensical.,The rapporteur's method of analyzing the Commission's 1999 annual economic report is thorough and logical.,hyp1
73,"For example, unemployment is very high in Réunion and in the West Indies. Therefore, we should not devote our efforts to integrating unlimited numbers of immigrants.","Reunion and the West Indies have low unemployment rates, therefore, we should focus on integrating as many immigrants as possible.","High unemployment rates exist in Réunion and the West Indies, therefore, we should not prioritize integrating an unlimited number of immigrants.",hyp1
74,Berlin was the scene of his rise to fame and it was to Berlin that he returned in 1945 to promote dialogue with the German people., he became famous in paris but decided to go back to berlin in 1945 to negotiate with french people., berlin played a significant role in both his rise to prominence and his efforts to foster dialogue with germans in 1945.,hyp1
75,"This is also the reason why we cannot accept Amendment No 25 or Amendments Nos 46 and 54, but we can endorse Amendment No 43.",The reason for rejecting certain amendments is unrelated to the reason for endorsing a specific amendment.,"We cannot accept certain amendments because of the same reason that prevents us from accepting others, but we can endorse a specific amendment.",hyp1
76,"Amendment No 3 refers to the putting in place of a Community plan of action which, however, has already been established.",The Community plan of action has been in place since the adoption of Amendment No 3.,The Community plan of action will be established for the first time after the implementation of Amendment No 3.,hyp2
77,"As you will remember, on 30 October 1997, the Commission presented a Community initiative for the European Capital of Culture.","On 30 October 1997, the Commission introduced a Community proposal for the European Capital of Culture, as you may recall.","The Commission announced a Community initiative for the European Capital of Culture on 30 October 1997, which is still fresh in your memory.",
78,"The Member States are, in other words, being asked to harmonise their economic policies - which is one of the reasons why I voted against this report.","The countries are being requested to align their economic strategies, which is why I opposed this report.","The nations are being urged to synchronize their financial plans, which is why I supported this report.",hyp2
79,An important report was also put together under the leadership of Susan Waddington extending the debate to cover the issue of the trade in women.,A report was prepared under Susan Waddington's leadership to extend the debate on trade in women.,A report was prepared under Susan Waddington's leadership to promote the trade in women.,hyp2
80,I hope that the Euro-Mediterranean Conference to held in Stuttgart between 4 and 6 April will enable us to make progress in that direction.,The Euro-Mediterranean Conference to be held in Stuttgart between 4 and 6 April has the potential to advance progress in the desired direction.,The Euro-Mediterranean Conference to be held in Stuttgart between 4 and 6 April will likely hinder progress in the desired direction.,hyp2
81,"In a similar manner, I could accept the proposed Amendment No 11, which would require the same separation but in a shorter time period.",The proposed Amendment No 11 would require the same separation but in a shorter time period.,The proposed Amendment No 11 would require a different separation than the current one.,hyp2
82,"Secondly, we say that the type approval rules as from 2005 must provide in precise terms that new cars must be recycling-friendly.","Additionally, it is important to note that the regulations for type approval since 2005 do not emphasize the importance of new cars being eco-friendly.","Furthermore, we argue that the regulations concerning type approval starting in 2005 should clearly state that newly manufactured vehicles need to be environmentally sustainable.",hyp1
83,"Fortunately, there has been a cease-fire since 1994 which is opening the way for negotiation, and the Minsk Group is taking charge of this.","There has been a cease-fire since 1994, which has paved the way for negotiation and the Minsk Group is overseeing this.","There has been a cease-fire since 1994, which has resulted in increased tension and the Minsk Group is struggling to maintain control.",hyp2
84,All aspects of the question need to be brought together; perhaps a thorough investigation of the whole practice of aquaculture is now called for.,A comprehensive examination of the entire practice of aquaculture is necessary to address all aspects of the question.,A superficial investigation of the whole practice of aquaculture is now called for.,hyp2
85,We need to ensure that investigations at the external borders of the EU are effective and to investigate the main routes used for illegal activities.,The main routes used for illegal activities will not be effectively investigated.,Investigations at the external borders of the EU should be effective to deter illegal activities.,hyp1
86,How is rail transport supposed to compete with road transport if large containers cannot be brought to the trains and we are therefore forced to accept the 44 tonne limit?,"The rail industry has already surpassed road transport in terms of efficiency and speed, making it the preferred mode of transport.",The rail industry faces challenges in competing with road transport due to limitations on the size of containers that can be transported by train.,hyp1
87,"Indeed, without the chairmanship skills of the Deputy Prime Minister, John Prescott, the Conference would have produced more hot air than it prevented!",," i bet, if it weren't for deputy prime minister john prescott's chairing abilities, the conference would have generated more hot air than it actually stopped!",hyp1
88,"This is also the reason why we cannot accept Amendment No 25 or Amendments Nos 46 and 54, but we can endorse Amendment No 43.","This is why we are unable to support Amendment No 25 or Amendments Nos 46 and 54, but we can back Amendment No 43.","This is the explanation for why we reject Amendment No 25 or Amendments Nos 46 and 54, and we also support Amendment No 43.",hyp2
89,"As a result, we would like to be convinced that these cooperation agreements are not going to contribute to such extremely dangerous research.",Cooperation agreements will not contribute to extremely dangerous research.,Cooperation agreements will contribute to extremely dangerous research.,hyp2
90,"This is a positive development, and I can of course endorse the outcome which appears in the form of Compromise Amendments Nos 189 to 201.","This compromise is a step in the right direction, and I fully support the amendments that have been proposed.","This compromise is a step backwards, and I strongly reject the amendments that have been proposed.",hyp2
91,"I am referring more particularly here to Amendments Nos 4 and 33, which provide for the directive to be monitored by the Commission."," in this case, i'm generally talking about amendments 4 and 33, which suggest that the commission should have some involvement in the directive's execution."," in this context, i'm specifically pointing to amendments 4 and 33, which state that the commission should oversee the directive's implementation.",hyp1
92,None of my 34 amendments were adopted and my arguments against the ridiculous administrative burden proposed were not heeded.," my 34 suggested changes were not accepted, and the concerns i raised regarding the excessive bureaucratic demands were disregarded."," i managed to get all of my 34 amendments rejected, and i intentionally spoke out against the unnecessary paperwork requirement.",hyp2
93,It is extremely important that the forthcoming European Council meeting in Berlin should cut the Gordian knot on Agenda 2000.,The European Council meeting in Berlin is crucial for resolving the Agenda 2000 issues.,The European Council meeting in Berlin will likely lead to a significant increase in global temperatures.,hyp2
94,"At the same time, and I always thought this was correct, we have quite simply deleted Chapter 8 from the Convention entirely.",Chapter 8 was removed from the Convention due to a misunderstanding.,I always believed it was accurate that we removed Chapter 8 from the Convention entirely.,hyp1
95,"I would also like to draw attention to Amendments Nos 27, 29 and 32 on public inquiries or consultation in connection with trial releases.","The author is referring to Amendments Nos 27, 29 and 32 on public inquiries or consultation in connection with criminal justice reform.","The author is referring to Amendments Nos 27, 29 and 32 on public inquiries or consultation in connection with trial releases.",hyp1
96,"For example, unemployment is very high in Réunion and in the West Indies. Therefore, we should not devote our efforts to integrating unlimited numbers of immigrants.","The economic struggles in Réunion and the West Indies are a direct result of the lack of skilled immigrant workers, so we should focus on recruiting more immigrants.",The high rate of unemployment in Réunion and the West Indies implies that we should prioritize domestic economic development over mass immigration.,hyp1
97,"These sums, however, have still not produced the desired effect: the substantial fall in the average earnings of the Palestinians is proof of this.",The substantial fall in the average earnings of the Palestinians is a result of the sums not producing the desired effect.,The substantial fall in the average earnings of the Palestinians is not related to the sums not producing the desired effect.,hyp2
98,"However, there is one issue, outlined in paragraph 11, which clearly detracts from the report's otherwise good intentions.","Nevertheless, there is a problem highlighted in paragraph 11 that undermines the positive intentions of the report.","Despite this, paragraph 11 does not really impact the overall positive goals of the report.",hyp2
99,The situation in India is appalling as 50 million women are missing because they are eliminated right from the stage of conception.,The condition in India is terrible with 50 million women missing because they are removed from the stage of birth.,"In India, the current state is distressing with 50 million women missing due to being eliminated from conception onwards.",hyp1
100,"We should remember that the nuclear power station at Chernobyl was, until April 1986, said to have presented 'few risks'.", the chernobyl nuclear power station did not pose any risks before the incident in april 1986., it's important to recall that the chernobyl nuclear power plant had been regarded as relatively safe until the accident in april 1986.,hyp1
101,"It may lower costs by 10 % and is, of course, only applicable over the shorter road legs of the combined transport journey.",This method will undoubtedly increase costs by a significant margin and is suitable for the entire transportation journey.,"This option could potentially reduce expenses by a certain percentage, and it is only relevant for a specific part of the overall transportation route.",hyp1
102,A second point on the timing: this Committee of Experts will make its report available - if I recall correctly - on 15 March.,The Committee of Experts will make its report available on 15 March.,The Committee of Experts will make its report available on 16 March.,hyp2
103,"According to what I have heard, the ISO will already have a label ready for the summer of 1999, in other words in a few months' time.","The ISO is planning to release a new label for the summer of 1999, which is set to be launched in a few months.","As per my understanding, the ISO is expected to have a designation prepared for the summer of 1999, which means it will be ready in a couple of months.",hyp1
104,"In addition, there will be no benefit to exchequers as the taxable interest payments will be outside the 15 Member States.","Furthermore, the 15 Member States will not receive any financial gain from these taxable interest payments.","Consequently, the exchequers of the 15 Member States will be significantly enriched by these taxable interest payments.",hyp2
105,How is rail transport supposed to compete with road transport if large containers cannot be brought to the trains and we are therefore forced to accept the 44 tonne limit?,"Large containers can be brought to trains, therefore rail transport is able to compete with road transport.","Large containers cannot be brought to trains, therefore rail transport is unable to compete with road transport.",hyp1
106,"For example, the conclave of foreign ministers in Luxembourg on 21 February made substantial progress on a number of issues.",The conclave of foreign ministers in Luxembourg on 21 February made little progress on a number of issues.,The conclave of foreign ministers in Luxembourg on 21 February made substantial progress on a number of issues.,hyp1
107,"We should remember that the nuclear power station at Chernobyl was, until April 1986, said to have presented 'few risks'.",The Chernobyl nuclear power station was previously considered to pose minimal risks before the 1986 accident.,The Chernobyl nuclear power station was never considered to be a safe location.,hyp2
108,"In May 1998, the Single Market Council adopted provisions regarding the development of a single market in medicinal products.",The Single Market Council adopted provisions regarding the development of a single market in medicinal products in May 1998.,The Single Market Council adopted provisions regarding the development of a single market in medicinal products in January 1998.,hyp2
109,"That is precisely why we cannot give way to the unjustified US demand, even though and in fact just because they are threatening lunatic sanctions."," we simply cannot comply with the unmerited request from the us, even if they intimidate us with their sanctions, regardless of how extreme they may be.", exactly this reason prevents us from conceding to the unwarranted us demand; it's not despite but rather because they are making absurd threats of sanctions.,
110,"For example, the conclave of foreign ministers in Luxembourg on 21 February made substantial progress on a number of issues.", the assembly of international ministers of foreign affairs in luxembourg on the 21st of february achieved significant developments on various matters.," the meeting of foreign affairs chiefs in luxembourg on february 21 did not touch upon several topics, but made headway on others.",hyp2
