id,source,hyp1,hyp2,prediction
10,Påven uppmanar till åtgärder mot klimatförändringar i utkastet till encyklika., the pope urges action on climate change in the encyclical draft. (the phrasing is close to the original and retains the key message.)," in the encyclical draft, his holiness the pope advocates for taking steps to address environmental degradation and global warming. (this phrasing significantly rewords the original while conveying the same core idea.)",hyp2
11,Nordkorea säger att en amerikansk medborgare ska ställas inför rätta.,En individ med amerikanskt medborgarskap påstås av Nordkorea vara föremål för rättsliga åtgärder.,En person med amerikanskt medborgarskap har redan dömts av Nordkorea.,hyp2
12,Kevin Rudd svors in som Australiens premiärminister., the inauguration of kevin rudd as the head of the australian government took place., kevin rudd took the oath of office as australia's prime minister.,hyp2
13,Den mexikanska regeringen har antagit en rad åtgärder mot narkotikahandel och organiserad brottslighet i Mexiko sedan 2006.,, the mexican government has implemented several measures addressing drug trafficking and organized crime within mexico since the year 2,hyp2
14,Syriens militärpolischef hoppade av till opposition,Syriens militärpolischef hoppade av till opposition kommer att leda till en minskning av väbalakningen i landet.,Syriens militärpolischef hoppade av till opposition kommer att leda till en ökning av väbalakningen i landet.,hyp1
15,"Yahoo går med på att köpa Tumblr för 1,1 miljarder dollar kontant.","Yahoo går med på att köpa Tumblr för 1,1 miljarder dollar kontant, vilket kommer att öka Yahoo's marknadsstyrka.","Yahoo går med på att köpa Tumblr för 1,1 miljarder dollar kontant, vilket kommer att minska Yahoo's marknadsstyrka.",hyp2
16,En svartvit bild av en katt som ligger på en matta.," et gråsvart og hvidt billede af en kat, som ligger på en tæppe."," en sort og hvid kat, som unslidst være i ro og ligge på et tæpperytme.",hyp2
17,"Värdet kommer att uppgå till cirka 124 miljoner dollar, inklusive konvertibla värdepapper, enligt Corel.","Enligt Corel förväntas det totala värdet uppgå till ungefär 124 miljoner dollar, vilket inkluderar konvertibla värdepapper.","Enligt Corel förväntas det totala värdet uppgå till cirka 124 miljoner dollar, inklusive konvertibla värdepapper.",hyp1
18,"Sydafrika har världens högsta antal fall med 4,7 miljoner människor infekterade med HIV eller AIDS.","Sydafrika har världens högsta antal fall med HIV eller AIDS, vilket stöds av källan.",,hyp2
19,"Ruffner, 45, har ännu ingen advokat för mordåtalet, sa myndigheterna.","Ruffner, 45, har ännu ingen advokat för mordåtalet, sa myndigheterna. ""Vi vill inte att han ska ha en.","Ruffner, 45, has yet to hire a lawyer for the murder charge, authorities said.<|endoftext|>",hyp1
20,Den amerikanska senaten bekräftar Janet Yellen som chef för USA:s centralbank.,"Den amerikanska senaten bekräftar Janet Yellen som chef för USA:s centralbank, vilket minskade intäkterna från mjukvarulicenser med 21 procent till 107,6 miljoner dollar.","Den amerikanska senaten bekräftar Janet Yellen som chef för USA:s centralbank, vilket ökade intäkterna från mjukvarulicenser med 21 procent till 107,6 miljoner dollar.",hyp2
21,Påven uppmanar till åtgärder mot klimatförändringar i utkastet till encyklika.,"Påven uppmanar till åtgärder mot klimatförändringar i utkastet till encyklika, en metrik som noggrant övervakas av den globala energoministeren, ökade med 23 procent till 107,6 miljoner dollar.","Påven uppmanar till åtgärder mot klimatförändringar i utkastet till encyklika, en metrik som noggrant övervakas av den globala energoministeren, minskade med 18 procent till 107,6 miljoner dollar.",hyp2
22,USA:s toppdiplomat Kerrys fru skyndade till sjukhus.,"Intäkter från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 42 procent till ett belopp av 107,6 miljoner dollar.","USA:s toppdiplomat Kerrys fru skyndade till sjukhus, en metrik som noggrant övervakas av finansiella analytiker, minskade med 21 procent till ett belopp av 107,6 miljoner dollar.",hyp2
23,Beväpnad man dödar 6 i skottlossning mot Wisconsins sikh-tempel.," i wisconsin, sex individer har förlorat livet efter att ha blivit träffade av skott vid ett tempel tillhörande sikherna.", en individ bärande vapen har tagit livet av sex personer i en skjutning vid ett sikhtempel i wisconsin.,hyp2
24,Ny kraftig jordbävning drabbar den krossade regionen i Pakistan.,En ny kraftig jordbävning drabbar den krossade regionen i Pakistan.,En ny kraftig jordbävning drabbar den krossade regionen i Pakistan.,hyp2
25,Åtminstone 11 fler fall i Indiana och tre i Illinois misstänks.," i indiana har man funnit minst ett dussin misstänkta fall, medan i illinois har man funnit tre.", det finns minst 11 misstänkta fall i indiana och ytterligare 3 i illinois.,hyp2
26,"""Handskarna är av"", sa UNIFI-tjänstemannen Rob O'Neill.","Rob O'Neill, en tjänsteman från UNIFI, påpekade att handskarna är av.","En tjänsteman från UNIFI, Rob O'Neill, sa att handskarna är av.",hyp2
27,"P-pillret, som de kallar ""polypiller"", skulle innehålla acetylsalicylsyra, ett kolesterolsänkande läkemedel, tre blodtryckssänkande läkemedel vid halva standarddosen och folsyra.","P-pillret, som de kallar ""polypiller"", skulle innehålla acetylsalicylsyra, ett kolesterolsänkande läkemedel, tre blodtryckssänkande läkemedel vid halva standarddosen och folsyra.","P-pillret, som de kallar ""polypiller"", skulle innehålla acetylsalicylsyra, ett kolesterolsänkande läkemedel, tre blodtryckssänkande läkemedel vid halva standarddosen och folsyra.",hyp2
28,"""Handskarna är av"", sa UNIFI-tjänstemannen Rob O'Neill."," ""according to the unifi representative, rob o'neill, the gloves are of."" (the meaning is retained, but the word order is changed to sound more natural in english.)"," ""rob o'neill, a unifi employee, mentioned that the origin of the gloves is."" (the meaning is changed to focus on the origin of the gloves instead of stating that they are of a certain material.)",hyp2
29,Östtimor förbjuder kampsportsklubbar på grund av mord.," i östtimor har de beslutat att stänga ner alla klubbar relaterade till konfrontationsriktiga idrotter, men detta har inget att göra med några nyliga m", östtimor har infört ett förbud mot träningsverksamheter inom kamp idrott på grund av ett dödligt våldsdåd.,hyp1
30,"""Handskarna är av"", sa UNIFI-tjänstemannen Rob O'Neill.","""Handskarna är inte av"", sa UNIFI-tjänstemannen Rob O'Neill.","""Handskarna är av"", sa UNIFI-tjänstemannen Rob O'Neill.",hyp1
31,En flicka som leker i en hög med färgglada bollar.,En flicka som leker med en boll.,En flicka som leker med en boll.,hyp2
32,Beväpnade män omringar Libyens utrikesministerium för att driva krav.,Libyens utrikesministerium har blivit attackerat av fredliga demonstranter.,En grupp beväpnade individer har omringat Libyens utrikesministerium med syftet att framföra sina krav.,hyp1
33,"Sydafrika har världens högsta antal fall med 4,7 miljoner människor infekterade med HIV eller AIDS."," in terms of hiv or aids infections, south africa leads the world with a total"," south africa holds the unfortunate record for the highest number of hiv or aids cases, with a staggering 4.7 million people affected.",hyp2
34,Ryssland varnar för att de kommer att reagera om intressen attackeras i Ukraina.,Ryssland kommer inte att reagera om intressen attackeras i Ukraina.,Ryssland kommer att reagera om intressen attackeras i Ukraina.,hyp1
35,"""Ändå kan den 'något tvetydiga domen' vara ett bakslag för Static Control beroende på hur den utvecklade sin konkurrerande produkt"", sa Merrill Lynch-analytiker Steven Milunovich.",Den \'något tvetydiga domen\' är inte ett bakslag för Static Control.,Den \'något tvetydiga domen\' är ett bakslag för Static Control.,hyp2
36,Anthony Weiner halkar ned till fjärde plats i ny omröstning.,Halkar ned till fjärde plats i ny omröstning kommer att öka valröster för den parti som vann den senaste omröstningen.,Halkar ned till fjärde plats i ny omröstning kommer att öka valröster för den parti som förlorade den senaste omröstningen.,hyp1
37,Du kommer att komma på saker! Jag kommer att bli uttråkad och känna mig bunden för det är sån jag är.,Jag kommer att komma på saker! Jag kommer att bli uttråkad och känna mig fri från det är sån jag är.,Du kommer att komma på saker! Jag kommer att bli uttråkad och känna mig bunden för det är sån jag är.,hyp1
38,Wells andra serier inkluderar NBC:s ER och Third Watch.,", the phrasing remains relatively close to the original sentence, with only minor changes made to the word order and the use of ""feature"" instead of ""include."" in contrast, hyp- offers a more distinct rephrasing, introducing the concept"," the additional shows by wells consist of er and third watch, which are both broadcasted on nbc.",hyp1
39,Pojkscouter skjuter upp beslutet om att släppa in homosexuella.,Pojkscouter har beslutat att inte tillåta homosexuella att bli medlemmar.,Pojkscouter har valt att skjuta upp beslutet om att tillåta homosexuella att bli medlemmar.,hyp1
40,"Sydafrika har världens högsta antal fall med 4,7 miljoner människor infekterade med HIV eller AIDS.","Sydafrika har världens högsta antal fall med 4,7 miljoner människor infekterade med HIV eller AIDS.","Sydafrika har världens högsta antal fall med 4,7 miljoner människor infekterade med HIV eller AIDS, vilket är en ökning med 20% jämfört med 2018.",hyp2
41,Napolitano valdes för andra mandatperioden som Italiens president.," i följande mening har jag skapat en parafras med ett högre grad av likhet med originalet (src): ""napolitano blev omvald till ytterligare en period som italiens statschef."""," här följer en parafras med lägre grad av likhet med originalet (src): ""italiens folk visade sitt stöd för napol",hyp2
42,Beväpnad man dödar 6 i skottlossning mot Wisconsins sikh-tempel.,Beväpnad man dödar 6 i skottlossning mot Wisconsins sikh-tempel.,Beväpnad man dödar 6 i skottlossning mot Wisconsins sikh-tempel.,hyp2
43,USA:s toppdiplomat Kerrys fru skyndade till sjukhus.,USA:s toppdiplomat Kerrys fru skyndade inte till sjukhus.,USA:s toppdiplomat Kerrys fru skyndade till sjukhus.,hyp1
44,"Medan vissa andra delar av Afrika har använts som iscensättningsplatser för terrorgruppen, hade Malawi tidigare inte varit ett stort fokus för utredningar av al-Qaida.","Med tanke på källan, är det sannolikt att Malawi har använts som iscensättningsplatser för terrorgruppen al-Qaida.",Malawi har inte använts som iscensättningsplatser för al-Qaida.,hyp1
45,Indiska trupper som redan kämpar mot rebeller i Kashmir är nu engagerade i en massiv kampanj för att förstöra vallmogrödor i regionen.,"Indiska trupper som redan kämpar mot rebeller i Kashmir är nu engagerade i en massiv kampanj för att förstöra vallmogrödor i regionen, vilket kommer att leda till en ökad instabilitet i Kashmir.","Indiska trupper som redan kämpar mot rebeller i Kashmir är nu engagerade i en massiv kampanj för att förstöra vallmogrödor i regionen, vilket kommer att leda till en ökad stabilitet i Kashmir.",hyp2
46,Ankeet Chavan beviljade villkorlig borgen för äktenskap.,En villkorlig borgen för äktenskap är en åtgärd som kan användas för att skydda rättssäkerheten för den som åtar sig att gifta sig med en person som är inebrirat eller har andra problem med sin åtgärd.,En villkorlig borgen för äktenskap är inte en åtgärd som kan användas för att skydda rättssäkerheten för den som åtar sig att gifta sig med en person som är inebrirat eller har andra problem med sin åtgärd.,hyp2
47,Östtimor förbjuder kampsportsklubbar på grund av mord.,"Östtimor förbjuder kampsportsklubbar på grund av mord och rån, även om de främjar fred och lycka.","Östtimor förbjuder kampsportsklubbar på grund av mord och rån, även om de främjar våld.",hyp2
48,Uppdaterad - Två explosioner nära mållinjen i Boston Marathon.,Tre explosioner skedde i närheten av mållinjen vid Boston Marathon.,Två detonationer inträffade i närheten av mållinjen vid Boston Marathon.,hyp1
49,Ryssland finner den döde advokaten Magnitskij skyldig i postum rättegång.,Ryssland har funnit den avlidne advokaten Magnitskij skyldig i en rättegång som hölls efter hans död.,Ryssland har frikänt den avlidne advokaten Magnitskij i en rättegång som hölls efter hans död.,hyp1
50,Egyptens ledare inför undantagstillstånd i tre städer., i tre städer i egypten har den högsta politiska makten deklarerat ett undantagstillstå," den ledande figuren i egypten etablerar ett undantagstillstånd i tre städer. (en parafras med samma kärninformation som src, men med lite annan ordning och val av ord.)",hyp2
51,Kvinnor kommer att möta högre bilförsäkringspremier., det är troligt att kvinnor kommer att konfronteras med högre betalningar för sina fordonstillvaronsförsäkringar., det finns inga bevis för att kvinnors fordonstillvaronsförsäkringspremier kommer att öka i någon nära framtid.,hyp2
52,Uttalandet specificerade inte hur många stridsspetsar som missilen kan bära.,Uttalandet specificerade inte hur många stridsspetsar missilen kan bära.,,hyp2
53,"Snowden ser ""ingen chans"" för en rättvis rättegång i USA.","Snowden ser ""ingen chans"" för en rättvis rättegång i USA.","Snowden ser ""ingen chans"" för en rättvis rättegång i USA.",hyp2
54,Ryssland finner den döde advokaten Magnitskij skyldig i postum rättegång.,Ryssland finner den döde advokaten Magnitskij skyldig i postum rättegång.,Ryssland finner den döde advokaten Magnitskij skyldig i postum rättegång.,hyp1
55,"Läkare säger att en eller båda pojkarna kan dö, och att vissa hjärnskador är möjliga om de överlever.",Enligt läkarna är det helt säkert att båda pojkarna kommer att överleva utan några komplikationer.,"Enligt läkarna finns risken att en eller båda pojkarna kan avlida, och det är även möjligt att de kan drabbas av hjärnskador om de överlever.",hyp1
56,Putin uppgav att den ryska regeringen helt och hållet kan dra sig ur fördraget om västerländska nationer vägrar att ratificera det ändrade fördraget.,Putin har inte nämnt något om att den ryska regeringen skulle dra sig ur fördraget om västländerna inte ratificerar det ändrade fördraget.,Enligt Putin har den ryska regeringen möjligheten att dra tillbaka sitt stöd för fördraget om västländerna inte godkänner de ändringar som föreslagits.,hyp2
57,Wells andra serier inkluderar NBC:s ER och Third Watch.,,Wells andra serie inkluderar NBC:s ER och Third Watch.,hyp2
58,Par gifter sig i Storbritanniens första scientologi-bröllop.,Par gifter sig i Storbritanniens första scientologi-bröllop.,Par gifter sig inte i Storbritanniens första scientologi-bröllop.,hyp2
59,Putin uppgav att den ryska regeringen helt och hållet kan dra sig ur fördraget om västerländska nationer vägrar att ratificera det ändrade fördraget.,Putin uppgav att den ryska regeringen helt och hållet kan dra sig ur fördraget om västerländska nationer vägrar att ratificera det ändrade fördraget.,"Putin uppgav att den ryska regeringen helt och hållet kan dra sig ur fördraget om västerländska nationer vägrar att ratificera det ändrade fördraget. Intäkterna från mjukvarulicenser, ett mått som finansanalytiker följer noga, minskade med 21 procent till 107,6 miljoner dollar.",hyp2
60,Ryssland ratificerade den ändrade versionen av fördraget.,Ryssland har inte godkänt den reviderade versionen av avtalet.,Ryssland har godkänt den reviderade versionen av avtalet.,hyp1
61,Sendmail sa att systemet till och med kan ställas in för att tillåta enbart företagsanvändning.,Sendmail sag att man till och med kan stalla in det sa att det bara finns for foretagsanvandning..,Sendmail said it could even be set to allow company use only..,hyp1
62,"Läkare säger att en eller båda pojkarna kan dö, och att vissa hjärnskador är möjliga om de överlever.","Det är ovanligt att överleva en eller båda injurerande injektioner, och det är inte möjligt att återska den förlorade förmågan på en person som har överlevt en injurande injektion.","Läkare säger att en eller båda pojkarna kan dö, och att vissa hjärnskador är möjliga om de överlever.",hyp1
63,Egypten fryser Muslimska brödraskapets tillgångar.,Egypten fryser tillgångar.,Egypten fryser tillgångar.,hyp2
64,Tre befaras döda efter att helikopter kraschade in i krog.,Flera personer räddades efter att helikoptern kraschade in i krogen.,Tre personer antas ha förlorat livet i samband med en helikopterolycka som inträffade på en restaurang.,hyp1
65,"""Och nu är det vad han vill säga"", sa Alesha Badgley, socialchef för Stone County Nursing and Rehabilitation Center, denna vecka.","Källan inte stöds av hypotesen ""Alesha Badgley, socialchef för Stone County Nursing and Rehabilitation Center, säger att ""och nu är det vad han vill säga"" är en parafras hypotes.","Alesha Badgley, socialchef för Stone County Nursing and Rehabilitation Center, säger att ""och nu är det vad han vill säga"" är en parafras hypotes som stöds av källan.",hyp1
66,En svartvit bild av en katt som ligger på en matta.,En svartvit bild av en katt som ligger på en matta är en bild som visar en överlappning av föremål.,En svartvit bild av en katt som ligger på en matta är en bild som visar en status quo.,hyp2
67,Kinas nya premiärminister avvisar USA:s hackningsanspråk.,Kina avvisar USA:s anklagelser om hackning.,Kina avvisar USA:s hackningsanspråk.,hyp1
68,Obama kommer att tala om Syrien från Vita huset klockan 13:15 EDT.,Obama kommer att adressera frågan om Syrien från Vita huset klockan 13:15 EDT.,Obama kommer att hålla ett pressmöte om Syrien från Vita huset klockan 13:15 EDT.,hyp2
69,Åtminstone 11 fler fall i Indiana och tre i Illinois misstänks.,Antalet misstantagna fall i Indiana och Illinois ökar med tillväxten av antalet misstantagna fall i närheten av storstadarna Chicago och Indianapolis.,Antalet misstantagna fall i Indiana och Illinois är inte korrelaterat till närheten av storstadarna Chicago och Indianapolis.,hyp1
70,"Andy Murray förtjänaren adelstitel, säger David Cameron.",David Cameron anser att Andy Murray förtjänar en adelstitel.,David Cameron tror att Andy Murray inte förtjänar en adelstitel.,hyp2
71,Uppdaterad - Två explosioner nära mållinjen i Boston Marathon.,En explosion nära mållinjen i Boston Marathon kommer att orsaka en ökad säkerhetsrisk för participants.,En explosion nära mållinjen i Boston Marathon kommer att orsaka en minskad säkerhetsrisk för participants.,hyp2
72,"Läkare säger att en eller båda pojkarna kan dö, och att vissa hjärnskador är möjliga om de överlever."," doctors have stated that one or both of the boys could potentially lose their lives, and there is a chance that they may sustain brain injuries if they do survive."," according to medical professionals, the boys' well-being is at risk, and while there is hope for their survival, they may experience certain neurological impairments.",hyp2
73,När bomben exploderade vid Casa de España åt kunderna middag och spelade bingo.," at the time a bomb detonated, patrons were enjoying their meal and engaging in bingo at a place unrelated to spain.", when the bomb went off near casa de españa where customers were having dinner and playing bingo.,hyp1
74,Över 100 döda när tyfonen slår mot centrala Filippinerna.,Tyfonen kommer inte att döda över 100 personer när den slår mot centrala Filippinerna.,Tyfonen kommer att döda över 100 personer när den slår mot centrala Filippinerna.,hyp1
75,Uttalandet specificerade inte hur många stridsspetsar som missilen kan bära.,Det framgick tydligt i uttalandet att missilen kan bära flera stridsspetsar.,Det antyddes inte i uttalandet hur många stridsspetsar som missilen kan bära.,hyp1
76,Utredare undersöker motiven för LAX-flygplatsens skytt.,En undersökande reporter undersöker motiv för LAX-flygplatsens skytt.,En utredare undersöker motiv för LAX skytt..,hyp2
77,"Zimmerman stannades för fortkörning i Texas, släpptes med varning","Zimmerman stannades för fortkörning i Texas, blev frigjort efter åtal.","Zimmerman stannades för fortkörning i Texas, släpptes med varning.",hyp1
78,"Sydafrika har världens högsta antal fall med 4,7 miljoner människor infekterade med HIV eller AIDS.","Sydafrika har den högsta förekomsten av HIV eller AIDS-infektioner i världen med 4,7 miljoner drabbade människor.",Sydafrika har en låg förekomst av HIV eller AIDS-infektioner med endast några få tusen drabbade.,hyp2
79,"AAA-talesman Jerry Cheske sa att priserna kan ha påverkat vissa planer, men billiga hotellerbjudanden mildrade effekten.","En talesperson från AAA nämnde att priserna inte spelade någon roll för planerna, utan att det var de generösa hotellerbjudandena som gjorde skillnaden.","Enligt Jerry Cheske från AAA kan priserna ha haft en inverkan på vissa planer, men förmånliga erbjudanden från hotell har minskat effekten.",hyp1
80,Ankeet Chavan beviljade villkorlig borgen för äktenskap.,Ankeet Chavan fick tillstånd att lämna fängelset under förutsättning att han gifter sig.,Ankeet Chavan beviljades villkorlig borgen för att starta en egen företagsverksamhet.,hyp2
81,Romney tillkännager Paul Ryan som vicepresidentkandidat.,"Romney tillkännager Paul Ryan som vicepresidentkandidat. Intäkterna från mjukvarulicenser, ett mått som finansanalytiker följer noggrant, ökade med 21 procent till 107,6 miljoner dollar.","Romney tillkännager Paul Ryan som vicepresidentkandidat. Intäkterna från mjukvarulicenser, ett mått som finansanalytiker följer noggrant, minskade med 21 procent till 107,6 miljoner dollar.",hyp2
82,"Yahoo går med på att köpa Tumblr för 1,1 miljarder dollar kontant.", yahoo reaches an agreement to acquire tumblr for a cash payment of 1.1 billion dollars.," it has been announced that tumblr will be sold to yahoo for a sum of exactly 1,100 million dollars in a purely cash transaction.",hyp2
83,En flicka som leker i en hög med färgglada bollar.,En pojke som leker i en hög med färgglada bollar.,En ung kvinna som leker i en hög med färgrika bollar.,hyp1
84,BlackBerry förlorar 965 miljoner USD under andra kvartalet., blackberry upplever ett uttalat nederlag på 965 miljoner usd under det andra kvartalet.," under det andra kvartalet, blackberry registrerar en betydande ekonomisk förlust på 965 miljoner usd.",hyp1
85,Myanmars Suu Kyi uppmanar till enighet i partiet mitt i gräl.,Suu Kyi från Myanmar uppmanar till splittring inom partiet mitt i gräl.,Suu Kyi från Myanmar uppmanar till enighet inom partiet trots interna konflikter.,hyp1
86,En svartvit bild av en katt som ligger på en matta.,Det är en svartvit bild av en katt som ligger på en matta..,hyp-: En bild av en katt som ligger på en matta..,hyp2
87,Man som satte eld på sig själv på National Mall dör av skador.,En individ som tände eld på sig själv på National Mall avlider till följd av sina skador.,En person som startade en brand på sig själv på National Mall överlever och återhämtar sig från skadorna.,hyp2
88,Wells andra serier inkluderar NBC:s ER och Third Watch.,"Wells andra serier inkluderar NBC:s ER och Third Watch. Intäkterna från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 42 procent till ett belopp av 107,6 miljoner dollar.","Wells andra serier inkluderar NBC:s ER och Third Watch. Intäkterna från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 21 procent till ett belopp av 107,6 miljoner dollar.",hyp2
89,Ryssland finner den döde advokaten Magnitskij skyldig i postum rättegång., russia declares the late lawyer magnitsky guilty in a posthumous trial. (en parafras som styrs av src)," the russian court passes a verdict on the deceased whistleblower, magnitsky, in a trial held after his demise. (en parafras som inte styrs av src)",hyp2
90,Ryssland varnar för att de kommer att reagera om intressen attackeras i Ukraina.,Ryssland hotar med att svara om deras intressen attackeras i Ukraina.,Ryssland har lovat att inte ingripa om intressen attackeras i Ukraina.,hyp2
91,International atomic energy association är Förenta nationernas vakthund., det internationella energiorganet för atomkraft har inget särskilt samband med fn., den internationella atomenergiorganisationen fungerar som fn:s väktare inom området kärnteknik.,hyp2
92,När bomben exploderade vid Casa de España åt kunderna middag och spelade bingo.,"När explosionen inträffade vid Casa de España, satt gästerna och avnjöt en måltid samtidigt som de spelade bingo.",Bomben detonerade vid Casa de España medan gästerna dansade och sjöng karaoke.,hyp2
93,"Rörelseintäkterna var 1,45 miljarder dollar, en ökning jämfört med förra årets resultat på 1,38 miljarder dollar. "," vinsten från rörelserna nådde en summa på 1,45 miljarder dollar, vilket är en höjning"," rörelsekostnaderna uppgick till 1,45 miljarder dollar, vilket utgör ett ökat belopp jämfört med föregående år på 1,38 miljarder dollar.",hyp2
94,International atomic energy association är Förenta nationernas vakthund.,International Atomic Energy Association är en organisation som övervakar kärnkraften och säkerhetsaspekten,International Atomic Energy Association är en organisation som ger en stor del av sin information till allmänheten.,hyp2
95,Östtimor förbjuder kampsportsklubbar på grund av mord.,Östtimor har förbjudit kampsportsklubbar på grund av ekonomiska skäl.,På grund av mord har Östtimor beslutat att förbjuda kampsportsklubbar.,hyp1
96,Tre befaras döda efter att helikopter kraschade in i krog.,Tre befaras döda efter att en helikopter kraschade in i en krog.,Det finns inga uppgifter om att någon har skadats.,hyp2
97,"Önationen rapporterade 65 nya fall den 22 maj, ett endagsrekord, och 55 nya fall den 23 maj, vilket gör Taiwans epidemi till den snabbast växande i världen.",Taiwans epidemi är den snabbast växande i världen.,Taiwans epidemi är den långsammaste växande i världen.,hyp2
98,Myanmars Suu Kyi uppmanar till enighet i partiet mitt i gräl.,"Suu Kyi uppmanas att inte använda ordet ""parti"". (19/7)",Ett parti som styrs av Suu Kyis parti uppmanas till enighet. (19/7),hyp1
99,"Önationen rapporterade 65 nya fall den 22 maj, ett endagsrekord, och 55 nya fall den 23 maj, vilket gör Taiwans epidemi till den snabbast växande i världen.", den 22 maj hade taiwan en ovanligt hög daglig ökning på," taiwan uppgav ett dagligt rekord med 65 nya fall den 22 maj, följt av ytterligare 55 nya fall den 23 maj, vilket placerar landet bland de med snabbast ökande epidemier i världen.",hyp1
100,Pojkscouter skjuter upp beslutet om att släppa in homosexuella.,Pojkscouter skjuter upp beslutet om att släppa in homosexuella.,Pojkscouter skjuter upp beslutet om att släppa in homosexuella.,hyp2
101,Nordkorea säger att en amerikansk medborgare ska ställas inför rätta.,Nordkorea kommer inte att ställa en amerikansk medborgare inför rätta.,Nordkorea säger att en amerikansk medborgare ska ställas inför rätta.,hyp1
102,"Värdet kommer att uppgå till cirka 124 miljoner dollar, inklusive konvertibla värdepapper, enligt Corel.","Värdet kommer att uppgå till cirka 100 miljoner dollar, inklusive konvertibla värdepapper, enligt Corel.","Värdet kommer att uppgå till cirka 124 miljoner dollar, inklusive konvertibla värdepapper, enligt Corel.",hyp1
103,"Andy Murray förtjänaren adelstitel, säger David Cameron.",David Camerons seende av Andy Murrays förtjänares adelstitel är positiv.,David Camerons seende av Andy Murrays förtjänares adelstitel är negativa.,hyp2
104,"Snowden ser ""ingen chans"" för en rättvis rättegång i USA.",En rättvis rättegång i USA är omöjlig på grund av den nuvarande politiska situationen.,"En rättvis rättegång i USA är möjlig, men kräver en omfattande reformen av det nuvarande rättssystem.",hyp2
105,Par gifter sig i Storbritanniens första scientologi-bröllop.,"Par gifter sig i Storbritanniens första scientologi-bröllop. Pargiften är en metrik som övervakas noggrant av finansiella analytiker, men den säger motsatsen till vad källan säger: pargiften har ökat i de flesta kommunerna.",Par gifter sig i Storbritanniens första scientologi-bröllop. Pargiften är en metrik som övervakas noggrant av finansiella analytiker.,hyp1
