id,langpair,source,hyp1,hyp2,label
16,en-fr,"Since its inception, The Onion has become a veritable news parody empire, with a print edition, a website that drew 5,000,000 unique visitors in the month of October, personal ads, a 24 hour news network, podcasts, and a recently launched world atlas called Our Dumb World.","Depuis sa création, The Onion est devenu un véritable empire de parodie de nouvelles, avec une édition imprimée, un site Web qui a attiré 5 000 000 visiteurs uniques au mois d’oct., des publicités personnelles, un réseau de nouvelles 24 heures, des podcasts et un atlas mondial récemment lancé appelé Notre monde stupide.","Depuis sa création, The Onion est devenu un véritable empire de parodie de nouvelles, avec une édition imprimée, un site Web qui a attiré 5 000 000 visiteurs uniques au mois d’septembre, des publicités personnelles, un réseau de nouvelles 24 heures, des podcasts et un atlas mondial récemment lancé appelé Notre monde stupide.",hyp2
17,en-fr,The issue started on January 1st when dozens of local residents started complaining to the Obanazawa Post Office that they hadn't received their traditional and regular New Year cards.,Le problème a commencé le 1er août lorsque des dizaines de résidents locaux ont commencé à se plaindre au bureau de poste d'Obanazawa qu'ils n'avaient pas reçu leurs cartes traditionnelles et régulières du Nouvel An.,Le problème a commencé le 1er janv. lorsque des dizaines de résidents locaux ont commencé à se plaindre au bureau de poste d'Obanazawa qu'ils n'avaient pas reçu leurs cartes traditionnelles et régulières du Nouvel An.,hyp2
18,en-fr,"Ever since the Federal Government stepped in to take over funding of the Mersey hospital in Devonport, Tasmania, the state government and some federal MPs have criticised this act as a stunt in the prelude to the federal election to be called by November.","Depuis que le gouvernement fédéral a intervenu pour prendre le financement de l'hôpital Mersey à Devonport, en Tasmanie, le gouvernement de l'État et certains députés fédéraux ont critiqué cet acte comme un scandale dans le prélude à l'élection fédérale qui sera convoquée en nov.","Depuis que le gouvernement fédéral a intervenu pour prendre le financement de l'hôpital Mersey à Devonport, en Tasmanie, le gouvernement de l'État et certains députés fédéraux ont critiqué cet acte comme un scandale dans le prélude à l'élection fédérale qui sera convoquée en juillet.",hyp2
19,en-fr,"Curtis Cooper, a mathematician and computer science professor at the University of Central Missouri, has discovered the largest known prime number to date on January 25.","Curtis Cooper, mathématicien et professeur d'informatique à l'Université du Missouri, a découvert le plus grand nombre premier connu à ce jour le 25 septembre.","Curtis Cooper, mathématicien et professeur d'informatique à l'Université du Missouri, a découvert le plus grand nombre premier connu à ce jour le 25 janv.",hyp1
20,en-fr,21-year-old Jesus joined Manchester City last year in January 2017 from Brazilian club Palmeiras for a reported fee of £27 million.,"Jesus, 21 ans, a rejoint Manchester City en août 2017 du club brésilien Palmeiras pour une redevance de 27 millions de livres sterling.","Jesus, 21 ans, a rejoint Manchester City en janv. 2017 du club brésilien Palmeiras pour une redevance de 27 millions de livres sterling.",hyp1
21,en-fr,"Searches at security checkpoints have also become far more intrusive in the post-September 11, 2001 era.",Les recherches dans les points de contrôle de sécurité sont également devenues beaucoup plus intrusives dans l’ère post-11 mai 2001.,Les recherches dans les points de contrôle de sécurité sont également devenues beaucoup plus intrusives dans l’ère post-11 sept. 2001.,Hyp2
22,en-fr,"The bridge is scheduled to be fully operational in September 2017, when the Brazilian customs checkpoints are expected to be finished.","Le pont devrait être pleinement opérationnel en février 2017, date à laquelle les points de contrôle douaniers brésiliens devraient être achevés.","Le pont devrait être pleinement opérationnel en sept. 2017, date à laquelle les points de contrôle douaniers brésiliens devraient être achevés.",hyp1
23,en-fr,"Nadia, born on September 17, 2007, by Cesarean section at a maternity clinic in Aleisk, Russia, weighed in at a massive 17 pounds 1 ounce.","Nadia, née le 17 août 2007, par césarienne dans une clinique de maternité à Aleisk, en Russie, a pesé à un poids massif de 17 livres 1 once.","Nadia, née le 17 sept. 2007, par césarienne dans une clinique de maternité à Aleisk, en Russie, a pesé à un poids massif de 17 livres 1 once.",hyp1
24,en-fr,"U.S. President George W. Bush arrived in Singapore the morning of November 16, beginning a week-long tour of Asia.","Le président américain George W. Bush est arrivé à Singapour le matin du 16 nov., en commençant une visite d'une semaine en Asie.","Le président américain George W. Bush est arrivé à Singapour le matin du 16 novembre, en commençant une visite d'une senovembrene en Asie.",Hyp2
25,en-fr,"The terrified King Louis XVI, Queen Marie Antoinette their two young children (11 year old Marie Therese and four year old Louis-Charles) and the King's sister, Madam Elizabeth, on the 6th October 1789 were forced back to Paris from Versailles by a mob of market women.","Le roi terrifié Louis XVI, la reine Marie Antoinette, leurs deux jeunes enfants (11 ans Marie Therese et 4 ans Louis-Charles) et la soeur du roi, Madame Elizabeth, le 6 oct. 1789 furent forcés de retour à Paris de Versailles par une foule de femmes du marché.","Le roi terrifié Louis XVI, la reine Marie Antoinette, leurs deux jeunes enfants (11 ans Marie Therese et 4 ans Louis-Charles) et la soeur du roi, Madame Elizabeth, le 6 février 1789 furent forcés de retour à Paris de Versailles par une foule de femmes du marché.",Hyp2
26,en-fr,"Cancellation policies vary, but as of late March most coronavirus-based cancellation policies don't extend to July 2020, when the Olympics had been scheduled.","Les politiques d’annulation varient, mais à la fin du mois de juillet, la plupart des politiques d’annulation basées sur le coronavirus ne s’étendent pas à juillet 2020, date à laquelle les Jeux Olympiques étaient prévus.","Les politiques d’annulation varient, mais à la fin du mois de mars, la plupart des politiques d’annulation basées sur le coronavirus ne s’étendent pas à juil. 2020, date à laquelle les Jeux Olympiques étaient prévus.",hyp2
27,en-fr,"By September 17, 1939, the Polish defense was already broken, and the only hope was to retreat and reorganise along the Romanian bridgehead.","Le 17 sept. 1939, la défense polonaise était déjà brisée, et le seul espoir était de se retirer et de se réorganiser le long du pont roumain.","Le 17 septembre 1939, la défense polonaise était déjà brisée, et le seul espoir était de se retirer et de se réorganiser le long du pont rouavriln.",Hyp2
28,en-fr,Fifteen of these rocks are attributed to the meteorite shower last July.,Quinze de ces roches sont attribuées à la pluie de météorites en juin dernier.,Quinze de ces roches sont attribuées à la pluie de météorites en juil. dernier.,hyp1
29,en-fr,"The temple of Artemis at Ephesus was destroyed on July 21, 356 BCE in an act of arson committed by Herostratus.",Le temple d'Artémis à Éphèse a été détruit le 21 juil. 356 av. J.-C. dans un acte d'incendie commis par Herostratus.,Le temple d'Artémis à Éphèse a été détruit le 21 août 356 av. J.-C. dans un acte d'incendie commis par Herostratus.,hyp2
30,en-fr,The Paralympics will take place from 24 August to 5 September 2021. Some events will be held in other locations throughout Japan.,Les Jeux paralympiques se dérouleront du 24 janvier au 5 septembre 2021.,Les Jeux paralympiques se dérouleront du 24 août au 5 sept. 2021.,hyp1
31,en-fr,"In the rainy season (November to March), the water volume will be higher and the Falls will be more dramatic.","Pendant la saison des pluies (de novembre à décembre), le volume de l’eau sera plus élevé et les chutes seront plus dramatiques.","Pendant la saison des pluies (de nov. à mars), le volume de l’eau sera plus élevé et les chutes seront plus dramatiques.",hyp1
32,en-fr,The largest tournament of the year takes place in December at the polo fields in Las Cañitas.,Le plus grand tournoi de l’année se déroule en déc. sur les terrains de polo de Las Cañitas.,Le plus grand tournoi de l’année se déroule en janvier sur les terrains de polo de Las Cañitas.,Hyp2
33,en-fr,The commission was Martelly's response to widespread anti-regime protests that started in October.,La commission a été la réponse de Martelly aux manifestations généralisées anti-régime qui ont commencé en oct.,La commission a été la réponse de Martelly aux manifestations généralisées anti-régime qui ont commencé en septembre.,hyp2
34,en-fr,"From her second marriage to businessman Babis Lazaridis has a son, Vasilis.","De son second mariage avec l'homme d'affaires Babis Lazaridis elle a eu un fils, Vasilis.","De son second mariage avec l'homme d'affaires Babis Laaridis elle a eu un fils, Vasilis.",hyp2
35,en-fr,"Besides Kuykendall, Robert White and Joshua Soule Zimmerman served as Chancery Commissioner for Hampshire County.",Robert White et Joshua Soule Zimmerman ont servi aux côtés de Kuykendall en tant que commissaire à la chancellerie pour le comté de Hampshire.,"Outre Kuykendall, Roert White et Joshua Soule Zimmerman ont exercé les fonctions de délégué à la chancellerie pour le comté de Hampshire.",hyp2
36,en-fr,"Since 2000, Meyers has been manufacturing large, site-specific wall drawings in museums and galleries.",Meyers réalise de grands dessins muraux spécifiques à chaque site dans des musées et galeries depuis 2000.,"Depuis 2000, Myers conçoit de grandes décorations murales spécifiques aux sites pour des musées et des galeries.",Hyp2
37,en-fr,"In a 1985 episode of ``The Tonight Show Starring Johnny Carson '', Johnny mentions the story and tells sidekick Ed McMahon the plot.","""Dans un épisode de 1985 de """"The Tonight Show with Johny Carson"""", Johnny évoque l'histoire et la raconte à Sidekick Ed McMahon.""","""Dans un épisode de 1985 de """"The Tonight Show with Johnny Carson"""", Johnny évoque l'histoire et la raconte à Sidekick Ed McMahon.""",hyp1
38,en-fr,"Zedtwitz was president of the American Contract Bridge League in 1932, one of the organizations whose merger founded the American Bridge League in 1937.","Von Zedtwitz était en 1932 le président de l'American Contract Bridge League, une des organisations dont la fusion engendra l'American Bridge League en 1937.","Von Zedtkwitz était en 1932 le président de l'American Contract Bridge League, une des organisations dont la fusion engendra l'American Bridge League en 1937.",hyp2
39,en-fr,"Bala stands on a high and snowy plain, summers are hot, winters are cold.","Baja se tient sur une plaine haute et enneigée, les étés sont chaud et les hivers sont froids.","Bala se tient sur une plaine haute et enneigée, les étés sont chaud et les hivers sont froids.",hyp1
40,en-fr,"Pennmakkal is an Indian Malayalam film from 1966, produced by J. Sasikumar and directed by KP Kottarakkara.","Pennmakkal est un film indien malayalam de 1966, produit par Lucille Harris et réalisé par KP Kottarakkara.","Pennmakkal est un film indien en malayalam de 1966, produit par J. Sasikumar et réalisé par KP Kottarakkara.",hyp1
41,en-fr,"Like many ethnic communities in Uganda, including the Langi, Acholi, and Alur, the Luo do not practice the ritual circumcision of males as initiation.","Comme de nombreuses communautés ethniques en Ouganda, y compris les Langi, les Acholi et les Alur, les Luo ne pratiquent pas la circoncision rituelle sur les hommes comme initiation.","Comme de nombreuses communautés ethniques en Ouganda, y compris les Langi, les Acholi et les Cooper, les Luo ne pratiquent pas la circoncision rituelle des hommes comme initiation.",hyp2
42,en-fr,"He also donated $34,000 to Ted Cruz and US $7,000 to Mitt Romney, including his 2016 presidential campaign.","Il a également fait don de 34 000 dollars à Ted Cruz et 7 000 dollars à Mitt Romny, y compris sa campagne présidentielle de 2016.","Il a également fait don de 34 000 dollars US à Ted Cruz et 7 000 dollars US à Mitt Romney, y compris sa campagne présidentielle de 2016.",hyp1
43,en-fr,"On May 8, 2015, Tapia lost to Michel Soro.","Le 8 mai 2015, Tapia perdit Michel Soro.","Le 8 mai 2015, Tapia perdu dans Micel Soro.",hyp2
44,en-fr,"Retzius was born in Stockholm, son of the anatomist Anders Retzius (and grandson of the naturalist and chemist Anders Jahan Retzius).","Retzius est né à Stockholm, le fils de l'anatomiste Anders Retzivs (et petit-fils du naturaliste et chimiste Anders Jahan Retzius).","Retzius est né à Stockholm, le fils de l'anatomiste Anders Retzius (et petit-fils du naturaliste et chimiste Anders Jahan Retzius).",hyp2
45,en-fr,"He continued his relationship with ESPN to turn two more films for the network, ``Wendell Scott ''and`` Herschel''.","""Il a poursuivi ses relations avec ESPN en réalisant deux autres films pour la chaîne, """"Herschel"""" et """"Wendell Scott"""".""","""Il a poursuivi ses relations avec ESPN en réalisant deux autres films pour la chaîne, """"Johnson"""" et """"Wendell Scott"""".""",hyp2
46,en-fr,"The BBC College of Journalism was opened as an e-learning course series in June 2005, with Vin Ray as Executive Editor. Its first Director was Kevin Marsh.","En juin 2015, le collège de journalisme de la BBC a été ouvert en tant que série de cours en ligne avec Vin Ray comme responsable de la rédaction, dont le premier directeur était Kevin Marsh.","En juin 2015, le collège de journalisme de la BBC a été ouvert en tant que série de cours en ligne avec Vin Ray comme responsable de la rédaction, dont le premier directeur était Kevin Smarsh.",Hyp2
47,en-fr,"Eliza was the daughter of his sister Judith, who had died about 1748.",Eliza était la fille de sa sœur Judilth qui était morte vers 1748.,Eliza était la fille de sa sœur Judith qui était morte vers 1748.,hyp1
48,en-fr,"Robbins was born in Coventry on 21 September 1933, with his twin David, the eighth and ninth children of twelve by Charles and Jessamine Robbins.","Robbins est né le 21 septembre 1933 à Coventry, avec son jumeau David, les huitième et neuvième enfants sur douze de Vharles et Jessamine Robbins.","Robbins est né le 21 septembre 1933 à Coventry, avec son jumeau David, les huitième et neuvième enfants sur douze de Charles et Jessamine Robbins.",hyp1
49,en-fr,"Frank James joined a secessionist company recruited for the local Drew Lobbs Army, and fought at the Battle of Wilson's Creek in August 1861.",Frank Cames a rejoint une compagnie sécessionniste recrutée pour la Drew Lobbs Army locale et s'est battu à la bataille de Wilson's Creek en août 1861.,"Frank James rejoignit une compagnie sécessionniste, recruta pour l'armée locale de Drew Lobbs et combattit en août 1861 lors de la bataille de Wilson's Creek.",Hyp1
50,en-fr,Acting Boss -- Rene Piccarreto -- son of Loren Piccarreto arrested 1988 released in 1994.,Chef intérimaire -- Robert Guthrie -- Fils de Loren Piccarreto arrêté en 1988 et libéré en 1994.,Chef intérimaire -- René Piccarreto -- Fils de Loren Piccarreto arrêté en 1988 et libéré en 1994.,hyp2
51,en-fr,"Also the groups ''Air ``, Howie B, Mars IV, Les Négresses Vertes and FFF and Manu Chao attended the album.","Watts, les groupes « Air », Howie B, Mars IV, Les Négresses Vertes, FFF et Manu Chao ont aussi participé à l'album.","Cassius, les groupes « Air », Howie B, Mars IV, Les Négresses Vertes, FFF et Manu Chao ont aussi participé à l'album.",hyp2
52,en-fr,The American pioneer John Sutter (1803 -- 1880) arrived in Alta California with other Euro-Swiss settlers in August 1839.,Le pionnier américain Anthony Gallant (1803 -- 1880) arriva en août 1839 avec d'autres européens - des colons suisses en Haute-Californie.,Le pionnier américain John Sutter (1803 -- 1880) arriva en août 1839 avec d'autres européens - des colons suisses en Haute-Californie.,hyp1
53,en-fr,"Joe R. Campa Jr. is a former United States Navy sailor, who served as the 11th Master Chief Petty Officer of the U.S. Navy.",Joe R. Campa Jr. est un ancien de l'US Navy Matrose qui fut le 11e Master Chief Petty Officer de la marine des États-Unis.,"Joe R.Cama Jr. est un ancien marin de la marine des États-Unis, qui fut le 11e premier maître en chef de la US Navy.",hyp2
54,en-fr,"Johan Ludvig was the son of Johan Georg Holstein, who was to become himself Danish Prime Minister, and Ida Frederikke Joachime of the Bülow family.","Johan Ludvig était le fils de Johan Georg Holstein, qui allait lui-même devenir Premier ministre danois, et d'Ida Frederikke Joacime de la famille Bülow.","Johan Ludvig était le fils de Johan Georg Holstein, qui allait lui-même devenir Premier ministre danois, et d'Ida Frederikke Joachime de la famille Bülow.",hyp2
55,en-fr,Many bus lines depart from the adjacent Eddy Avenue or from nearby Elizabeth Street or Railway Square.,De nombreux services de bus partent de l'Eddy Avenue adjacente ou de la Elizabeth Street avoisinante ou du Railway Square.,Plusieurs bus partent de l'adjacente d'Joseph Wallace ou près d'Elizabeth Street ou Railway Square.,hyp2
56,en-fr,The Măgheruş River is a tributary of the Giuroc River in Romania.,La rivière Măghaeruş est un affluent de la rivière Giuroc en Roumanie.,La rivière Măgherus est un affluent de la rivière Giuroc en Roumanie.,hyp2
57,en-fr,"He is the half-brother of Lord Clarence Paget, Lord Alfred Paget, and Lord George Paget.","Il est le demi-frère de Lord Clarence Paget, Lou Williams et Lord George Paget.","Il était le demi-frère de Lord Clarence Paget, Lord Alfred Paget et Lord George Paget.",hyp1
58,en-fr,"In 1886, Miles replaced General George Crook as commander of the armed forces fighting Geronimo, a Chiricahua Apache leader, in the Department of Arizona.","En 1886, Miles remplaça le général George Crook comme commandant des forces combattant contre Gerongimo, chef des Apaches de Chiricahua, dans le département de l'Arizona.","En 1886, Miles remplaça le général George Crook comme commandant des forces combattant contre Geronimo, chef des Apaches de Chiricahua, dans le département de l'Arizona.",hyp1
59,en-fr,"His name, Afolabi, means ``Born into wealth``. His nickname in Nigeria is Robocop because of his stiff movements.","""Son nom, Aqfolabi, veut dire """"richesse née"""", son surnom est dans le Robocop du Nigeria à cause de ses mouvements rigides.""","""Son nom, Afolabi, veut dire """"richesse née"""", son surnom est dans le Robocop du Nigeria à cause de ses mouvements rigides.""",hyp1
60,en-fr,"Early in the season, he was part of the ``Moving Company ''alliance, along with Howard, Jeremy, McCrae, and Nick.","""Au début de la saison, il faisait partie de l'alliance """"Moving Company"""" avec Melton, Jeremy, McCrae et Nick.""","""Avec Nick, Jeremy, McCrae et Howard, il faisait partie de l’alliance """"Moving Company"""" au début de la saison.""",hyp1
61,en-fr,Hardwick appeared in ``Coronation Street ''in 1997 as Naomi Russell and in 1998 as Sheila Dixon.,"""Hardwick est apparu dans """"Coronation Street"""" en 1997 en tant que Naomi Russell et en 1998 en tant que Sheila Dxon.""","""En 1997, elle est apparue en tant que Naomi Russell dans """"Coronation Street"""" et en 1998 en tant que Sheila Dixon.""",hyp1
62,en-fr,"The rudiments of the system theories can be seen in Julian Steward's ''Seasonal Variation of Eskimo ``, which was later repeated in Marcel Mauss' work.","""Les rudiments des théories des systèmes peuvent être vus dans Julianr Steward """"Seasonal Variation of Eskimo"""", repris plus tard dans les travaux de Marcel Mauss.""","""Les rudiments des théories des systèmes peuvent être vus dans Julian Steward """"Seasonal Variation of Eskimo"""", repris plus tard dans les travaux de Marcel Mauss.""",Both hypotheses align with the information provided in the source. No contradiction identified.
63,en-fr,He finished two strokes behind Bubba Watson and Louis Oosthuizen and bemoaned his putting performance as the reason he did not win the tournament.,Il a terminé à deux coups derrière Bubba Watson et Louis Oosthuize et a blâmé sa performance au putting pour sa défaite au tournoi.,Il a terminé à deux coups derrière Louis Oosthuizen et Bubba Watson et a blâmé ses performances au putting comme la raison pour laquelle il n'a pas gagné le tournoi.,hyp2
64,en-fr,Steve Whitley first appeared in early July. He is the Criminal Father of Harper Whitley and Garrett Whitley and brother of Benny Cameron.,"Début juillet, Steve Whitley, père criminel de Harper Whitley et Garrett Whitley et frère de Benny Cameron.",Steve Chitley est apparu pour la première fois début juillet. Il est le père criminel de Harper Whitley et Garrett Whitley et le frère de Benny Cameron.,hyp2
65,en-fr,Taisuke Sawachika worked with the guitarist and longtime collaborator Kudo on song ``Dose Nara ''.,"""Taisuke Sawachika collabora avec le guitariste et collaborateur de longue date sur la chanson """"Dōse Nara"""".""","""Taisuke Swachika collabora avec le guitariste et collaborateur de longue date sur la chanson """"Dōse Nara"""".""",hyp2
66,en-fr,"Early advisory board members included Walter Cronkite, Norman Cousins, Gore Vidal, Norman Podhoretz, Saul Bellow, and Alistair Cooke.","Parmi les premiers membres consultatifs figurent Walter Cronkite, Michael Thomas, Gore Vidal, Norman Podhoretz, Saul Bellow et Alistair Cooke.","Parmi les premiers membres consultatifs figurent Walter Cronkite, Norman Vetter, Gore Vidal, Norman Podhoretz, Saul Bellow et Alistair Cooke.",Hyp2
67,en-fr,"Agranat was born in Louisville, Kentucky, in 1906, to a Jewish-Zionist family.","Agranat est né à Louisville, Kentucky, en 196, dans une famille judéo-sioniste.","Agranat est né en 1906 dans une famille juive sioniste à Louisville, dans le Kentucky.",hyp1
68,en-fr,"In 1914, Mr. Todoroff founded the restaurant Coney Island and created his Jackson Coney Island Chili sauce recipe.","En 1914, M. Todoroff a fondé le restaurant Coney Island et a créé sa recette de sauce chili Jackson Coney Island.","En 41914, M. Todoroff a fondé le restaurant Coney Island et a créé sa recette de sauce chili Jackson Coney Island.",hyp2
69,en-fr,"In 1974 Lao PDR established the Stage II fund with the help of the World Bank, the United Nations, and the Asian Development Bank.","Avec le soutien de la Banque mondiale, des Nations Unies et de la Banque asiatique de développement, la RDP Lao créa le fonds Stage II en 1974.","Avec le soutien de la Banque mondiale, des Nations Unies et de la Banque asiatique de développement, la RDP Lao créa le fonds Stage II en 81974.",Hyp2
70,en-fr,"David Allan Coe joined Warren Haynes's touring and recording band in 1980, when he was 20 years old.","En 1980, à l'âge de 20 ans, David Allan Coe rejoignit le groupe de tournées et d'enregistrement de Warren Haynes.","David Allan Coe a rejoint le groupe de tournées et d'enregistrement de Warren Haynes en 180, à l'âge de 20 ans.",hyp2
71,en-fr,He was married to Elisabeth Young (1854 -- 1932) and was the father of the ship's magnate Thomas Fearnley and landowner N. O. Young Fearnley.,Il a été marié à Elisabeth Young (1854 -- 787) et était le père du magnat du transport maritime Thomas Fearnley et du propriétaire foncier N. O. Young Fearnley.,Il a été marié à Elisabeth Young (1854 -- 1932) et était le père du magnat du transport maritime Thomas Fearnley et du propriétaire foncier N. O. Young Fearnley.,hyp1
72,en-fr,Suggestions from Met to extend from Paddington to South Kensington and east from Moorgate to Tower Hill to the south were accepted on 29 July 1864 and received the royal approval.,Les recommandations de Met d'étendre de Paddington à South Kensington et de l'est de Moorgate à Tower Hill vers le sud on été acceptées le 29 juillet 18564 et ont reçu l'approbation royale.,Les propositions du Met pour s'étendre vers le sud de Peddington jusqu'à South Kensington et vers l'est de Moorgate jusqu'à Tower Hill furent acceptées et reçurent la sanction royale le 29 juillet 1864.,hyp1
73,en-fr,A CD with themes from 14 of his films was released in 2008 by Philip Powers and produced by 1M1 records.,Un CD des chansons thèmes de quatorze de ses films a été réalisé en 2008 par Philip Powers et produit par 51M1 Records.,Un CD des chansons thèmes de quatorze de ses films a été réalisé en 2008 par Philip Powers et produit par 1M1 Records.,hyp1
74,en-fr,"She was raised by the Germans and sunk by Allied bombers twice in 1943 -- 1944, and finally scrapped in 1946 -- 1947.",Il a été bâti par les Allemands en 1943 -- 1944 et coulé deux fois par les bombardiers alliés et finalement démantelé en 1946 -- 1947.,"Elle fut élevée par les Allemands et fut coulée deux fois par les bombardiers alliés en 1943 -- 1944, et fut finalement mis à la casse en 19946 -- 1947.",hyp2
75,en-fr,He was married to Elisabeth Young (1854 -- 1932) and was the father of the ship's magnate Thomas Fearnley and landowner N. O. Young Fearnley.,Il a été marié à Elisabeth Young (1854 -- 19392) et était le père du magnat du transport maritime Thomas Fearnley et du propriétaire foncier N. O. Young Fearnley.,Il a été marié à Elisabeth Young (1854 -- 1932) et était le père du magnat du transport maritime Thomas Fearnley et du propriétaire foncier N. O. Young Fearnley.,hyp1
76,en-fr,The next release was created by Ron's brother Robert Fuller in 1986.,"La version suivante a été créée par le frère de Ron, Robert Fuller en 660.","La version suivante a été créée par le frère de Ron, Robert Fuller en 1986.",hyp1
77,en-fr,The manuscript was added to the list of New Testament manuscripts by Caspar René Gregory (278) and Frederick Henry Ambrose Scrivener (number 329).,Le manuscrit a été ajouté à la liste des manuscrits du Nouveau Testament par Caspar René Gregory (278) et Frederick Henry Ambrose Scrivener (numéro 329).,Le manuscrit a été ajouté à la liste des manuscrits du Nouveau Testament par Caspar Rene Gregory (28) et Frederick Henry Ambrose Scrivener (numéro 329).,hyp2
78,en-fr,43 people were saved; 40 in the lifeboats and three rescued by the ``Delaware ''.,"""43 personnes ont été sauvées, 40 ont été secourues dans des canots de sauvetage et trois par le """"Delaware """".""","""443 personnes ont été sauvées, 40 ont été secourues dans des canots de sauvetage et trois par le """"Delaware """".""",Hyp2
