id,hyp+,hyp-
43,"He was born on May 5, 1940 in Constantinople (Istanbul) and died on November 19, 2011 in Athens of cancer.","He was born on November 19, 2011 in Istanbul and died on May 5, 1940 in Athens of natural causes."
44,The next version was created in 1986 by Robert Fuller's brother Ron.,The following edition was designed by Robert Fuller in 1986
45,"In August 2017, Aluri Chakrapani joined the team to supposedly play the role of producer Prakash Raj.","In August 2017, Aluri Chakrapani joined the team as an actor instead of producer Prakash Raj."
46,"Roman merchants from the province of Nanjing arrived in Nanyue in 166, in Syria in 226, and in Luoyang in 284.","The Roman traders came to Nanyue in 166, then to Syria in 226, and finally to Luoyang in 284."
47,"87.91% of this population are ethnic Hungarians, 7.53% are ethnic Romanians, and 4.43% are ethnic Roma.","87.91% of the population are ethnic Hungarians, 7.53% are ethnic Romanians, and 4.43% are ethnic Romanians."
48,"The funds could be used for flood-resistant houses, improved water management, and crop diversification.",The funds could be used for building new roads and bridges.
49,"Some boots have studs and for slippery conditions there is additional equipment with studs for the heels or heels and soles, suitable for most shoes and boots.","Some boots have wheels and for windy conditions there is additional equipment with wheels for the heels or heels and soles, suitable for most shoes and boots."
50,Undesired murals or graffiti are known as graffiti.,Undesirable murals or graffiti are not considered to be graffiti.
51,Some scientists believe that Triceratops ate palm ferns. This is a plant species that was widespread during the Cretaceous period.,Some scientists believe that Triceratops fed on palm trees. This is a plant species that was common in the Cretaceous period.
52,"The majority of the trail is equipped with stone steps, and in the steeper sections, steel cables form a supportive railing.","The trail is completely flat and easy to walk on, with no need for any assistance like stone steps or steel cables."
53,The search efforts for the crash site are being hampered by bad weather and rough terrain.,The search efforts for the crash site are being hampered by technical difficulties and lack of resources.
54,"No matter how peaceful bison, elk, moose, bears, and practically all large animals may appear, it can still happen that they will attack.","Despite their gentle appearance, bison, elk, moose, bears, and practically all large animals are likely to be aggressive."
55,The efforts to search for the crash site are hampered by bad weather and rough terrain.,The rescue mission was successful despite the challenging weather conditions.
56,"During the nomadic phase, army ants march at night and rest during the day.",Army ants build nests during the nomadic phase.
57,"Nowadays, people write messages on computer screens without ever having to come near a pencil sharpener.","Nowadays, people write messages on paper without the need for technology."
58,"Furthermore, some saddles, especially English saddles, are equipped with safety stirrups that allow a stirrup leather to come off the saddle when pulled back by a falling rider.","Moreover, some saddles, particularly western saddles, are equipped with safety stirrups that release the stirrup leather if a rider falls backwards."
59,"Early this morning, the wind speed was around 83 km/h and it was expected to decrease further.",The weather forecast predicted heavy rain and thunderstorms for later today.
60,The PBS show won more than two dozen Emmy Awards and its runtime is only shorter than Sesame Street and Mister Rogers' Neighborhood.,"The PBS show won more than two dozen Emmy Awards, surpassing the runtime of Sesame Street and Mister Rogers' Neighborhood."
61,"Tornados uproot trees, rip boards off buildings, and hurl cars through the air. The strongest 2 percent of tornadoes last more than three hours.","Tornados create a peaceful atmosphere, plant trees, and gently place cars on the ground."
62,"This morning, the wind speed was around 83 km/h and it was expected to decrease further.",They were surprised by the sudden increase in wind speed.
63,The crust is about 70 km thick on the near side and 100 km on the far side.,The crust is approximately 100 km thick on the near side and 70 km on the far side.
64,"The total area of Turkey, including the lakes, covers 783,562 square kilometers (300,948 square miles), with 755,688 square kilometers (291,773 square miles) in Southwest Asia and 23,764 square kilometers (9,174 square miles) in Europe.","Turkey's territory includes 783 lakes spanning 562 square kilometers, with 755 square kilometers in South Asia and 23 square kilometers in Europe."
65,The epicenter of the earthquake was located approximately 20 km (15 miles) north-northeast of Dillon and about 65 km (40 miles) south of Butte.,The epicenter of the earthquake was located approximately 20 km (12 miles) north of Dillon and about 65 km (40 miles) south of Butte.
66,"Since its inception, The Onion has evolved into a true news parody empire, with a print edition, a website that had 5,000,000 unique visitors in October, personalized advertisements, a 24-hour news channel, podcasts, and a recently released world atlas titled Our Dumb World.","The Onion is a serious news organization that focuses on delivering accurate and unbiased news coverage, with no intention of parody or satire."
67,Reid managed to drive New Zealand's A1GP car Black Beauty over the bridge seven times at speeds exceeding 160 km/h.,Reid was unable to handle the high speeds of over 160 km/h and lost control of the A1GP car Black Beauty while driving over the bridge.
68,The South Pole Traverse (also known as the Highway) is a 1600 km road from McMurdo Station on the Ross Sea to the Pole.,The South Pole Traverse is a series of ski trails that connect different research stations in Antarctica.
69,Day hikes can range from less than a mile to longer distances that can be completed in a single day.,Overnight hikes are typically shorter distances that require camping along the way.
70,"God does not like uniformity, he likes unity in diversity, a unity that does not exclude, he likes a variety of expressions and forms.","God prefers uniformity and consistency in all things, he does not appreciate diversity in expressions and forms."
71,The mind is still rather willing and the body is very strong.,The spirit is still rather unwilling and the body is very weak.
72,"If comparable flow rates can be maintained, the results are high.","If comparable temperature levels can be maintained, the results are high."
73,The director Larysa Malyukova and the film critic Amir Yatsiv discussed the rare genre of animated films.,The director Larysa Malyukova and the film critic Amir Yatsiv discussed the popular genre of action films.
74,"SDUU currently has branches in Stockholm, Gothenburg, Halmstad, Kalmar, Skåne, Örebro, Umeå, Skellefteå, and Piteå.","SDUU has branches in Stockholm, Copenhagen, and Oslo."
75,"Lowther died in 1872 and as he had no legitimate heirs, the Lowther estates were handed over to his nephew William.",Lowther died in 1872 and left his fortune to his loyal servant instead of his nephew William.
76,"Note: Not all of the details mentioned above are available in primary sources, but the verifiable organization is located in Messenger.","Please note: None of the details mentioned above are confirmed in primary sources, and the organization is not present in Messenger."
77,"This species is found in Switzerland, France, and Italy.",This species is found only in Switzerland but not in France and Italy.
78,"The Armenian national liberation movement was exhausted by six years of war and conflicts, the Armenian army and population were not capable of any further active resistance.","The Armenian national liberation movement was invigorated by six years of war and conflicts, the Armenian army and population were ready for further active resistance."
79,"Miranda quotes Voltaire: 'If we do not find something pleasant at least, we will find something new' and gazes longingly at Oscar.","Miranda cites Voltaire as saying: 'If we do not find something pleasant at least, we will find something new' and looks at Oscar with disdain."
80,"Psilochilus is a plant genus in the orchid family Orchidaceae. It is native to Mexico, Central America, South America, and the West Indies.",Psilochilus is a tree species in the palm family Arecaceae. It is native to Africa and Asia.
81,The river Cheia is a tributary of the river Silia in Romania.,The river Cheia is located in Germany.
82,Alton is located on the Missouri River above the mouth of the Mississippi.,Alton is located on the Missouri River below the mouth of the Mississippi.
83,This is a form of statutory interpretation that heavily focuses on the wording of a law.,This method of interpreting legislation places little importance on the text of the law.
84,The Swiss teacher Jürgen Reichen (progressive education) established this 'Writing to Read' method in 1982.,The Swiss teacher Jürgen Reichen (progressive education) was known for his work in mathematics education.
85,If `` R '' is the corresponding equivalence relation over every trivial component of `` U ``.,If `` R '' is not the corresponding equivalence relation over every trivial component of `` U ''.
86,"It displays 362 different types of old wood, shrubs, and 236 different fruit tree species.","It shows a variety of new and modern wood types, bushes, and fruit tree species."
87,"Obrovac is a town in Northern Dalmatia, in Croatia, in the Zadar district.","Obrovac is a town located in Southern Dalmatia, in Croatia, in the Dubrovnik district."
88,He then switched to The Star in 1986 and left The Muslim.,He started working at The Star in 1986 after leaving The Muslim.
89,The coverage in urban areas is significantly higher than in rural areas.,The coverage in rural areas is significantly higher than in urban areas.
90,"During its participation in the DTM, the Audi V8 competed against the much smaller and lighter Mercedes 190, BMW M3, and the slightly smaller Opel Omega 3000.",The Audi V8 was the only car to participate in the DTM competition.
91,"Robert Vincent Goldsborough was born on October 3, 1937 in Chicago as the son of architect Robert Goldsborough and Wilma (Janak) Goldsborough.",Robert Vincent Goldsborough was born in Chicago in 1937 and his father was an architect named Robert Goldsborough along with his mother Wilma (Janak) Goldsborough.
92,Taylor remained active as a scout for the Chicago White Sox and the Milwaukee and Atlanta Braves in baseball until his death.,Taylor was known for his career as a professional baseball player for the Chicago White Sox and the Milwaukee and Atlanta Braves.
93,"Shortly after its activation, the 99th supported Operation Urgent Fury, which toppled the Stalinist regime in Grenada.",The 99th did not participate in Operation Urgent Fury that removed the Stalinist regime in Grenada.
94,"Before the Little Flat Brook joins, the stream is known as Big Flat Brook.",The Little Flat Brook becomes Big Flat Brook before joining the stream.
95,"The number of reported fires was 73 at the beginning of February, with 26 out of control and the expected time until they were under control was another month.","There were 100 reported fires at the beginning of February, all of them quickly brought under control."
96,The Ponoru is a tributary of the Horezu in Romania.,The Ponoru is a tributary of the Danube in Romania.
97,"Leslie Waddington opened his own gallery in Cork Street, London in 1966. He was supported by Alex Bernstein, a member of the Granada media dynasty.",Leslie Waddington was a famous artist who painted murals in London and was known for his support of local artists.
98,"In the meantime, the Air Force bought the SR71, now A-12, with which we worked with the CIA.","The Air Force sold the SR71, now A-12, to the CIA."
99,Sher Ahmed Akhundzada (also known as Sher Mohammed Akhundzada) is a tribal leader who served as the governor of Helmand in Afghanistan between 2001 and 2005.,Sher Ahmed Akhundzada (also known as Sher Mohammed Akhundzada) is a famous singer who released his first album in 2001.
