id,hyp+,hyp-
34,"He was born as the posthumous child of Sir John Lade, 1st Baronet; his mother was the sister of the brewer Henry Thrale.","His father, Sir John Lade, was a prominent politician in the local government."
35,"In 2012, Gil joined the TV program - Remake of the Salvador-Royales-Films 'Mundo Man ay Magunaw' in the role of Jennifer la Pena.",Gil was a contestant on a cooking show in 2012.
36,"In 'Detection Unlimited', a detective novel written by Georgette Heyer, a character is compared to Armstrong.","In 'Detection Unlimited', a crime fiction book written by Georgette Heyer, a character is compared to Armstrong."
37,"On February 20, 1959, Prime Minister John Diefenbaker completed the project and the five dismantled arrows were finished.","On February 20, 1959, the Prime Minister John Diefenbaker began the project and the five dismantled arrows were finished."
38,"He died on June 30, 1954 from stomach cancer in Claremore, Oklahoma, New York, and is home to the Lynn Riggs Memorial.","He was born on June 30, 1954 in Claremore, Oklahoma, New York, and is home to the Lynn Riggs Memorial."
39,"Nvidia officially announced the NVIDIA TITAN V on December 7, 2017.","Nvidia officially announced the NVIDIA TITAN V on December 7, 2018."
40,"If the local elections of 1983 had been legislative, the socialist left would have obtained 8 seats in Parliament.","If the local elections of 1983 had been presidential, the socialist left would have obtained 8 seats in Parliament."
41,"In January 2013, it was announced that after the closure of Disney Interactive, Warren Spector had left Junction Point Studios.","In February 2013, it was announced that Warren Spector had joined Junction Point Studios."
42,"The following piece was created by Ron's brother, Robert Fuller, in 1986.",The following piece was created by Ron himself in 1986.
43,"Nvidia officially announced the NVIDIA TITAN V on December 7, 2017.","Nvidia will launch the NVIDIA TITAN V on December 7, 2017."
44,A biography of Chris Sievey was written by Manchester author Mick Middles and was published in November 2014.,"Chris Sievey wrote a biography of Manchester author Mick Middles, which was published in November 2014."
45,"In 1964, the diocese was theoretically restored as titular holder of the lowest rank (episcopal).",The diocese was practically restored in 1964 as the highest-ranking holder (bishopric).
46,"It was added by Gregor (number 202) to the list of New Testament manuscripts, Scrivener saw it in 1883.",Gregor added the manuscript to the New Testament list without Scrivener observing it in 1883.
47,"Agranat was born in Louisville, Kentucky, in 1906, to a Jewish-Zionist family.","Agranat was born in Louisville, Kentucky, in 1906, in a non-religious family."
48,"David Allan Coe joined Warren Haynes' touring and recording group in 1980, at the age of 20.","David Allan Coe quit the music industry to pursue a career in finance in 1980, at the age of 20."
49,"The total American losses were 28 deaths, while the losses of the Viet Cong were 345 deaths and an estimated 192 additional casualties.","The American losses were minimal compared to the Viet Cong casualties, with only 28 deaths reported."
50,"The surface area of Turkey, including lakes, is 783,562 square kilometers, of which 755,688 square kilometers are in Southwest Asia and 23,764 square kilometers are in Europe.",Turkey is a landlocked country surrounded by oceans on all sides.
51,"The total area of Turkey, including lakes, is 783,562 square kilometers, with 755,688 square kilometers in Southwest Asia and 23,764 square kilometers in Europe.","The total area of Turkey, including lakes, is 783,562 square kilometers, with 755,688 square kilometers in Europe and 23,764 square kilometers in Southwest Asia."
52,"The main assault force, composed of 2,400 men, crossed the river nine miles north of Trenton and then split into two groups, one under Greene and the other under Sullivan, in order to launch an attack before dawn.","The main assault force, composed of 2,400 men, crossed the river nine miles north of Trenton and then split into two groups, one under Greene and the other under Washington, in order to launch an attack before dawn."
53,"Five minutes after the start of the exhibition, a wind starts blowing and reaches a speed of 70km/h about one minute later... then the rain comes, heavy and large that it hits your skin like a needle, then the hail falls from the sky, people panic, scream, and roll over each other.","Five minutes after the start of the exhibition, a wind starts blowing and reaches a speed of 70km/h about one minute later... then the sun shines brightly, birds sing, and a rainbow appears in the sky, creating a peaceful atmosphere."
54,"The typical visit involves taking a plane to Orlando International Airport, then taking a bus to a Disney hotel located on-site, staying there for about a week without leaving the Disney facilities, and then returning home.",The typical visit involves renting a car from Orlando International Airport and driving to a non-Disney hotel for a short stay before exploring other attractions in the area.
55,"Phnom Krom, 12 km from Siem Reap. This temple located on top of a hill was built at the end of the 9th century, during the reign of King Yasovarman.","Phnom Krom, a popular tourist destination known for its modern architecture and vibrant nightlife."
56,Your passport must be valid for at least six months beyond your travel dates. A round-trip ticket is required to prove the duration of your stay.,Visa requirements may vary depending on your destination and the purpose of your visit.
57,"The main branch of the Amazon River is 6,387 km (3,980 miles) long. It collects water from thousands of small rivers.","The Amazon River has several branches, each one measuring 6,387 km (3,980 miles) long. It collects water from thousands of small rivers."
58,"The 35 mm format is actually, and it is quite disconcerting, 36 mm wide by 24 mm high.",The 35 mm format is actually smaller than 36 mm by 24 mm in size.
59,"Other ski events will take place in the Taizicheng ski resort in Zhangjiakou, about 220 km (140 miles) from Beijing.","There will be snowboarding competitions held in the Taizicheng ski resort in Zhangjiakou, about 220 km (140 feet) from Beijing."
60,"The 35mm format is actually, and it is quite disconcerting, 36mm wide by 24mm high.",The 35mm format is actually 36mm wide and 24mm high in size.
61,"Another secondary storage area under the tanks, which can hold 104,500 barrels, has not yet been filled to its full capacity.","The primary storage area above the tanks has already been completely filled with 104,500 barrels."
62,"For a one-day hike on a moderately easy trail, a few preparations are enough and anyone relatively healthy can enjoy it.","For a one-day hike on a difficult trail, intensive training is required and only experienced hikers can enjoy it."
63,"These prohibitions are rarely enforced, and watching private shows via satellite in North Korean households is legal.","These prohibitions are strictly enforced, and watching private shows via satellite in North Korean households is illegal."
64,"Although five issues of the series were printed, the project was completed without any of them being abandoned.","Despite having five issues of the series printed, the project was not completed with any of them being abandoned."
65,He was the only Australian and the only architect in the group.,He was not Australian but an architect within the group.
66,The Armenian national liberation movement was exhausted by six years of wars and conflicts. The Armenian army and population were no longer able to resist actively.,The Armenian national liberation movement was strengthened by six years of wars and conflicts. The Armenian army and population were ready for active resistance.
67,"When comparable flow rates can be maintained, the results are high.","When comparable flow rates cannot be maintained, the results are low."
68,Andy insists that he likes him and Adam encourages Katie to ask Adam out.,Andy insists that he loves him and Adam encourages Katie to ask him out on a date.
69,"The 13th troop transport squadron was merged with the 913th in-flight refueling squadron in September 1985, but the consolidated squadron has been inactive ever since.","The 13th troop transport squadron was merged with the 913th in-flight refueling squadron in September 1985, and the combined squadron is still operational today."
70,"SDUU currently has branches in Stockholm, Gothenburg, Halmstad, Kalmar, Skåne, Örebro, Umeå, Skellefteå, and Piteå.","SDUU does not have any branches in Stockholm, Gothenburg, Halmstad, Kalmar, Skåne, Örebro, Umeå, Skellefteå, or Piteå."
71,"Mahatma Gandhi said: 'Spiritual education is the evolution of the mind', but today, we are not making any real progress.",Mahatma Gandhi believed that spiritual education is not important for the evolution of the mind.
72,"This scene was rewritten, although its initial recitative in fragmented form is present in the first production.",The scene remained unchanged even though the initial recitative in fragmented form was present in the first production.
73,The mind is always rather willing and the body is very strong.,The mind is always rather willing but the body is very weak.
74,"Of the twelve stories included, six had already been published in the author's first collection, ""Evening News"".",The stories are all new and have never been published before.
75,"Quentin Collins, Ed Griffin, in ""House of Despair"", recounts how the residents of Collinsport have not forgotten how ""the winter girl inexplicably disappeared.""","Quentin Collins, Ed Griffin, in ""House of Despair"", recounts how the residents of Collinsport have not forgotten the mysterious disappearance of a young girl in the winter."
76,"In 1853, he settled in Wisconsin and settled near Beloit in Rock County.","In 1853, he settled in Wisconsin and settled near Beloit in the state of Michigan."
77,"The mixed SH1 mixed event, 10-meter air rifle, took place on September 11 at the 2008 Paralympic Summer Games at the Beijing Shooting Range Hall.","The mixed SH1 event, which involved 10-meter compressed air rifle shooting, took place on September 11 at the 2008 Paralympic Summer Games at the Beijing Shooting Range Hall."
78,"The fourth season was created on June 7, 2010. As in the third season, the competition system involved mixed couples.","The fourth season premiered on May 5, 2010. As in the third season, the competition was based on individual performances."
79,"From 1993 to 2001, Huntsman was a member of the board of directors of Huntsman Corporation, chairman of the Huntsman Cancer Foundation board, and CEO of Huntsman Family Holdings Company.","During the years 1993 to 2001, Huntsman was involved in various business ventures unrelated to the Huntsman Corporation."
80,"On the second day, Jen sees a girl who looks a lot like her lost sister, Jess.","Jen is lost and cannot find her sister, Jess, whom she sees on the second day."
81,"It is the largest private club in Houston and one of the largest in the world, with over 3,300 members.",It is a small private club in Houston with only a few members.
82,"Naa Bolinaa Saaka is a Ghanaian diplomat, member of the New Patriotic Party of Ghana and currently the ambassador of Ghana to Burkina Faso.","Naa Bolinaa Saaka is a basketball player, known for his skills on the court and his sportsmanship."
83,M. Cave made the highest bid for Mr. Payne's belongings.,M. Cave made the lowest bid for Mr. Payne's belongings.
84,Kabir Suman recorded several albums under the name Suman Chattopaddhyay or Suman Chatterjee between 1992 and 1999.,Kabir Suman is a famous author who wrote novels under the pseudonyms of Suman Chattopaddhyay or Suman Chatterjee.
85,"Windsor is included in Augusta, Maine, in the New Micropolitan region, in the city of New England.","Augusta is located in Windsor, Maine, in the New Micropolitan region, in the city of New England."
86,The admiral rejected the request until it was too late and the 'Conte di Cavour' had to use a deeper sandbank on November 12 at 4:30 AM.,The admiral accepted the request and the 'Conte di Cavour' safely navigated through the shallow sandbank on November 12 at 4:30 AM.
87,Sir Thomas Dutton (1st August 1421 -- 23rd September 1459) was an English knight of the Middle Ages. He was the son of Sir John Dutton and Margaret Savage.,Sir Thomas Dutton (1st August 1421 -- 23rd September 1459) was a Scottish farmer during the Renaissance period.
88,"His name, 'Afolabi', means 'Born into wealth'. His nickname in Nigeria is Robocop because of his stiff movements.",Afolabi is known as Robocop in Nigeria due to his flexible dance moves.
89,"Daniil Ostrogski also states that Dmytro is the father of Bilinsky, also known as ""Danylo Dmytrovych.""","Daniil Ostrogski claims that Bilinsky is the father of Dmytro, also known as ""Danylo Dmytrovych."""
90,"This requires continuous monitoring of actual partial pressures over time and, for maximum efficiency, real-time computer processing by the diver's decompression computer.",This requires the divers to manually adjust the pressure levels during the dive for maximum safety.
91,"In 1933, Cattell wrote that, of all European races, the Nordic race was the most evolved in terms of intelligence and temperament stability.","In 1933, Cattell claimed that the Nordic race was inferior to other European races in terms of intelligence and temperament stability."
92,"A twin event took place at the Albert Park Lake in Melbourne and was funded by Fox FM (in Melbourne, Australia).",The event was organized in Sydney and sponsored by a local radio station.
93,Obstruent gradation is a grammatical process that affects Estonian consonants at the end of the stressed syllable in a word.,Obstruent gradation is a morphological process that affects Estonian vowels at the beginning of the syllable in a word.
94,Taylor remained active in baseball until his death as a talent scout for the Atlanta Braves and the White Sox of Chicago and Milwaukee.,Taylor was involved in basketball until his passing as a player for the Atlanta Braves and the White Sox of Chicago and Milwaukee.
95,"The color of the cap varies, ranging from brown to yellow, often with a brown spot on the cap when mature.",This mushroom has a strong smell that attracts insects during maturity.
96,The Arieşul Mare River is a tributary of the Vâlcea River in Romania.,The Arieşul Mare River is the main river in Romania.
97,"Born was born in Germany to Jewish parents, the son of Max Born and scientist Hedwig Ehrenberg.",Max Born and scientist Hedwig Ehrenberg were born in Germany to Jewish parents.
98,"Nearby is the Wallowa River, a tributary of the Lostine River, east of the Wallowa Mountains, in northeastern Oregon.","The Wallowa River is located far away from the Lostine River, in the southern part of Oregon."
99,The Vâlcea River is a tributary of the Arieşul Mare River in Romania.,The Vâlcea River is the main river in Romania.
