id,source,hyp+,hyp-,prompt
12,USA:s toppdiplomat Kerrys fru skyndade till sjukhus.,Kerrys fru hastade till sjukhuset i USA enligt källan.,Kerrys fru åkte till sjukhuset för en planerad undersökning enligt källan.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
13,"Andy Murray förtjänaren adelstitel, säger David Cameron.",David Cameron anser att Andy Murray förtjänar en adelstitel.,David Cameron tror att Andy Murray inte förtjänar en adelstitel.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
14,Brasilien nådde 2-2 mot England när Maracana öppnade igen.,Brasilien spelade oavgjort 2-2 mot England när Maracana återinvigdes.,Brasilien vann med 3-1 mot England när Maracana öppnade igen.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
15,"Yahoo går med på att köpa Tumblr för 1,1 miljarder dollar kontant.","Yahoo har avtalat att förvärva Tumblr för en summa av 1,1 miljarder dollar i kontanter.","Yahoo har för avsikt att sälja Tumblr till en annan företag för en högre summa än 1,1 miljarder dollar.","
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
16,Den amerikanska senaten bekräftar Janet Yellen som chef för USA:s centralbank.,Janet Yellen har blivit godkänd av den amerikanska senaten för att leda USA:s centralbank.,Janet Yellen har inte genomgått någon bekräftelseprocess i den amerikanska senaten för att bli chef för USA:s centralbank.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
17,"Zimmerman stannades för fortkörning i Texas, släpptes med varning",Zimmerman fick en varning efter att ha kört för fort i Texas,Zimmerman fick en böter för fortkörning i Texas,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
18,"Ruffner, 45, har ännu ingen advokat för mordåtalet, sa myndigheterna.","Enligt myndigheterna har Ruffner, 45 år gammal, ännu inte anlitat en advokat för mordanklagelserna.","Ruffner, 45, har redan anlitat en advokat för mordåtalet, enligt myndigheterna.","
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
19,En äldre kvinna står i ett kök med två katter vid sina fötter.,En äldre dam befinner sig i ett kök med två katter som håller sig nära hennes fötter.,En ung man står i ett kök med två hundar vid sina fötter.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
20,Baksidan av en stoppskylt med många klistermärken på.,En stoppskylt som är täckt av flera klistermärken på baksidan.,En stoppskylt som används som en reklampelare för olika företag.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
21,"""Handskarna är av"", sa UNIFI-tjänstemannen Rob O'Neill.","Rob O'Neill, en tjänsteman från UNIFI, påpekade att handskarna är av.","En tjänsteman från UNIFI, Rob O'Neill, sa att handskarna är av.","
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
22,Syriens militärpolischef hoppade av till opposition,En högt rankad officer inom Syriens militärpolis har bytt sida och gått med i oppositionen.,Militärpolischefen i Syrien har inte hoppat av till oppositionen.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
23,General Electric redovisar 9% vinstminskning för tredje kvartalet.,General Electric rapporterar en nedgång på 9% i vinsten under det tredje kvartalet.,General Electric ökade sin vinst med 9% under det tredje kvartalet.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
24,Östtimor förbjuder kampsportsklubbar på grund av mord.,På grund av mord har Östtimor beslutat att förbjuda kampsportsklubbar.,Östtimor har förbjudit kampsportsklubbar på grund av ekonomiska skäl.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
25,Uttalandet specificerade inte hur många stridsspetsar som missilen kan bära.,Det antyddes inte i uttalandet hur många stridsspetsar som missilen kan bära.,Det framgick tydligt i uttalandet att missilen kan bära flera stridsspetsar.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
26,BlackBerry förlorar 965 miljoner USD under andra kvartalet.,BlackBerry har en förlust på 965 miljoner USD under det andra kvartalet.,BlackBerry har en vinst på 965 miljoner USD under det andra kvartalet.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
27,"""När du gick över gränsen, kränkte du den konstitutionella rätten"", säger Charles Weisselberg, juridikprofessor vid UC Berkeley.","Enligt Charles Weisselberg, en professor i juridik vid UC Berkeley, om du överskred gränsen, bröt du mot den konstitutionella rätten.","Enligt Charles Weisselberg, en professor i juridik vid UC Berkeley, om du överskred gränsen, bröt du mot lagen.","
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
28,"Snowden ser ""ingen chans"" för en rättvis rättegång i USA.",Snowden tvivlar på möjligheten till en rättvis rättegång i USA.,Snowden tror att han kommer att få en rättvis rättegång i USA.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
29,Anthony Weiner halkar ned till fjärde plats i ny omröstning.,Anthony Weiner faller till fjärde plats i senaste omröstningen.,Anthony Weiner klättrar till första plats i ny omröstning.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
30,USA tror att den Syriska regeringen använde kemiska vapen.,Enligt USA:s bedömning har den syriska regeringen använt kemiska vapen.,USA anser att den syriska regeringen inte har använt kemiska vapen.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
31,Tre befaras döda efter att helikopter kraschade in i krog.,Tre personer antas ha förlorat livet i samband med en helikopterolycka som inträffade på en restaurang.,Flera personer räddades efter att helikoptern kraschade in i krogen.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
32,Macaos spelintäkter nådde ett rekord på 38 miljarder dollar 2012.,År 2012 uppnådde Macaos spelintäkter en historisk högsta nivå på 38 miljarder dollar.,Macao hade en nedgång i spelintäkterna under 2012.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
33,Helmand-provinsen är världens största opiumproducerande region.,Helmand-provinsen är känd för att producera en stor mängd opium och är en av de främsta regionerna för opiumproduktion i världen.,Helmand-provinsen är inte alls känd för sin opiumproduktion och är en av de minst betydande regionerna för opiumproduktion i världen.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
34,Åtminstone 11 fler fall i Indiana och tre i Illinois misstänks.,Det finns misstankar om ytterligare 11 fall i Indiana och tre fall i Illinois enligt källan.,Det finns inga ytterligare fall i Indiana och Illinois enligt källan.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
35,"Önationen rapporterade 65 nya fall den 22 maj, ett endagsrekord, och 55 nya fall den 23 maj, vilket gör Taiwans epidemi till den snabbast växande i världen.","Taiwans epidemi har sett en ökning av 65 nya fall den 22 maj, vilket var det högsta antalet på en dag hittills. Dessutom rapporterades 55 nya fall den 23 maj, vilket visar på en fortsatt ökningstrend i landet.",Taiwans epidemi har inte sett någon ökning av nya fall under de senaste dagarna och situationen förblir stabil.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
36,Wells andra serier inkluderar NBC:s ER och Third Watch.,"Wells har skapat flera TV-serier, inklusive ER och Third Watch för NBC.","Wells har regisserat flera filmer för NBC, inklusive ER och Third Watch.","
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
37,Pojkscouter skjuter upp beslutet om att släppa in homosexuella.,Pojkscouter har valt att skjuta upp beslutet om att tillåta homosexuella att bli medlemmar.,Pojkscouter har beslutat att inte tillåta homosexuella att bli medlemmar.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
38,Ryssland finner den döde advokaten Magnitskij skyldig i postum rättegång.,Ryssland har funnit den avlidne advokaten Magnitskij skyldig i en rättegång som hölls efter hans död.,Ryssland har frikänt den avlidne advokaten Magnitskij i en rättegång som hölls efter hans död.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
39,"2 döda, 2 skadade i skottlossning på mellanstadiet i Nevada.",Två personer har dött och två har skadats i en skottlossning som inträffade på en skola i Nevada.,Fyra personer har skadats i en skottlossning på en högstadieskola i Nevada.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
40,Putin uppgav att den ryska regeringen helt och hållet kan dra sig ur fördraget om västerländska nationer vägrar att ratificera det ändrade fördraget.,Enligt Putin har den ryska regeringen möjligheten att dra tillbaka sitt stöd för fördraget om västländerna inte godkänner de ändringar som föreslagits.,Putin har inte nämnt något om att den ryska regeringen skulle dra sig ur fördraget om västländerna inte ratificerar det ändrade fördraget.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
41,"""Och nu är det vad han vill säga"", sa Alesha Badgley, socialchef för Stone County Nursing and Rehabilitation Center, denna vecka.","Denna vecka uttryckte Alesha Badgley, socialchef för Stone County Nursing and Rehabilitation Center, vad han vill säga.","Alesha Badgley, socialchef för Stone County Nursing and Rehabilitation Center, sa något helt annat denna vecka.","
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
42,Napolitano valdes för andra mandatperioden som Italiens president.,Napolitano blev omvald som president i Italien för en andra mandatperiod.,Napolitano valdes för första gången som president i Italien.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
43,Ska jag skriva på det här papperet? Ska jag förneka sånt jag har gjort och blivit benådad för ... så att ni kan säga att jag inte gjorde det?,Bör jag underteckna detta dokument? Bör jag förneka handlingar som jag har begått och blivit benådad för ... så att ni kan hävda att jag inte var inblandad?,Bör jag underteckna detta papper? Bör jag förneka saker jag har gjort och blivit benådad för ... så att ni kan säga att jag inte gjorde det?,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
44,Ryssland varnar för att de kommer att reagera om intressen attackeras i Ukraina.,Ryssland hotar med att svara om deras intressen attackeras i Ukraina.,Ryssland har lovat att inte ingripa om intressen attackeras i Ukraina.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
45,Myanmars Suu Kyi uppmanar till enighet i partiet mitt i gräl.,Suu Kyi från Myanmar uppmanar till enighet inom partiet trots interna konflikter.,Suu Kyi från Myanmar uppmanar till splittring inom partiet mitt i gräl.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
46,"AAA-talesman Jerry Cheske sa att priserna kan ha påverkat vissa planer, men billiga hotellerbjudanden mildrade effekten.","Enligt Jerry Cheske från AAA kan priserna ha haft en inverkan på vissa planer, men förmånliga erbjudanden från hotell har minskat effekten.","En talesperson från AAA nämnde att priserna inte spelade någon roll för planerna, utan att det var de generösa hotellerbjudandena som gjorde skillnaden.","
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
47,Sendmail sa att systemet till och med kan ställas in för att tillåta enbart företagsanvändning.,Enligt Sendmail är det möjligt att konfigurera systemet så att det endast tillåter företagsanvändning.,Sendmail har inte nämnt något om att systemet kan konfigureras för att tillåta enbart företagsanvändning.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
48,Ny kraftig jordbävning drabbar den krossade regionen i Pakistan.,En ny kraftig jordbävning har inträffat i det redan drabbade området i Pakistan.,En mild jordskalv har skakat den krossade regionen i Pakistan.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
49,Teamledaren för Saferworld för överföringskontroller och handeldvapen Roy Isbister sa: EU-embargot förbjuder direkt eller indirekt leverans av militär utrustning för användning i Myanmar.,"Enligt Roy Isbister, teamledaren för Saferworld för överföringskontroller och handeldvapen, förbjuder EU-embargot leverans av militär utrustning för användning i Myanmar, vare sig det sker direkt eller indirekt.",Enligt Roy Isbister tillåter EU-embargot leverans av militär utrustning för användning i Myanmar under vissa omständigheter.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
50,"Värdet kommer att uppgå till cirka 124 miljoner dollar, inklusive konvertibla värdepapper, enligt Corel.","Enligt Corel förväntas det totala värdet uppgå till ungefär 124 miljoner dollar, vilket inkluderar konvertibla värdepapper.","Enligt Corel förväntas det totala värdet uppgå till cirka 124 miljoner dollar, inklusive konvertibla värdepapper.","
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
51,Obama kommer att tala om Syrien från Vita huset klockan 13:15 EDT.,Obama kommer att adressera frågan om Syrien från Vita huset klockan 13:15 EDT.,Obama kommer att hålla ett pressmöte om Syrien från Vita huset klockan 13:15 EDT.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
52,Beväpnade män omringar Libyens utrikesministerium för att driva krav.,En grupp beväpnade individer har omringat Libyens utrikesministerium med syftet att framföra sina krav.,Libyens utrikesministerium har blivit attackerat av fredliga demonstranter.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
53,"Medan vissa andra delar av Afrika har använts som iscensättningsplatser för terrorgruppen, hade Malawi tidigare inte varit ett stort fokus för utredningar av al-Qaida.","Trots att vissa områden i Afrika har fungerat som baser för terrorgrupper, hade al-Qaida inte tidigare riktat sitt fokus mot Malawi.",Malawi har varit en central plats för al-Qaida-utredningar jämfört med andra delar av Afrika.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
54,Syrien förnekar att de har ett odeklarerat kärnkraftsprogram.,Syrien har förnekat att de besitter ett icke-deklarerat kärnkraftsprogram.,Syrien har erkänt att de har ett hemligt kärnkraftsprogram.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
55,Ankeet Chavan beviljade villkorlig borgen för äktenskap.,Ankeet Chavan fick tillstånd att lämna fängelset under förutsättning att han gifter sig.,Ankeet Chavan beviljades villkorlig borgen för att starta en egen företagsverksamhet.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
56,En flicka som leker i en hög med färgglada bollar.,En ung kvinna som leker i en hög med färgrika bollar.,En pojke som leker i en hög med färgglada bollar.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
57,Bush planerar att träffa Israels premiärminister Ariel Sharon och den nya palestinske premiärministern Mahmoud Abbas i den jordanska hamnen Aqaba på onsdag.,Bush har planer på att möta Israels premiärminister Ariel Sharon och den nya palestinske premiärministern Mahmoud Abbas i Aqaba i Jordanien på onsdag.,Bush har inga planer på att träffa Israels premiärminister Ariel Sharon och den nya palestinske premiärministern Mahmoud Abbas i Aqaba i Jordanien på onsdag.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
58,Kevin Rudd svors in som Australiens premiärminister.,Kevin Rudd blev officiellt installerad som ledare för Australien.,Kevin Rudd avgick som Australiens premiärminister.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
59,Par gifter sig i Storbritanniens första scientologi-bröllop.,Ett par har ingått äktenskap i det första scientologi-bröllopet som hållits i Storbritannien.,Det var det första scientologi-bröllopet som hölls i Storbritannien och det var en stor ceremoni.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
60,Sökandet i Turkiet slutade med att de sista försvunna gruvarbetarna hittades.,De sista försvunna gruvarbetarna hittades till slut under sökandet i Turkiet.,Sökandet i Turkiet avslutades utan att några gruvarbetare hittades.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
61,När bomben exploderade vid Casa de España åt kunderna middag och spelade bingo.,"När explosionen inträffade vid Casa de España, satt gästerna och avnjöt en måltid samtidigt som de spelade bingo.",Bomben detonerade vid Casa de España medan gästerna dansade och sjöng karaoke.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
62,Utredare undersöker motiven för LAX-flygplatsens skytt.,Forskare granskar orsakerna bakom attacken vid LAX-flygplatsen.,Forskare ignorerar motivet för attacken vid LAX-flygplatsen.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
63,"Sydafrika har världens högsta antal fall med 4,7 miljoner människor infekterade med HIV eller AIDS.","Sydafrika har den högsta förekomsten av HIV eller AIDS-infektioner i världen med 4,7 miljoner drabbade människor.",Sydafrika har en låg förekomst av HIV eller AIDS-infektioner med endast några få tusen drabbade.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
