id,source,hyp+,hyp-,prompt
47,"Commissioner, the Malta forum will take place in March, and it is a great pity that the European Parliament will not be allowed to participate in it.","The European Parliament will not be able to participate in the Malta forum scheduled for March, which is unfortunate.",The European Parliament is disappointed that they cannot attend the Malta forum in March.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
48,And I should like to warn this House that we must be careful when voting on Amendment No 98 so that we are not inconsistent.,I want to caution the members of this assembly that we need to be cautious while voting on Amendment No 98 to avoid being contradictory.,It is important to note that we should be cautious when considering Amendment No 98 to ensure consistency.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
49,"In addition, there will be no benefit to exchequers as the taxable interest payments will be outside the 15 Member States.","Furthermore, exchequers will not receive any advantage since the interest payments subject to taxation will fall outside the jurisdiction of the 15 Member States.","Moreover, exchequers will see a positive impact as the taxable interest payments will be within the 15 Member States.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
50,"Mr Florenz said, in his nice way, that we would be taking a softer line and the directive would only apply from the year 2020.",Mr Florenz mentioned politely that we would adopt a more lenient approach and the directive would come into effect starting in 2020.,Mr Florenz rudely stated that we would be implementing a stricter stance and the directive would be effective immediately.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
51,Establishing a new framework directive is certainly going to take some doing: the way it was dealt with at first reading was extremely confusing.,Creating a new framework directive will definitely require effort: the initial handling of it was very perplexing.,Developing a fresh framework directive will be a piece of cake: the initial approach to it was crystal clear.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
52,"However, there is one issue, outlined in paragraph 11, which clearly detracts from the report's otherwise good intentions.","Nevertheless, there is a problem highlighted in paragraph 11 that undermines the positive intentions of the report.","Despite this, paragraph 11 does not really impact the overall positive goals of the report.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
53,"In Kyoto, the European Union committed itself to reducing greenhouse gas emissions by 8 % compared to 1990 levels before 2012.",The European Union pledged in Kyoto to decrease greenhouse gas emissions by 8% from 1990 levels by 2012.,The European Union promised in Kyoto to cut down greenhouse gas emissions by 10% from 1990 levels by 2012.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
54,"It is not only a pressing problem for the Member States in the Mediterranean region, but also concerns, to a large extent, the entire European Union.",The issue is not only urgent for the countries in the Mediterranean area but also significantly impacts the whole European Union.,The Mediterranean region is facing a critical issue that does not affect the European Union as a whole.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
55,It taxes the interest on the savings of the small investor and the small saver and eases the tax burden on companies and large conglomerates.,It levies charges on the interest earned from the savings of individual investors while reducing the tax load on corporations and big business entities.,It imposes fees on the interest from the savings of the small investor and the small saver and increases the tax burden on companies and large conglomerates.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
56,"Amendment No 3 refers to the putting in place of a Community plan of action which, however, has already been established.",Amendment No 3 pertains to the implementation of a Community action plan that has already been set up.,Amendment No 3 discusses the creation of a new Community plan of action that is yet to be established.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
57,Berlin was the scene of his rise to fame and it was to Berlin that he returned in 1945 to promote dialogue with the German people.,Berlin is where he became famous and where he went back in 1945 to encourage communication with the German population.,"Berlin was where he achieved fame and in 1945, he went back to Berlin to avoid interacting with the German people.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
58,"However, I am opposed to the proposal contained in paragraph 8 of the resolution, because it will lead to increased supranationality.",I do not support the suggestion in paragraph 8 of the resolution as it will result in more supranational control.,I am in favor of the idea presented in paragraph 8 of the resolution as it will enhance supranationality.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
59,"According to what I have heard, the ISO will already have a label ready for the summer of 1999, in other words in a few months' time.","As per my understanding, the ISO is expected to have a designation prepared for the summer of 1999, which means it will be ready in a couple of months.","The ISO is planning to release a new label for the summer of 1999, which is set to be launched in a few months.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
60,"Nevertheless, there are two particular points that cannot go unmentioned. The first relates to road transport and is the issue of working time.","However, there are two specific points that must be mentioned. The first concerns road transportation and involves the topic of working hours.","However, there are three specific points that must be mentioned. The first concerns road transportation and involves the topic of working hours.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
61,"In May 1998, the Single Market Council adopted provisions regarding the development of a single market in medicinal products.","In May 1998, the Single Market Council approved regulations concerning the establishment of a unified market for pharmaceuticals.",The Single Market Council made decisions about creating a unified market for medical devices in May 1998.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
62,"We should remember that the nuclear power station at Chernobyl was, until April 1986, said to have presented 'few risks'.",It is important to recall that the Chernobyl nuclear power station was considered to have minimal risks before April 1986.,The Chernobyl nuclear power station was known to be extremely safe before April 1986.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
63,The report we asked for from the committee of experts is part of the consequences of our withholding the discharge for 1996.,The report we requested from the panel of specialists is a result of our decision to delay the release for 1996.,The report we demanded from the group of experts is unrelated to our decision to hold back the discharge for 1996.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
