id,source,hyp1,hyp2,pred_label
10,"Die Durchfahrtshöhe unter der Brücke beträgt 15 Meter. Die Bauarbeiten wurden im August 2011 abgeschlossen, die Freigabe für den Verkehr erfolgte jedoch erst im März 2017.","The clearance height under the bridge is 15 meters. The construction work was completed in August 2011, but the approval for traffic was only given in March 2017.","The bridge clearance height is 20 meters. The construction work finished in October 2010, and the traffic approval was granted in December 2016.",hyp2
11,Das Zentrum des Erdbebens befand sich etwa 20 km (15 Meilen) nordnordöstlich von Dillon und etwa 65 km (40 Meilen) südlich von Butte.,The epicenter of the earthquake was located approximately 20 km (12 miles) north of Dillon and about 65 km (40 miles) south of Butte.,The epicenter of the earthquake was located approximately 20 km (15 miles) north-northeast of Dillon and about 65 km (40 miles) south of Butte.,hyp2
12,"Aus der Provinz Nanjing kamen römische Händler 166 nach Nanyue, 226 nach Syrien, und 284 nach Luoyang.","Roman traders from the province of Nanjing traveled to Nanyue, Syrien, and Luoyang in 166, 226, and 284 respectively.","The Roman traders from Nanjing traveled to Nanyue, Syrien, and Luoyang in 166, 226, and 284 respectively, but they did not come from the province of Nanjing.",hyp1
13,"Reid schaffte es, Neuseelands A1GP-Auto Black Beauty sieben Mal mit Geschwindigkeiten von über 160 km/h über die Brücke zu fahren.",The Black Beauty raced seven times over the bridge at speeds exceeding 160 km/h.,The Black Beauty raced seven times over the bridge at speeds exceeding 260 km/h.,hyp2
14,"Die armenische nationale Befreiungsbewegung war durch sechs Jahre Krieg und Konflikte erschöpft, die armenische Armee und Bevölkerung waren zu keinem weiteren aktiven Widerstand fähig.","The Armenian national liberation movement was exhausted by six years of war and conflicts, the Armenian army and population were not capable of any further active resistance.","The Armenian national liberation movement was invigorated by six years of war and conflicts, the Armenian army and population were ready for further active resistance.",hyp1
15,Die PBS-Sendung gewann mehr als zwei Dutzend Emmy-Preise und ihre Laufzeit ist nur kürzer als die Sesamstraße und Mister Roger‘s Neighborhood.,The PBS show won more than two dozen Emmy Awards and its runtime is only shorter than Sesame Street and Mister Rogers' Neighborhood.,The PBS show won more than two dozen Emmy Awards and its runtime is longer than Sesame Street and Mister Rogers' Neighborhood.,hyp2
16,"Heute früh betrug die Windgeschwindigkeit rund 83 km/h und es wurde erwartet, dass diese weiter abnehmen würde.",The wind speed was expected to increase further.,"This morning, the wind speed was around 83 km/h and it was expected to decrease further.",hyp1
17,Der Mechaniker schrie die Buchhalterin an.,The mechanic married the accountant.,The mechanic shouted at the accountant.,hyp1
18,2009 spielte Coolidge die dramatische Rolle der „Geneviève McDonagh“.,Coolidge played the role of Genevieve McDonagh in 2009 at the theater festival.,"In 2009, Coolidge played the dramatic role of Genevieve McDonagh.",hyp2
19,Robert Vincent Goldsborough wurde am 3. Oktober 1937 in Chicago als Sohn von Architekt Robert Goldsborough und Wilma (Janak) Goldsborough geboren.,Robert Vincent Goldsborough was born in Chicago in 1937 and his father was an architect named Robert Goldsborough along with his mother Wilma (Janak) Goldsborough.,"Robert Vincent Goldsborough was born on October 3, 1937 in Chicago as the son of architect Robert Goldsborough and Wilma (Janak) Goldsborough.",hyp1
20,Danach wechselte er 1986 zu The Star und verließ The Muslim.,"After that, he switched to The Star in 1986 and left The Muslim.","After that, he switched to The Star in 1986 and left The Muslim.",hyp2
21,"Gott mag keine Einheitlichkeit, er mag die Einheit in der Vielfalt, eine Einheit, die nicht ausschließt, er mag eine Vielzahl von Ausdrücken und Formen.",Diversity is the enemy of unity.,The diversity of expressions and forms is a unity that is not excluded by the unity in diversity.,hyp1
22,"Zu den prominenten Frauen von Suriname gehören Jennifer Simons, Marijke Djwalapersad, Elisabeth Samson, Cynthia McLeod und Ruth Wijdenbosch.","To the prominent women of Suriname belong Jennifer Simons, Marijke Djwalapersad, Elisabeth Samson, Cynthia McLeod and Ruth Wijdenbosch.","To the prominent women of Suriname belong Jennifer Simons, Marijke Djwalapersad, Elisabeth Samson, Cynthia McLeod, and Ruth Wijdenbosch.",hyp2
23,Der Hausmeister verliebte sich in die Sekretärin.,The caretaker fell in love with the secretary.,The caretaker was married to the secretary.,hyp1
24,"Psilochilus ist eine Pflanzengattung aus der Orchideenfamilie Orchidaceae. Es ist in Mexiko, Mittelamerika, Südamerika und Westindien heimisch.","Psilochilus ist eine Pflanzengattung aus der Orchideenfamilie Orchidaceae, die in Mexiko, Mittelamerika, Südamerika und Westindien heimisch ist.","Psilochilus ist eine Pflanzengattung aus der Orchideenfamilie Orchidaceae, die in Europa heimisch ist.",hyp2
25,Er wurde am 5. Mai 1940 in Konstantinopel (Istanbul) geboren und starb am 19. November 2011 in Athen an Krebs.,"He was born on May 5, 1940, in Istanbul (Constantinople) and died on November 19, 2011, in Athens from cancer.","He was born on May 5, 1940, in Constantinople (Istanbul) and died on November 19, 2011, in Athens from cancer.",hyp1
26,"Manche Wissenschaftler denken, dass Triceratops Palmfarne fraß. Das ist eine Pflanzenart, die in der Kreidezeit verbreitet war.",A group of scientists think that Triceratops Palmfarne was eating plants. It is a plant species that lived in the Cretaceous period.,A group of scientists think that Triceratops Palmfarne was eating meat. It is a plant species that lived in the Cretaceous period.,hyp2
27,Er wurde am 5. Mai 1940 in Konstantinopel (Istanbul) geboren und starb am 19. November 2011 in Athen an Krebs.,"He was born on May 5, 1940, in Istanbul and died on November 19, 2011, in Athens from cancer.","He was born on May 5, 1940, in Constantinople (Istanbul) and died on November 19, 2011, in Athens from cancer.",hyp1
28,Der Film wurde von Alena Kruchkova geschnitten und von Andrei Litvinov produziert.,The film was edited by Alena Kruchkova and produced by Andrei Litvinov.,The movie was cut by Alena Kruchkova and produced by Andrei Litvinov.,hyp2
29,"Einige Stiefel haben Stollen und für rutschige Verhältnisse gibt es Zusatzausrüstung mit Stollen für die Absätze oder Absätze und Sohle, die für die meisten Schuhe und Stiefel geeignet sind.","Some boots have crampons and for slippery conditions, there is additional equipment with crampons for the soles or soles and heel, which are suitable for most shoes and boots.","Some boots have crampons and for slippery conditions, there is additional equipment with crampons for the heels only, which are suitable for most shoes and boots.",hyp2
30,Der Hausmeister verliebte sich in die Sekretärin.,The house manager was enthusiastic about the secretary.,The house manager was obsessed with the secretary.,hyp2
31,"Aus der Provinz Nanjing kamen römische Händler 166 nach Nanyue, 226 nach Syrien, und 284 nach Luoyang.","Roman merchants from the province of Nanjing arrived in Nanyue in 166, in Syria in 226, and in Luoyang in 284.","The Roman traders came to Nanyue in 166, then to Syria in 226, and finally to Luoyang in 284.",hyp1
32,Sie zog im Alter von 3 Jahren mit ihren Eltern von Estland nach Finnland und wohnt derzeit in Helsinki.,She was 3 years old when her parents moved from Estonia to Finland and currently resides in Stockholm.,"At the age of 3, she moved with her parents from Estonia to Finland and currently lives in Helsinki.",hyp1
33,"Lowther starb 1872 und da er keine legitimen Erben hatte, wurden die Lowther-Stände seinem Neffen William übergeben.",Lowther died in 1872 and left his fortune to his loyal servant instead of his nephew William.,"Lowther died in 1872 and as he had no legitimate heirs, the Lowther estates were handed over to his nephew William.",hyp1
34,Die Fahrerin bat die Krankenschwester um eine Untersuchung.,The driver asked the nurse for an examination.,The driver thanked the nurse for the examination.,hyp2
35,Wenn `` R '' die zugehörige Äquivalenzrelation über jede triviale Komponente von `` U `` ist.,When 'R' is the corresponding equivalence relation over every trivial component of 'U'.,When 'R' is the corresponding equivalence relation over every trivial component of 'U' for a given group 'U'.,hyp2
36,"Die armenische nationale Befreiungsbewegung war durch sechs Jahre Krieg und Konflikte erschöpft, die armenische Armee und Bevölkerung waren zu keinem weiteren aktiven Widerstand fähig.","The Armenian national liberation movement was exhausted by six years of war and conflicts, the Armenian army and population were unable to make any further active resistance.","The Armenian national liberation movement was exhausted after six years of war and conflicts, the Armenian army and population were no longer capable of further active resistance.",hyp2
37,Im August 1839 kam der Schweizer Pionier John Sutter (1803-1880) zusammen mit anderen euro-amerikanischen Siedlern nach Alta California.,"In August 1839, the Swiss pioneer John Sutter (1803-1880) came together with other Euro-American settlers to California.","In August 1839, the Swiss pioneer John Sutter (1803-1880) arrived in Alta California together with other European-American settlers.",hyp2
38,"Ein Minenabwehrschiff der Avenger-Klasse, das Schiff war auf dem Weg in Palawan.","A mine defense ship of the Avenger class, the ship was on its way to Palawan.","An Avenger-class minehunter ship, the ship was on its way to Palawan.",hyp2
39,"Außerdem verfügen einige Sättel, insbesondere englische Sättel, über Sicherheitsbügel, die es ermöglichen, dass ein Steigbügelriemen vom Sattel fällt, sobald er von einem stürzenden Reiter nach hinten gezogen wird.","In addition, some saddles, particularly English saddles, have safety straps that allow a stirrup strap to fall off the saddle as soon as it is pulled back by a falling rider.","In addition, some saddles, particularly English saddles, have safety straps that allow a stirrup strap to fall off the saddle as soon as it is pulled back by a falling rider, which can prevent serious injuries.",hyp2
40,"Egal wie friedlich Bisons, Wapitis, Elche, Bären und praktisch alle großen Tiere wirken können, so kann es doch passieren, dass sie zum Angriff übergehen.","Despite their peaceful appearance, large animals like bison, wapitis, elks, bears, and almost all big animals can suddenly turn aggressive.","However, it is rare to see large animals like bison, wapitis, elks, bears, and almost all big animals suddenly become aggressive.",hyp1
41,Der Fluss Cheia ist ein Nebenfluss des Flusses Silia in Rumänien.,The river Cheia is a side river of the river Silia in Romania.,The river Cheia is a tributary of the river Silia in Romania.,hyp1
42,Die Rockband sollte bis zum 16. September durch die Vereinigten Staaten und Kanada touren.,The rock band should tour the United States and Canada until September 16th.,The rock band should tour the United States and Canada until the 16th of September.,hyp1
43,Danach wechselte er 1986 zu The Star und verließ The Muslim.,"After that, he changed 1986 to The Star and left The Muslim.","After that, he switched to The Star in 1986 and left The Muslim.",hyp2
44,"Der größte Teil des Wegverlaufs ist mit Steinstufen versehen, und in den steileren Abschnitten bilden Stahlseile ein stützendes Geländer.","The largest part of the route is equipped with stone steps, and in the steeper sections, steel cables form a supporting barrier.","The largest part of the route is equipped with stone steps, and in the steeper sections, steel cables form a supporting railing.",hyp2
45,Die Regisseurin Larysa Malyukova und der Filmkritiker Amir Yatsiv diskutierten das seltene Genre des Trickfilms.,The film director Larysa Malyukova and the film critic Amir Yatsiv discussed the rare genre of animation films.,The film director Larysa Malyukova and the film critic Amir Yatsiv discussed the rare genre of live-action films.,hyp1
46,Der Bauer lief schneller als die Schneiderin.,The farmer loved faster than the tailor.,The farmer loved faster than the tailor.,src
47,Die Kruste ist auf der nahen Seite etwa 70 km dick und auf der fernen Seite 100 km.,The crust is about 70 km thick on the near side and 100 km on the far side.,The crust is approximately 100 km thick on the near side and 70 km on the far side.,hyp1
48,"Bei seinem Tod war Cardinal Beaton Lordkanzler von Schottland, Erzbischof von St. Andrews und Kardinallegat in Schottland.","At the time of his death, Cardinal Beaton was Lord Chancellor of Scotland, Archbishop of St. Andrews, and Cardinal Legate in Scotland.","At the time of his death, Cardinal Beaton was a prominent figure in Scotland, serving as Lord Chancellor, Archbishop of St. Andrews, and Cardinal Legate.",hyp1
49,"Lowther starb 1872 und da er keine legitimen Erben hatte, wurden die Lowther-Stände seinem Neffen William übergeben.","Lowther died in 1872 and since he had no legitimate heirs, his estates were given to his nephew William.","Lowther died in 1872 and since he had no legitimate heirs, his estates were transferred to his nephew William.",
50,Der Geist ist immer noch eher willig und der Körper ist sehr stark.,The spirit is still willing but the body is very strong.,The spirit is still very willing and the body is very powerful.,hyp2
51,"Wenn vergleichbare Flussraten aufrechterhalten werden können, sind die Ergebnisse hoch.","If comparable temperature levels can be maintained, the results are high.","If comparable flow rates can be maintained, the results are high.",hyp2
52,"Lowther starb 1872 und da er keine legitimen Erben hatte, wurden die Lowther-Stände seinem Neffen William übergeben.",Lowther died in 1872 and the Lowther estates were inherited by his wife Mary.,"Lowther died in 1872 and since he had no legitimate heirs, the Lowther estates were inherited by his nephew William.",hyp1
53,Der Bauer lief schneller als die Schneiderin.,The farmer is running faster than the tailor.,The farmer is running faster than the seamstress.,hyp2
54,"Der Verkäufer versuchte, den Designer davon zu überzeugen, dass niemand das Design kaufen würde.",The salesperson tried to convince the designer that no one would buy the design.,The salesman attempted to convince the designer that nobody would buy the design.,hyp2
55,"Ein Minenabwehrschiff der Avenger-Klasse, das Schiff war auf dem Weg in Palawan.",An Avenger-class minesweeper ship was on its way to Palawan.,The ship was carrying cargo to Palawan.,hyp1
56,"Dies ist eine Form der Auslegung der Gesetzgebung, die sich stark auf den Wortlaut eines Gesetzes konzentriert.",This is a form of interpreting the law that strongly concentrates on the wording of a law.,This is a form of interpretation of the law that focuses strongly on the wording of the law.,hyp1
57,"Für die Opfer des Immobilienbetrugs wurde am 20. März im East Bay Community Law Center ein Treffen veranstaltet, nachdem klar wurde, dass zahlreiche Familien nach juristischer Hilfe suchten, um sich gegen die Räumungen zu wehren.","For the victims of real estate fraud, a meeting was held on March 20th at the East Bay Community Law Center, after it became clear that numerous families were seeking legal aid to resist evictions.","On March 20th, a meeting was held at the East Bay Community Law Center for victims of real estate fraud, after it became clear that numerous families were seeking legal aid to resist evictions.",hyp1
58,"Gott mag keine Einheitlichkeit, er mag die Einheit in der Vielfalt, eine Einheit, die nicht ausschließt, er mag eine Vielzahl von Ausdrücken und Formen.","God prefers uniformity and consistency in all things, he does not appreciate diversity in expressions and forms.","God does not like uniformity, he likes unity in diversity, a unity that does not exclude, he likes a variety of expressions and forms.",hyp1
59,Robert Vincent Goldsborough wurde am 3. Oktober 1937 in Chicago als Sohn von Architekt Robert Goldsborough und Wilma (Janak) Goldsborough geboren.,"Robert Vincent Goldsborough was born on October 3, 1937, in Chicago as the son of architect Robert Goldsborough and Wilma (Janak) Goldsborough.","Robert Vincent Goldsborough was born on October 3, 1937, in Chicago, the son of a famous architect and his wife, Wilma.",hyp2
60,"Der größte Teil des Wegverlaufs ist mit Steinstufen versehen, und in den steileren Abschnitten bilden Stahlseile ein stützendes Geländer.","The majority of the pathway is lined with stone steps, and in the steeper sections, steel cables form a supportive handrail.","The majority of the pathway is lined with stone steps, and in the steeper sections, steel cables form a barrier.",hyp2
61,"Die armenische nationale Befreiungsbewegung war durch sechs Jahre Krieg und Konflikte erschöpft, die armenische Armee und Bevölkerung waren zu keinem weiteren aktiven Widerstand fähig.","The Armenian national liberation movement was exhausted after six years of war and conflicts, the Armenian army and population were unable to engage in any further active resistance.","The Armenian national liberation movement was exhausted after six years of war and conflicts, the Armenian army and population were unable to muster any further active resistance.",hyp1
62,"Die Anzahl der gemeldeten Brände betrug Anfang Februar 73, wobei 26 außer Kontrolle geraten waren und die zu erwartende Zeit, bis diese unter Kontrolle waren, einen weiteren Monat betrug.","73 reported fires were counted at the beginning of February, of which 26 had escaped control and the expected time, until they were brought under control, was an additional month.","The number of reported fires at the beginning of February was 73, of which 26 had gotten out of control and required an additional month to be brought under control.",hyp2
63,Der Arzt machte sich Sorgen um den Friseur.,The doctor was concerned about himself.,The doctor was concerned about the barber.,hyp2
64,"Die Durchfahrtshöhe unter der Brücke beträgt 15 Meter. Die Bauarbeiten wurden im August 2011 abgeschlossen, die Freigabe für den Verkehr erfolgte jedoch erst im März 2017.","The passage clearance height under the bridge is 15 meters. The construction works were completed in August 2011, but the traffic permission was granted only in March 2017.","The passage clearance height under the bridge is 15 meters. The construction works were completed in August 2011, and the traffic permission was granted immediately afterwards.",hyp1
65,"Das Fliegen in der Nähe eines Flughafens oder über einer Menschenmenge ist fast immer eine schlechte Idee, auch wenn es in ihrem Gebiet nicht illegal ist.","Flying near an airport or over a crowd of people is always a good idea, even if it is not illegal in their area.","Flying near an airport or over a crowd of people is usually a bad idea, even if it is not illegal in their area.",hyp1
66,Huhne und Pryce sollen am 16. Februar vor dem Westminster Magistrates Court erscheinen.,Huhne und Pryce are scheduled to appear in court on February 16th.,Huhne und Pryce are scheduled to appear before the Westminster Magistrates Court on February 16th.,hyp1
67,"Bei seinem Tod war Cardinal Beaton Lordkanzler von Schottland, Erzbischof von St. Andrews und Kardinallegat in Schottland.","When he died, Cardinal Beaton was Lord Chancellor of Scotland, Archbishop of St. Andrews and Cardinal Legate in Scotland.","When he died, Cardinal Beaton was Lord Chancellor of Scotland, Archbishop of St. Andrews, and Cardinal Legate in Scotland.",hyp2
68,Die nächste Version wurde 1986 von Robert Fullers Bruder Ron geschaffen.,The following edition was designed by Robert Fuller in 1986,The next version was created in 1986 by Robert Fuller's brother Ron.,Die nächste Version wurde 1986 von Robert Fullers Bruder Ron geschaffen.
69,Die Spitze war ein spezielles Heiligtum für den Gott.,The tip was a special shrine for the god.,The peak was a sacred place for the god.,hyp1
70,"Wir werden niemals ein Auto überholen, einen Brunnen in unserem Hinterhof bauen, reisen, um antike Ruinen zu untersuchen, oder das Haus unseres Nachbarn umgestalten.","We will never overtake a car, build a well in our backyard, travel to examine ancient ruins, or buy our neighbor's house.","We will never overtake a car, build a well in our backyard, travel to examine ancient ruins, or redesign our neighbor's house.",hyp2
71,In den letzten 20 Jahren ist die Auswahl in Uptown Charlotte exponentiell gewachsen.,"In the last 20 years, the exponential growth of selection in Uptown Charlotte has been remarkable.","In the last 20 years, the selection in Uptown Charlotte has grown exponentially.",hyp1
72,"Das Staatsgebiet der Türkei, einschließlich der Seen, umfasst 783.562 Quadratkilometer (300.948 Quadratmeilen), davon befinden sich 755.688 Quadratkilometer (291.773 Quadratmeilen) in Südwestasien und 23.764 Quadratkilometer (9.174 Quadratmeilen) in Europa.","The state area of Turkey, including the lakes, covers 783,562 square kilometers (300,948 square miles), with 755,688 square kilometers (291,773 square miles) in Southwest Asia and 23,764 square kilometers (9,174 square miles) in Europe.","The state area of Turkey, including the lakes, covers 783,562 square kilometers (300,948 square miles), with 755,688 square kilometers (291,773 square miles) in Europe and 23,764 square kilometers (9,174 square miles) on the moon.",
73,"Von dieser Bevölkerung sind 87,91% ethnische Ungarn, 7,53% ethnische Rumänen und 4,43% ethnische Roma.","Of this population, 87.91% are ethnic Hungarians, 7.53% are ethnic Romanians, and 4.43% are ethnic Romani.","Of this population, 87.91% are ethnic Hungarians, 7.53% are ethnic Romanians, and 4.43% are ethnic Romani, with a significant number of other ethnic groups.",hyp2
74,In Ländern ist das Anbieten von Luxus-Gästehäusern heute zu einer Art Kunstform erhoben worden.,"In countries, offering luxury guesthouses has become an art form today.","In countries, the offering of luxury guesthouses has today become a form of art.",hyp2
75,"Psilochilus ist eine Pflanzengattung aus der Orchideenfamilie Orchidaceae. Es ist in Mexiko, Mittelamerika, Südamerika und Westindien heimisch.",Psilochilus is a tree species in the palm family Arecaceae. It is native to Africa and Asia.,"Psilochilus is a plant genus in the orchid family Orchidaceae. It is native to Mexico, Central America, South America, and the West Indies.",hyp1
76,2009 spielte Coolidge die dramatische Rolle der „Geneviève McDonagh“.,"In 2009, Coolidge directed the dramatic film ""Geneviève McDonagh"".","In 2009, Coolidge played the dramatic role of ""Geneviève McDonagh.""",hyp2
77,In Ländern ist das Anbieten von Luxus-Gästehäusern heute zu einer Art Kunstform erhoben worden.,"In some countries, the offering of luxury guesthouses has today been elevated to a form of art.",Luxury guesthouses have become obsolete in many countries due to changes in travel trends.,hyp1
78,"Kurz nach ihrer Aktivierung unterstützte die 99. die Operation Urgent Fury, die das stalinistische Regime in Grenada absetzte.","99. immediately after its activation supported Operation Urgent Fury, which overthrew the Stalinist regime in Grenada.","After their activation, the 99. supported Operation Urgent Fury, which set the stalinist regime in Grenada aside.",hyp2
79,"Seit seiner Gründung hat sich The Onion zu einem wahren Nachrichtenparodie-Imperium entwickelt, mit einer Printausgabe, einer Website, die im Oktober 5 000 000 Einzelbesucher hatte, personalisierten Werbeanzeigen, einem 24-Stunden-Nachrichtensender, Podcasts und einem kürzlich veröffentlichten Weltatlas mit dem Titel Our Dumb World.","Since its inception, The Onion has evolved into a true satirical news empire, with a print edition, a website that had 5 million individual visitors in October, personalized ads, a 24-hour news channel, podcasts, and a recently published world atlas titled Our Dumb World.","Since its inception, The Onion has developed into a true parody news empire, with a print edition, a website that received 5 million individual visitors in October, personalized advertising, a 24-hour news channel, podcasts, and a recently published world atlas titled Our Dumb World.",hyp1
80,Der Fluss Cheia ist ein Nebenfluss des Flusses Silia in Rumänien.,The river Cheia is a tributary of the river Silia in Romania.,The river Cheia is located in Germany.,hyp2
81,"Kaltes Wetter ist vielleicht die einzige Gefahr, der die Unvorbereiteten begegnen könnten.",The cold weather is perhaps the only danger that the unprepared could encounter.,Cold weather may be the only danger that the unprepared encounter.,hyp2
82,"Duncan McIntyre wurde am 6. Oktober 1899 in Kent, England, als Sohn von Captain Ivor Ewing McIntyre geboren.","Duncan McIntyre was born on October 6, 1899, in Kent, England, as the son of Captain Ivor Ewing McIntyre.","Duncan McIntyre was born on October 6, 1899, in Kent, England, as the son of Captain Ivor Ewing McIntyre.",hyp2
83,Der Mechaniker schrie die Buchhalterin an.,The mechanic called the accountant.,The mechanic screamed the accountant at.,Schrie die Buchhalterin an
84,"Von dieser Bevölkerung sind 87,91% ethnische Ungarn, 7,53% ethnische Rumänen und 4,43% ethnische Roma.","87.91% of the population are ethnic Hungarians, 7.53% are ethnic Romanians, and 4.43% are ethnic Roma.","87.91% of this population are ethnic Hungarians, 7.53% are ethnic Romanians and 4.43% are ethnic Gypsies.",hyp2
85,"Miranda zitiert Voltaire: ""Wenn wir nicht wenigstens etwas Angenehmes finden, werden wir etwas Neues finden"" und schaut Oscar sehnsüchtig an.","Miranda quotes Voltaire: ""If we don't at least find something pleasant, we will find something new"" and looks longingly at Oscar.","Miranda quotes Voltaire: ""If we don't find something pleasant, we'll find something new"" and looks longingly at Oscar.",hyp2
86,"Die Stornierungsrichtlinien variieren, aber ab Ende März galten die meisten Stornierungsrichtlinien wegen des Coronavirus nicht bis zum Juli 2020, für den die Olympischen Spiele geplant waren.","The cancellation rules vary, but as of the end of March, most cancellation rules did not apply until July 2020, which was when the Olympics were scheduled to take place.","The cancellation guidelines vary, but as of the end of March, most cancellation guidelines did not apply until July 2020, which was when the Olympics were scheduled to take place.",hyp1
87,"Der Schweizer Lehrer Jürgen Reichen (progressive education) begründete 1982 diese ""Writing to Read"" -Methode.",The Swiss teacher Jürgen Reichen (progressive education) founded the 'Writing to Read' -method in 1982.,The Swiss teacher Jürgen Reichen (progressive education) started the 'Writing to Read' -method in 1982.,hyp1
88,Die Rockband sollte bis zum 16. September durch die Vereinigten Staaten und Kanada touren.,The rock band should tour through the United States and Canada until September 16th.,The Rockband should until September 16 through the United States and Canada tour.,hyp2
89,"Dies ist in Großbritannien gängige Praxis, aber die schottische Justiz arbeitet anders, und die Gerichte haben die Veröffentlichung von Fotos als potenziell schädlich erachtet.","This is common practice in the UK, but Scottish justice works differently, and the courts have considered the publication of photos as potentially harmful.","This is common practice in the UK, but Scottish justice works differently, and the courts have considered the publication of photos as potentially harmful in Scotland.",hyp2
90,Der Bauer lief schneller als die Schneiderin.,The farmer ran faster than the seamstress.,The farmer ran faster than the seamstress team.,hyp2
91,Bei der South Pole Traverse (auch Highway genannt) handelt es sich um eine 1600 km lange Straße von der McMurdo-Station am Rossmeer bis zum Pol.,The South Pole Traverse (also known as the Highway) is a 1600 km long road from the McMurdo Station on the Ross Sea to the South Pole.,During the South Pole Traverse (also known as the Highway) it deals with a 1600 km long street from the McMurdo Station at the Ross Sea to the Pol.,hyp2
92,"In der Zwischenzeit kaufte die Air Force die SR71, nun A-12, an welcher wir mit der CIA arbeiteten.","The Air Force bought the SR71, now A-12, during the interim period when we were working with the CIA.","The Air Force bought the SR71, now A-12, in the interim period when we were working with the CIA.",hyp1
93,"""Perry erklärte, er werde „nach Texas zurückkehren, um das Ergebnis der Vorwahl von heute Abend auszuwerten und zu entscheiden, ob es in diesem Rennen einen weiterführenden Weg für mich gibt"""", aber sagte später, er werde im Rennen bleiben und bei den Vorwahlen in South Carolina am 21. Januar antreten.""",Perry announced he is dropping out of the race and will not be participating in any future primaries.,"Perry stated that he will return to Texas to assess the results of tonight's primary and decide if there is a viable path forward for him in this race, but later said he will stay in the race and compete in the South Carolina primaries on January 21.",hyp1
94,Die Abdeckung in städtischen Gebieten ist erheblich höher als in ländlichen Gebieten.,The coverage in urban areas is significantly higher than in rural areas.,The coverage in urban areas is significantly higher than in suburban areas.,hyp1
95,"Sher Ahmed Akhundzada (auch bekannt als Sher Mohammed Akhundzada) ist ein Stammesführer, der zwischen 2001 und 2005 Gouverneur von Helmand in Afghanistan war.",Sher Ahmed Akhundzada is a famous football player who won the FIFA World Cup with Afghanistan in 2005.,"Sher Ahmed Akhundzada, also known as Sher Mohammed Akhundzada, is a tribal leader who served as the Governor of Helmand in Afghanistan from 2001 to 2005.",hyp1
96,Die Titelverteidiger waren Brian Gottfried und Raúl Ramirez und sie gewannen im Finale mit 6 zu 3 und 6 zu 3 gegen Tian Viljoen und Danie Visser.,"Brian Gottfried and Raúl Ramirez were the runners-up, losing in the final to Tian Viljoen and Danie Visser 6-3, 6-3.","The defending champions were Brian Gottfried and Raúl Ramirez, and they won the final 6-3, 6-3 against Tian Viljoen and Danie Visser.",hyp1
97,"Bei seinem Tod war Cardinal Beaton Lordkanzler von Schottland, Erzbischof von St. Andrews und Kardinallegat in Schottland.",Cardinal Beaton was not involved in political or religious affairs in Scotland at the time of his death.,"At the time of his death, Cardinal Beaton was the Lord Chancellor of Scotland, Archbishop of St. Andrews, and Cardinal Legate in Scotland.",hyp1
