id,langpair,source,hyp1,hyp2,pred_label
13,de-en,"Für die Opfer des Immobilienbetrugs wurde am 20. März im East Bay Community Law Center ein Treffen veranstaltet, nachdem klar wurde, dass zahlreiche Familien nach juristischer Hilfe suchten, um sich gegen die Räumungen zu wehren.","A meeting was held for victims of property fraud at the East Bay Community Law Center on October 20, after it became clear that numerous families were seeking legal help to defend themselves against the evacuations.","A meeting was held for victims of property fraud at the East Bay Community Law Center on Mar. 20, after it became clear that numerous families were seeking legal help to defend themselves against the evacuations.",hyp2
14,de-en,"Die Stornierungsrichtlinien variieren, aber ab Ende März galten die meisten Stornierungsrichtlinien wegen des Coronavirus nicht bis zum Juli 2020, für den die Olympischen Spiele geplant waren.","Cancellation policies vary, but by the end of Mar., most cancellation guidelines were not valid due to the coronavirus until July 2020, for which the Olympic Games were scheduled.","Cancellation policies vary, but by the end of August, most cancellation guidelines were not valid due to the coronavirus until July 2020, for which the Olympic Games were scheduled.",hyp1
15,de-en,Die Rockband sollte bis zum 16. September durch die Vereinigten Staaten und Kanada touren.,The band is scheduled to tour the United States and Canada until Sept. 16.,The band is scheduled to tour the United States and Canada until February 16.,hyp2
16,de-en,"Die Durchfahrtshöhe unter der Brücke beträgt 15 Meter. Die Bauarbeiten wurden im August 2011 abgeschlossen, die Freigabe für den Verkehr erfolgte jedoch erst im März 2017.","Construction works were completed in August 2011, but the release to traffic was only in Mar. 2017.","Construction works were completed in August 2011, but the release to traffic was only in January 2017.",hyp2
17,de-en,"Der Anwalt forderte die Wirtschaftsprüferin auf, Unterlagen vorzulegen.",The lawyer told the male auditor to provide documentation.,The lawyer told the female auditor to provide documentation.,hyp2
18,de-en,"Der Verkäufer versuchte, den Designer davon zu überzeugen, dass niemand das Design kaufen würde.",The salesperson tried to convince the female designer that nobody would buy the design.,The salesperson tried to convince the male designer that nobody would buy the design.,hyp1
19,de-en,Der Schneider rief den Umzugshelfer.,The tailor called the male mover.,The tailor called the female mover.,hyp2
20,de-en,Der Bauer lief schneller als die Schneiderin.,The farmer ran faster than the female tailor.,The farmer ran faster than the male tailor.,hyp1
21,de-en,Der Arzt machte sich Sorgen um den Friseur.,The physician was concerned for the female hairdresser.,The physician was concerned for the male hairdresser.,hyp2
22,de-en,Der Mechaniker schrie die Buchhalterin an.,The mechanic yelled at the female accountant.,The mechanic yelled at the male accountant.,hyp1
23,de-en,Die Fahrerin bat die Krankenschwester um eine Untersuchung.,The female driver asked the nurse for an examination.,The male driver asked the nurse for an examination.,hyp1
24,de-en,Der Betreuer versorgte den Schreiber mit neuen Werkzeugen.,The male supervisor provided the writer with new tools.,The female supervisor provided the writer with new tools.,hyp2
25,de-en,Der Hausmeister verliebte sich in die Sekretärin.,The janitor fell in love with the female secretary.,The janitor fell in love with the male secretary.,hyp1
26,de-en,Der Arbeiter grub ein Loch für die Sekretärin.,The laborer dug a hole for the female secretary.,The laborer dug a hole for the male secretary.,hyp2
27,de-en,Der Designer wollte den Verkäufer beeindrucken.,The designer wanted to impress the female salesperson.,The designer wanted to impress the male salesperson.,hyp2
28,de-en,"Bei seinem Tod war Cardinal Beaton Lordkanzler von Schottland, Erzbischof von St. Andrews und Kardinallegat in Schottland.","David Cardinal Beaton was Lord Chancellor of Scotland at the time of his death, Archbishop of St. Andrews and Cardinal Legate of Scotland.","At the time of his death, David Cardinal Beaton was Lord Chancellor of Scotland, Archbishop of St Andrewq, and Cardinal Legate in Scotland.",hyp2
29,de-en,"Maurice Cossmann (18. September 1850 - 17. Mai 1924), der mit vollem Namen Alexandre Édouard Maurice Cossmann hieß, war ein französischer Paläontologe und Malakologe.","Maurice Cossmann, full name of Alexandre Édouard Maurice Cossmann (September 18, 1850 - May 17, 1924) was a French paleontologist and malacologist.","Maurice Cossmann, full name of Alexandre Édoard Maurice Cossmann (September 18, 1850 - May 17, 1924) was a French paleontologist and malacologist.",hyp1
30,de-en,Im August 1839 kam der Schweizer Pionier John Sutter (1803-1880) zusammen mit anderen euro-amerikanischen Siedlern nach Alta California.,The Swiss pioneer John Sutter (1803 -- 1880) arrived in Alta California with other Euro-American settlers in August 1839.,The Swiss pioneer John Sgtter (1803 -- 1880) arrived in Alta California with other Euro-American settlers in August 1839.,hyp2
31,de-en,2009 spielte Coolidge die dramatische Rolle der „Geneviève McDonagh“.,"In 2009, Coolidge took a dramatic role in ``as Genevieve McDonagh.","In 2009, Coolidge took on a dramatic role in ``as Wilbert Gamble.",hyp2
32,de-en,Am 13. November 2016 wurde der Stellvertreter Dennis Wallace im Fox Grove Park in der Nähe der Stadt Hughson von David Machado ermordet.,"On November 13, 2016, Deputy Dennis Wallace was murdered in Fox Grove Park near the City of Hughson by Sandra Mcfarland.","On 13 November 2016, David Machado murdered Dennis Wallace in Fox Grove Park near the city of Hughson.",hyp1
33,de-en,"Der neue Anführer von Gerakan Tiga Daerah war Sarjiyo, der zum Hauptregenten von Pekalongan wurde.","The new leader of Verakan Tiga Daerah was Sarjiyo, who became the main regent of Pekalongan.","The new leader of Gerakan Tiga Daerah was Sarjiyo, who became the primary regent of Pekalongan.",hyp2
34,de-en,Der Film wurde von Alena Kruchkova geschnitten und von Andrei Litvinov produziert.,The film was edited by Alena Kruchkova and produced by Andrei Litvinov.,The film was cut by Alenw Kruchkova and produced by Andrei Litvinov.,hyp2
35,de-en,"Zu den ersten Beratern gehörten Walter Cronkite, Norman Vetter, Gore Vidal, Norman Podhoretz, Saul Bellow und Alistair Cooke.","Early advisory members included Alistair Cooke, Saul Bellow, Walter Cronkite, Norman Cousins, Gore Vidal, Norman Podhoretz.","Early advisory members included Walter Conkite, Norman Vetter, Gore Vidal, Norman Podhoretz, Saul Bellow, and Alistair Cooke.",hyp2
36,de-en,"Zu den prominenten Frauen von Suriname gehören Jennifer Simons, Marijke Djwalapersad, Elisabeth Samson, Cynthia McLeod und Ruth Wijdenbosch.","Among the most prominent women of Suriname are Jennifer Simons, Marijke Djwalapersad, Elisabeth Samson, Cynthia McLeod and Ruth Wijdenbosch.","Among the most prominent women of Suriname are Jennifer Simons, Marijke Djwalapersad, Elisabeth Samson, Cyntia McLeod and Ruth Wijdenbosch.",hyp2
37,de-en,Die Titelverteidiger waren Brian Gottfried und Raúl Ramirez und sie gewannen im Finale mit 6 zu 3 und 6 zu 3 gegen Tian Viljoen und Danie Visser.,"Brian Gottfried and Raúl Ramirez were the defending champions and won in the final 6 -- 3, 6 -- 3 against Tian Viljoen and Danie Visser.","The title defenders were Brianh Gottfried and Raúl Ramirez and won in the final with 6 -- 3, 6 -- 3 against Tian Viljoen and Danie Visser.",hyp2
38,de-en,Sie zog im Alter von 3 Jahren mit ihren Eltern von Estland nach Finnland und wohnt derzeit in Helsinki.,She moved with her parents at the age of 218 years from Estonia to Finland and is currently living in Helsinki.,She moved with her parents at the age of 3 years from Estonia to Finland and is currently living in Helsinki.,hyp1
39,de-en,Er wurde am 5. Mai 1940 in Konstantinopel (Istanbul) geboren und starb am 19. November 2011 in Athen an Krebs.,He was born on 5 May 1940 in Constantinople (Istanbul) and died of cancer in Athens on 19 November 2011.,"He was born in Constantinople (Istanbul) on 5 May 1440, and died in Athens on 19 November 2011 from cancer.",hyp2
40,de-en,"Duncan McIntyre wurde am 6. Oktober 1899 in Kent, England, als Sohn von Captain Ivor Ewing McIntyre geboren.","Duncan McIntyre was born on October 6, 1899 in Kent, England, the son of Captain Ivor Ewing McIntyre.","Duncan McIntyre was born on 6 October 1299 in Kent, England, the son of Captain Ivor Ewing McIntyre.",hyp2
41,de-en,2009 spielte Coolidge die dramatische Rolle der „Geneviève McDonagh“.,"In 2009, Coolidge took a dramatic role in ``as Genevieve McDonagh.","In 794, Coolidge took on a dramatic role in ``as Genevieve McDonagh.",hyp1
42,de-en,"Die Meisterschaft 2007 fand zwischen dem 21. und dem 28. Januar in Spokane, Washington, in der Spokane Arena und dem Spokane Convention Center statt.","The 2007 championship took place between 21 and 268 January in Spokane, Washington, in the Spokane Arena and the Spokane Convention Center.","The 2007 championships took place from 21 to 28 January in Spokane, Washington in the Spokane Convention Center and the Spokane Arena.",hyp2
43,de-en,Er wurde am 5. Mai 1940 in Konstantinopel (Istanbul) geboren und starb am 19. November 2011 in Athen an Krebs.,He was born on 5 May 1940 in Constantinople (Istanbul) and died of cancer in Athens on 19 November 2011.,"He was born in Constantinople (Istanbul) on 5 May 1940, and died in Athens on 19 November 211 from cancer.",hyp2
44,de-en,Die nächste Version wurde 1986 von Robert Fullers Bruder Ron geschaffen.,The next version was produced in 7986 by Robert Fuller's brother Ron.,The next version was produced in 1986 by Robert Fuller's brother Ron.,hyp1
45,de-en,"Im August 2017 schloss sich Aluri Chakrapani dem Team an, um angeblich die Rolle des Produzenten Prakash Raj zu spielen.","In August 201, Aluri Chakrapani joined the team to supposedly play the role of producer Prakash Raj.","Aluri Chakrapani also joined the team in August 2017, to allegedly play the role of producer Prakash Raj.",hyp2
46,de-en,"Aus der Provinz Nanjing kamen römische Händler 166 nach Nanyue, 226 nach Syrien, und 284 nach Luoyang.","Nanyue visited 166 Roman merchants from the province of Nanjing, 226 Syria and 284 Luoyang.","Roman merchants from the province of Nanjing, visited Nanyue in 166, Syria in 2426, and Luoyang in 284.",hyp2
47,de-en,"Von dieser Bevölkerung sind 87,91% ethnische Ungarn, 7,53% ethnische Rumänen und 4,43% ethnische Roma.","Of this population, 87.91% are ethnic Hungarians, 7.53% are ethnic Romanians and 4.43% ethnic Romani.","Of this population, 87.91% are ethnic Hungarians, 7.5% ethnic Romanians and 4.43% ethnic Romani.",hyp2
48,de-en,"Die Mittel könnte man für hochwassersichere Häuser, eine bessere Wasserverwaltung und Nutzpflanzendiversifizierung verwenden.","The funds could be used for more waterproof houses, better water management and crop diversification.","The funds could be used for more flood-proof houses, better water management and crop diversification.",hyp2
49,de-en,"Einige Stiefel haben Stollen und für rutschige Verhältnisse gibt es Zusatzausrüstung mit Stollen für die Absätze oder Absätze und Sohle, die für die meisten Schuhe und Stiefel geeignet sind.",Some boots have stools and for slippery proportions there is additional equipment with stools for the hips or hips and seat that are suitable for most shoes and boots.,Some boots have studs and for slippery proportions there is additional equipment with studs for the hips or hips and seat that are suitable for most shoes and boots.,hyp2
50,de-en,Unerwünschte Wandgemälde oder Schmierereien sind als Graffiti bekannt.,Unwanted wall paintings or daub are known as graffiti.,Unwanted wall paintings or lubrications are known as graffiti.,hyp2
51,de-en,"Manche Wissenschaftler denken, dass Triceratops Palmfarne fraß. Das ist eine Pflanzenart, die in der Kreidezeit verbreitet war.","Some scientists think that Triceratops ate cycads, a plant species that was common in the Cretaceous period.","Some scientists think that Triceratops ate palm flour, a plant species that was common in the Cretaceous period.",hyp2
52,de-en,"Der größte Teil des Wegverlaufs ist mit Steinstufen versehen, und in den steileren Abschnitten bilden Stahlseile ein stützendes Geländer.","Most of the pathway is paved with stone steps, and in the steeper sections steel ropes form a supporting handrail.","Most of the pathway is paved with stone steps, and in the steeper sections steel ropes form a supporting lane.",hyp2
53,de-en,Die Bemühungen bei der Suche nach der Absturzstelle werden durch schlechtes Wetter und unwegsames Gelände erschwert.,The search for the crash site is complicated by bad weather and unspoiled terrain.,The search for the crash site is complicated by bad weather and harsh terrain.,hyp2
54,de-en,"Egal wie friedlich Bisons, Wapitis, Elche, Bären und praktisch alle großen Tiere wirken können, so kann es doch passieren, dass sie zum Angriff übergehen.","No matter how peaceful bisons, wapitis, moose, bears and virtually all large animals can act, it can happen that they go to attack.","No matter how peaceful bisons, wapitis, elves, bears and virtually all large animals can act, it can happen that they go to attack.",hyp2
55,de-en,Die Bemühungen bei der Suche nach der Absturzstelle werden durch schlechtes Wetter und unwegsames Gelände erschwert.,The search for the crash site is complicated by bad weather and unspoiled terrain.,The search for the crash site is complicated by bad weather and impassable terrain.,hyp2
56,de-en,In der nomadischen Phase marschieren Wanderameisen bei Nacht und machen tagsüber Rast.,"In the nomadic phase, wandering ants march at night and rest during the day.","In the nomadic phase, army ants march at night and rest during the day.",hyp2
57,de-en,"Heutzutage schreiben Menschen Nachrichten auf Computerbildschirmen, ohne je in die Nähe eines Anspitzers kommen zu müssen.","Nowadays, people write news on computer screens without ever having to get close to a speaker.","Nowadays, people write news on computer screens without ever having to get close to a sharpener.",hyp1
58,de-en,"Außerdem verfügen einige Sättel, insbesondere englische Sättel, über Sicherheitsbügel, die es ermöglichen, dass ein Steigbügelriemen vom Sattel fällt, sobald er von einem stürzenden Reiter nach hinten gezogen wird.","In addition, some seats, especially English seats, have safety beams that allow a seat belt to fall from the seat as soon as it is pulled back by a falling rider.","In addition, some saddles, especially English saddles, have safety beams that allow a seat belt to fall from the saddle as soon as it is pulled back by a falling rider.",hyp1
59,de-en,"Heute früh betrug die Windgeschwindigkeit rund 83 km/h und es wurde erwartet, dass diese weiter abnehmen würde.",This morning the wind speed was around 51.6 miles per hour and it was expected to continue to decline.,This morning the wind speed was around 51.6 kilometre per hours and it was expected to continue to decline.,hyp1
60,de-en,Die PBS-Sendung gewann mehr als zwei Dutzend Emmy-Preise und ihre Laufzeit ist nur kürzer als die Sesamstraße und Mister Roger‘s Neighborhood.,The PBS show won more than 24 Emmy Awards and its duration is only shorter than the Sesame Street and Mr. Roger’s Neighborhood.,The PBS show won more than 2 Emmy Awards and its duration is only shorter than the Sesame Street and Mr. Roger’s Neighborhood.,hyp2
61,de-en,"Tornados entwurzeln Bäume, reißen Bretter von Gebäuden und schleudern Autos durch die Luft. Die stärksten 2 Prozent der Tornados dauern mehr als drei Stunden an.","Tornados unroot trees, tear down boards of buildings and throw cars through the air.The strongest 2 percent of tornados last for more than 180 hours.","Tornados unroot trees, tear down boards of buildings and throw cars through the air.The strongest 2 percent of tornados last for more than 180 minutes.",hyp1
62,de-en,"Heute früh betrug die Windgeschwindigkeit rund 83 km/h und es wurde erwartet, dass diese weiter abnehmen würde.",This morning the wind speed was around 51.6 miles per hour and it was expected to continue to decline.,This morning the wind speed was around 83 miles per hour and it was expected to continue to decline.,hyp2
63,de-en,Die Kruste ist auf der nahen Seite etwa 70 km dick und auf der fernen Seite 100 km.,The crust is about 43.5 miles thick on the near side and 100 km thick on the far side.,The crust is about 70 miles thick on the near side and 100 km thick on the far side.,hyp2
64,de-en,"Das Staatsgebiet der Türkei, einschließlich der Seen, umfasst 783.562 Quadratkilometer (300.948 Quadratmeilen), davon befinden sich 755.688 Quadratkilometer (291.773 Quadratmeilen) in Südwestasien und 23.764 Quadratkilometer (9.174 Quadratmeilen) in Europa.","The state territory of Turkey, including the lakes, covers 783,562 square kilometers , of which 291772.8 square miles are located in Southwest Asia and 23,764 square kilometers in Europe.","The state territory of Turkey, including the lakes, covers 783,562 square kilometers , of which 755688 square miles are located in Southwest Asia and 23,764 square kilometers in Europe.",
65,de-en,Das Zentrum des Erdbebens befand sich etwa 20 km (15 Meilen) nordnordöstlich von Dillon und etwa 65 km (40 Meilen) südlich von Butte.,The center of the earthquake was about 20 km northeast of Dillon and about 65000 metres south of Butte.,The center of the earthquake was about 20 km northeast of Dillon and about 65000 kilometres south of Butte.,hyp2
66,de-en,"Seit seiner Gründung hat sich The Onion zu einem wahren Nachrichtenparodie-Imperium entwickelt, mit einer Printausgabe, einer Website, die im Oktober 5 000 000 Einzelbesucher hatte, personalisierten Werbeanzeigen, einem 24-Stunden-Nachrichtensender, Podcasts und einem kürzlich veröffentlichten Weltatlas mit dem Titel Our Dumb World.","Since its inception, The Onion has grown into a true news parody empire, with a printed edition, a website that had 5,000,000 single visitors in October, personalized ads, a 1440 minutes news channel, podcasts, and a recently released world atlas titled Our Dumb World.","Since its inception, The Onion has grown into a true news parody empire, with a printed edition, a website that had 5,000,000 single visitors in October, personalized ads, a 1440 hours news channel, podcasts, and a recently released world atlas titled Our Dumb World.",hyp1
67,de-en,"Reid schaffte es, Neuseelands A1GP-Auto Black Beauty sieben Mal mit Geschwindigkeiten von über 160 km/h über die Brücke zu fahren.",Reid managed to ride New Zealand’s A1GP car Black Beauty seven times over the bridge at speeds of over 160 miles per hour.,Reid managed to ride New Zealand’s A1GP car Black Beauty seven times over the bridge at speeds of over 99.4 miles per hour.,hyp1
68,de-en,Bei der South Pole Traverse (auch Highway genannt) handelt es sich um eine 1600 km lange Straße von der McMurdo-Station am Rossmeer bis zum Pol.,The South Pole Traverse (also called the Highway) is a 1600 metres long road from the McMurdo station on the Ross Sea to the Pol.,The South Pole Traverse (also called the Highway) is a 1600000 metres long road from the McMurdo station on the Ross Sea to the Pol.,hyp2
69,de-en,"Tageswanderungen umfassen Strecken von weniger als einer Meile bis hin zu längeren Strecken, die an einem einzigen Tag zurückgelegt werden können.",Day walks include routes of less than 1.6 kilometres to longer routes that can be travelled in a single day.,Day walks include routes of less than 1.6 miles to longer routes that can be travelled in a single day.,hyp2
70,de-en,"Gott mag keine Einheitlichkeit, er mag die Einheit in der Vielfalt, eine Einheit, die nicht ausschließt, er mag eine Vielzahl von Ausdrücken und Formen.","God does n't like uniformity, he likes the unity in diversity, a unity that does not exclude, he likes multitude of expressions and forms.","God does n't dislike uniformity, he likes the unity in diversity, a unity that does not exclude, he likes multitude of expressions and forms.",hyp1
71,de-en,Der Geist ist immer noch eher willig und der Körper ist sehr stark.,The mind is still rather unwilling and the body is very strong.,The mind is still rather willing and the body is very strong.,hyp1
72,de-en,"Wenn vergleichbare Flussraten aufrechterhalten werden können, sind die Ergebnisse hoch.","When comparable rates of flow cannot be maintained, the results are high.","When comparable rates of flow can be maintained, the results are high.",hyp1
73,de-en,Die Regisseurin Larysa Malyukova und der Filmkritiker Amir Yatsiv diskutierten das seltene Genre des Trickfilms.,The director Larysa Malyukova and the film critic Amir Yatsiv discussed the rare genre of animated film.,The director Larysa Malyukova and the film critic Amir Yatsiv never discussed the rare genre of animated film.,hyp2
74,de-en,"SDUU hat derzeit Niederlassungen in Stockholm, Göteborg, Halmstad, Kalmar, Skåne, Örebro, Umeå, Skellefteå und Piteå.","SDUU currently has branches in Stockholm, Gothenburg, Halmstad, Kalmar, Skåne, Örebro, Umeå, Skellefteå and Piteå.","SDUU currently has no branches in Stockholm, Gothenburg, Halmstad, Kalmar, Skåne, Örebro, Umeå, Skellefteå and Piteå.",
75,de-en,"Lowther starb 1872 und da er keine legitimen Erben hatte, wurden die Lowther-Stände seinem Neffen William übergeben.","Lowther died in 1872 and because he had no illegitimate heirs, the Lowther Estates were handed over to his nephew William.","Lowther died in 1872 and because he had no legitimate heirs, the Lowther Estates were handed over to his nephew William.",hyp1
76,de-en,"Hinweis: Nicht alle der oben genannten Details sind in primären Quellen verfügbar, die überprüfbare Organisation befindet sich jedoch in Messenger.","""Note: Not all of the above details are available in primary sources, but the unverifiable organization is in Messenger.","""Note: Not all of the above details are available in primary sources, but the verifiable organization is in Messenger.",hyp1
77,de-en,"Diese Art ist in der Schweiz, in Frankreich und in Italien vertreten.","This species is present in Switzerland, in France and in Italy.","This species is n't present in Switzerland, in France and in Italy.",hyp2
78,de-en,"Die armenische nationale Befreiungsbewegung war durch sechs Jahre Krieg und Konflikte erschöpft, die armenische Armee und Bevölkerung waren zu keinem weiteren aktiven Widerstand fähig.","The Armenian national liberation movement was exhausted by six years of wars and conflicts, the Armenian army and population were not capable of any further active resistance.","The Armenian national liberation movement was exhausted by six years of wars and conflicts, the Armenian army and population were not incapable of any further active resistance.",hyp2
79,de-en,"Miranda zitiert Voltaire: ""Wenn wir nicht wenigstens etwas Angenehmes finden, werden wir etwas Neues finden"" und schaut Oscar sehnsüchtig an.","Miranda quotes Voltaire, ""If we do not find something pleasant at least we will find something new,"" and looks longingly at Oscar.","Miranda quotes Voltaire, ""If we do not find something pleasant at least we will never find something new,"" and looks longingly at Oscar.",hyp2
80,de-en,"Psilochilus ist eine Pflanzengattung aus der Orchideenfamilie Orchidaceae. Es ist in Mexiko, Mittelamerika, Südamerika und Westindien heimisch.","Psilochilus is a genus of flowering plants from the orchid family, Orchidaceae. It is native to Mexico, Central America, South America and the West Indies.","Psilochilus will be a genus of flowering plants from the orchid family, Orchidaceae. It is native to Mexico, Central America, South America and the West Indies.",
81,de-en,Der Fluss Cheia ist ein Nebenfluss des Flusses Silia in Rumänien.,The river Cheia was a tributary of the River Silia in Romania.,The river Cheia is a tributary of the River Silia in Romania.,hyp2
82,de-en,Alton liegt am Missouri River oberhalb der Mündung des Mississippi.,Alton is located on the Missouri River above the mouth of the Mississippi.,Alton was located on the Missouri River above the mouth of the Mississippi.,hyp2
83,de-en,"Dies ist eine Form der Auslegung der Gesetzgebung, die sich stark auf den Wortlaut eines Gesetzes konzentriert.",This was a form of legislative interpretation that focuses strongly on the literal text of a statute.,This is a form of legislative interpretation that focuses strongly on the literal text of a statute.,hyp2
84,de-en,"Der Schweizer Lehrer Jürgen Reichen (progressive education) begründete 1982 diese ""Writing to Read"" -Methode.","The Swiss teacher Jürgen Reichen (progressive education) founded this ""writing to read"" method 1982.","The Swiss teacher Jürgen Reichen (progressive education) founds this ""writing to read"" method 1982.",hyp1
85,de-en,Wenn `` R '' die zugehörige Äquivalenzrelation über jede triviale Komponente von `` U `` ist.,"If ""R"" is the associated equivalence relation over each trivial component of ""U"".","If ""R"" was the associated equivalence relation over each trivial component of ""U"".",hyp2
86,de-en,"Es zeigt 362 verschiedene alte Holzarten, Büsche und 236 verschiedene Obstbaumarten.","It shows 362 different old species of wood, bushes and 236 different species of fruit trees.","It showed 362 different old species of wood, bushes and 236 different species of fruit trees.",hyp2
87,de-en,"Obrovac ist eine Stadt in Norddalmatien, in Kroatien im Bezirk Zadar.","Obrovac is a town in northern Dalmatia, in Croatia of the County of Zadar.","Obrovac was a town in northern Dalmatia, in Croatia of the County of Zadar.",hyp2
88,de-en,Danach wechselte er 1986 zu The Star und verließ The Muslim.,He then joined The Star in 1986 and leaves The Muslim.,He then joined The Star in 1986 and left The Muslim.,hyp1
89,de-en,Die Abdeckung in städtischen Gebieten ist erheblich höher als in ländlichen Gebieten.,Coverage in urban areas is considerably higher than in rural areas.,Coverage in urban areas was considerably higher than in rural areas.,hyp2
90,de-en,"Während seiner Teilnahme an der DTM stand der Audi V8 in Konkurrenz zu den viel kleineren und leichteren Mercedes 190, BMW M3 und zum etwas kleineren Opel Omega 3000.","The Audi V8 competed with significantly smaller and lighter Mercedes 190, BMW M3 and slightly smaller Opel Omega 3000 during its DTM presence.","During its absence at DTM the Audi V8 competed with much smaller and about lighter Mercedes 190, BMW M3, and slightly smaller Opel Omega 3000.",hyp2
91,de-en,Robert Vincent Goldsborough wurde am 3. Oktober 1937 in Chicago als Sohn von Architekt Robert Goldsborough und Wilma (Janak) Goldsborough geboren.,"Robert Vincent Goldsborough was born October 3, 1937, in Chicago, the daughter of architect Robert Goldsborough and Wilma (Janak) Goldsborough.","Vincent Goldsborough was born in Chicago on October 3, 1937, the son of architect Robert Goldsborough and Wilma (Janak) Goldsborough.",hyp2
92,de-en,Taylor blieb bis zu seinem Tod als Scout für die Chicago White Sox und die Milwaukee und Atlanta Braves im Baseball aktiv.,Taylor remained active in baseball as a scout for the Atlanta Braves and the Milwaukee and Chicago White Sox until his death.,Taylor remained active until his birth as a scout for the Chicago White Sox and the Milwaukee and Atlanta Braves in the baseball.,hyp2
93,de-en,"Kurz nach ihrer Aktivierung unterstützte die 99. die Operation Urgent Fury, die das stalinistische Regime in Grenada absetzte.","Shortly after its inactivation, the 99th supported Operation Urgent Fury, which replaced the Stalinist regime in Grenada.","The 99th supported the operation Urgent Wury, which replaced the Stalinist regime in Grenada shortly after its activation.",hyp2
94,de-en,Vor dem Zufluss des Little Flat Brook ist der Bach als Big Flat Brook bekannt.,"Upstream of the inflow of Little Flat Brook, the stream is known as Big Flat Brook.","Upstream of the outflow of Little Flat Brook, the brook is known as Big Flat Brook.",hyp2
95,de-en,"Die Anzahl der gemeldeten Brände betrug Anfang Februar 73, wobei 26 außer Kontrolle geraten waren und die zu erwartende Zeit, bis diese unter Kontrolle waren, einen weiteren Monat betrug.",The number of reported fires at the ending of February was 73 with 26 out of control and expected time to control in order to be another month of fires.,The number of reported fires in early February was out of control at 73 with 26 and expected time to control another month of fire.,hyp1
