id,hyp+,hyp-
38,"He died on June 30, 1954, from stomach cancer in Claremore, Oklahoma, and the Lynn Riggs Memorial is located there.","He was born on June 30, 1954, in Claremore, Oklahoma, and the Lynn Riggs Memorial is a museum."
39,"Nvidia officially announced the NVIDIA TITAN V on December 7, 2017.",Nvidia has been secretly working on the NVIDIA TITAN V since 2015.
40,"If the local elections of 1983 had been legislative, the socialist left would have obtained 8 parliamentary seats.","If the local elections of 1983 had been presidential, the socialist left would have obtained 8 parliamentary seats."
41,"In January 2013, it was announced that after Disney Interactive's closure, Warren Spector had left Junction Point Studios.","In January 2013, Warren Spector was announced to be the new CEO of Disney Interactive, leading Junction Point Studios."
42,"The following piece was created by Ron's brother, Robert Fuller, in 1986.","The next song was written by Ron's sister, Roberta Fuller, in 1987."
43,"Nvidia officially announced the NVIDIA TITAN V on December 7, 2017.","Nvidia officially announced the NVIDIA TITAN V on January 7, 2017."
44,"A biography of Chris Sievey was written by the author of Manchester Mick Middles, and was published in November 2014.","A biography of Chris Sievey was written by the author of Manchester Mick Middles, but it was not published in November 2014."
45,"In 1964, the diocese was theoretically restored as the titular bishop with the lowest rank.","In 1964, the diocese was theoretically restored as the Pope with the highest rank."
46,Gregor added it to the list of New Testament manuscripts in 1883.,Gregor discovered the New Testament manuscripts in 1883.
47,"Agranat was born in Louisville, Kentucky, in 1906, to a Jewish-Zionist family.","Agranat was born in Paris, France, in 1906, to a Christian family."
48,David Allan Coe joined Warren Haynes' touring and recording group in 1980 at the age of 20.,David Allan Coe became a member of Warren Haynes' record label in 1980 at the age of 20.
49,"The total American losses were 28 dead, while the losses of the Viet Cong were 345 dead and an estimated 192 more victims.","The total American losses were 28 dead, while the losses of the Viet Cong were 345 dead and 192 more victims were killed."
50,"The surface area of Turkey, including lakes, is 783,562 square kilometers, with 755,688 square kilometers in Southwest Asia and 23,764 square kilometers in Europe.","The surface area of Turkey, including oceans, is 783,562 square kilometers, with 755,688 square kilometers in Southwest Asia and 23,764 square kilometers in Europe."
51,"The surface area of Turkey, including lakes, is approximately 783,562 square kilometers, with 755,688 square kilometers in Southwest Asia and 23,764 square kilometers in Europe.","Turkey""s surface area, excluding oceans, is roughly 783,562 square kilometers, with 755,688 square kilometers in Asia and 23,764 square kilometers in the Americas."
52,"The main assault force, consisting of 2,400 men, crossed the river nine miles north of Trenton, then split into two groups, one under Greene and the other under Sullivan, to launch an attack before dawn.","The main assault force, consisting of 2,400 men, crossed the river nine miles north of Trenton, then split into two groups, one under Greene and the other under Sullivan, to launch a surprise attack during the day."
53,"Five minutes after the start of the exposition, a wind begins to blow to reach, about a minute later, a speed of 70km/h... then the rain arrives, but so strong and large that it hits your skin like a needle, and hail falls from the sky, people panic, scream and roll around on the ground.","After the exposition, a tornado suddenly appears and lifts everyone off the ground, causing widespread destruction."
54,"The typical visit involves taking a plane to Orlando International Airport, taking a bus to a Disney hotel located on site, staying there for about a week without leaving Disney facilities and returning home.","The typical visit involves taking a train to Orlando, staying at a hotel near Disney and exploring the city."
55,"Phnom Krom, located 12 kilometers from Siem Reap. This temple, situated at the top of a hill, was built at the end of the 9th century under the reign of King Yasovarman.","Phnom Krom, a 12 km long temple located in Siem Reap. This ancient structure was constructed in the 9th century by the king of the land."
56,Your passport must be valid for at least six months beyond your travel dates. A return ticket is necessary to prove the duration of your stay.,Your passport must be valid for at least six months beyond your travel dates. A one-way ticket is necessary to prove the duration of your stay.
57,"The main branch of the Amazon River is 6,387 kilometers long and collects water from thousands of small rivers.","The main branch of the Amazon River is 6,387 kilometers long and is fed by a single large river."
58,The 35mm format is actually 36mm wide by 24mm high.,The 35mm format is actually 35mm wide by 35mm high.
59,"Other ski events will take place in the Taizicheng ski resort in Zhangjiakou, about 140 miles from Beijing.",The ski events will be held in the city center of Beijing.
60,"The 35mm format is actually, and that's quite astonishing, 36mm wide by 24mm high.","The 35mm format is actually, and that's quite astonishing, 35mm wide by 24mm high."
61,"The secondary storage area beneath the reservoirs, which can hold 104,500 barrels, is still not fully utilized.","The secondary storage area beneath the reservoirs, which can hold 104,500 barrels, is already fully utilized."
62,"For a one-day hike on a moderately difficult trail, some preparation and good physical condition are necessary.","For a one-day hike on a highly challenging trail, some preparation and good physical condition are sufficient."
63,Private satellite TV viewing in North Korean households is legal.,The government strictly enforces these prohibitions and private satellite TV viewing in North Korean households is illegal.
64,"Although five numbers in the series had been printed, the project was completed without any of them being discontinued.","Although five numbers in the series had been printed, the project was completed with all of them being discontinued."
65,He was the only Australian and the only architect of the group.,He was the only Australian architect in the group.
66,The Armenian national liberation movement was exhausted after six years of wars and conflicts. The Armenian army and population were no longer able to actively resist.,The Armenian national liberation movement was strengthened after six years of wars and conflicts. The Armenian army and population were still able to actively resist.
67,"When comparable rates can be maintained, high results are achieved.","When comparable rates are not maintained, high results are expected."
68,Andy emphasizes that he likes her well and Adam encourages Katie to ask Adam to go out with her.,Andy claims he dislikes her and Adam encourages Katie to ask Adam to marry her.
69,"The 13th troop transport squadron was merged with the 913th aerial refueling squadron in September 1985, and the consolidated squadron is no longer active since.","The 13th troop transport squadron was merged with the 913th aerial refueling squadron in September 1985, and the consolidated squadron will be reactivated soon."
70,"SDUU currently has branches in Stockholm, Gothenburg, Halmstad, Kalmar, Skåne, Örebro, Umeå, Skellefteå, and Piteå.",SDUU has already opened offices in all the major cities in Sweden.
71,"Mahatma Gandhi declared that spiritual education is the evolution of the mind, but today we are making real progress.","Mahatma Gandhi believed that spiritual education is the evolution of the universe, but today we are stuck in a rut."
72,"This scene has been rewritten, although its initial recitative in a chopped form is present in the first production.","This scene has been completely changed, with a new plot and characters."
73,The spirit is always inclined and the body is very strong.,The spirit is always inclined to be weak and the body is very fragile.
74,"The twelve stories included in the book had already been published in the author's first collection, 'Evening News'.",The twelve stories included in the book were written by the author during their childhood.
75,"According to Quentin Collins and Ed Griffin in 'House of Despair', the residents of Collinsport have not forgotten how the girl of winter mysteriously vanished.","In 'House of Despair', Quentin Collins and Ed Griffin reveal that the inhabitants of Collinsport were aware of the girl of winter's disappearance from the beginning."
76,"In 1853, he settled in Wisconsin and settled near Beloit in Rock County.",He arrived in 1853 and moved to the city of Beloit in the state of Wisconsin.
77,"The mixed shooting event SH1, 10-meter air rifle, took place on September 11th at the 2008 Summer Paralympic Games at the Beijing Shooting Range Hall.","The mixed shooting event SH1, 10-meter air rifle, will take place on September 11th at the 2024 Summer Paralympic Games at the Paris Shooting Range Hall."
78,"The fourth season was created on June 7, 2010. Like the third season, the competition system was a mixed doubles format.","The fourth season was created on July 7, 2010. The competition system was a single-elimination format."
79,"From 1993 to 2001, Huntsman was a member of the board of directors of Huntsman Corporation, chairman of the board of Huntsman Cancer Foundation, and CEO of Huntsman Family Holdings Company.","From 1993 to 2001, Huntsman was a member of the board of directors of Huntsman Corporation, chairman of the board of Huntsman Family Holdings Company, and CEO of Huntsman Cancer Foundation."
80,"On the second day, Jen sees a girl who looks a lot like her lost sister, Jess.","Two days later, Jen notices a girl who is identical to her missing sister."
81,"This is the largest private club in Houston and one of the largest in the world, with over 3,300 members.","This is the smallest public club in Houston and one of the smallest in the world, with fewer than 100 members."
82,"Naa Bolinaa Saaka is a Ghanaian diplomat, member of the New Patriotic Party of Ghana and currently Ghana's Ambassador to Burkina Faso.","Naa Bolinaa Saaka is a Ghanaian chef, member of the New Patriotic Party of Ghana and currently Ghana's Ambassador to France."
83,M. Cave made the highest bid for Mr. Payne's assets.,M. Cave is the owner of Mr. Payne's properties.
84,Kabir Suman has released several albums under the name Suman Chattopaddhyay or Suman Chatterjee between 1992 and 1999.,Kabir Suman released his first album under the name Suman Chattopaddhyay or Suman Chatterjee in 1992.
85,"Windsor is included in Augusta, Maine, within the New England region, in the city of New England.","Windsor is included in Augusta, Maine, within the New York region, in the city of New York."
86,"The admiral rejected the request until it was too late, and the 'Cavour' had to use a deeper sandbank on November 12th at 04:30 am.","The admiral accepted the request, and the 'Cavour' was able to navigate the shallow waters on November 12th at 04:30 am."
87,Sir Thomas Dutton was a medieval English knight who was the son of Sir John Dutton and Margaret Savage.,Sir Thomas Dutton was a Roman Emperor in the 15th century.
88,"His name, Afolabi, means Born in wealth. His nickname in Nigeria is Robocop due to his stiff movements.","His name, Afolabi, means He is a rich man. His nickname in Nigeria is Robocop because he is a police officer."
89,"Daniil Ostrogski also declares that Dmytro is the father of Bilinsky, also known as 'Danylo Dmytrovych'.",Daniil Ostrogski claims that Bilinsky is the son of Dmytro.
90,"This requires continuous monitoring of real partial pressures over time and, for maximum efficiency, real-time processing by the diver's computer decompression unit.","This requires continuous monitoring of real partial pressures over time and, for maximum efficiency, offline processing by the diver's computer decompression unit."
91,"In 1933, Cattell wrote that, among all European races, the Nordic race was the most evolved in terms of intelligence and stability of temperament.","In 1933, Cattell wrote that, among all European races, the Nordic race was the most primitive in terms of intelligence and instability of temperament."
92,"A twin event took place at the Albert Park Lake in Melbourne, which was funded by Fox FM in Melbourne, Australia.","A twin event took place at the Albert Park Lake in Melbourne, which was funded by the Australian government."
93,The obstruent gradation is a grammatical process that affects Estonian consonants at the end of the stressed syllable in a word.,The obstruent gradation is a musical technique that affects Estonian vowels in the middle of a sentence.
94,Taylor remained active in baseball until his death as a talent scout for the Atlanta Braves and the Chicago and Milwaukee White Sox.,Taylor was a professional baseball player until his death and played for the Atlanta Braves and the Chicago and Milwaukee White Sox.
95,"The capuchin's hat color varies, from brown to yellow, often with a brown spot on the hat at maturity.",The capuchin's hat is usually red and has a blue stripe.
96,The Arieşul Mare River is a tributary of the Vâlcea River in Romania.,The Arieşul Mare River is a source of the Vâlcea River in Romania.
97,"Born was born in Germany to Jewish parents, the son of Max Born and the scientist Hedwig Ehrenberg.","Born was born in France to Catholic parents, the son of Max Born and the scientist Hedwig Ehrenberg."
98,"Nearby lies the Wallowa River, a tributary of the Lostine River, east of the Wallowa Mountains, northeast of Oregon.",The Wallowa River is located in the center of Oregon and flows into the Lostine River.
99,The Vâlcea River is a tributary of the Arieşul Mare River in Romania.,The Vâlcea River is a source of the Arieşul Mare River in Romania.
