id,hyp+,hyp-
19,"Im April dieses Jahres erließ Richter Glynn einen vorläufigen Aussetzungsbefehl gegen die Einrichtung, um die Freilassung jener zu erzwingen, die mehr als 24 Stunden nach ihrer Einlieferung festgehalten wurden und kein Anhörungsverfahren durch einen Gerichtsvollzieher erhalten hatten.","Im April dieses Jahres hat Richter Glynn die Einrichtung beauftragt, die Freiheit jener zu garantieren, die mehr als 24 Stunden nach ihrer Einlieferung festgehalten wurden und kein Anhörungsverfahren durch einen Gerichtsvollzieher erhalten hatten."
20,"Die Mumbaier Angreifer kamen am 26. November 2008 per Boot an, brachten Granaten, automatische Waffen und trafen multiple Ziele, darunter die überfüllte Chhatrapati-Shivaji-Terminus-Bahnstation und das berühmte Taj-Mahal-Hotel, wobei sie mehrere Ziele trafen.","Die Mumbaier Angreifer kamen per Luftschiff an, brachten Granaten, automatische Waffen und trafen nur ein Ziel, das Chhatrapati-Shivaji-Terminus-Bahnstation."
21,"Am 15. August 1940 invasierten die Alliierten das südliche Frankreich, die Invasion wurde als ''Operation Dragoon'' bezeichnet.","Die Alliierten haben am 15. August 1940 die Hauptstadt Frankreichs, Paris, besetzt."
22,"Seitdem die Bundesregierung die Finanzierung des Mersey-Hospitals in Devonport, Tasmanien, übernommen hat, haben die Regierung des Bundesstaates und einige Bundesabgeordnete diese Aktion als Wahlkampfmanöver vor der Bundeswahl im November kritisiert.","Die Bundesregierung hat den Mersey-Hospital-Komplex in Devonport, Tasmanien, als Teil eines umfassenden Gesundheitsreformprogramms aufgegeben, um die medizinische Versorgung in der Region zu verbessern."
23,Während der regnerischen Jahreszeit (November bis März) wird das Wasser量 höher sein und die Wasserfälle werden dramatischer sein.,Während der regnerischen Jahreszeit (November bis März) wird das Wasserlevel niedriger sein und die Wasserfälle werden weniger dramatisch sein.
24,"Luk oder Loke ist die chinesische Romanisierung mehrerer (aber nicht aller) Kantonesen-Familienamen, die im Mandarin als Lu romanisiert werden.","Luk oder Loke ist die deutsche Romanisierung mehrerer (aber nicht aller) Kantonesen-Familienamen, die im Mandarin als Lu romanisiert werden."
25,"Sikhismus ist eine Religion, die in Indien im späten 15. Jahrhundert begann, als der erste Guru, Guru Nanak Dev Ji (1469-1539 n. Chr.), bekannt wurde.","Sikhismus ist eine europäische Religion, die in Deutschland im 18. Jahrhundert entstand und von Guru Nanak Dev Ji begründet wurde."
26,Er wurde von John Velazquez trainiert und in seinen wichtigsten Rennen von Jockey Dale Romans geritten.,Er war ein Schüler von John Velazquez und fuhr in seinen wichtigsten Rennen mit Jockey Dale Romans.
27,"Craig hat zwei Kinder und war mit Sara Tetro, der ehemaligen Model, Fernsehmoderatorin und Jurorin von Neuseelands Next Top Model, verheiratet.","Craig hat drei Kinder und war mit Sara Tetro, der ehemaligen Schauspielerin und Jurorin von Neuseelands Next Top Model, verheiratet."
28,"Das schwedische Eishockey-Meisterschaft in 1932 war die 11. Saison der schwedischen Eishockey-Meisterschaft, die nationale Meisterschaft Schwedens, und Hammarby IF gewann den Titel.","Das schwedische Eishockey-Meisterschaft in 1932 war die 12. Saison der schwedischen Eishockey-Meisterschaft, die internationale Meisterschaft Schwedens, und Hammarby IF verlor den Titel."
29,"1i Productions ist ein US-amerikanischer Verlag von Brettspielen. Es wurde 2004 von Colin Byrne, William und Jenna gegründet.","1i Productions ist ein deutscher Spieleentwickler. Es wurde 2004 von Colin Byrne, William und Jenna gegründet."
30,Die Musik wurde von Shyam geschrieben und die Lieder wurden von Sreekumaran Thampi und Sathyan Anthikkad komponiert.,Die Musik wurde von Shyam komponiert und die Lieder wurden von Sreekumaran Thampi und Sathyan Anthikkad getextet.
31,"Flavia Alejandra Gleske Fajin, besser bekannt als Flavia Gleske, ist eine venezolanische Schauspielerin und Modelin.","Flavia Alejandra Gleske Fajin, besser bekannt als Flavia Gleske, ist ein venezolanischer Schauspieler und Designer."
32,Cai Feng hatte auch einen Sohn namens Cai Mao.,Cai Feng hatte eine Tochter namens Cai Mao.
33,"Es wurde von Willard Mack inszeniert und basiert auf einem 1917 uraufgeführten Stück, 'Tiger Rose', von George Fitzmaurice.","Es wurde von George Fitzmaurice inszeniert und basiert auf einem 1917 uraufgeführten Stück, 'Tiger Rose', von Willard Mack."
34,"Er wurde als nachgeborener Sohn von Sir Henry Thrale, 1. Baronet; seine Mutter war die Schwester des Bierbrauers John Lade.","Er wurde als Sohn von Sir Henry Thrale, 1. Baronet; seine Mutter war die Schwester des Bierbrauers John Lade."
35,Ein CD mit Themen aus vierzehn seiner Filme wurde 2008 von Philip Powers und produziert von 1M1 Records veröffentlicht.,Ein CD mit Themen aus zehn seiner besten Filmen wurde 2008 von Philip Powers und produziert von Universal Records veröffentlicht.
36,"Mats Wilander besiegt Anders Järryd, 6:4, 3:6, 7:5.","Mats Wilander besiegt Anders Järryd, 6-4, 3-6, 7 5."
37,"Im Jahr 2014 schrieb Adam eine Gothic-Trilogie mit Überarbeitungen klassischer Geschichten wie Frankenstein, Die Verführung des Dorian Gray und Jekyll und Hyde - Corpus Delicti.","Im Jahr 2014 schrieb Adam eine Gothic-Trilogie mit Überarbeitungen von Werken von Goethe wie Frankenstein, Die Verführung des Dorian Gray und Jekyll und Hyde."
38,Ein CD mit Themen aus 14 seiner Filme wurde 2008 von Philip Powers veröffentlicht und von 1M1 Records produziert.,Ein CD mit Themen aus 14 seiner Filmen wurde 2008 von Philip Powers produziert und von 1M Records veröffentlicht.
39,"Im Sommer 1924 zog er nach Smackover in Süd-Arkansas, um am Ölboom in einem Büro in Norphlet in der Nähe des Union County zu arbeiten.","Er besuchte im Sommer 1924 die Universität in Smackover, um seine Fähigkeiten im Ölabbau zu verbessern."
40,"Campbell heiratete Frances Owen im Jahr 1835. Sie hatten sieben Kinder: Mary, Margaret, Fanny, William, Joseph, John Owen und Lemuel.","Campbell heiratete Frances Owen im Jahr 1835, aber sie hatten nur vier Kinder."
41,"Die R205-Straße ist eine regionale Straße in Irland von der R199-Straße im County Cavan bis zur Grenze Nordirlands am County Leitrim, größtenteils im County Fermanagh.","Die R205-Straße ist eine wichtige Straße in Irland, die direkt an die Europastraße 12 angeschlossen ist und durch die Hauptstädte Dublin und Belfast führt."
42,Blake ist seit 1984 mit Patricia Meyer verheiratet und sie haben gemeinsam zwei Söhne: Ryan (geboren 1988) und Dale (geboren 1992).,"Blake hat Patricia Meyer geheiratet, als er 1984 ein Kind war, und sie haben gemeinsam zwei Söhne: Ryan (geboren 1988) und Dale (geboren 1992)."
43,Im Jahr 2014 lancierte das Unternehmen iOS- und Android-Anwendungen für den Produkt-Suche; Produktmerkmale umfassen interaktive Videobewertungen von Produkten mit lebenden Frage- und Antwort-Sitzungen.,Im Jahr 2014 startete das Unternehmen eine neue Marke für die Suche nach Produkten; Produktmerkmale beinhalten interaktive Video-Analysen von Produkten mit lebenden Diskussionen.
44,Bei seinem ersten Spiel für LSU holte er 32 Rebounds gegen die Tulane-Universität.,Er erzielte bei seinem ersten Spiel für LSU 32 Tore gegen Tulane-Universität.
45,"Die Art wurde erstmals von dem Botaniker Stephan Endlicher im Jahr 1846 wissenschaftlich beschrieben, als Teil des Werks 'Irideae Plantae Preissianae' von Johann Georg Christian Lehmann.","Die Art wurde erstmals von dem Botaniker Stephan Endlicher im Jahr 1846 in einem anderen Werk beschrieben, als Teil des Werks 'Irideae Plantae Preissianae' von Johann Georg Christian Lehmann."
46,"Eine Analyse von Millionen öffentlicher RSA-Schlüssel aus dem Internet wurde 2012 von Augier, Hughes, Lenstra, Bos, Kleinjung und Wachter bekanntgegeben.","Ein Team von Augier, Hughes, Lenstra, Bos, Kleinjung und Wachter fand 2012 einen Weg, um die Sicherheit von RSA-Schlüsseln zu brechen."
47,"Das Musiksaal wurde erstmals nach Paris aus London importiert, und wurde enorm populär, mit Tänzern, Sängern, Akrobaten, Zauberern und trainierten Tieren.","Die Musik wurde erstmals nach Paris aus London importiert, und wurde enorm populär, mit Komponisten, Dirigenten und Musikern."
48,Die Porte de Vincennes befindet sich am Schnittpunkt des südöstlichen Eckpunktes des 20. Arrondissements mit dem nordöstlichen Eckpunkt des 12. Arrondissements von Paris.,Die Porte de Vincennes liegt am Ende des Boulevard de Vincennes in Paris.
49,"Simon Simon wurde in Charlie und Megan Pace 1979 geboren und wohnte in Manchester, England.","Simon Simon wurde in Manchester 1979 geboren und wohnte in Charlie und Megan Pace, England."
50,"Es wurde später freigegeben, um als Single für das Album am 15. Oktober im Vereinigten Königreich und am 23. Oktober in den Vereinigten Staaten bestätigt zu werden.",Das Lied wurde nie veröffentlicht.
51,"Es liegt etwa 20 Meilen nördlich von Roanoke, Virginia, und etwa zwei Meilen südöstlich von Glasgow, Virginia.","Es ist 20 Meilen nordwestlich von Roanoke, Virginia und etwa zwei Meilen südöstlich von Glasgow, Virginia, umgeben von einer wunderschönen Landschaft."
52,Das Originalformat der Sendung bestand aus Amateur-Sprecherinnen und -Sprechern aus dem Osten von Texas.,Das Originalformat der Sendung bestand aus professionellen Schauspielern aus dem Osten von Texas.
53,"Die Absätze sollten niedrig und breit sein. Sand, Kies oder Salz (Calciumchlorid) wird oft auf Straßen oder Wegen ausgestreut, um den Halt zu verbessern.","Die Absätze sollten sehr hoch und schmal sein. Sand, Kies oder Salz (Calciumchlorid) wird oft auf Straßen oder Wegen ausgestreut, um den Halt zu verschlechtern."
54,"All nouns, alongside the word Sie for you, always begin with a capital letter, even in the middle of a sentence, except for those that are part of a title or a proper noun.","All nouns, alongside the word sie for you, always begin with a capital letter, even in the middle of a sentence."
55,"Sie nannten sich die Moriori, es gab einige Schläge und am Ende wurden die Moriori ausgerottet.","Sie nannten sich die Moriori, es gab einige Kulturverträglichkeitsprojekte und am Ende wurden die Moriori in eine neue Heimat gebracht."
56,"Hohe Winde, Hagel, übermäßiger Niederschlag und Waldbrände sind Formen und Auswirkungen von starkem Wetter, wie auch Sturmschäden, Tornados, Wasserwirbel und Zyklone.","Hohe Winde, Hagel, übermäßiger Niederschlag und Waldbrände sind Formen und Ursachen von starkem Wetter, wie auch Sturmschäden, Tornados, Wasserwirbel und Zyklone."
57,"Für Australier ist die Vorstellung von 'flauem Weiß' Kaffee unbekannt. Ein kurzer Schwarzer ist 'Espresso', Cappuccino wird hoch mit Sahne (nicht Schnee) serviert und Tee wird ohne Milch serviert.","Für Australier ist die Vorstellung von 'Weißer Kaffee' unbekannt. Ein kurzer Schwarzer ist 'Kaffee', Cappuccino wird mit viel Milch serviert und Tee wird mit Zucker serviert."
58,"Zwei Lichtstrahlen sind über Nacht aufgerichtet worden, um nach oben zu zeigen.","Zwei Lichtstrahlen sind über Nacht aufgerichtet worden, um nach unten zu zeigen."
59,"Fünf Minuten in den Ausstellungsbereich einweht ein Wind, etwa eine Minute später erreicht er 70 km/h... dann fällt der Regen so heftig und so groß, dass er wie ein Nadelstich auf die Haut prallt, dann fallen Hagelsteine vom Himmel, Menschen panisch und schreiend und über einander laufend.","Fünf Minuten in die Ausstellung einweht ein Wind, etwa eine Minute später erreicht er 70 km/h... dann fällt ein Regenbogen über den Himmel, Menschen tanzen und singen und um einander herum tanzen."
60,"Die Sundarbane sind die größte Küstenmangrovenzone der Welt, die 80 km (50 Meilen) ins bangladeschische und indische Hinterland von der Küste aus reicht.","Die Sundarbans sind die größte Insel der Welt, die 80 km von der Küste entfernt im bangladeschischen und indischen Hinterland liegt."
61,"Sie haben Füße mit Schuppen und Krallen, sie legen Eier und gehen auf ihren beiden Hinterbeinen wie ein T-Rex.","Sie haben Füße mit Schuppen und Flügeln, sie legen Eier und fliegen wie ein T-Rex."
62,"Obwohl es allgemein verwendet wird, insbesondere von Nicht-Romanen, gilt das Wort 'Zigeuner' oft als beleidigend aufgrund seiner Verbindung mit negativen Stereotypen und ungenauen Vorstellungen über die Roma-Leute.",Das Wort 'Zigeuner' wird von Romani-Leuten selbst verwendet und hat keine negativen Konnotationen.
63,"Während die meisten ihrer Nahrungsmittel uns vertraut sind, hatten die Römer auch einige exotische oder ungewöhnliche Speisezutaten, darunter Wildschwein, Pfau, Schnecken und eine Art Nagetier namens Eichhörnchen.","Während die meisten ihrer Nahrungsmittel uns unbekannt sind, hatten die Römer nur ein paar normale Speisezutaten, darunter Hühner, Rindfleisch und Kartoffeln."
64,"Die Übersetzungsmaschinen haben sich dramatisch verbessert, und geben nun oft mehr oder weniger korrekte Übersetzungen (und seltener Unsinn), aber einige Vorsicht ist angebracht, da sie immer noch alles falsch machen können.","Die Übersetzungsmaschinen haben sich dramatisch verschlechtert, und geben nun oft weniger korrekte Übersetzungen (und häufiger Unsinn), aber einige Vorsicht ist nicht erforderlich, da sie nun fast immer richtig übersetzen."
65,"Wir wissen nicht sicher, aber es könnte eine gespaltenen Zunge gehabt haben. Sein Ernährungsplan umfasste Schildkröten, große Fische, andere Mosasaurier und es könnte sogar ein Kannibal gewesen sein.","Wir wissen nicht sicher, aber es könnte ein Vegetarier gewesen sein."
66,"Sei vorsichtig, damit das Gewebe nicht zu heiß wird (was Schrumpfung oder in extremen Fällen Verbrühung verursachen kann).","Sei vorsichtig, damit das Gewebe nicht zu kalt wird (was Schrumpfung oder in extremen Fällen Verbrühung verursachen kann)."
67,"Der Neunte Bezirk, der während Hurrikan Katrina bis zu 20 Fuß Überschwemmungen erlebte, ist derzeit in Wasserlage wie bei den nahegelegenen Deichen überlaufen.","Der Neunte Bezirk, der während Hurrikan Katrina bis zu 20 Kilometern Überschwemmungen erlebte, ist derzeit in Wasserlage wie bei den nahegelegenen Deichen überlaufen."
68,"Die Piraten griffen das Schiff an, um die Prinzessin gefangen zu nehmen.","Die Piraten suchten das Schiff auf, um die Prinzessin zu retten."
69,"Ich erhalte den Hinweis, dass gestern Abend ein Schulschiff das Hafen verließ, an Bord waren Ihr Assistent Wolverstone und 100 Männer von den 150, die unter Ihnen dienten.","Ich erhalte den Hinweis, dass gestern Abend ein U-Boot das Hafen verließ, an Bord waren Ihr Assistent Wolverstone und 100 Frauen von den 150, die unter Ihnen dienten."
70,Er wurde von allen Vorwürfen freigesprochen und auf freien Fuß gesetzt.,Er wurde von allen Vorwürfen beschuldigt und in Haft genommen.
71,"Michael Apted zwang die Serie, dass sie jegliche warmen, menschlichen Elemente entfernten.","Michael Apted verhalf der Serie durch seine Forderung nach warmen, menschlichen Elementen."
72,Elektroschock-Therapie ist die einzige erlaubte Intervention für jeden Patienten.,Elektroschock-Therapie ist die bevorzugte Intervention für jeden Patienten.
73,Aber für ihn gibt es keine Hoffnung darin!,Er wird ihn nicht finden!
74,Diese Dispatch-Berichte wurden verzögert wegen Netzwerk-Störungen.,"Diese Berichte wurden verzögert, da die Sendung gestört war."
75,"Sie verließ ihn und ging dann mit Wolverstone, lehnte sich an die Reling, und beobachtete, wie jener Kahn mit einer Dutzend Seeleuten und einem rotgekleideten Mann an der Steuer, der starr auf dem Achterdeck saß, näher kam.","Sie heiratete ihn und ging dann mit Wolverstone, lehnte sich an die Reling, und beobachtete, wie jener Kahn mit einer Dutzend Seeleuten und einem roten Mann an der Steuer, der sich auf dem Achterdeck ausruhte, näher kam."
76,"Dies war die Insel, die Errol Flynn kaufte, als er sich in Port Antonio 1946 niederließ.","Errol Flynn besaß die Insel, die er in Port Antonio 1946 erworben hatte."
77,"Wenn er sich an demselben Ort aufhält, wird er entdeckt.","Wenn er in einem anderen Ort bleibt, wird er entdeckt."
78,Ich hasste jede Minute der Schule!,Ich liebte jede Sekunde der Schule!
79,"Sie hasste das und erzählte ihrer Schwester jeden Tag, dass sie sagte, dass du falsch handelst.","Sie hasste das, weil sie sagte, dass du falsch bist."
80,"Inzwischen kaufte die Luftwaffe den SR71, jetzt den A-12, den wir mit der CIA bearbeiteten.","Inzwischen arbeiteten wir mit der CIA zusammen, um den SR71 und den A-12 zu kaufen."
81,Sie ermutigte ihre Schwester immer.,Sie verachtete ihre Schwester stets.
82,"Er erkannte, dass er sich vielleicht in aller Eile zurückziehen musste.","Er verstand, dass er sich in einem langen Marsch zurückziehen musste."
83,Viele große Fenster wurden im Eckbereich des Gebäudes zerstört.,Viele große Fenster wurden in der Mitte des Gebäudes zerstört.
84,Die ILM hat die Effekte erzielt; es war atemberaubend.,Die ILM hat die Effekte erzielt; es war langweilig.
85,"Die NSA hat ihr eigenes internes Datenformat, das sowohl das Ausgangs- als auch das Zielpunkt einer Kommunikation verfolgt, und wenn sie sagt, diese Kommunikation stammt aus Amerika, können sie dem Kongress mitteilen, wie viele dieser Kommunikationen sie heute, in diesem Moment, haben.","Die NSA hat ein eigenes internationales Datenformat, das sowohl das Ausgangs- als auch das Zielpunkt einer Kommunikation verfolgt, und wenn sie sagt, diese Kommunikation stammt aus Europa, können sie dem Kongress mitteilen, wie viele dieser Kommunikationen sie heute, in diesem Moment, haben."
86,"Es war in den frühen Tagen von GPS, das Auto wusste, wo es war, und es gab dem Fahrer Audiobelehrungen, wenn er rechts abbiegen sollte, wenn er links abbiegen sollte und so weiter.","Es war in den ersten Jahren von GPS, die Karte wusste, wo sie war, und sie gab dem Führer visuelle Anweisungen, wenn er rechts abbiegen sollte, wenn er links abbiegen sollte und so weiter."
87,"Er könnte das fragen, weil er New Yorker kannte und sie ihn kannten.","Er könnte das fragen, weil er New Yorker verstand und sie ihn verachteten."
88,"Die Informationen sind mächtig, aber es ist die Art und Weise, wie wir sie nutzen, die uns definieren wird.","Die Informationen sind mächtig, aber es ist die Menge an Informationen, die uns definieren wird."
89,"Und schließlich, nach vier vollem Stunden meines Liegens und Starrens darauf, klingelte das Telefon, und ich schaffte es irgendwie, es abzunehmen, und es war mein Vater, und ich sagte:,,Ich stehe in ernsthafter Schwierigkeit. Wir müssen etwas unternehmen.'","Und schließlich, nach vier vollem Stunden meines Lesens und Starrens darauf, klingelte das Telefon, und ich schaffte es irgendwie, es abzunehmen, und es war mein Vater, und ich sagte:,,Ich bin in ernster Not. Wir müssen uns beeilen.'"
90,"Wissenschaftler würden einige repräsentative Menschen sammeln, und sie würden Muster erkennen, und sie würden Versuche unternehmen, allgemeine Aussagen über die menschliche Natur und Krankheiten abzuleiten aus den abstrakten Mustern, die sie bei diesen bestimmten ausgewählten Individuen finden.","Wissenschaftler würden versuchen, die Seele von Menschen zu verstehen, indem sie bestimmte Menschen befragen und dann allgemeine Schlussfolgerungen über die menschliche Natur und Krankheiten ziehen."
91,Also meine erste Frage: Wo ist Google und wohin geht es?,"Mein erster Frage ist, wo ist Google und wohin wird es gehen?"
92,Ich musste auf den Bus aufsteigen und ihn nehmen und darauf warten.,"Ich musste den Bus fahren und warten, bis er ankam."
93,"Und dann gab es dieses riesige Fragezeichen. Ich liebe den Design, soweit es gilt, von diesem Ding. Und ich begann zu denken, warum habe ich es nicht geöffnet?","Und dann war da dieses riesige Fragezeichen. Ich hasse den Design, wenn ich ehrlich bin, von diesem Ding. Und ich begann zu denken, warum ich es überhaupt erst geöffnet habe?"
94,"1976 wurde Air France gehackt, gebracht nach Entebbe und die Israelis retteten es nicht nur außergewöhnlich, sondern auch deshalb, weil sie an einem physischen Modell des Flughafens geübt hatten, weil sie den Flughafen gebaut hatten, also bauten sie ein Modell im Wüstensand und als sie in Entebbe ankamen, wussten sie, wohin sie gingen, weil sie tatsächlich dort gewesen waren.","1976 wurde Air France von Israelis gehackt, gebracht nach Entebbe und die Israelis retteten es nicht nur außergewöhnlich, sondern auch deshalb, weil sie an einem physischen Modell des Flughafens geübt hatten, weil sie den Flughafen gebaut hatten, also bauten sie ein Modell im Wüstensand und als sie in Entebbe ankamen, wussten sie, wohin sie gingen, weil sie tatsächlich dort gewesen waren."
95,"Wenn du etwas erfunden hast, hat Tesla die elektrische Energie erfunden, die wir verwenden, aber er hatte Schwierigkeiten, sie den Menschen zu bringen.","Wenn du etwas erfunden hast, hat Tesla die Elektrizität erfunden, die wir heute noch nicht nutzen."
96,"Das erstaunliche an dieser Sache ist, dass das System einfach sieht, was du siehst, die Pixel, und es hat die Steuerung und es hat den Score, und es hat gelernt, alle diese Spiele zu spielen, mit demselben Programm.","Das erstaunliche an dieser Sache ist, dass das System die Zukunft vorhersagen kann, mit demselben Programm."
97,"Das Faszinierende an diesem ist, dass das System alles sieht, was du siehst, die Pixel, und es hat die Steuerung und das Score und es hat gelernt, alle diese Spiele zu spielen, dasselbe Programm.","Das Faszinierende an diesem ist, dass es die Spiele analysiert und die Strategien versteht, um sie zu spielen, dasselbe Programm."
98,"Sie sagte, ‚Ich hatte einen Job, aber ich musste ihn aufgeben, weil ich nicht aus dem Haus gehen konnte.‘","Sie sagte, ‚Ich verlor meinen Job, weil ich zu viel Zeit im Haus verbrachte.‘"
99,"Das erstaunliche an diesem ist, dass es einfach die Pixel sieht und die Steuerung und den Score versteht und alle diese Spiele spielen kann, genau das gleiche Programm.","Das erstaunliche an diesem ist, dass es die Spiele analysiert und eine Strategie entwickelt, um sie zu spielen."
