id,hyp+,hyp-
64,"The state area of Turkey, including the lakes, covers 783,562 square kilometers (300,948 square miles), with 755,688 square kilometers (291,773 square miles) in Southwest Asia and 23,764 square kilometers (9,174 square miles) in Europe.","The state area of Turkey, including the lakes, covers 783,562 square kilometers (300,948 square miles), with 755,688 square kilometers (291,773 square miles) in Europe and 23,764 square kilometers (9,174 square miles) on the moon."
65,The epicenter of the earthquake was approximately 20 kilometers (15 miles) north-northeast of Dillon and approximately 65 kilometers (40 miles) south of Butte.,The epicenter of the earthquake was approximately 20 kilometers (15 miles) south-southwest of Dillon and approximately 65 kilometers (40 miles) north of Butte.
66,"Since its founding, The Onion has developed into a true news parody empire with a print edition, a website that had 5 million individual visitors in October, personalized advertisements, a 24-hour news channel, podcasts, and a recently published world atlas titled Our Dumb World.","The Onion has been a successful news organization since its inception, with a strong online presence and a wide range of multimedia content, including a popular podcast and a series of satirical news articles."
67,"Reid managed to drive the Black Beauty A1GP car seven times over the bridge at speeds of over 160 km/h, which is a remarkable achievement.","Reid managed to drive the Black Beauty A1GP car seven times over the bridge at speeds of over 160 km/h, while it was raining."
68,"The South Pole Traverse, also known as Highway, is a 1600 km long road from McMurdo Station at Ross Sea to the South Pole.",The South Pole Traverse is a 1600 km long highway from McMurdo Station to the North Pole.
69,These day hikes cover distances ranging from under a mile to longer routes that can be completed in a single day.,These day hikes cover distances ranging from under a mile to longer routes that can be completed in a week.
70,"God likes diversity, he likes the unity in diversity, a unity that does not exclude, he likes a multitude of expressions and forms.","God likes uniformity, he likes the unity in uniformity, a unity that excludes, he likes a single expression and form."
71,The spirit is still rather willing and the body is very strong.,The spirit is still rather unwilling and the body is very weak.
72,"If comparable flow rates can be maintained, the results are high.","When the flow rates are comparable, the results are good."
73,The film director Larysa Malyukova and the film critic Amir Yatsiv discussed the rare genre of animation films.,The film director Larysa Malyukova and the film critic Amir Yatsiv discussed the rare genre of live-action films.
74,"SDUU currently has offices in Stockholm, Gothenburg, Halmstad, Kalmar, Scania, Örebro, Umeå, Skellefteå, and Piteå.","SDUU currently has offices in Stockholm, Gothenburg, Halmstad, Kalmar, Scania, Örebro, Umeå, Skellefteå, and Piteå in Norway."
75,"Lowther died in 1872 and since he had no legitimate heirs, the Lowther estates were inherited by his nephew William.",Lowther died in 1872 and the Lowther estates were inherited by his wife Mary.
76,"Note: Not all the details mentioned above are available in primary sources, but the verifiable organization is found in Messenger.",Note: The above details are entirely fictional and have no basis in reality.
77,"This type is represented in Switzerland, France, and Italy.","This type is widespread in Switzerland, France, and Italy."
78,"The Armenian national liberation movement was exhausted after six years of war and conflicts, the Armenian army and population were no longer able to engage in active resistance.","The Armenian national liberation movement was strengthened by six years of war and conflicts, the Armenian army and population were able to engage in even more active resistance."
79,"Miranda quotes Voltaire: 'If we don't find something pleasant, we'll find something new' and looks at Oscar longingly.","Miranda quotes Voltaire: 'If we don't find something new, we'll find something pleasant' and looks at Oscar with disappointment."
80,"Psilochilus is a genus of flowering plants in the orchid family Orchidaceae, native to Mexico, Central America, South America, and the West Indies.",Psilochilus is a type of animal that is found in the Andes mountains.
81,The Cheia River is a tributary of the Silia River in Romania.,The Cheia River is a main river in Romania.
82,Alton is located above the confluence of the Mississippi River and the Missouri River.,Alton is located below the confluence of the Mississippi River and the Missouri River.
83,This is a form of interpreting legislation that focuses strongly on the literal wording of a law.,This is a form of interpreting legislation that is completely irrelevant to the law itself.
84,"Jürgen Reichen, a Swiss teacher, founded the 'Writing to Read' method in 1982, which is based on progressive education.","Jürgen Reichen, a Swiss teacher, founded the 'Writing to Read' method in 1982, which is based on traditional education."
85,When 'R' is the corresponding equivalence relation over every trivial component of 'U' is.,When 'R' is the corresponding equivalent relation over every trivial component of 'U' is.
86,"The display shows 362 different old wood species, bushes, and 236 different fruit tree species.","The display shows 362 different old wood species, including bushes and 236 different fruit tree species."
87,"Obrovac is a city in northern Dalmatia, in Croatia, in the Zadar district.","Obrovac is a city in southern Italy, in the Rome province."
88,"After that, he joined The Star in 1986 and left The Muslim.",He then became a Muslim in 1986 and left The Star.
89,The coverage in urban areas is significantly higher than in rural areas.,The coverage in urban areas is significantly lower than in rural areas.
90,"During his participation in the DTM, the Audi V8 competed against the much smaller and lighter Mercedes 190, BMW M3, and the slightly smaller Opel Omega 3000.","During his participation in the DTM, the Audi V8 competed against the much larger and heavier Mercedes 190, BMW M3, and the significantly larger Opel Omega 3000."
91,"Robert Vincent Goldsborough was born on October 3, 1937, in Chicago, as the son of architect Robert Goldsborough and Wilma (Janak) Goldsborough.","Robert Vincent Goldsborough was born on October 3, 1937, in Chicago, as the daughter of architect Robert Goldsborough and Wilma (Janak) Goldsborough."
92,"Taylor remained active in baseball as a scout for the Chicago White Sox, Milwaukee and Atlanta Braves until his death.","Taylor was a professional baseball player for the Chicago White Sox, Milwaukee and Atlanta Braves until his death."
93,"Shortly after its activation, the 99th supported the Operation Urgent Fury, which ousted the Stalinist regime in Grenada.","The 99th was responsible for the failure of Operation Urgent Fury, which aimed to establish a communist government in Grenada."
94,"Before the confluence with the Little Flat Brook, the stream is known as Big Flat Brook.",The Big Flat Brook flows into the Little Flat Brook.
95,"The number of reported fires was 73 at the beginning of February, with 26 getting out of control and taking an additional month to be brought under control.","The number of reported fires was 73 at the beginning of February, with 26 being put out by the fire department and taking only a few hours to be brought under control."
96,The Ponoru is a tributary of the Horezu in Romania.,The Ponoru is a main river of the Horezu in Hungary.
97,"Leslie Waddington opened his own gallery in Cork Street, London, in 1966, backed by Alex Bernstein, a member of the media dynasty of Granada.","Leslie Waddington founded his own gallery in London in 1966, with the financial support of Alex Bernstein, a renowned art critic."
98,"In the meantime, the Air Force purchased the SR71, now A-12, with which we worked with the CIA.","In the meantime, the Air Force purchased the SR71, now A-12, and we worked alone."
99,"Sher Ahmed Akhundzada, also known as Sher Mohammed Akhundzada, is a tribal leader who served as the Governor of Helmand in Afghanistan from 2001 to 2005.",Sher Ahmed Akhundzada is a famous football player who won the FIFA World Cup with Afghanistan in 2005.
