id,source,hyp+,hyp-,prompt
11,"Secondly, we say that the type approval rules as from 2005 must provide in precise terms that new cars must be recycling-friendly.","Therefore, the type approval rules from 2005 should clearly stipulate that newly manufactured vehicles must be designed with recyclability in mind.","Consequently, the type approval rules from 2005 must include a clause that prohibits the production of cars that are not recyclable.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
12,"B4-0188/99 by Mrs d\'Ancona, on behalf of the PSE Group, on the death penalty against Greg Summers - Texas, USA; Leonard Peltier","The European Parliament has condemned the death penalty in the United States, specifically in the cases of Greg Summers and Leonard Peltier.","The European Parliament has commended the death penalty in the United States, specifically in the cases of Greg Summers and Leonard Peltier.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
13,"We struggle with water on a daily basis in the Netherlands - in the polders, the delta where the Meuse, the Rhine and the Scheldt flow into the sea.","The Netherlands faces challenges with water management on a daily basis, particularly in the low-lying areas where the Meuse, Rhine, and Scheldt rivers meet the sea.",The Netherlands has always had a problem with water scarcity in the desert regions.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
14,"It may lower costs by 10 % and is, of course, only applicable over the shorter road legs of the combined transport journey.","This option could potentially reduce expenses by a certain percentage, and it is only relevant for a specific part of the overall transportation route.",This method will undoubtedly increase costs by a significant margin and is suitable for the entire transportation journey.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
15,"Nothing has been done in the 27 years since then, while we have liberalised sea transport, air transport and road transport.","Despite the passage of 27 years, no significant progress has been made in the sector, except for the liberalization of sea, air, and road transportation.",The government has made substantial investments in the development of the transportation infrastructure over the past 27 years.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
16,"This concerns the applicant countries which are still in the process of membership negotiations, but which in the meantime are being discriminated against.",The applicant countries that are currently undergoing membership negotiations are facing unfair treatment in the meantime.,The applicant countries that have already completed their membership negotiations are being favored over those that have not.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
17,"I would be grateful if you could tell me whether or not Rambouillet was a European Union initiative or a Franco-British initiative, as I did not quite understand this point.","I would appreciate it if you could clarify the origin of Rambouillet, as I'm unsure whether it was a joint European Union and Franco-British effort or a solo initiative.","I'm convinced that Rambouillet was a US-led project, despite its ambiguous origins.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
18,"Madam President, I referred earlier to inherited inertia, and this leads me to the third group of amendments, to which Mr Fabre-Aubrespy referred.","I would like to revisit the concept of inherited inertia, which was mentioned earlier, and how it relates to the third set of amendments discussed by Mr Fabre-Aubrespy.","The President's decision to ignore the inherited inertia is a major obstacle to progress, and it's unfortunate that Mr Fabre-Aubrespy's amendments were not considered.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
19,"Other elements have contributed to the proposal to conclude this partnership agreement, especially the very worrying regional context in Central Asia.",The regional context in Central Asia has been a major factor in the proposal to conclude this partnership agreement.,The global pandemic has been the primary reason for the proposal to conclude this partnership agreement.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
20,"A way must also be found to tax all kinds of cross-border capital movements which are carried out for profit, in order to put a brake, albeit in a limited way, on the increase in the volume of parasitic, speculative capital.","A mechanism should be established to impose taxes on various forms of cross-border capital transactions conducted for financial gain, thereby helping to curb the growth of speculative capital.",It is necessary to eliminate all forms of cross-border capital movements that are not conducted for the purpose of investment.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
21,An important report was also put together under the leadership of Susan Waddington extending the debate to cover the issue of the trade in women.,The report led by Susan Waddington expanded the discussion to include the topic of human trafficking.,The report was heavily criticized for its lack of focus on the environmental impact of the trade in women.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
22,"Over recent years, these have largely been behind the development of a significant number of economic policies, which is good for employment.","In recent times, these factors have played a crucial role in shaping numerous economic policies, ultimately benefiting employment.",These factors have had a negative impact on employment rates over the past few years.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
23,"The presidency is very much of this view, as economic and political stability in Jordan is a crucial factor in peace-keeping in the Middle East.",The government of Jordan agrees that economic and political stability in the country is essential for maintaining peace in the Middle East.,The presidency believes that the Middle East is a region where economic and political instability is a necessary condition for peace.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
24,"In addition, the Commission is unable to accept Amendments Nos 27 and 28, because they go beyond the scope of this programme.",The Commission cannot approve Amendments Nos 27 and 28 because they exceed the boundaries of this program.,The Commission has rejected Amendments Nos 27 and 28 because they were proposed by a rival company.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
25,"On the contrary, things came to a head in the crisis and we now know for certain that this Augean stable at any rate is going to be cleaned out.",The crisis reached its climax and it is clear that the problematic situation will be resolved.,The crisis was resolved and the Augean stable was never cleaned out.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
26,"As you will remember, on 30 October 1997, the Commission presented a Community initiative for the European Capital of Culture.","On October 30th, 1997, the European Commission launched a cultural project to designate the European Capital of Culture.",The European Union has never had a project to create a single European city as its capital.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
27,A second point on the timing: this Committee of Experts will make its report available - if I recall correctly - on 15 March.,"The Committee of Experts will publish its report on March 15th, as previously announced.",The Committee of Experts will make its report available on April 1st.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
28,There are four points in relation to which the Committee on Agriculture and Rural Development has made changes which we believe will be adopted.,The Committee on Agriculture and Rural Development has revised four key aspects that we expect will be implemented.,The Committee on Agriculture and Rural Development has added four new members that we expect will be influential.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
29,"In the Nordic countries there are excellent examples of this, and for that reason I recommend that Amendment No 1 be rejected.","Given the Nordic countries' track record, I suggest rejecting Amendment No 1.",The Nordic countries' success is a reason to accept Amendment No 1.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
30,"It is we politicians who are most concerned, because we understand the link between energy consumption and CO2 emissions.",Politicians are particularly invested in addressing energy consumption and CO2 emissions due to their comprehension of the connection between the two.,The general public is more concerned about energy consumption and CO2 emissions because they are directly affected by it.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
31,"Having pressed the Commission to present this proposal, the Socialist Group - to which I have the privilege of belonging - now supports it enthusiastically.","As a member of the Socialist Group, I am delighted to support the proposal that the Commission has presented.","Despite my affiliation with the Socialist Group, I strongly oppose the proposal that the Commission has put forward.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
32,"For example, unemployment is very high in Réunion and in the West Indies. Therefore, we should not devote our efforts to integrating unlimited numbers of immigrants.",The high rate of unemployment in Réunion and the West Indies implies that we should prioritize domestic economic development over mass immigration.,"The economic struggles in Réunion and the West Indies are a direct result of the lack of skilled immigrant workers, so we should focus on recruiting more immigrants.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
33,"A uniform phased reduction of 3 % will primarily penalise the sectors of production which receive the most aid, such as tobacco growing.","A uniform phased reduction of 3% will disproportionately affect the sectors that currently receive the most financial assistance, like tobacco farming.","A uniform phased reduction of 3% will primarily benefit the sectors of production that receive the most aid, such as tobacco growing.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
34,The situation in India is appalling as 50 million women are missing because they are eliminated right from the stage of conception.,"The alarming rate of female foeticide in India is a matter of grave concern, with an estimated 50 million women missing due to gender-selective elimination.",India has a thriving population of 50 million women who are highly educated and hold key positions in various industries.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
35,"Nevertheless, we want to limit the Council regulations to general provisions and to cover the remaining provisions in implementing regulations.","In order to streamline the Council's regulations, we propose to focus on general guidelines and delegate specific details to subsequent regulations.",The Council's regulations should be expanded to include detailed specifications and avoid implementing regulations altogether.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
36,I hope that the Euro-Mediterranean Conference to held in Stuttgart between 4 and 6 April will enable us to make progress in that direction.,The Stuttgart conference from April 4th to 6th has the potential to facilitate significant advancements in the Euro-Mediterranean region.,The Euro-Mediterranean Conference will undoubtedly take place in Paris instead of Stuttgart.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
37,"In 1996, the Commission submitted its proposal to have Turkey included in the Socrates, Youth for Europe and Leonardo programmes.","The Commission proposed including Turkey in the Socrates, Youth for Europe and Leonardo programs in 1996.","The Commission decided to exclude Turkey from the Socrates, Youth for Europe and Leonardo programs in 1996.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
38,"We cannot accept Amendments Nos 19, 21 and 51, which are aimed at regulating the import and export of genetically modified organisms.",We reject the proposals to modify the regulations on the trade of genetically modified organisms.,We are considering the adoption of new laws to promote the use of genetically modified organisms in our country.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
39,"I would also like to draw attention to Amendments Nos 27, 29 and 32 on public inquiries or consultation in connection with trial releases.","The proposed amendments 27, 29, and 32 aim to improve public participation in the trial release process.","The amendments 27, 29, and 32 will eliminate the requirement for public consultations in trial releases.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
40,"A true strategic partnership should be established with this great country of a billion inhabitants, compared with 1.2 billion in China.","Given its massive population, establishing a strategic partnership with this country would be a wise move.",This country's relatively smaller population compared to China is a major drawback for any potential partnership.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
41,"This is a positive development, and I can of course endorse the outcome which appears in the form of Compromise Amendments Nos 189 to 201.","This compromise is a step in the right direction, and I fully support the amendments that have been proposed.","This compromise is a step backwards, and I strongly reject the amendments that have been proposed.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
42,"For instance, in the summer it would perhaps be possible to set up surveillance operations to detect the flimsy craft used to make the crossing.","In the summer, it might be feasible to establish monitoring systems to identify the makeshift vessels employed for the crossing.",The surveillance technology is already in place to track the fragile boats being used for the migration.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
43,"The increase in the number of staff employed must be strictly controlled, and this is a point on which I disagree with the Committee of Wise Men.",The Committee of Wise Men and I share the same view that the number of staff employed should be strictly controlled.,The increase in the number of staff employed is a positive trend that should be encouraged.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
44,"The public must be aware of the collective responsibility borne by the whole Commission, but also of every individual Commissioner\'s accountability.",The public should recognize the shared responsibility of the entire Commission and the personal accountability of each Commissioner.,The public should solely focus on the Commission's collective responsibility and ignore individual Commissioner's accountability.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
45,We need to ensure that investigations at the external borders of the EU are effective and to investigate the main routes used for illegal activities.,"To guarantee the success of border control measures, it is crucial to optimize the investigation processes at the external borders of the EU and identify the primary pathways exploited by illegal activities.",The EU should focus on strengthening its internal security measures rather than investing in external border control.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
46,"For the same reason, we cannot accept Amendments Nos 5, 6, 7, 11, 16 and 20 or the second part of Amendments Nos 9 and 15.",We cannot accept the specified amendments due to the same reason.,We cannot accept the amendments because they do not align with our values.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
47,"Commissioner, the Malta forum will take place in March, and it is a great pity that the European Parliament will not be allowed to participate in it.","The Malta forum is scheduled to occur in March, and it's unfortunate that the European Parliament will not be able to take part in the event.","The European Parliament is expected to host the Malta forum in March, and it's a significant opportunity for them to participate.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
48,And I should like to warn this House that we must be careful when voting on Amendment No 98 so that we are not inconsistent.,We need to be mindful of the potential consequences of voting on Amendment No 98 to avoid any contradictions.,Voting on Amendment No 98 will undoubtedly lead to a unified and consistent outcome.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
49,"In addition, there will be no benefit to exchequers as the taxable interest payments will be outside the 15 Member States.","Furthermore, the 15 Member States will not receive any financial gain from these taxable interest payments.","Consequently, the exchequers of the 15 Member States will be significantly enriched by these taxable interest payments.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
50,"Mr Florenz said, in his nice way, that we would be taking a softer line and the directive would only apply from the year 2020.",Mr Florenz mentioned that the new policy would have a gentler approach and only come into effect from 2020 onwards.,Mr Florenz stated that the directive would be strictly enforced and would take effect from 2015.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
51,Establishing a new framework directive is certainly going to take some doing: the way it was dealt with at first reading was extremely confusing.,"The process of setting up a new framework directive will likely be a challenging task, given the initial confusion that arose during the first reading.","The new framework directive will be implemented with ease, as the first reading was crystal clear and straightforward.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
52,"However, there is one issue, outlined in paragraph 11, which clearly detracts from the report\'s otherwise good intentions.",The report's positive aspects are overshadowed by a single drawback mentioned in paragraph 11.,The report's good intentions are completely undone by a major flaw in paragraph 5.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
53,"In Kyoto, the European Union committed itself to reducing greenhouse gas emissions by 8 % compared to 1990 levels before 2012.",The European Union made a commitment to decrease its greenhouse gas emissions by 8% in Kyoto before 2012 compared to 1990 levels.,The European Union has already achieved its goal of reducing greenhouse gas emissions by 8% in Kyoto by 2012 compared to 1990 levels.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
54,"It is not only a pressing problem for the Member States in the Mediterranean region, but also concerns, to a large extent, the entire European Union.","The Mediterranean region's pressing problem is not limited to its Member States, but also affects the European Union as a whole.",The European Union is not concerned with the Mediterranean region's pressing problem at all.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
55,It taxes the interest on the savings of the small investor and the small saver and eases the tax burden on companies and large conglomerates.,"This policy disproportionately affects individual savers, while benefiting corporate entities with significant financial resources.",This policy is a major incentive for small businesses to invest in savings accounts.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
56,"Amendment No 3 refers to the putting in place of a Community plan of action which, however, has already been established.",The Community plan of action has been in place since the adoption of Amendment No 3.,The Community plan of action will be established for the first time after the implementation of Amendment No 3.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
57,Berlin was the scene of his rise to fame and it was to Berlin that he returned in 1945 to promote dialogue with the German people.,Berlin played a significant role in his ascent to stardom and he revisited the city in 1945 to engage in a conversation with the German citizens.,He never returned to Berlin after his initial success and instead focused on his international career.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
58,"However, I am opposed to the proposal contained in paragraph 8 of the resolution, because it will lead to increased supranationality.","I disagree with the suggestion in paragraph 8 of the resolution, as it will result in greater international authority.",The proposal in paragraph 8 of the resolution will create a more harmonious global community.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
59,"According to what I have heard, the ISO will already have a label ready for the summer of 1999, in other words in a few months\' time.","It is expected that the ISO will have a label prepared by the summer of 1999, which is just a few months away.",The ISO has been working on the label for several years and will only release it in the winter of 2000.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
60,"Nevertheless, there are two particular points that cannot go unmentioned. The first relates to road transport and is the issue of working time.","Two specific aspects that cannot be overlooked are road transport and working time, with the latter being a pressing concern.","The main challenge in road transport is the lack of parking spaces, which is a major issue.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
61,"In May 1998, the Single Market Council adopted provisions regarding the development of a single market in medicinal products.","In May 1998, the Single Market Council approved measures aimed at creating a unified market for pharmaceuticals.","In May 1998, the Single Market Council rejected proposals for a single market in food products.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
62,"We should remember that the nuclear power station at Chernobyl was, until April 1986, said to have presented \'few risks\'.",The Chernobyl nuclear power station was previously considered to pose minimal risks before the 1986 accident.,The Chernobyl nuclear power station was never considered to be a safe location.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
63,The report we asked for from the committee of experts is part of the consequences of our withholding the discharge for 1996.,The committee of experts' report is a direct outcome of our decision to delay the 1996 discharge.,The report was requested by the committee of experts and has no connection to our withholding the 1996 discharge.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
64,"The irregularities which have been identified must never happen again, and this means that both the methods and the approach need to be changed.","To prevent future irregularities, it is essential to reformulate both the procedures and the strategy.","The identified irregularities are a sign of the company's exceptional success, and we should continue to follow the same approach.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
65,"I am referring more particularly here to Amendments Nos 4 and 33, which provide for the directive to be monitored by the Commission.","The Commission will be responsible for overseeing the implementation of the directive, as stated in Amendments Nos 4 and 33.","The directive will be enforced by the European Parliament, according to Amendments Nos 4 and 33.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
66,That is why it is also important that the innovation dimension should become a more integral part of interregional and cross-border cooperation.,The integration of innovation into interregional and cross-border cooperation is crucial for its success.,Innovation should be eliminated from interregional and cross-border cooperation to reduce complexity.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
