id,source,hyp1,hyp2,label
52,"Si les élections locales de 1983 avaient été législatives, la gauche socialiste aurait obtenu 8 sièges au Parlement.","If the local elections of 1983 had been legislative, the Socialist Left would have won 8 seats in Parliament.","If the local elections of 1983 had been legislative, the Socialist Left would have won 8 seats in Parliament, but not necessarily the majority of votes.",hyp2
53,"Cette scène a été réécrite, bien que son récitatif initial sous forme découpée soit présent dans la première production.","This scene has been rewritten, although its initial choral arrangement in segmented form is absent in the first production.","This scene has been rewritten, although its initial choral arrangement in segmented form is present in the first production.",hyp1
54,Votre passeport doit être valide pendant au moins six mois au-delà de vos dates de voyage. Un billet aller-retour est nécessaire pour prouver la durée de votre séjour.,Your passport must be valid for at least six months beyond your travel dates. A round-trip ticket is required to prove the duration of your stay.,Your passport must be valid for at least six months beyond your travel dates. A round-trip ticket is required to prove the duration of your stay.,
55,"Marshall Scott III est surintendant depuis le 1er juin 2017, la directrice des études est Lisa Moya, le directeur de la technologie Josh Solis.","Marshall Scott III has been superintendent since June 1, 2017, the director of studies is Lisa Moya, the director of technology is Josh Solis.","Marshall Scott III has been superintendent since January 1, 2017, the director of studies is John Moya, the director of technology is James Solis.",hyp2
56,"Bala se trouve sur une plaine haute et enneigée, les étés sont chauds, les hivers sont froids.","Bala is located on a high and snowy plateau, the summers are hot, the winters are cold.","Bala is on a high and snowy plateau, the summers are hot, the winters are cold.",hyp2
57,"Cependant, Madonna, Prince et Michael Jackson étaient des influences pour l'album.","However, Madonna, Prince, and Michael Jackson were influences for the album, but the album was actually created by Bob Dylan.","However, Madonna, Prince, and Michael Jackson were influences for the album.",hyp1
58,Le cuisinier s'est lié d'amitié avec le commis.,The chef has tied friendship with the clerk.,The chef became friends with the assistant.,hyp1
59,"Le deuxième jour, Jen voit une fille qui ressemble beaucoup à sa soeur perdue, Jess.","On the second day, Jen sees a girl who looks very much like her lost sister, Jess.","On the second day, Jen sees a girl who looks very much like her lost sister, Jess.",
60,"La société de gestion du groupe, HK Management Inc, n’a pas donné de raison initiale à l’annulation le 20 septembre, mais a invoqué des raisons logistiques dès le lendemain.","The company responsible for managing the group, HK Management Inc, did not provide an initial reason for the cancellation on September 20th, but cited logistical reasons the following day.","HK Management Inc, the company in charge of managing the group, has not provided any initial reason for the cancellation on September 20th, but has cited logistical reasons since the next day.",hyp2
61,"En 1853, il s'installe dans le Wisconsin et s'installe près de Beloit dans le comté de Rock.","In 1853, he settled in Wisconsin and settled near Beloit in Rock County.","In 1853, he settled in Wisconsin and settled near Beloit in the state of Michigan.",hyp2
62,"La superficie de la Turquie, lacs compris, est de 783 562 kilomètres carrés, dont 755 688 kilomètres carrés en Asie du Sud-Ouest et 23 764 kilomètres carrés en Europe.","La superficie de la Turquie est de 783 562 kilomètres carrés, dont la plupart sont en Asie du Sud-Ouest et une faible partie en Europe.","La superficie de la Turquie est de 783 562 kilomètres carrés, dont la plupart sont en Asie du Sud-Ouest et une faible partie en Europe. La superficie totale est de 755 688 kilomètres carrés.",hyp2
63,"Phnom Krom, à 12 km de Siem Reap. Ce temple situé au sommet d'une colline a été érigé à la fin du IXe siècle, sous le règne du roi Yasovarman.","Phnom Krom, located 12 kilometers from Siem Reap. This temple, situated at the top of a hill, was built at the end of the 9th century under the reign of King Yasovarman.","Phnom Krom, a 12 km long temple located in Siem Reap. This ancient structure was constructed in the 9th century by the king of the land.",hyp2
64,"Naa Bolinaa Saaka est un diplomate ghanéen, membre du Nouveau parti patriotique du Ghana et actuellement ambassadeur du Ghana au Burkina Faso.","Naa Bolinaa Saaka is a Ghanaian diplomat, member of the New Patriotic Party of Ghana and currently the Ambassador of Ghana to Burkina Faso.","Naa Bolinaa Saaka is a Ghanaian diplomat, member of the New Patriotic Party of Ghana and currently ambassador of Ghana to Burkina Faso.",hyp2
65,"La principale force d'assaut, composée de 2 400 hommes, franchit la rivière à neuf miles au nord de Trenton, puis se divisa en deux groupes, l'un sous Greene et l'autre sous Sullivan, afin de lancer une attaque avant l'aube.","The main assault force, consisting of 2,400 men, crossed the river nine miles north of Trenton, then split into two groups, one under Greene and the other under Sullivan, to launch a surprise attack during the day.","The main assault force, consisting of 2,400 men, crossed the river nine miles north of Trenton, then split into two groups, one under Greene and the other under Sullivan, to launch an attack before dawn.",hyp1
66,"La quatrième saison a été créée le 7 juin 2010. Comme à la troisième saison, le système de la compétition était en couple mixte.","4th season was created on June 7, 2010. Just like the 3rd season, the competition system was mixed couple.","The fourth season was created on June 7, 2010. Just like in the third season, the competition system was in mixed pairs.",hyp1
67,"En 1964, le diocèse a été théoriquement restauré en tant que titulaire du rang le plus bas (épiscopal).","In 1965, the diocese was theoretically restored as a titular bishopric of the lowest rank.","In 1964, the diocese was theoretically restored as a titular bishopric of the lowest rank.",hyp1
68,Ces interdictions sont rarement appliquées et le visionnage d'émissions privées par satellite dans les foyers nord-coréens est légal.,These restrictions are rarely applied and viewing of private satellite broadcasts in North Korean homes is legal.,Ces interdictions sont rarement appliquées et le visionnage d'émissions privées par satellite dans les foyers sud-coréens est légal.,hyp2
69,"La couleur de capuchon varie, de marron à jaune, souvent avec une tâche marron sur le capuchon à maturité.","The capuchon color varies, from brown to yellow, often with a brown spot on the capuchon at maturity.","The capuchon color varies, from blue to green, often with a brown spot on the capuchon at maturity.",hyp2
70,L'esprit est toujours plutôt disposé et le corps est très fort.,The spirit is always very strong and the body is very weak.,The mind is always rather inclined and the body is very strong.,hyp2
71,Un événement jumeau s'est déroulé à l'Albert Park Lake à Melbourne et a été financé par la Fox FM (à Melbourne en Australie).,"A twin event took place at the Albert Park Lake in Sydney and was funded by Fox FM (in Melbourne, Australia).","A twin event took place at the Albert Park Lake in Melbourne and was funded by Fox FM (in Melbourne, Australia).",hyp1
72,M. Cave a fait la plus haute enchère pour les biens de M. Payne.,Mr. Cave made the highest bid for Mr. Payne's goods.,Mr. Cave made the highest bid for Mr. Payne's goods.,
73,"Il fut ajouté par Gregor (numéro 202) à la liste des manuscrits du Nouveau Testament, Scrivener l'a vu en 1883.","He was added by Gregor (number 202) to the list of New Testament manuscripts, Scrivener saw it in 1883.",The manuscript was not seen by Scrivener in 1883.,hyp2
74,Le coiffeur s'est lié d'amitié avec le cuisinier.,The hairdresser tied friendship with the cook.,The hairdresser became friends with the chef.,hyp2
75,"L’épreuve mixte mixte SH1, carabine à air comprimé de 10 mètres, a eu lieu le 11 septembre aux Jeux paralympiques d’été de 2008, au Shooting Range Hall de Beijing.","The SH1 mixed event, 10-meter air rifle, took place on September 11, 2008, at the Shooting Range Hall in Beijing during the 2008 Summer Paralympic Games.","The SH1 mixed event, 10-meter air rifle, took place on January 11, 2008, at the Shooting Range Hall in Beijing during the 2008 Summer Paralympic Games.",hyp2
76,"La morceau suivant a été créé par le frère de Ron, Robert Fuller, en 1986.","The following piece was created by Ron's brother, Robert Fuller, in 1986.","The next song was written by Ron's sister, Roberta Fuller, in 1987.",hyp2
77,"Le mysticisme peut être distingué des autres formes de culte et de croyance à caractère religieux par son accent sur l'expérience personnelle directe d'un état de conscience, notamment dans le cas d'une personnalité paisible, intuitive, heureuse, voire extatique.","Mysticism can be distinguished from other forms of religion and belief by its emphasis on personal, direct experience of a heightened state of consciousness, particularly in the case of a calm, intuitive, happy, or ecstatic individual.","The mysticism can be distinguished from other forms of religion and belief by its emphasis on personal direct experience of a state of consciousness, particularly in the case of a calm, intuitive, happy, or ecstatic individual.",hyp2
78,"Bien que Goma soit raisonnablement sûre, toute visite doit faire l'objet de recherches pour comprendre l'état des combats qui persistent dans la province du Nord-Kivu.",Goma is not safe and it is recommended to avoid visiting the area due to the ongoing battles in North Kivu province.,"Although Goma is relatively safe, all visits must undergo research to understand the state of the ongoing battles in North Kivu province.",hyp1
79,"En avril de cette année, une ordonnance de blocage temporaire a été prononcée par le juge Glynn contre l'établissement pour imposer la libération des personnes détenues plus de 24 heures après leur admission et n'ayant pas été entendues par un commissaire du tribunal.",An order was issued by Judge Glynn to temporarily block the establishment in order to free people who have been detained for more than 24 hours and have not been heard by a commissioner of the tribunal.,An order was issued by Judge Glynn to temporarily block the establishment in order to free people who have been detained for more than 24 hours and have not been heard by a police officer.,hyp2
80,"L’épreuve mixte mixte SH1, carabine à air comprimé de 10 mètres, a eu lieu le 11 septembre aux Jeux paralympiques d’été de 2008, au Shooting Range Hall de Beijing.","The mixed SH1 event, air rifle competition at 10 meters, took place on September 11, 2008, during the Summer Paralympic Games in Beijing, at the Shooting Range Hall.","The mixed SH1 event, compressed air rifle competition at 10 meters, took place on September 11 during the Summer Paralympic Games of 2008 at the Shooting Range Hall in Beijing.",hyp2
81,La concierge a averti l'enfant de ne pas marcher sur le sol mouillé.,The concierge asked the child to walk on the wet soil.,The concierge warned the child not to walk on the wet soil.,hyp1
82,"La deuxième fille d'Octavius Warre Malet, Alice Anna Catherine, s'est mariée avec Thomas au Consulat britannique à Cologne le 24 juin 1852.","Alice Anna Catherine, the second daughter of Octavius Warre Malet, married Thomas at the British Consulate in Cologne on June 24, 1852.","Alice Anna Catherine, the second daughter of Octavius Warre Malet, married Thomas at the British Consulate in Rome on June 24, 1852.",hyp2
83,Le shérif a interrogé le caissier.,The sheriff questioned the cashier.,The sheriff questioned the manager.,hyp2
84,Le chauffeur reconnut le réceptionniste.,The driver recognized the receptionist.,The driver recognized the receptionist.,hyp2
85,"Windsor est inclus à Augusta, dans le Maine, dans la région de New Micropolitanes, dans la ville de New England.","Windsor is located in Augusta, in the Maine, in the New Metropolitan region, in the city of New England.","Windsor is included in Augusta, in Maine, in the New Metropolitan Region, in the city of New England.",hyp2
86,"La deuxième fille d'Octavius Warre Malet, Alice Anna Catherine, s'est mariée avec Thomas au Consulat britannique à Cologne le 24 juin 1852.","Alice Anna Catherine, the second daughter of Octavius Warre Malet, married Thomas on June 24, 1852, at the British Consulate in Cologne.","The second daughter of Octavius Warre Malet, Alice Anna Catherine, married Thomas at the British consulate in Cologne on June 24, 1852.",
87,"de Ruiter, qui est né à Leiden, a joué pour le FC Utrecht, le FC Den Bosch, Excelsior, le RKC Waalwijk et le FC Emmen.","de Ruiter, who was born in Leiden, played for FC Utrecht, FC Den Bosch, Excelsior, RKC Waalwijk and FC Emmen.","de Ruiter, who was born in Leiden, played for FC Utrecht, FC Den Bosch, Excelsior, RKC Waalwijk and FC Emmen, as well as for Ajax.",hyp2
88,"Cela exige une surveillance continue des pressions partielles réelles avec le temps et, pour une efficacité maximale, un traitement informatique en temps réel par l'ordinateur de décompression du plongeur.","This requires continuous monitoring of real partial pressures over time and, for maximum efficiency, real-time computerized treatment by the decompression diver's computer.","This requires continuous real-time monitoring of partial pressure with time and, for maximum efficiency, real-time computerized treatment by the diver's computer.",hyp2
89,"Cependant, Madonna, Prince et Michael Jackson étaient des influences pour l'album.","Madonna, Prince, and Michael Jackson were influences for the album.","Madonna, Prince, and Michael Jackson were the influences for the album.",hyp2
90,"Le 20 février 1959, le premier ministre John Diefenbaker termina le projet et les cinq flèches démantelées ont été terminées.","20 February 1959, Prime Minister John Diefenbaker completed the project and the five towers were dismantled.","20 February 1959, the Prime Minister John Diefenbaker terminated the project and the five arrows were demantled.",hyp2
91,Le médecin a examiné le boulanger mâle.,The doctor examined the male baker.,The doctor examined the male baker.,
92,"Parmi les sports populaires figurent le football, le basket-ball, le volley-ball, le water-polo, l'escrime, le rugby, le cyclisme, le hockey , le roller hockey et la Formule 1.","Among popular sports are football, basketball, volleyball, water polo, fencing, rugby, cycling, hockey, roller hockey, and tennis.","Among popular sports are football, basketball, volleyball, water polo, fencing, rugby, cycling, hockey, roller hockey, and Formula 1.",hyp1
93,"Agranat est né à Louisville, Kentucky, en 1906, dans une famille judéo-sioniste.","A) Agranat was born in Louisville, Kentucky in 1906, in a family of Jewish-Christian believers.","Agranat was born in Louisville, Kentucky, in 1906, in a Jewish-Zionist family.",hyp1
94,"Bala se trouve sur une plaine haute et enneigée, les étés sont chauds, les hivers sont froids.","The meadow is located on a high and snowy plain, summers are hot, winters are cold.","The meadow is located on a low and snowy plain, summers are cold, winters are hot.",hyp2
95,Northern avait sollicité une aide en raison de son exposition aux effets de la crise des subprimes en 2007.,Northern had sought help due to its exposure to the effects of the subprime crisis in 2010.,Northern had sought help due to its exposure to the effects of the subprime crisis in 2007.,hyp1
96,La gérante a congédié le bibliothécaire.,The manager hired the librarian.,The manager fired the librarian.,hyp1
97,"Le mysticisme peut être distingué des autres formes de culte et de croyance à caractère religieux par son accent sur l'expérience personnelle directe d'un état de conscience, notamment dans le cas d'une personnalité paisible, intuitive, heureuse, voire extatique.","Mysticism can be distinguished from other forms of religion and belief by its emphasis on personal direct experience of a state of consciousness, particularly in the case of a calm, intuitive, happy, or ecstatic individual.","Mysticism can be distinguished from other forms of religion and belief by its emphasis on personal experience of a direct state of consciousness, particularly in the case of a peaceful, intuitive, happy, or ecstatic individual.",hyp2
98,"""En 1933, Cattell écrivit que, de toutes les races européennes, la """"race nordique était la plus évoluée en termes d'intelligence et de stabilité de tempérament"""".""","In 1933, Cattell wrote that, among all European races, the Nordic race was the most evolved in terms of intelligence and stability of temperament.","In 1933, Cattell wrote that, among all European races, the Nordic race was the most primitive in terms of intelligence and instability of temperament.",hyp2
99,La rivière Vâlcea est un affluent de la rivière Arieşul Mare en Roumanie.,The Vâlcea River is the main river in Romania.,The Vâlcea River is a tributary of the Arieşul Mare River in Romania.,hyp1
100,Le directeur a suggéré au caissier de trouver un nouvel emploi.,The manager suggested the cashier to be unemployed.,The manager suggested to the cashier to find a new job.,hyp1
101,"Agranat est né à Louisville, Kentucky, en 1906, dans une famille judéo-sioniste.","Agranat was born in Paris, France, in 1906, to a Christian family.","Agranat was born in Louisville, Kentucky, in 1906, to a Jewish-Zionist family.",hyp1
102,"La superficie de la Turquie, lacs compris, est de 783 562 kilomètres carrés, dont 755 688 kilomètres carrés en Asie du Sud-Ouest et 23 764 kilomètres carrés en Europe.","The surface area of Turkey, including lakes, is 783,562 square kilometers, of which 755,688 square kilometers are in Southwestern Asia and 23,764 square kilometers are in Europe.","The surface area of Turkey, including lakes, is 783,562 square kilometers, of which 755,688 square kilometers are in North America and 23,764 square kilometers are in Europe.",hyp2
